# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -3.6415231567e+02    1.3128170610e+01    8.2160132556e+03    8.1920000000e+03    0.0000000000e+00   -3.6389470648e+02    9.8509925927e-01    9.7485351562e-01
         1   -3.6423794634e+02    1.3049077951e+01    9.0478647652e+03    8.1920000000e+03    0.0000000000e+00   -3.5930028541e+02    9.8493676284e-01    9.8779296875e-01
         2   -3.6430942191e+02    1.2607483287e+01    9.0461463393e+03    9.0550000000e+03    1.1328125000e+00   -3.6433810536e+02    9.8500248113e-01    9.7680839315e-01
         3   -3.6440238480e+02    1.2614538780e+01    9.0380074446e+03    9.0490000000e+03    7.1093750000e-01   -3.6440891810e+02    9.8488490183e-01    9.7756658194e-01
         4   -3.6442727702e+02    1.2476312623e+01    9.0410322576e+03    9.0580000000e+03    6.7968750000e-01   -3.6450287508e+02    9.8502819503e-01    9.7648487525e-01
         5   -3.6440883233e+02    1.2656337521e+01    9.0419396659e+03    9.0610000000e+03    6.5625000000e-01   -3.6452809844e+02    9.8484535934e-01    9.7671338704e-01
         6   -3.6451201667e+02    1.2510572945e+01    9.0571365253e+03    9.0660000000e+03    6.5625000000e-01   -3.6451020542e+02    9.8492946390e-01    9.7540260313e-01
         7   -3.6454379467e+02    1.3095961627e+01    9.0293772115e+03    9.0450000000e+03    7.0312500000e-01   -3.6461107072e+02    9.8480555327e-01    9.7700386954e-01
         8   -3.6462760141e+02    1.2967927299e+01    9.0488199110e+03    9.0590000000e+03    7.1875000000e-01   -3.6464439534e+02    9.8439708076e-01    9.7803289546e-01
         9   -3.6465181257e+02    1.2958063402e+01    9.0515638552e+03    9.0680000000e+03    7.1093750000e-01   -3.6472919507e+02    9.8483518449e-01    9.7386413763e-01
        10   -3.6461606414e+02    1.2793817796e+01    9.0306577442e+03    9.0510000000e+03    7.0312500000e-01   -3.6475152975e+02    9.8469058721e-01    9.7514086841e-01
        11   -3.6464229636e+02    1.2486774848e+01    9.0178960722e+03    9.0320000000e+03    6.7187500000e-01   -3.6471367990e+02    9.8491035421e-01    9.7486713906e-01
        12   -3.6467298043e+02    1.2715217726e+01    9.0211206618e+03    9.0350000000e+03    6.6406250000e-01   -3.6474024422e+02    9.8487915163e-01    9.7299391256e-01
        13   -3.6472607813e+02    1.2905358463e+01    8.9831234706e+03    8.9950000000e+03    6.8750000000e-01   -3.6476649123e+02    9.8478479431e-01    9.7509727626e-01
        14   -3.6475529273e+02    1.2695260421e+01    8.9576482483e+03    8.9710000000e+03    7.5781250000e-01   -3.6481691721e+02    9.8475077214e-01    9.7425036228e-01
        15   -3.6475202006e+02    1.2914783404e+01    8.9291366935e+03    8.9460000000e+03    6.8750000000e-01   -3.6484334116e+02    9.8476060607e-01    9.7473731277e-01
        16   -3.6473058653e+02    1.2401537115e+01    8.8916989559e+03    8.9090000000e+03    6.5625000000e-01   -3.6483592399e+02    9.8473732959e-01    9.7418341003e-01
        17   -3.6471471809e+02    1.2557503987e+01    8.8701700843e+03    8.8850000000e+03    7.0312500000e-01   -3.6481179292e+02    9.8479427676e-01    9.7850309510e-01
        18   -3.6468474487e+02    1.2744456462e+01    8.8590617308e+03    8.8780000000e+03    6.7187500000e-01   -3.6479513633e+02    9.8469917840e-01    9.7544492003e-01
        19   -3.6473260220e+02    1.2574057034e+01    8.8490051988e+03    8.8590000000e+03    5.9375000000e-01   -3.6476302069e+02    9.8466383168e-01    9.7821424540e-01
        20   -3.6478560608e+02    1.2759306560e+01    8.8671414989e+03    8.8770000000e+03    6.7187500000e-01   -3.6481290780e+02    9.8467509066e-01    9.7634335924e-01
        21   -3.6478790627e+02    1.2297436376e+01    8.8569530152e+03    8.8710000000e+03    7.4218750000e-01   -3.6486523554e+02    9.8485803435e-01    9.7486190959e-01
        22   -3.6485427666e+02    1.2630977206e+01    8.8561572935e+03    8.8640000000e+03    7.4218750000e-01   -3.6486674633e+02    9.8472779770e-01    9.7518050542e-01
        23   -3.6478539566e+02    1.2503339769e+01    8.8153526690e+03    8.8350000000e+03    7.3437500000e-01   -3.6492983970e+02    9.8479383418e-01    9.7340124505e-01
        24   -3.6478312594e+02    1.2734647665e+01    8.7742141232e+03    8.7870000000e+03    6.9531250000e-01   -3.6485551094e+02    9.8470359098e-01    9.7371116422e-01
        25   -3.6476744915e+02    1.2796306965e+01    8.7630716242e+03    8.7750000000e+03    7.1875000000e-01   -3.6485187464e+02    9.8484415688e-01    9.7641025641e-01
        26   -3.6478160883e+02    1.3215155617e+01    8.7799427460e+03    8.7900000000e+03    6.1718750000e-01   -3.6483790580e+02    9.8471271631e-01    9.7758816837e-01
        27   -3.6483148209e+02    1.2924534387e+01    8.7765987488e+03    8.7860000000e+03    6.4062500000e-01   -3.6485161031e+02    9.8467279295e-01    9.7587070339e-01
