#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -2.0458601186e+02    4.1863063844e+04   -3.6025321928e+02    1.5566720742e+02   -6.5952536856e+00   -1.5233933303e+02   -2.2402297847e+02    2.2704345910e+01    8.8795000000e+04    8.8637301410e+00    9.9108112228e-01
         1   -2.0475946423e+02    4.1934026818e+04   -3.6054639394e+02    1.5578692971e+02   -6.7165811407e+00   -1.5233933303e+02   -2.2429959985e+02    2.2809120087e+01    8.8627000000e+04    8.8187043859e+00    9.9109023054e-01
         2   -2.0480987876e+02    4.1954639454e+04   -3.6049520688e+02    1.5568532812e+02   -6.8587826872e+00   -1.5233933303e+02   -2.2406637050e+02    2.2769279346e+01    8.7086000000e+04    8.7934682965e+00    9.9110120277e-01
         3   -2.0484498614e+02    4.1969022352e+04   -3.6056178176e+02    1.5571679563e+02   -6.8808516218e+00   -1.5233933303e+02   -2.2394716811e+02    2.2605571005e+01    8.6000000000e+04    8.7789070984e+00    9.9113689003e-01
         4   -2.0487283329e+02    4.1980573936e+04   -3.6061990635e+02    1.5574707306e+02   -6.8907732310e+00   -1.5233933303e+02   -2.2403702888e+02    2.2647228786e+01    8.6134000000e+04    8.7738329402e+00    9.9110135424e-01
         5   -2.0488115016e+02    4.1983851098e+04   -3.6096135750e+02    1.5608020734e+02   -6.7510378418e+00   -1.5233933303e+02   -2.2464196712e+02    2.2770980497e+01    8.6193000000e+04    8.7598612395e+00    9.9112177022e-01
         6   -2.0488791542e+02    4.1986615202e+04   -3.6104956322e+02    1.5616164780e+02   -6.7827815786e+00   -1.5233933303e+02   -2.2481108077e+02    2.2883632167e+01    8.4712000000e+04    8.7587133875e+00    9.9106006745e-01
         7   -2.0490223119e+02    4.1992510631e+04   -3.6102351926e+02    1.5612128807e+02   -6.8207674175e+00   -1.5233933303e+02   -2.2467057657e+02    2.2807157766e+01    8.3664000000e+04    8.6715145743e+00    9.9106426763e-01
         8   -2.0491770443e+02    4.1998846158e+04   -3.6080659489e+02    1.5588889046e+02   -6.8268117628e+00   -1.5233933303e+02   -2.2444486861e+02    2.2804418522e+01    8.3340000000e+04    8.6356007380e+00    9.9109788650e-01
         9   -2.0491389609e+02    4.1997302867e+04   -3.6096767821e+02    1.5605378212e+02   -6.7626177342e+00   -1.5233933303e+02   -2.2464000807e+02    2.2774280625e+01    8.3347000000e+04    8.6773113465e+00    9.9103426392e-01
        10   -2.0489030247e+02    4.1987858458e+04   -3.6088063789e+02    1.5599033542e+02   -6.8553310369e+00   -1.5233933303e+02   -2.2452631620e+02    2.2840342383e+01    8.3181000000e+04    8.8456151918e+00    9.9108756470e-01
        11   -2.0491946263e+02    4.1999630644e+04   -3.6084113513e+02    1.5592167249e+02   -6.9145034447e+00   -1.5233933303e+02   -2.2432215130e+02    2.2734852650e+01    8.2946000000e+04    8.5943057753e+00    9.9104760073e-01
        12   -2.0492722797e+02    4.2002989606e+04   -3.6075510494e+02    1.5582787697e+02   -6.9578598187e+00   -1.5233933303e+02   -2.2421245615e+02    2.2754544065e+01    8.3215000000e+04    8.6216571301e+00    9.9109689088e-01
        13   -2.0494668450e+02    4.2010718521e+04   -3.6042256706e+02    1.5547588257e+02   -6.9606221394e+00   -1.5233933303e+02   -2.2383167827e+02    2.2709066377e+01    8.3326000000e+04    8.6664012086e+00    9.9113163495e-01
        14   -2.0495402643e+02    4.2013658791e+04   -3.6028201233e+02    1.5532798590e+02   -6.9458866781e+00   -1.5233933303e+02   -2.2387915731e+02    2.2882364694e+01    8.4025000000e+04    8.7131261665e+00    9.9110327973e-01
        15   -2.0495723777e+02    4.2015133751e+04   -3.6056696052e+02    1.5560972275e+02   -6.8886531916e+00   -1.5233933303e+02   -2.2403092678e+02    2.2691952481e+01    8.3960000000e+04    8.7380464925e+00    9.9113746764e-01
        16   -2.0494576079e+02    4.2010460433e+04   -3.6085822298e+02    1.5591246219e+02   -6.8647990506e+00   -1.5233933303e+02   -2.2438541707e+02    2.2731326172e+01    8.3641000000e+04    8.7004179765e+00    9.9107936945e-01
        17   -2.0493254657e+02    4.2004880583e+04   -3.6103788703e+02    1.5610534046e+02   -6.8133593199e+00   -1.5233933303e+02   -2.2468522667e+02    2.2800031994e+01    8.3141000000e+04    8.6241327603e+00    9.9105348433e-01
        18   -2.0494154788e+02    4.2008751641e+04   -3.6113548208e+02    1.5619393419e+02   -6.7439563334e+00   -1.5233933303e+02   -2.2474718600e+02    2.2694993286e+01    8.3217000000e+04    8.5926172150e+00    9.9100853469e-01
        19   -2.0495089175e+02    4.2012599266e+04   -3.6096853267e+02    1.5601764092e+02   -6.8604022888e+00   -1.5233933303e+02   -2.2454767992e+02    2.2778882571e+01    8.3295000000e+04    8.6605828963e+00    9.9112738016e-01
        20   -2.0495164384e+02    4.2012793130e+04   -3.6076892928e+02    1.5581728544e+02   -6.8168141284e+00   -1.5233933303e+02   -2.2435575524e+02    2.2742973121e+01    8.2586000000e+04    8.7485936398e+00    9.9108610722e-01
        21   -2.0491121504e+02    4.1996229829e+04   -3.6103917492e+02    1.5612795989e+02   -6.9251976106e+00   -1.5233933303e+02   -2.2440355466e+02    2.2628910380e+01    8.1521000000e+04    8.0218041358e+00    9.9103807588e-01
