#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.3760882485e+02    1.8940679056e+04   -2.4626042517e+02    1.0865160031e+02    2.5993864839e+01   -6.5010265299e+01   -2.0835192468e+02    1.1078999751e+00    8.8450000000e+04    1.2624162215e+00    9.8451994998e-01
         1   -1.3771216688e+02    1.8969267690e+04   -2.4684678429e+02    1.0913461741e+02    2.5847694807e+01   -6.5010265299e+01   -2.0851938892e+02    8.3517511999e-01    8.7938000000e+04    1.2170768140e+00    9.8445796136e-01
         2   -1.3776809107e+02    1.8984552278e+04   -2.4704350116e+02    1.0927541009e+02    2.5747398435e+01   -6.5010265299e+01   -2.0869032245e+02    9.0968815765e-01    8.6608000000e+04    1.2191641081e+00    9.8445327377e-01
         3   -1.3777121181e+02    1.8985363559e+04   -2.4700491506e+02    1.0923370325e+02    2.5753810967e+01   -6.5010265299e+01   -2.0879479132e+02    1.0463305944e+00    8.5899000000e+04    1.2141259935e+00    9.8449192147e-01
         4   -1.3777843965e+02    1.8987323518e+04   -2.4711514386e+02    1.0933670421e+02    2.5676009420e+01   -6.5010265299e+01   -2.0867407054e+02    8.9318255482e-01    8.4776000000e+04    1.2113999836e+00    9.8431999169e-01
         5   -1.3780154680e+02    1.8993841147e+04   -2.4718855492e+02    1.0938700812e+02    2.5601588359e+01   -6.5010265299e+01   -2.0852398544e+02    7.4410745490e-01    8.4309000000e+04    1.2023570939e+00    9.8428070891e-01
         6   -1.3779545298e+02    1.8992708567e+04   -2.4696940804e+02    1.0917395505e+02    2.5432043113e+01   -6.5010265299e+01   -2.0826128720e+02    8.7010135174e-01    8.3806000000e+04    1.1918374627e+00    9.8447348815e-01
         7   -1.3780872473e+02    1.8995643534e+04   -2.4659290085e+02    1.0878417612e+02    2.5384895260e+01   -6.5010265299e+01   -2.0790513405e+02    9.3760324276e-01    8.3223000000e+04    1.1902944534e+00    9.8445566637e-01
         8   -1.3779638571e+02    1.8992277229e+04   -2.4647279706e+02    1.0867641135e+02    2.5453854220e+01   -6.5010265299e+01   -2.0794197386e+02    1.0255878818e+00    8.2850000000e+04    1.1796243588e+00    9.8456760393e-01
         9   -1.3778501523e+02    1.8989125373e+04   -2.4671414979e+02    1.0892913456e+02    2.5465289217e+01   -6.5010265299e+01   -2.0812430061e+02    9.5512689948e-01    8.2697000000e+04    1.1759943556e+00    9.8461699314e-01
        10   -1.3779302164e+02    1.8991290619e+04   -2.4701212428e+02    1.0921910264e+02    2.5497832424e+01   -6.5010265299e+01   -2.0844022204e+02    9.4053063097e-01    8.2706000000e+04    1.2408564241e+00    9.8440986199e-01
        11   -1.3782666065e+02    1.9000552900e+04   -2.4706070164e+02    1.0923404098e+02    2.5512391769e+01   -6.5010265299e+01   -2.0850719380e+02    9.4436568932e-01    8.2465000000e+04    1.1692704611e+00    9.8455281884e-01
        12   -1.3779394490e+02    1.8991686090e+04   -2.4724792006e+02    1.0945397516e+02    2.5664199511e+01   -6.5010265299e+01   -2.0882367141e+02    9.2181714362e-01    8.1808000000e+04    1.1275700728e+00    9.8461346774e-01
        13   -1.3779995942e+02    1.8993249860e+04   -2.4724887579e+02    1.0944891637e+02    2.5595525456e+01   -6.5010265299e+01   -2.0864049115e+02    8.0635519849e-01    8.1911000000e+04    1.1173248250e+00    9.8435566561e-01
        14   -1.3780427871e+02    1.8994641542e+04   -2.4749663099e+02    1.0969235228e+02    2.5629649402e+01   -6.5010265299e+01   -2.0881857538e+02    7.0256028797e-01    8.1866000000e+04    1.1350125958e+00    9.8420513195e-01
        15   -1.3779794464e+02    1.8992730947e+04   -2.4732319927e+02    1.0952525463e+02    2.5496120882e+01   -6.5010265299e+01   -2.0848028034e+02    6.7122548298e-01    8.1534000000e+04    1.0957517444e+00    9.8443835150e-01
        16   -1.3780666429e+02    1.8995174404e+04   -2.4683723711e+02    1.0903057282e+02    2.5395695447e+01   -6.5010265299e+01   -2.0810946837e+02    8.8680110922e-01    8.1046000000e+04    1.0900333491e+00    9.8443019442e-01
        17   -1.3781979887e+02    1.8998739727e+04   -2.4697394022e+02    1.0915414135e+02    2.5417810158e+01   -6.5010265299e+01   -2.0820461660e+02    8.2313152317e-01    8.1805000000e+04    1.1057472313e+00    9.8442284548e-01
        18   -1.3779261605e+02    1.8991286957e+04   -2.4704360955e+02    1.0925099350e+02    2.5468244570e+01   -6.5010265299e+01   -2.0824170886e+02    7.4012004272e-01    8.1825000000e+04    1.1170430314e+00    9.8442031650e-01
        19   -1.3780167756e+02    1.8993891761e+04   -2.4714668531e+02    1.0934500775e+02    2.5520944374e+01   -6.5010265299e+01   -2.0834773695e+02    6.9037256346e-01    8.1236000000e+04    1.0978304890e+00    9.8435092175e-01
        20   -1.3779810299e+02    1.8992759560e+04   -2.4696853084e+02    1.0917042786e+02    2.5482831445e+01   -6.5010265299e+01   -2.0832130186e+02    8.8020486736e-01    8.0975000000e+04    1.1499034040e+00    9.8440899868e-01
        21   -1.3778736488e+02    1.8989821322e+04   -2.4694712821e+02    1.0915976333e+02    2.5515284690e+01   -6.5010265299e+01   -2.0825462722e+02    8.0247961280e-01    8.0948000000e+04    1.0921311686e+00    9.8442535896e-01
        22   -1.3779582531e+02    1.8992317025e+04   -2.4687467512e+02    1.0907884980e+02    2.5492611351e+01   -6.5010265299e+01   -2.0808552010e+02    7.2849893242e-01    8.0856000000e+04    1.0958674780e+00    9.8442771745e-01
        23   -1.3780844150e+02    1.8995675262e+04   -2.4686538959e+02    1.0905694809e+02    2.5500445936e+01   -6.5010265299e+01   -2.0825393257e+02    8.9836234085e-01    8.0268000000e+04    1.0841539497e+00    9.8443133619e-01
        24   -1.3782042652e+02    1.8998903214e+04   -2.4695396888e+02    1.0913354236e+02    2.5553600644e+01   -6.5010265299e+01   -2.0840846533e+02    9.1116110201e-01    8.0612000000e+04    1.0909643914e+00    9.8450609279e-01
        25   -1.3779593800e+02    1.8992264171e+04   -2.4688521441e+02    1.0908927641e+02    2.5602941072e+01   -6.5010265299e+01   -2.0845310821e+02    9.7521802774e-01    8.0721000000e+04    1.0895855951e+00    9.8450326273e-01
        26   -1.3781639721e+02    1.8997779797e+04   -2.4706384868e+02    1.0924745147e+02    2.5625905423e+01   -6.5010265299e+01   -2.0852692563e+02    8.4743683129e-01    8.0490000000e+04    1.0899442718e+00    9.8448990938e-01
        27   -1.3781941911e+02    1.8998643289e+04   -2.4692134341e+02    1.0910192429e+02    2.5579545211e+01   -6.5010265299e+01   -2.0828565502e+02    7.9503170504e-01    8.0779000000e+04    1.0925669939e+00    9.8439267476e-01
        28   -1.3779594133e+02    1.8992344905e+04   -2.4683688802e+02    1.0904094669e+02    2.5493613344e+01   -6.5010265299e+01   -2.0818743029e+02    8.6719422669e-01    8.1195000000e+04    1.0954109478e+00    9.8449656696e-01
        29   -1.3782713715e+02    1.9000825736e+04   -2.4707825063e+02    1.0925111348e+02    2.5506706260e+01   -6.5010265299e+01   -2.0833613313e+02    7.6144153965e-01    8.1250000000e+04    1.0937276635e+00    9.8430206185e-01
