#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6289866744e-01    8.2964555101e-01   -1.2216850551e+00    7.5878638767e-01   -1.2216850551e+00    1.2800000000e+04    4.0290264209e-03    3.2437500000e-01
         1   -4.4454274815e-01    5.8381637545e-01   -1.2272059377e+00    7.8266318951e-01   -1.2272059377e+00    1.2800000000e+04    4.0271962793e-03    3.2468750000e-01
         2   -4.5349021054e-01    4.8923163803e-01   -1.1658222962e+00    7.1233208569e-01   -1.1658222962e+00    1.2800000000e+04    4.0497148145e-03    3.3578125000e-01
         3   -4.7283151554e-01    7.1270944950e-01   -1.2176435144e+00    7.4481199889e-01   -1.2176435144e+00    1.2800000000e+04    4.0367838379e-03    3.3015625000e-01
         4   -4.2742995149e-01    4.6991984726e-01   -1.1419533676e+00    7.1452341608e-01   -1.1419533676e+00    1.2800000000e+04    4.0539339600e-03    3.4039062500e-01
         5   -4.4885980240e-01    4.7376719602e-01   -1.1802659527e+00    7.3140615028e-01   -1.1802659527e+00    1.2800000000e+04    4.0374565381e-03    3.2890625000e-01
         6   -4.3970105108e-01    4.2336374102e-01   -1.1263227855e+00    6.8662173438e-01   -1.1263227855e+00    1.2800000000e+04    4.0481486279e-03    3.3460937500e-01
         7   -4.5213998390e-01    4.7676565932e-01   -1.2064771639e+00    7.5433718005e-01   -1.2064771639e+00    1.2800000000e+04    4.0256114355e-03    3.2234375000e-01
         8   -4.7604186602e-01    7.4205150031e-01   -1.2300562224e+00    7.5401435642e-01   -1.2300562224e+00    1.2800000000e+04    4.0245394043e-03    3.1960937500e-01
         9   -4.5831066665e-01    4.7090315799e-01   -1.1213950898e+00    6.6308442312e-01   -1.1213950898e+00    1.2800000000e+04    4.0611787793e-03    3.4046875000e-01
        10   -4.4900825250e-01    6.0406780928e-01   -1.1990056600e+00    7.4999740751e-01   -1.1990056600e+00    1.2800000000e+04    4.0262465869e-03    3.2109375000e-01
        11   -4.5026041492e-01    5.7477904565e-01   -1.1797561565e+00    7.2949574161e-01   -1.1797561565e+00    1.2800000000e+04    4.0459797900e-03    3.3328125000e-01
        12   -4.4818776543e-01    6.1518655368e-01   -1.2393074380e+00    7.9111967253e-01   -1.2393074380e+00    1.2800000000e+04    4.0256336426e-03    3.2257812500e-01
        13   -4.8009161013e-01    7.0640296866e-01   -1.1906964762e+00    7.1060486611e-01   -1.1906964762e+00    1.2800000000e+04    4.0411121875e-03    3.3343750000e-01
        14   -4.6317449372e-01    5.8474192347e-01   -1.2728227649e+00    8.0964827114e-01   -1.2728227649e+00    1.2800000000e+04    4.0097025537e-03    3.1242187500e-01
        15   -4.7401248255e-01    9.0940374349e-01   -1.1879402270e+00    7.1392774448e-01   -1.1879402270e+00    1.2800000000e+04    4.0406669385e-03    3.3187500000e-01
        16   -4.8621210748e-01    7.8311791033e-01   -1.1726125475e+00    6.8640044002e-01   -1.1726125475e+00    1.2800000000e+04    4.0443524219e-03    3.3421875000e-01
        17   -4.7577388621e-01    6.1462524805e-01   -1.2228055068e+00    7.4703162063e-01   -1.2228055068e+00    1.2800000000e+04    4.0415818848e-03    3.3195312500e-01
        18   -4.4817361861e-01    6.1675624586e-01   -1.1894374142e+00    7.4126379561e-01   -1.1894374142e+00    1.2800000000e+04    4.0317223242e-03    3.2640625000e-01
        19   -5.4036212205e-01    1.3548814170e+00   -1.3088616060e+00    7.6849948394e-01   -1.3088616060e+00    1.2800000000e+04    4.0307314160e-03    3.2445312500e-01
        20   -4.4458583363e-01    4.8157365353e-01   -1.1706949645e+00    7.2610913088e-01   -1.1706949645e+00    1.2800000000e+04    4.0302127295e-03    3.2546875000e-01
        21   -5.0782666953e-01    1.0703827105e+00   -1.2186299963e+00    7.1080332678e-01   -1.2186299963e+00    1.2800000000e+04    4.0360097705e-03    3.2937500000e-01
        22   -4.6840398513e-01    8.8758804131e-01   -1.2648729334e+00    7.9646894831e-01   -1.2648729334e+00    1.2800000000e+04    4.0251165576e-03    3.2218750000e-01
        23   -4.3043032106e-01    5.8346920337e-01   -1.1804096815e+00    7.4997936049e-01   -1.1804096815e+00    1.2800000000e+04    4.0327667236e-03    3.2414062500e-01
        24   -4.2071841179e-01    3.8427092353e-01   -1.1447638419e+00    7.2404543006e-01   -1.1447638419e+00    1.2800000000e+04    4.0290331445e-03    3.2648437500e-01
        25   -4.8684307118e-01    6.5158147750e-01   -1.1948955966e+00    7.0805252542e-01   -1.1948955966e+00    1.2800000000e+04    4.0506413037e-03    3.3671875000e-01
        26   -4.9323371672e-01    1.4462119703e+00   -1.2534120975e+00    7.6017838078e-01   -1.2534120975e+00    1.2800000000e+04    4.0270745459e-03    3.2601562500e-01
