#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.8499078610e-01    7.1309514816e-01   -1.1835187081e+00    6.9852792196e-01   -1.1835187081e+00    1.2800000000e+04    5.5200626611e-03    9.9992187500e-01
         1   -4.9636979196e-01    7.1890517691e-01   -1.1669967867e+00    6.7062699471e-01   -1.1669967867e+00    1.2800000000e+04    5.5238122900e-03    1.0000000000e+00
         2   -4.2644684111e-01    4.4073773931e-01   -1.1578837392e+00    7.3143689813e-01   -1.1578837392e+00    1.2800000000e+04    5.5239579346e-03    1.0000000000e+00
         3   -4.4702118390e-01    6.6207456587e-01   -1.1955212837e+00    7.4850009981e-01   -1.1955212837e+00    1.2800000000e+04    5.5003965430e-03    9.9992187500e-01
         4   -4.9475615065e-01    6.0267938565e-01   -1.1578114192e+00    6.6305526859e-01   -1.1578114192e+00    1.2800000000e+04    5.5203430371e-03    1.0000000000e+00
         5   -4.6138445355e-01    4.9585226927e-01   -1.1258023108e+00    6.6441785725e-01   -1.1258023108e+00    1.2800000000e+04    5.5245699121e-03    1.0000000000e+00
         6   -4.4986245670e-01    6.7136519144e-01   -1.1725431100e+00    7.2268065327e-01   -1.1725431100e+00    1.2800000000e+04    5.5202943896e-03    9.9992187500e-01
         7   -5.0698782190e-01    1.1703990831e+00   -1.2763453258e+00    7.6935750386e-01   -1.2763453258e+00    1.2800000000e+04    5.5191314795e-03    1.0000000000e+00
         8   -4.3917317493e-01    5.1076026601e-01   -1.1739394961e+00    7.3476632117e-01   -1.1739394961e+00    1.2800000000e+04    5.5022082471e-03    9.9984375000e-01
         9   -4.8377108324e-01    7.0863571904e-01   -1.1975847854e+00    7.1381370215e-01   -1.1975847854e+00    1.2800000000e+04    5.5219662549e-03    9.9992187500e-01
        10   -5.1823183377e-01    6.4842189609e-01   -1.2504702432e+00    7.3223840943e-01   -1.2504702432e+00    1.2800000000e+04    5.5256380225e-03    9.9992187500e-01
        11   -4.9765759042e-01    8.1542202536e-01   -1.2233757692e+00    7.2571817877e-01   -1.2233757692e+00    1.2800000000e+04    5.5175814600e-03    9.9992187500e-01
        12   -4.7622207430e-01    7.5022856258e-01   -1.2156097949e+00    7.3938772058e-01   -1.2156097949e+00    1.2800000000e+04    5.5270288232e-03    1.0000000000e+00
        13   -4.9628780386e-01    7.2767163887e-01   -1.1941169736e+00    6.9782916975e-01   -1.1941169736e+00    1.2800000000e+04    5.5016694043e-03    9.9984375000e-01
        14   -5.3785591731e-01    8.1981348848e-01   -1.2023803369e+00    6.6452441960e-01   -1.2023803369e+00    1.2800000000e+04    5.5232750293e-03    9.9992187500e-01
        15   -4.9683738008e-01    5.9112199053e-01   -1.1478623672e+00    6.5102498716e-01   -1.1478623672e+00    1.2800000000e+04    5.5166432422e-03    9.9992187500e-01
        16   -4.8172834326e-01    5.2871759835e-01   -1.1376560497e+00    6.5592770645e-01   -1.1376560497e+00    1.2800000000e+04    5.5265969238e-03    1.0000000000e+00
        17   -4.6478075053e-01    4.6471005308e-01   -1.1194636801e+00    6.5468292956e-01   -1.1194636801e+00    1.2800000000e+04    5.5194186084e-03    9.9992187500e-01
        18   -4.3467511029e-01    4.0838238451e-01   -1.1398063730e+00    7.0513126267e-01   -1.1398063730e+00    1.2800000000e+04    5.5021162988e-03    1.0000000000e+00
        19   -3.8266033348e-01    3.2220607622e-01   -1.1043187621e+00    7.2165842858e-01   -1.1043187621e+00    1.2800000000e+04    5.5238437744e-03    1.0000000000e+00
        20   -4.2099755048e-01    5.5720421641e-01   -1.2083851951e+00    7.8738764459e-01   -1.2083851951e+00    1.2800000000e+04    5.5234622754e-03    9.9992187500e-01
        21   -4.2069935971e-01    4.7481048781e-01   -1.2418916737e+00    8.2119231403e-01   -1.2418916737e+00    1.2800000000e+04    5.5215406348e-03    1.0000000000e+00
        22   -5.1100279587e-01    8.4330689178e-01   -1.3143322757e+00    8.0332947981e-01   -1.3143322757e+00    1.2800000000e+04    5.5233072656e-03    9.9992187500e-01
        23   -3.9061003015e-01    4.1553421057e-01   -1.2134233117e+00    8.2281328152e-01   -1.2134233117e+00    1.2800000000e+04    5.5046855469e-03    1.0000000000e+00
        24   -4.0061888976e-01    3.9108029675e-01   -1.2402897987e+00    8.3967090889e-01   -1.2402897987e+00    1.2800000000e+04    5.5200174756e-03    1.0000000000e+00
        25   -4.6354990320e-01    9.9604231276e-01   -1.2500396531e+00    7.8648974994e-01   -1.2500396531e+00    1.2800000000e+04    5.5219661865e-03    1.0000000000e+00
        26   -4.4442062242e-01    4.8361483419e-01   -1.1924576737e+00    7.4803705124e-01   -1.1924576737e+00    1.2800000000e+04    5.5245242188e-03    1.0000000000e+00
        27   -4.6378102036e-01    4.2699782891e-01   -1.1390604153e+00    6.7527939494e-01   -1.1390604153e+00    1.2800000000e+04    5.5217359668e-03    9.9984375000e-01
        28   -4.8847990454e-01    9.3787844447e-01   -1.1325386384e+00    6.4405873387e-01   -1.1325386384e+00    1.2800000000e+04    5.5026818799e-03    1.0000000000e+00
        29   -4.6659246669e-01    5.2270320293e-01   -1.1160798130e+00    6.4948734627e-01   -1.1160798130e+00    1.2800000000e+04    5.5166858447e-03    9.9992187500e-01
        30   -5.3725520796e-01    1.0315072530e+00   -1.1812832947e+00    6.4402808672e-01   -1.1812832947e+00    1.2800000000e+04    5.5207503174e-03    9.9992187500e-01
        31   -4.4417050524e-01    3.8198945031e-01   -1.0965478725e+00    6.5237736722e-01   -1.0965478725e+00    1.2800000000e+04    5.5243302002e-03    1.0000000000e+00
        32   -4.3409914100e-01    3.5739429714e-01   -1.0495057108e+00    6.1540656983e-01   -1.0495057108e+00    1.2800000000e+04    5.5196111279e-03    9.9992187500e-01
        33   -4.6528077518e-01    4.1909414842e-01   -1.0235589720e+00    5.5827819681e-01   -1.0235589720e+00    1.2800000000e+04    5.5006585303e-03    9.9992187500e-01
        34   -5.0993310204e-01    6.2451482608e-01   -1.1234711539e+00    6.1353805187e-01   -1.1234711539e+00    1.2800000000e+04    5.5201045654e-03    1.0000000000e+00
        35   -4.6773623364e-01    4.3231424655e-01   -1.1473757942e+00    6.7963956054e-01   -1.1473757942e+00    1.2800000000e+04    5.5206794141e-03    1.0000000000e+00
