#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.9102176453e-01    2.7415563552e-01   -8.6189926900e-01    3.7087750448e-01   -8.6189926900e-01    8.0000000000e+02    2.9939413071e-04    8.0000000000e-01
         1                 nan                 nan                 nan                 nan   -7.1254506018e-01    8.0000000000e+02    3.2418966293e-04    8.4125000000e-01
         2   -5.1085398585e-01    2.8905926307e-01   -9.9282449059e-01    4.8197050474e-01   -9.9282449059e-01    8.0000000000e+02    3.1727552414e-04    7.0750000000e-01
         3   -5.1039369095e-01    2.8625468428e-01   -1.0278499754e+00    5.1745628440e-01   -1.0278499754e+00    8.0000000000e+02    3.3026933670e-04    7.3000000000e-01
         4   -5.2771989834e-01    2.9485297758e-01   -1.0395439362e+00    5.1182403788e-01   -1.0395439362e+00    8.0000000000e+02    2.8851628304e-04    7.0625000000e-01
         5   -5.1542965924e-01    2.8872571142e-01   -1.0765891372e+00    5.6115947795e-01   -1.0765891372e+00    8.0000000000e+02    2.6491284370e-04    7.5875000000e-01
         6   -5.1511736982e-01    2.9318655744e-01   -1.1260178080e+00    6.1090043822e-01   -1.1260178080e+00    8.0000000000e+02    2.9858946800e-04    7.2875000000e-01
         7   -4.8017044651e-01    2.7827180800e-01   -1.1103786254e+00    6.3020817894e-01   -1.1103786254e+00    8.0000000000e+02    3.1933188438e-04    7.0500000000e-01
         8   -5.5423352014e-01    4.2633672672e-01   -1.0469447108e+00    4.9271119071e-01   -1.0469447108e+00    8.0000000000e+02    2.9772520065e-04    7.5375000000e-01
         9   -5.1912004446e-01    3.3542928493e-01   -1.1542809527e+00    6.3516090821e-01   -1.1542809527e+00    8.0000000000e+02    3.2657384872e-04    7.4500000000e-01
        10   -4.9396038389e-01    2.7886783263e-01   -1.0477965601e+00    5.5383617618e-01   -1.0477965601e+00    8.0000000000e+02    2.1868944168e-04    7.2500000000e-01
        11   -5.1609570575e-01    2.8609905619e-01   -1.0326161430e+00    5.1652043722e-01   -1.0326161430e+00    8.0000000000e+02    2.7093291283e-04    7.3750000000e-01
