#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5729474396e+01    2.4835677831e+02   -2.6606856632e+01    1.0877382236e+01    1.0125888614e+01   -3.8598496544e+01    1.8657512985e+00    5.1200000000e+02    5.4569903564e-04    4.5084635417e-01
         1   -1.5673114657e+01    2.4657423217e+02   -2.6783113572e+01    1.1109998916e+01    1.0134787339e+01   -3.8614263360e+01    1.6963624483e+00    5.1200000000e+02    5.4354893799e-04    4.4791666667e-01
         2   -1.5705110507e+01    2.4753162718e+02   -2.7008666565e+01    1.1303556058e+01    1.0217429244e+01   -3.9130854060e+01    1.9047582513e+00    5.1200000000e+02    5.4463113037e-04    4.4694010417e-01
         3   -1.5746054761e+01    2.4876701180e+02   -2.6774597245e+01    1.1028542483e+01    1.0178162730e+01   -3.8932429814e+01    1.9796698392e+00    5.1200000000e+02    5.5173018311e-04    4.5605468750e-01
         4   -1.5741991100e+01    2.4867638494e+02   -2.6723539608e+01    1.0981548508e+01    1.0281687021e+01   -3.9087764595e+01    2.0825379663e+00    5.1200000000e+02    5.5157847656e-04    4.5540364583e-01
         5   -1.5765419651e+01    2.4939427762e+02   -2.6718565857e+01    1.0953146206e+01    1.0319010195e+01   -3.9422974143e+01    2.3853980919e+00    5.1200000000e+02    5.5380599609e-04    4.6386718750e-01
         6   -1.5702483034e+01    2.4744478442e+02   -2.6973012033e+01    1.1270528999e+01    1.0296210442e+01   -3.9006721262e+01    1.7374987877e+00    5.1200000000e+02    5.5357484863e-04    4.5149739583e-01
         7   -1.5705149863e+01    2.4765981815e+02   -2.6940632111e+01    1.1235482247e+01    1.0423660510e+01   -3.9583432010e+01    2.2191393888e+00    5.1200000000e+02    5.5560586914e-04    4.4238281250e-01
         8   -1.5674983541e+01    2.4672366526e+02   -2.7021290907e+01    1.1346307366e+01    1.0512878073e+01   -3.9609135348e+01    2.0749663675e+00    5.1200000000e+02    5.5538478271e-04    4.4335937500e-01
         9   -1.5690228493e+01    2.4714303824e+02   -2.6974829061e+01    1.1284600568e+01    1.0495962416e+01   -3.9500100030e+01    2.0293085526e+00    5.1200000000e+02    5.5500948486e-04    4.4368489583e-01
        10   -1.5686204346e+01    2.4698569610e+02   -2.6888153975e+01    1.1201949629e+01    1.0447127363e+01   -3.9569333812e+01    2.2340524741e+00    5.1200000000e+02    5.5154522705e-04    4.4921875000e-01
        11   -1.5613965964e+01    2.4491286082e+02   -2.6816163742e+01    1.1202197779e+01    1.0528126467e+01   -3.9483733259e+01    2.1394430494e+00    5.1200000000e+02    5.5080993164e-04    4.5182291667e-01
        12   -1.5690994402e+01    2.4732827568e+02   -2.7023631355e+01    1.1332636952e+01    1.0445999376e+01   -3.9231289967e+01    1.7616592363e+00    5.1200000000e+02    5.4977272949e-04    4.4921875000e-01
        13   -1.5686984059e+01    2.4725106706e+02   -2.6824325433e+01    1.1137341373e+01    1.0396215767e+01   -3.9273611348e+01    2.0530701488e+00    5.1200000000e+02    5.5411841797e-04    4.6809895833e-01
        14   -1.5730925363e+01    2.4837322219e+02   -2.7026819763e+01    1.1295894400e+01    1.0270669691e+01   -3.9180005064e+01    1.8825156101e+00    5.1200000000e+02    5.5178971924e-04    4.6191406250e-01
        15   -1.5741939047e+01    2.4868264538e+02   -2.6687292104e+01    1.0945353057e+01    1.0288317527e+01   -3.8858273612e+01    1.8826639811e+00    5.1200000000e+02    5.5002302490e-04    4.4921875000e-01
        16   -1.5689673456e+01    2.4706816516e+02   -2.7023375420e+01    1.1333701964e+01    1.0413191401e+01   -3.9288653292e+01    1.8520864712e+00    5.1200000000e+02    5.5194618408e-04    4.4856770833e-01
        17   -1.5670003910e+01    2.4647247542e+02   -2.7015176755e+01    1.1345172846e+01    1.0470657734e+01   -3.9507474224e+01    2.0216397349e+00    5.1200000000e+02    5.5457726807e-04    4.5930989583e-01
        18   -1.5684277389e+01    2.4696387778e+02   -2.7135532186e+01    1.1451254798e+01    1.0477591730e+01   -3.9615909358e+01    2.0027854410e+00    5.1200000000e+02    5.6639958252e-04    4.5768229167e-01
        19   -1.5665591528e+01    2.4644267349e+02   -2.7419440172e+01    1.1753848644e+01    1.0554403505e+01   -3.9832837651e+01    1.8589939739e+00    5.1200000000e+02    5.5817711914e-04    4.5735677083e-01
        20   -1.5689249882e+01    2.4707676620e+02   -2.7387594159e+01    1.1698344277e+01    1.0527734059e+01   -3.9909189376e+01    1.9938611580e+00    5.1200000000e+02    5.5627464844e-04    4.5247395833e-01
        21   -1.5613973605e+01    2.4482250946e+02   -2.7517053924e+01    1.1903080320e+01    1.0559441777e+01   -3.9956693349e+01    1.8801976469e+00    5.1200000000e+02    5.5618961670e-04    4.5410156250e-01
