#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5395074208e+01    2.3723756069e+02   -2.6381560362e+01    1.0986486154e+01    7.4594132917e+00   -3.6078980189e+01    2.2380065348e+00    6.6781000000e+04    1.3862159555e-01    9.9659684246e-01
         1   -1.5396303328e+01    2.3726884764e+02   -2.6236354235e+01    1.0840050907e+01    7.4663311250e+00   -3.5891439348e+01    2.1887539882e+00    6.6329000000e+04    1.2539166770e-01    9.9644992205e-01
         2   -1.5401080333e+01    2.3740764443e+02   -2.6189645424e+01    1.0788565090e+01    7.4400839561e+00   -3.5845975240e+01    2.2162458605e+00    6.6259000000e+04    1.2337659961e-01    9.9659376672e-01
         3   -1.5401310436e+01    2.3744195367e+02   -2.6169720084e+01    1.0768409649e+01    7.4075768227e+00   -3.5762171662e+01    2.1848747552e+00    6.5791000000e+04    1.2249803621e-01    9.9671009623e-01
         4   -1.5400003019e+01    2.3736956625e+02   -2.6104618491e+01    1.0704615471e+01    7.4227718475e+00   -3.5716243306e+01    2.1888529675e+00    6.5429000000e+04    1.2160071035e-01    9.9656743037e-01
         5   -1.5387650835e+01    2.3699353382e+02   -2.6176724457e+01    1.0789073622e+01    7.4832089119e+00   -3.5898726921e+01    2.2387935517e+00    6.5344000000e+04    1.2564772484e-01    9.9643446039e-01
         6   -1.5399020706e+01    2.3735340795e+02   -2.6138351079e+01    1.0739330373e+01    7.4370530612e+00   -3.5765887393e+01    2.1904832528e+00    6.5452000000e+04    1.2458488871e-01    9.9660719402e-01
         7   -1.5404945734e+01    2.3753408535e+02   -2.6113820795e+01    1.0708875061e+01    7.4096212572e+00   -3.5784211263e+01    2.2607692108e+00    6.5662000000e+04    1.2547694445e-01    9.9670145257e-01
         8   -1.5400627442e+01    2.3741015836e+02   -2.6247976186e+01    1.0847348744e+01    7.4347374991e+00   -3.5879014953e+01    2.1963012684e+00    6.5509000000e+04    1.2552523602e-01    9.9663587131e-01
         9   -1.5390921640e+01    2.3712408098e+02   -2.6128662767e+01    1.0737741127e+01    7.4507789215e+00   -3.5837662657e+01    2.2582209686e+00    6.5193000000e+04    1.2537185164e-01    9.9650269486e-01
        10   -1.5393486411e+01    2.3718434166e+02   -2.6284443869e+01    1.0890957459e+01    7.4575031149e+00   -3.6135339657e+01    2.3933926725e+00    6.5521000000e+04    1.2763261898e-01    9.9639439886e-01
        11   -1.5396385823e+01    2.3727425280e+02   -2.6276077239e+01    1.0879691415e+01    7.4816006360e+00   -3.6104906774e+01    2.3472288990e+00    6.5587000000e+04    1.2599867453e-01    9.9652074908e-01
        12   -1.5396521729e+01    2.3728617996e+02   -2.6280995117e+01    1.0884473388e+01    7.4428903033e+00   -3.5951136255e+01    2.2272508349e+00    6.5709000000e+04    1.2672091336e-01    9.9658969649e-01
        13   -1.5402493179e+01    2.3746558323e+02   -2.6166874394e+01    1.0764381215e+01    7.4644545588e+00   -3.5927102897e+01    2.2957739447e+00    6.6036000000e+04    1.2613926164e-01    9.9668239795e-01
        14   -1.5402677830e+01    2.3747025894e+02   -2.6226612616e+01    1.0823934786e+01    7.4747985371e+00   -3.6077029212e+01    2.3756180585e+00    6.5682000000e+04    1.2719697648e-01    9.9669018987e-01
        15   -1.5392747527e+01    2.3716103421e+02   -2.6385776819e+01    1.0993029291e+01    7.5125139968e+00   -3.6212460691e+01    2.3141698759e+00    6.5836000000e+04    1.2353652422e-01    9.9661941387e-01
        16   -1.5388881928e+01    2.3704941243e+02   -2.6164505102e+01    1.0775623174e+01    7.4833593280e+00   -3.5947221521e+01    2.2993570908e+00    6.5914000000e+04    1.2538963961e-01    9.9672785296e-01
        17   -1.5387909229e+01    2.3701063423e+02   -2.6212044620e+01    1.0824135391e+01    7.5110387106e+00   -3.5932678216e+01    2.2095948855e+00    6.6103000000e+04    1.2878930875e-01    9.9645283968e-01
        18   -1.5392646394e+01    2.3716675312e+02   -2.6270162396e+01    1.0877516001e+01    7.5081607364e+00   -3.6096584956e+01    2.3182618238e+00    6.5885000000e+04    1.2662861527e-01    9.9655771924e-01
        19   -1.5392647277e+01    2.3714579523e+02   -2.6216593189e+01    1.0823945912e+01    7.4970536161e+00   -3.6023363103e+01    2.3097162981e+00    6.5776000000e+04    1.2648870832e-01    9.9635399880e-01
        20   -1.5395658480e+01    2.3724921524e+02   -2.6221954826e+01    1.0826296346e+01    7.4960767412e+00   -3.6036175165e+01    2.3181435979e+00    6.6018000000e+04    1.2538076926e-01    9.9639746615e-01
        21   -1.5394546949e+01    2.3721713049e+02   -2.6193230085e+01    1.0798683136e+01    7.5126209696e+00   -3.6036562058e+01    2.3307110030e+00    6.6292000000e+04    1.2436994023e-01    9.9662130997e-01
        22   -1.5395573823e+01    2.3724967389e+02   -2.6148007290e+01    1.0752433467e+01    7.5079269656e+00   -3.6159849863e+01    2.5039156073e+00    6.6346000000e+04    1.2418628914e-01    9.9632719659e-01
        23   -1.5391449979e+01    2.3713235856e+02   -2.5990449026e+01    1.0598999047e+01    7.4896377585e+00   -3.5928611592e+01    2.4485248071e+00    6.6229000000e+04    1.2253623488e-01    9.9665597920e-01
        24   -1.5394432136e+01    2.3721716082e+02   -2.6032765264e+01    1.0638333127e+01    7.5028943659e+00   -3.5890168476e+01    2.3545088463e+00    6.6015000000e+04    1.2478309871e-01    9.9667953662e-01
        25   -1.5379309348e+01    2.3674648395e+02   -2.6103185536e+01    1.0723876188e+01    7.4924488291e+00   -3.5908782451e+01    2.3131480866e+00    6.6194000000e+04    1.2548019598e-01    9.9667880681e-01
        26   -1.5394908257e+01    2.3722253118e+02   -2.6277987708e+01    1.0883079452e+01    7.5049747418e+00   -3.6056160421e+01    2.2731979705e+00    6.5947000000e+04    1.2316457523e-01    9.9647605329e-01
        27   -1.5398272477e+01    2.3733367103e+02   -2.6196306159e+01    1.0798033682e+01    7.4730098587e+00   -3.6045862859e+01    2.3765468414e+00    6.6423000000e+04    1.3329032609e-01    9.9659942286e-01
        28   -1.5395884759e+01    2.3725974035e+02   -2.6265400155e+01    1.0869515396e+01    7.4671630052e+00   -3.6044893974e+01    2.3123308144e+00    6.6490000000e+04    1.3418489711e-01    9.9650184760e-01
        29   -1.5389658116e+01    2.3707659665e+02   -2.6416532205e+01    1.1026874089e+01    7.5073765050e+00   -3.6126707746e+01    2.2027990364e+00    6.6118000000e+04    1.2719615812e-01    9.9638432952e-01
        30   -1.5396515915e+01    2.3728173000e+02   -2.6317352810e+01    1.0920836895e+01    7.4971866423e+00   -3.6140647556e+01    2.3261081036e+00    6.6013000000e+04    1.2495694383e-01    9.9629514999e-01
        31   -1.5396865862e+01    2.3731365354e+02   -2.6512557912e+01    1.1115692051e+01    7.5370801956e+00   -3.6241476551e+01    2.1918384430e+00    6.6075000000e+04    1.2784979406e-01    9.9619377374e-01
        32   -1.5396691705e+01    2.3729104319e+02   -2.6440632800e+01    1.1043941095e+01    7.5196914823e+00   -3.6116724072e+01    2.1563997897e+00    6.6120000000e+04    1.2477429625e-01    9.9645311463e-01
        33   -1.5406353335e+01    2.3759820992e+02   -2.6414570215e+01    1.1008216880e+01    7.5475378499e+00   -3.6327178254e+01    2.3650701891e+00    6.5867000000e+04    1.2473357383e-01    9.9646198005e-01
        34   -1.5411454303e+01    2.3773599879e+02   -2.6293917347e+01    1.0882463045e+01    7.4899986799e+00   -3.5996986428e+01    2.2130704009e+00    6.5942000000e+04    1.2364440957e-01    9.9652241712e-01
        35   -1.5404852513e+01    2.3753152798e+02   -2.6250129040e+01    1.0845276526e+01    7.4857344512e+00   -3.5988333001e+01    2.2524695099e+00    6.5955000000e+04    1.2110028414e-01    9.9647156535e-01
