#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -4.4936763421e+01    2.0207368127e+03   -7.9109280258e+01    3.4172516836e+01   -1.1620496278e+01   -5.1102678671e+01   -2.0003268444e+01    3.6171631353e+00   -1.1330691245e+01    6.7395593700e-02    5.1200000000e+02    1.2690491680e-02    7.6403808594e-01
         1   -4.4819429822e+01    2.0102597846e+03   -7.8799988756e+01    3.3980558935e+01   -1.1383734456e+01   -5.1102678671e+01   -2.0304690681e+01    3.9911150513e+00   -1.1077268658e+01    6.7395593700e-02    5.1200000000e+02    1.2657297610e-02    7.5280761719e-01
         2   -4.4956752542e+01    2.0224929281e+03   -7.9148191795e+01    3.4191439253e+01   -1.1410983217e+01   -5.1102678671e+01   -2.1010013492e+01    4.3754835848e+00   -1.1082358501e+01    6.7395593700e-02    5.1200000000e+02    1.2686336470e-02    7.6068115234e-01
         3   -4.4874737959e+01    2.0153824718e+03   -7.8917788648e+01    3.4043050689e+01   -1.1387386019e+01   -5.1102678671e+01   -2.0405869613e+01    3.9781456549e+00   -1.1066055190e+01    6.7395593700e-02    5.1200000000e+02    1.2650182058e-02    7.6123046875e-01
         4   -4.4834757946e+01    2.0121165013e+03   -7.9376568250e+01    3.4541810304e+01   -1.1535405198e+01   -5.1102678671e+01   -2.0413045937e+01    3.6745615564e+00   -1.1198493483e+01    6.7395593700e-02    5.1200000000e+02    1.2655293254e-02    7.5946044922e-01
         5   -4.4931437403e+01    2.0205445719e+03   -7.8725954832e+01    3.3794517429e+01   -1.1518912315e+01   -5.1102678671e+01   -1.9978582449e+01    3.8742186024e+00   -1.1203841809e+01    6.7395593700e-02    5.1200000000e+02    1.2629647996e-02    7.5750732422e-01
         6   -4.4961700053e+01    2.0234408864e+03   -7.8880945829e+01    3.3919245776e+01   -1.1430751178e+01   -5.1102678671e+01   -1.9880203671e+01    3.5326876914e+00   -1.1114043122e+01    6.7395593700e-02    5.1200000000e+02    1.2673143967e-02    7.6068115234e-01
         7   -4.4769915321e+01    2.0059583795e+03   -7.8422468513e+01    3.3652553191e+01   -1.1563315793e+01   -5.1102678671e+01   -1.9649369415e+01    3.8928953660e+00   -1.1242430609e+01    6.7395593700e-02    5.1200000000e+02    1.2610235476e-02    7.5744628906e-01
         8   -4.4791148883e+01    2.0083980194e+03   -7.8170861428e+01    3.3379712545e+01   -1.1446514877e+01   -5.1102678671e+01   -1.9521455528e+01    3.8997876489e+00   -1.1096178584e+01    6.7395593700e-02    5.1200000000e+02    1.2590874136e-02    7.5494384766e-01
         9   -4.4878657112e+01    2.0158339874e+03   -7.8997693691e+01    3.4119036579e+01   -1.1494127861e+01   -5.1102678671e+01   -2.0098829055e+01    3.6979418969e+00   -1.1168945335e+01    6.7395593700e-02    5.1200000000e+02    1.2691567568e-02    7.5665283203e-01
