#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5310827029e+01    2.0541345309e+03   -8.0421931812e+01    3.5111104782e+01   -1.1386686015e+01   -5.1102678671e+01   -2.1963786617e+01    4.0312194916e+00   -1.1090243118e+01    9.2594002814e-02    5.1200000000e+03    1.5328551244e-01    7.4914550781e-01
         1   -4.5296795798e+01    2.0529275279e+03   -8.0172437596e+01    3.4875641797e+01   -1.1273175473e+01   -5.1102678671e+01   -2.1711005862e+01    3.9144224100e+00   -1.0978231852e+01    9.2594002814e-02    5.1200000000e+03    1.5342652714e-01    7.4962158203e-01
         2   -4.5309540223e+01    2.0541599420e+03   -8.0566995507e+01    3.5257455284e+01   -1.1359228990e+01   -5.1102678671e+01   -2.2310275827e+01    4.2051879811e+00   -1.1064611406e+01    9.2594002814e-02    5.1200000000e+03    1.5380899654e-01    7.4925231934e-01
         3   -4.5295217869e+01    2.0528038734e+03   -8.0299278282e+01    3.5004060413e+01   -1.1349964739e+01   -5.1102678671e+01   -2.1886529007e+01    4.0398941353e+00   -1.1056794628e+01    9.2594002814e-02    5.1200000000e+03    1.5331428415e-01    7.5152587891e-01
         4   -4.5332770900e+01    2.0561422820e+03   -8.0344354229e+01    3.5011583329e+01   -1.1330153563e+01   -5.1102678671e+01   -2.2103688761e+01    4.1921667653e+00   -1.1037483923e+01    9.2594002814e-02    5.1200000000e+03    1.5361726257e-01    7.5017395020e-01
         5   -4.5297157125e+01    2.0528632619e+03   -8.0545640685e+01    3.5248483560e+01   -1.1432175053e+01   -5.1102678671e+01   -2.2011388376e+01    4.0006014148e+00   -1.1134393965e+01    9.2594002814e-02    5.1200000000e+03    1.5363865906e-01    7.5124511719e-01
         6   -4.5280633270e+01    2.0514399521e+03   -8.0307976066e+01    3.5027342796e+01   -1.1386934741e+01   -5.1102678671e+01   -2.1945477527e+01    4.1271148736e+00   -1.1099729194e+01    9.2594002814e-02    5.1200000000e+03    1.5330916515e-01    7.5006408691e-01
         7   -4.5307542166e+01    2.0538496075e+03   -8.0585651837e+01    3.5278109670e+01   -1.1339575898e+01   -5.1102678671e+01   -2.2240354086e+01    4.0969568190e+00   -1.1039421629e+01    9.2594002814e-02    5.1200000000e+03    1.5347602922e-01    7.4938659668e-01
         8   -4.5314152564e+01    2.0544295261e+03   -8.0442651370e+01    3.5128498807e+01   -1.1357638990e+01   -5.1102678671e+01   -2.2019962695e+01    4.0376289856e+00   -1.1057236494e+01    9.2594002814e-02    5.1200000000e+03    1.5346197952e-01    7.5001220703e-01
         9   -4.5324313269e+01    2.0554618819e+03   -8.0567004425e+01    3.5242691156e+01   -1.1361204102e+01   -5.1102678671e+01   -2.2272674956e+01    4.1695533046e+00   -1.1063794307e+01    9.2594002814e-02    5.1200000000e+03    1.5360695248e-01    7.5121765137e-01
        10   -4.5302070182e+01    2.0533650804e+03   -8.0651891148e+01    3.5349820966e+01   -1.1401987225e+01   -5.1102678671e+01   -2.2280814083e+01    4.1335888310e+00   -1.1107959117e+01    9.2594002814e-02    5.1200000000e+03    1.5342832584e-01    7.4900207520e-01
        11   -4.5319189908e+01    2.0548854526e+03   -8.0597490562e+01    3.5278300654e+01   -1.1409221472e+01   -5.1102678671e+01   -2.2165258885e+01    4.0796684666e+00   -1.1121374391e+01    9.2594002814e-02    5.1200000000e+03    1.5337993987e-01    7.4891357422e-01
        12   -4.5312139984e+01    2.0543182736e+03   -8.0586746539e+01    3.5274606556e+01   -1.1371043071e+01   -5.1102678671e+01   -2.2169951675e+01    4.0569268775e+00   -1.1075560765e+01    9.2594002814e-02    5.1200000000e+03    1.5370813248e-01    7.5006713867e-01
        13   -4.5268788645e+01    2.0504117212e+03   -8.0472521984e+01    3.5203733339e+01   -1.1292109731e+01   -5.1102678671e+01   -2.2198374592e+01    4.1206410102e+00   -1.0986126551e+01    9.2594002814e-02    5.1200000000e+03    1.5325181410e-01    7.5065307617e-01
        14   -4.5301299751e+01    2.0533237483e+03   -8.0292123315e+01    3.4990823564e+01   -1.1348573792e+01   -5.1102678671e+01   -2.1772835698e+01    3.9319648458e+00   -1.1050874479e+01    9.2594002814e-02    5.1200000000e+03    1.5339908822e-01    7.4956054687e-01
        15   -4.5314934732e+01    2.0545664779e+03   -8.0506178530e+01    3.5191243798e+01   -1.1326630276e+01   -5.1102678671e+01   -2.2052252936e+01    3.9753833533e+00   -1.1029250555e+01    9.2594002814e-02    5.1200000000e+03    1.5357032603e-01    7.5011291504e-01
        16   -4.5311821765e+01    2.0542409100e+03   -8.0826907527e+01    3.5515085763e+01   -1.1366753254e+01   -5.1102678671e+01   -2.2459459020e+01    4.1019834184e+00   -1.1082219932e+01    9.2594002814e-02    5.1200000000e+03    1.5365313213e-01    7.4967651367e-01
