#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7254108286e+01    2.9788525446e+02   -3.0775245837e+01    1.3521137551e+01    1.6786303606e+01   -5.6502323608e+01    1.9600109186e+00    6.9807632464e+00    5.1200000000e+02    4.8422495042e-02    6.0030517578e-01
         1   -1.7235741375e+01    2.9722664842e+02   -3.1322279492e+01    1.4086538117e+01    1.7286978272e+01   -5.7639655471e+01    2.0496344601e+00    6.9807632464e+00    5.1200000000e+02    4.8606227080e-02    5.9729003906e-01
         2   -1.7257451242e+01    2.9796565600e+02   -3.1188240612e+01    1.3930789370e+01    1.7155262149e+01   -5.7150895241e+01    1.8266292325e+00    6.9807632464e+00    5.1200000000e+02    4.8620474136e-02    5.9530029297e-01
         3   -1.7259918073e+01    2.9809191343e+02   -3.0500428001e+01    1.3240509928e+01    1.7084724996e+01   -5.6887825616e+01    2.3219093727e+00    6.9807632464e+00    5.1200000000e+02    4.8585099058e-02    5.9583740234e-01
         4   -1.7244432593e+01    2.9749769707e+02   -3.1124952573e+01    1.3880519981e+01    1.7125545942e+01   -5.7257666596e+01    2.0264048339e+00    6.9807632464e+00    5.1200000000e+02    4.8644799626e-02    5.9824218750e-01
         5   -1.7224726589e+01    2.9685740006e+02   -3.0575613851e+01    1.3350887262e+01    1.6911008315e+01   -5.6256852704e+01    1.7894672917e+00    6.9807632464e+00    5.1200000000e+02    4.8435953694e-02    5.9726562500e-01
         6   -1.7258853094e+01    2.9800020464e+02   -3.0604255129e+01    1.3345402035e+01    1.6995378097e+01   -5.6630859183e+01    2.0504627101e+00    6.9807632464e+00    5.1200000000e+02    4.8539095933e-02    5.9943847656e-01
         7   -1.7247076350e+01    2.9765432133e+02   -3.0799734244e+01    1.3552657894e+01    1.7018606061e+01   -5.6714553485e+01    1.9154499344e+00    6.9807632464e+00    5.1200000000e+02    4.8598086929e-02    5.9716796875e-01
         8   -1.7256446153e+01    2.9795293778e+02   -3.0727789859e+01    1.3471343707e+01    1.7262790796e+01   -5.6901455642e+01    1.9301117398e+00    6.9807632464e+00    5.1200000000e+02    4.8572153997e-02    5.9526367187e-01
         9   -1.7251620131e+01    2.9783632349e+02   -3.1056172061e+01    1.3804551930e+01    1.7073378508e+01   -5.7102804476e+01    1.9924906610e+00    6.9807632464e+00    5.1200000000e+02    4.8559401238e-02    5.9389648437e-01
        10   -1.7267887960e+01    2.9835254173e+02   -3.0370507058e+01    1.3102619097e+01    1.6913759378e+01   -5.6399455533e+01    2.1344258507e+00    6.9807632464e+00    5.1200000000e+02    4.8555258804e-02    5.9506835937e-01
        11   -1.7249484937e+01    2.9767634871e+02   -3.1119370935e+01    1.3869885999e+01    1.7165643457e+01   -5.6886074084e+01    1.6202964453e+00    6.9807632464e+00    5.1200000000e+02    4.8583729097e-02    5.9947509766e-01
        12   -1.7241474550e+01    2.9741138346e+02   -3.1264261662e+01    1.4022787112e+01    1.6986634906e+01   -5.7021018460e+01    1.7893586453e+00    6.9807632464e+00    5.1200000000e+02    4.8552822097e-02    5.9505615234e-01
        13   -1.7255721770e+01    2.9792451312e+02   -3.1025159781e+01    1.3769438011e+01    1.7255697912e+01   -5.7309487634e+01    2.0478666943e+00    6.9807632464e+00    5.1200000000e+02    4.8598019912e-02    5.9738769531e-01
        14   -1.7246687746e+01    2.9764380648e+02   -3.0963469370e+01    1.3716781624e+01    1.7183672478e+01   -5.6931186377e+01    1.8032812820e+00    6.9807632464e+00    5.1200000000e+02    4.8605023921e-02    5.9356689453e-01
        15   -1.7257105002e+01    2.9803044005e+02   -3.0608739741e+01    1.3351634739e+01    1.6845271290e+01   -5.6129137903e+01    1.6943636251e+00    6.9807632464e+00    5.1200000000e+02    4.8566628625e-02    5.9772949219e-01
        16   -1.7262973050e+01    2.9820043734e+02   -3.0876353698e+01    1.3613380648e+01    1.7262175840e+01   -5.7056244268e+01    1.9369514836e+00    6.9807632464e+00    5.1200000000e+02    4.8603343743e-02    5.9622802734e-01
        17   -1.7302134428e+01    2.9954528857e+02   -3.0487010924e+01    1.3184876497e+01    1.7140154811e+01   -5.6544722989e+01    1.9367940074e+00    6.9807632464e+00    5.1200000000e+02    4.8645237412e-02    5.9599609375e-01
        18   -1.7223658349e+01    2.9678606210e+02   -3.0558544233e+01    1.3334885884e+01    1.7149128176e+01   -5.6820604640e+01    2.1321689841e+00    6.9807632464e+00    5.1200000000e+02    4.8587314421e-02    6.0162353516e-01
        19   -1.7240753426e+01    2.9736783023e+02   -3.0644624413e+01    1.3403870987e+01    1.6946585558e+01   -5.6432328967e+01    1.8603557502e+00    6.9807632464e+00    5.1200000000e+02    4.8492935969e-02    5.9873046875e-01
        20   -1.7252090160e+01    2.9789302869e+02   -3.0746617991e+01    1.3494527831e+01    1.7106852566e+01   -5.6814248165e+01    1.9800143614e+00    6.9807632464e+00    5.1200000000e+02    4.8548883135e-02    5.9782714844e-01
        21   -1.7293787439e+01    2.9927568621e+02   -3.1913526076e+01    1.4619738636e+01    1.7091399161e+01   -5.7538032017e+01    1.5523435332e+00    6.9807632464e+00    5.1200000000e+02    4.8570317292e-02    5.9427490234e-01
        22   -1.7272782317e+01    2.9846650513e+02   -3.0464800276e+01    1.3192017959e+01    1.6921970733e+01   -5.6612076680e+01    2.2445424251e+00    6.9807632464e+00    5.1200000000e+02    4.8532756194e-02    6.0240478516e-01
        23   -1.7253600509e+01    2.9796946192e+02   -3.0794810932e+01    1.3541210422e+01    1.7088192163e+01   -5.6899025941e+01    2.0352595995e+00    6.9807632464e+00    5.1200000000e+02    4.8569654221e-02    5.9572753906e-01
        24   -1.7251800870e+01    2.9777753816e+02   -3.0748177049e+01    1.3496376178e+01    1.7025412989e+01   -5.6610003967e+01    1.8556506830e+00    6.9807632464e+00    5.1200000000e+02    4.8486182412e-02    5.9764404297e-01
        25   -1.7250916706e+01    2.9784941384e+02   -3.1018463483e+01    1.3767546777e+01    1.7173842691e+01   -5.6951254951e+01    1.7781855307e+00    6.9807632464e+00    5.1200000000e+02    4.8620729275e-02    5.9663085937e-01
        26   -1.7273516706e+01    2.9865747461e+02   -3.0879056889e+01    1.3605540183e+01    1.7323951619e+01   -5.7123201969e+01    1.9394302144e+00    6.9807632464e+00    5.1200000000e+02    4.8618199109e-02    5.9969482422e-01
        27   -1.7252310991e+01    2.9783538705e+02   -3.1132995969e+01    1.3880684978e+01    1.7081285027e+01   -5.7141691334e+01    1.9466470920e+00    6.9807632464e+00    5.1200000000e+02    4.8569348679e-02    5.9516601562e-01
        28   -1.7242015008e+01    2.9745149878e+02   -3.1122490383e+01    1.3880475375e+01    1.7132842605e+01   -5.6943208618e+01    1.7071123840e+00    6.9807632464e+00    5.1200000000e+02    4.8569356064e-02    5.9632568359e-01
        29   -1.7263284288e+01    2.9815546504e+02   -3.0785976171e+01    1.3522691883e+01    1.6944874567e+01   -5.6787798586e+01    2.0761846013e+00    6.9807632464e+00    5.1200000000e+02    4.8523556523e-02    5.9465332031e-01
        30   -1.7276374556e+01    2.9864833194e+02   -3.0600828871e+01    1.3324454315e+01    1.7030509861e+01   -5.6204625227e+01    1.5925232491e+00    6.9807632464e+00    5.1200000000e+02    4.8524385708e-02    5.9797363281e-01
        31   -1.7261685531e+01    2.9814783889e+02   -3.0587861732e+01    1.3326176201e+01    1.7161554772e+01   -5.6896772177e+01    2.1665924271e+00    6.9807632464e+00    5.1200000000e+02    4.8592151240e-02    5.9603271484e-01
        32   -1.7242441622e+01    2.9742301871e+02   -3.0612463959e+01    1.3370022337e+01    1.7039687598e+01   -5.6351788499e+01    1.7188736955e+00    6.9807632464e+00    5.1200000000e+02    4.8575487935e-02    5.9627685547e-01
        33   -1.7234791099e+01    2.9715246154e+02   -3.0927226702e+01    1.3692435603e+01    1.7236096151e+01   -5.7167645697e+01    2.0235595978e+00    6.9807632464e+00    5.1200000000e+02    4.8612448965e-02    5.9300537109e-01
        34   -1.7225020061e+01    2.9692418881e+02   -3.0823210173e+01    1.3598190113e+01    1.7087291498e+01   -5.6355032330e+01    1.4637674123e+00    6.9807632464e+00    5.1200000000e+02    4.8580757239e-02    5.9792480469e-01
        35   -1.7226148669e+01    2.9693245953e+02   -3.0732633058e+01    1.3506484389e+01    1.7145209054e+01   -5.6672925461e+01    1.8143201032e+00    6.9807632464e+00    5.1200000000e+02    4.8592124683e-02    5.9804687500e-01
        36   -1.7219761992e+01    2.9671540335e+02   -3.1469367043e+01    1.4249605050e+01    1.7360168185e+01   -5.7702354542e+01    1.8920560669e+00    6.9807632464e+00    5.1200000000e+02    4.8690556042e-02    5.9462890625e-01
        37   -1.7257994986e+01    2.9803535477e+02   -3.1361753634e+01    1.4103758648e+01    1.7296870516e+01   -5.7685710529e+01    2.0463231327e+00    6.9807632464e+00    5.1200000000e+02    4.8600716741e-02    5.9176025391e-01
        38   -1.7265668730e+01    2.9822777666e+02   -3.0823568972e+01    1.3557900242e+01    1.6960890614e+01   -5.6406042327e+01    1.6408194944e+00    6.9807632464e+00    5.1200000000e+02    4.8498631865e-02    5.9836425781e-01
        39   -1.7242281377e+01    2.9752368250e+02   -3.0736618249e+01    1.3494336872e+01    1.7014583842e+01   -5.6469491238e+01    1.7375259018e+00    6.9807632464e+00    5.1200000000e+02    4.8507148071e-02    5.9892578125e-01
        40   -1.7226768069e+01    2.9688638563e+02   -3.0670431336e+01    1.3443663267e+01    1.7191943751e+01   -5.6904782888e+01    2.0616445535e+00    6.9807632464e+00    5.1200000000e+02    4.8563759429e-02    5.9754638672e-01
        41   -1.7254735278e+01    2.9789820052e+02   -3.0919609771e+01    1.3664874493e+01    1.7174701543e+01   -5.6788226690e+01    1.7131521291e+00    6.9807632464e+00    5.1200000000e+02    4.8597115562e-02    5.9694824219e-01
        42   -1.7284958463e+01    2.9911307090e+02   -3.0871186145e+01    1.3586227682e+01    1.6910212965e+01   -5.6840603726e+01    2.0784413704e+00    6.9807632464e+00    5.1200000000e+02    4.8524021787e-02    5.9462890625e-01
        43   -1.7266892280e+01    2.9828784981e+02   -3.0871629472e+01    1.3604737192e+01    1.6989552694e+01   -5.6982374582e+01    2.1404291685e+00    6.9807632464e+00    5.1200000000e+02    4.8574955208e-02    5.9458007812e-01
        44   -1.7251125905e+01    2.9777211659e+02   -3.1022835271e+01    1.3771709366e+01    1.7140112643e+01   -5.7257248219e+01    2.1135370582e+00    6.9807632464e+00    5.1200000000e+02    4.8550996367e-02    5.9466552734e-01
        45   -1.7277556560e+01    2.9869117195e+02   -3.1135516218e+01    1.3857959658e+01    1.6926293834e+01   -5.6731797241e+01    1.6892239429e+00    6.9807632464e+00    5.1200000000e+02    4.8539429915e-02    5.9991455078e-01
        46   -1.7252109015e+01    2.9781143443e+02   -3.0790157569e+01    1.3538048554e+01    1.7133737159e+01   -5.6940521761e+01    2.0358637859e+00    6.9807632464e+00    5.1200000000e+02    4.8512735347e-02    5.9849853516e-01
        47   -1.7265787721e+01    2.9821829218e+02   -3.1054910348e+01    1.3789122626e+01    1.7144177858e+01   -5.7189159515e+01    2.0093080631e+00    6.9807632464e+00    5.1200000000e+02    4.8578781409e-02    5.9659423828e-01
        48   -1.7258164153e+01    2.9797079406e+02   -3.1151811345e+01    1.3893647193e+01    1.6937477413e+01   -5.6556358255e+01    1.4863062508e+00    6.9807632464e+00    5.1200000000e+02    4.8484255630e-02    5.9732666016e-01
