#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7232647826e+01    2.9721963266e+02   -3.0496219931e+01    1.3263572105e+01    1.6938941714e+01   -5.6577063852e+01    2.1611389602e+00    6.9807632464e+00    5.1200000000e+02    7.0482622075e-02    6.0130615234e-01
         1   -1.7301326933e+01    2.9967157146e+02   -3.0987171417e+01    1.3685844484e+01    1.6960389445e+01   -5.6742604168e+01    1.8142800600e+00    6.9807632464e+00    5.1200000000e+02    7.0545607205e-02    5.9885253906e-01
         2   -1.7241293648e+01    2.9744766447e+02   -3.0651669533e+01    1.3410375885e+01    1.7073322510e+01   -5.6520963120e+01    1.8152078310e+00    6.9807632464e+00    5.1200000000e+02    7.0569654746e-02    5.9924316406e-01
         3   -1.7195874181e+01    2.9589457655e+02   -3.0810486426e+01    1.3614612245e+01    1.6874735179e+01   -5.6605480943e+01    1.9394960907e+00    6.9807632464e+00    5.1200000000e+02    7.0612298889e-02    6.0073242187e-01
         4   -1.7188656370e+01    2.9566133009e+02   -3.1274710857e+01    1.4086054487e+01    1.7123051096e+01   -5.7136953952e+01    1.7584287527e+00    6.9807632464e+00    5.1200000000e+02    7.0534730811e-02    5.9952392578e-01
         5   -1.7217372322e+01    2.9666455187e+02   -3.0333483334e+01    1.3116111013e+01    1.7019444130e+01   -5.6325479285e+01    1.9917885746e+00    6.9807632464e+00    5.1200000000e+02    7.0598939612e-02    5.9965820312e-01
         6   -1.7266807534e+01    2.9836651511e+02   -3.0872864785e+01    1.3606057251e+01    1.7133669103e+01   -5.6833599031e+01    1.8463018961e+00    6.9807632464e+00    5.1200000000e+02    7.0584927119e-02    5.9952392578e-01
         7   -1.7251479893e+01    2.9777442259e+02   -3.0794686563e+01    1.3543206671e+01    1.7063962414e+01   -5.6804596352e+01    1.9651841279e+00    6.9807632464e+00    5.1200000000e+02    7.0608458076e-02    6.0078125000e-01
         8   -1.7262882840e+01    2.9820175072e+02   -3.0649420630e+01    1.3386537790e+01    1.7001960799e+01   -5.6309982325e+01    1.6778376498e+00    6.9807632464e+00    5.1200000000e+02    7.0524355166e-02    5.9729003906e-01
         9   -1.7242596026e+01    2.9748846796e+02   -3.0551945269e+01    1.3309349243e+01    1.6907083519e+01   -5.6163230432e+01    1.7234383978e+00    6.9807632464e+00    5.1200000000e+02    7.0550425635e-02    5.9958496094e-01
