#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7222868893e+01    2.9672284352e+02   -3.1040170577e+01    1.3817301685e+01    1.7023231443e+01   -5.6980769249e+01    1.9366039817e+00    6.9807632464e+00    5.1200000000e+02    6.9398114407e-02    5.9548339844e-01
         1   -1.7256573823e+01    2.9794714457e+02   -3.0386107417e+01    1.3129533594e+01    1.6812450648e+01   -5.6101854057e+01    1.9225327458e+00    6.9807632464e+00    5.1200000000e+02    6.9384015864e-02    5.9578857422e-01
         2   -1.7283589768e+01    2.9907694574e+02   -3.0494546709e+01    1.3210956942e+01    1.6958433527e+01   -5.6544146040e+01    2.1104025572e+00    6.9807632464e+00    5.1200000000e+02    6.9387336255e-02    5.9844970703e-01
         3   -1.7249347151e+01    2.9773248854e+02   -3.1401316055e+01    1.4151968904e+01    1.7010208949e+01   -5.7219408662e+01    1.8271204118e+00    6.9807632464e+00    5.1200000000e+02    6.9432347490e-02    5.9653320312e-01
         4   -1.7261440124e+01    2.9809540160e+02   -3.0768636687e+01    1.3507196563e+01    1.6774684663e+01   -5.6210454950e+01    1.6863703530e+00    6.9807632464e+00    5.1200000000e+02    6.9339080491e-02    5.9738769531e-01
         5   -1.7253904727e+01    2.9784484693e+02   -3.0716587741e+01    1.3462683015e+01    1.7066204812e+01   -5.7120427370e+01    2.3568715704e+00    6.9807632464e+00    5.1200000000e+02    6.9415867827e-02    5.9959716797e-01
         6   -1.7249058231e+01    2.9770514222e+02   -3.0596281689e+01    1.3347223458e+01    1.6873063115e+01   -5.6726351934e+01    2.2762438839e+00    6.9807632464e+00    5.1200000000e+02    6.9362940964e-02    5.9761962891e-01
         7   -1.7241603930e+01    2.9741297994e+02   -3.0588463988e+01    1.3346860059e+01    1.7200034834e+01   -5.6553079514e+01    1.7838174456e+00    6.9807632464e+00    5.1200000000e+02    6.9438739844e-02    5.9711914062e-01
         8   -1.7261474456e+01    2.9812916517e+02   -3.0405543773e+01    1.3144069317e+01    1.7100738909e+01   -5.6494624369e+01    2.0075784415e+00    6.9807632464e+00    5.1200000000e+02    6.9482585999e-02    5.9794921875e-01
         9   -1.7252913136e+01    2.9779660798e+02   -3.0485054551e+01    1.3232141415e+01    1.6686602906e+01   -5.5891756663e+01    1.7393359589e+00    6.9807632464e+00    5.1200000000e+02    6.9328780032e-02    5.9947509766e-01
        10   -1.7288980463e+01    2.9905125488e+02   -3.0587731030e+01    1.3298750567e+01    1.6955322332e+01   -5.6553208405e+01    2.0293917964e+00    6.9807632464e+00    5.1200000000e+02    6.9378997773e-02    5.9914550781e-01
        11   -1.7249465994e+01    2.9769123267e+02   -3.0909202740e+01    1.3659736746e+01    1.7108224554e+01   -5.7035020505e+01    2.0368299643e+00    6.9807632464e+00    5.1200000000e+02    6.9471393477e-02    5.9943847656e-01
        12   -1.7253236594e+01    2.9781670915e+02   -3.1051234103e+01    1.3797997509e+01    1.7249037881e+01   -5.7341616944e+01    2.0605817134e+00    6.9807632464e+00    5.1200000000e+02    6.9491800942e-02    5.9680175781e-01
        13   -1.7244762637e+01    2.9749678884e+02   -3.1342957412e+01    1.4098194775e+01    1.7187254015e+01   -5.7340385305e+01    1.8294106312e+00    6.9807632464e+00    5.1200000000e+02    6.9473133555e-02    5.9500732422e-01
        14   -1.7217443120e+01    2.9660885350e+02   -3.1310373270e+01    1.4092930150e+01    1.7126176413e+01   -5.7542057954e+01    2.1247450242e+00    6.9807632464e+00    5.1200000000e+02    6.9446752568e-02    5.9766845703e-01
        15   -1.7261038786e+01    2.9806630213e+02   -3.1017123536e+01    1.3756084749e+01    1.7109306121e+01   -5.7048551867e+01    1.9413589645e+00    6.9807632464e+00    5.1200000000e+02    6.9496003000e-02    5.9886474609e-01
        16   -1.7240331090e+01    2.9738321194e+02   -3.0823289463e+01    1.3582958373e+01    1.7106855464e+01   -5.6912548864e+01    2.0016406908e+00    6.9807632464e+00    5.1200000000e+02    6.9457840898e-02    5.9498291016e-01
        17   -1.7265814336e+01    2.9826175570e+02   -3.0467309291e+01    1.3201494954e+01    1.6984739205e+01   -5.6562496690e+01    2.1296849477e+00    6.9807632464e+00    5.1200000000e+02    6.9349972141e-02    5.9709472656e-01
