#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7273705465e+01    2.9861168387e+02   -3.0919070301e+01    1.3645364836e+01    1.6996106226e+01   -5.6675759964e+01    1.7798201903e+00    6.9807632464e+00    1.1897000000e+04    1.2599313619e+00    9.6401027178e-01
         1   -1.7276092561e+01    2.9872287884e+02   -3.0939041497e+01    1.3662948936e+01    1.7025185434e+01   -5.6879998187e+01    1.9350080092e+00    6.9807632464e+00    1.1735000000e+04    1.2313886084e+00    9.6382131815e-01
         2   -1.7267275904e+01    2.9840920722e+02   -3.0884896081e+01    1.3617620177e+01    1.7020090358e+01   -5.6549339184e+01    1.6635894986e+00    6.9807632464e+00    1.1497000000e+04    1.2371769787e+00    9.6463927593e-01
         3   -1.7269719351e+01    2.9846760344e+02   -3.1089695504e+01    1.3819976154e+01    1.7070710024e+01   -5.6892515741e+01    1.7513469665e+00    6.9807632464e+00    1.2127000000e+04    1.2355480034e+00    9.6382235548e-01
         4   -1.7263129599e+01    2.9825139574e+02   -3.0879177353e+01    1.3616047754e+01    1.6898506525e+01   -5.6638899989e+01    1.8804528641e+00    6.9807632464e+00    1.1527000000e+04    1.2228880713e+00    9.6326352597e-01
         5   -1.7253052010e+01    2.9795111295e+02   -3.1133549680e+01    1.3880497671e+01    1.7106161164e+01   -5.7039814765e+01    1.8193406742e+00    6.9807632464e+00    1.1962000000e+04    1.2699669772e+00    9.6263614856e-01
         6   -1.7254191766e+01    2.9798165698e+02   -3.0926602409e+01    1.3672410643e+01    1.6926897695e+01   -5.6591149844e+01    1.7568864936e+00    6.9807632464e+00    1.2061000000e+04    1.2402673734e+00    9.6443249026e-01
         7   -1.7264452085e+01    2.9828500419e+02   -3.0657333733e+01    1.3392881648e+01    1.6906179201e+01   -5.6279808003e+01    1.7355318224e+00    6.9807632464e+00    1.2232000000e+04    1.2099732347e+00    9.6627360881e-01
         8   -1.7266621191e+01    2.9840603956e+02   -3.0730690754e+01    1.3464069564e+01    1.7120591521e+01   -5.6699511274e+01    1.8674657518e+00    6.9807632464e+00    1.1927000000e+04    1.2424884247e+00    9.6375014743e-01
         9   -1.7259279506e+01    2.9807909818e+02   -3.0861531169e+01    1.3602251663e+01    1.7175579336e+01   -5.6841550505e+01    1.8236767534e+00    6.9807632464e+00    1.2082000000e+04    1.2321033369e+00    9.6424274818e-01
        10   -1.7281003349e+01    2.9895813114e+02   -3.0886234497e+01    1.3605231148e+01    1.6885446131e+01   -5.6503599519e+01    1.7511556451e+00    6.9807632464e+00    1.2253000000e+04    1.2423638903e+00    9.6381135702e-01
        11   -1.7275472670e+01    2.9901449272e+02   -3.1032769662e+01    1.3757296992e+01    1.7076317671e+01   -5.7102083685e+01    2.0122331053e+00    6.9807632464e+00    1.1924000000e+04    1.2234400544e+00    9.6383616441e-01
        12   -1.7252222540e+01    2.9787469845e+02   -3.1174579584e+01    1.3922357044e+01    1.7374503289e+01   -5.7387474161e+01    1.8576280416e+00    6.9807632464e+00    1.1697000000e+04    1.2332639916e+00    9.6419694103e-01
        13   -1.7255411155e+01    2.9797770199e+02   -3.1064030559e+01    1.3808619404e+01    1.7214390389e+01   -5.7016623192e+01    1.7574389978e+00    6.9807632464e+00    1.1589000000e+04    1.2331995453e+00    9.6433778078e-01
        14   -1.7267569187e+01    2.9841633282e+02   -3.0950224199e+01    1.3682655012e+01    1.7182479958e+01   -5.6812672268e+01    1.6992048651e+00    6.9807632464e+00    1.2212000000e+04    1.2252413541e+00    9.6366638485e-01
        15   -1.7248335584e+01    2.9777997982e+02   -3.0822880345e+01    1.3574544761e+01    1.7026780372e+01   -5.6574906397e+01    1.7444824336e+00    6.9807632464e+00    1.1962000000e+04    1.2380332019e+00    9.6457589515e-01
        16   -1.7260456186e+01    2.9814867957e+02   -3.1058639966e+01    1.3798183780e+01    1.6992142309e+01   -5.6967092757e+01    1.9355472349e+00    6.9807632464e+00    1.1917000000e+04    1.2147861972e+00    9.6475827462e-01
        17   -1.7251995638e+01    2.9787359426e+02   -3.0893624349e+01    1.3641628711e+01    1.7181527262e+01   -5.6849195128e+01    1.7932802712e+00    6.9807632464e+00    1.1797000000e+04    1.2291161312e+00    9.6406486791e-01
        18   -1.7276640655e+01    2.9873255653e+02   -3.0988530728e+01    1.3711890073e+01    1.7278590074e+01   -5.7039231402e+01    1.7913473534e+00    6.9807632464e+00    1.2121000000e+04    1.2641596022e+00    9.6519198982e-01
        19   -1.7264726867e+01    2.9837564339e+02   -3.1060941692e+01    1.3796214825e+01    1.7127365671e+01   -5.6931783825e+01    1.7627132163e+00    6.9807632464e+00    1.1627000000e+04    1.2156378059e+00    9.6476067199e-01
        20   -1.7266447723e+01    2.9838865086e+02   -3.0959894933e+01    1.3693447211e+01    1.6891952902e+01   -5.6493088426e+01    1.6604773441e+00    6.9807632464e+00    1.1865000000e+04    1.2262049672e+00    9.6394013148e-01
        21   -1.7257485021e+01    2.9807205360e+02   -3.0901776668e+01    1.3644291648e+01    1.7117994472e+01   -5.6859554735e+01    1.8590203483e+00    6.9807632464e+00    1.1828000000e+04    1.2327429219e+00    9.6419884580e-01
        22   -1.7253479443e+01    2.9791322962e+02   -3.0981804168e+01    1.3728324725e+01    1.7041598976e+01   -5.6918985289e+01    1.9148188983e+00    6.9807632464e+00    1.1390000000e+04    1.2298663119e+00    9.6408863770e-01
        23   -1.7261302418e+01    2.9823781849e+02   -3.0817485741e+01    1.3556183323e+01    1.6959226806e+01   -5.6565420397e+01    1.8079446033e+00    6.9807632464e+00    1.1972000000e+04    1.2272504688e+00    9.6473930224e-01
        24   -1.7270106742e+01    2.9849232634e+02   -3.0979790725e+01    1.3709683983e+01    1.7058641743e+01   -5.6896121950e+01    1.8769262354e+00    6.9807632464e+00    1.2112000000e+04    1.2202149028e+00    9.6461438654e-01
        25   -1.7275448271e+01    2.9870967577e+02   -3.1294071076e+01    1.4018622805e+01    1.7257015203e+01   -5.7319359392e+01    1.7875098660e+00    6.9807632464e+00    1.2155000000e+04    1.2395516309e+00    9.6411673255e-01
        26   -1.7242422432e+01    2.9752423734e+02   -3.0997451328e+01    1.3755028896e+01    1.7060059526e+01   -5.6813615409e+01    1.7753413084e+00    6.9807632464e+00    1.1542000000e+04    1.2216071747e+00    9.6385837833e-01
        27   -1.7262505950e+01    2.9826552242e+02   -3.0951489822e+01    1.3688983873e+01    1.6990198778e+01   -5.6647610253e+01    1.7251584059e+00    6.9807632464e+00    1.2372000000e+04    1.2657582006e+00    9.6415766114e-01
        28   -1.7263446026e+01    2.9828428842e+02   -3.0777126027e+01    1.3513680001e+01    1.7097715009e+01   -5.6712715249e+01    1.8571109675e+00    6.9807632464e+00    1.2280000000e+04    1.2524250931e+00    9.6427062745e-01
        29   -1.7255820690e+01    2.9799454275e+02   -3.1365532314e+01    1.4109711624e+01    1.7269689708e+01   -5.7422266958e+01    1.8062816900e+00    6.9807632464e+00    1.2023000000e+04    1.2406901384e+00    9.6392229928e-01
        30   -1.7240736624e+01    2.9747351090e+02   -3.0984057118e+01    1.3743320495e+01    1.6949987773e+01   -5.6744897300e+01    1.8300891616e+00    6.9807632464e+00    1.1437000000e+04    1.2262764319e+00    9.6496402090e-01
        31   -1.7255224573e+01    2.9801654889e+02   -3.1000281569e+01    1.3745056996e+01    1.7151840500e+01   -5.6879856783e+01    1.7469714671e+00    6.9807632464e+00    1.1904000000e+04    1.2380471594e+00    9.6333116661e-01
        32   -1.7266491319e+01    2.9841458765e+02   -3.1312785882e+01    1.4046294563e+01    1.7207952788e+01   -5.7348274036e+01    1.8467721192e+00    6.9807632464e+00    1.1898000000e+04    1.2546715687e+00    9.6349798638e-01
        33   -1.7270325733e+01    2.9847675129e+02   -3.1108523710e+01    1.3838197978e+01    1.7060319003e+01   -5.7014297840e+01    1.8646918805e+00    6.9807632464e+00    1.2373000000e+04    1.2595103016e+00    9.6375442766e-01
        34   -1.7263142053e+01    2.9826588937e+02   -3.1064076601e+01    1.3800934548e+01    1.6901811790e+01   -5.6787793932e+01    1.8411422952e+00    6.9807632464e+00    1.2058000000e+04    1.2187909981e+00    9.6354271758e-01
        35   -1.7266484505e+01    2.9839643503e+02   -3.0826471359e+01    1.3559986854e+01    1.7024790132e+01   -5.6678305368e+01    1.8462806304e+00    6.9807632464e+00    1.2126000000e+04    1.2296640916e+00    9.6486318467e-01
