#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7266134431e+01    2.9836423842e+02   -3.0976217058e+01    1.3710082628e+01    1.7084963277e+01   -5.6814258197e+01    1.7723146159e+00    6.9807632464e+00    7.4834000000e+04    1.0491926539e+00    9.5403470036e-01
         1   -1.7264743284e+01    2.9832270912e+02   -3.0996329322e+01    1.3731586038e+01    1.7099826631e+01   -5.6863639056e+01    1.7867198570e+00    6.9807632464e+00    7.1587000000e+04    9.6000424570e-01    9.5396859703e-01
         2   -1.7267169550e+01    2.9839177456e+02   -3.1067966641e+01    1.3800797092e+01    1.7129362442e+01   -5.6999834302e+01    1.8217419726e+00    6.9807632464e+00    7.2019000000e+04    9.5556842363e-01    9.5344939507e-01
         3   -1.7264415413e+01    2.9830216574e+02   -3.0951694081e+01    1.3687278668e+01    1.7011189879e+01   -5.6717762104e+01    1.7741148970e+00    6.9807632464e+00    7.1432000000e+04    9.4394471227e-01    9.5341540428e-01
         4   -1.7269266871e+01    2.9849426291e+02   -3.1070365479e+01    1.3801098608e+01    1.7129021674e+01   -5.6945141687e+01    1.7649912882e+00    6.9807632464e+00    7.1540000000e+04    9.5733158613e-01    9.5309635567e-01
         5   -1.7266120994e+01    2.9839556787e+02   -3.1043991454e+01    1.3777870460e+01    1.7116282545e+01   -5.6917792518e+01    1.7767552728e+00    6.9807632464e+00    7.2156000000e+04    9.5971203289e-01    9.5365060407e-01
         6   -1.7268509485e+01    2.9843961417e+02   -3.1005894269e+01    1.3737384783e+01    1.7115115984e+01   -5.6877494784e+01    1.7757212847e+00    6.9807632464e+00    7.1179000000e+04    9.6027670348e-01    9.5335093905e-01
         7   -1.7265648625e+01    2.9836699037e+02   -3.0866996740e+01    1.3601348115e+01    1.7085046469e+01   -5.6713581472e+01    1.7807750155e+00    6.9807632464e+00    7.2119000000e+04    9.5207269426e-01    9.5434017809e-01
         8   -1.7263986256e+01    2.9829664522e+02   -3.0911391744e+01    1.3647405488e+01    1.7068481163e+01   -5.6767780823e+01    1.8071446690e+00    6.9807632464e+00    7.2811000000e+04    9.5183956367e-01    9.5410735010e-01
         9   -1.7263282834e+01    2.9827675183e+02   -3.1046274043e+01    1.3782991209e+01    1.7101029839e+01   -5.6945655883e+01    1.8175887538e+00    6.9807632464e+00    7.2089000000e+04    9.5083686684e-01    9.5390779963e-01
        10   -1.7261042067e+01    2.9819422792e+02   -3.0918135497e+01    1.3657093430e+01    1.7086378855e+01   -5.6738884059e+01    1.7536064607e+00    6.9807632464e+00    7.2918000000e+04    9.8719840664e-01    9.5377446410e-01
        11   -1.7265830827e+01    2.9836148399e+02   -3.0943244916e+01    1.3677414089e+01    1.7018522258e+01   -5.6714211820e+01    1.7716813993e+00    6.9807632464e+00    7.2177000000e+04    9.5163598023e-01    9.5334364327e-01
        12   -1.7264768690e+01    2.9833006256e+02   -3.0862764126e+01    1.3597995436e+01    1.7043343534e+01   -5.6652851941e+01    1.7659810339e+00    6.9807632464e+00    7.2324000000e+04    9.6113418352e-01    9.5457252237e-01
        13   -1.7261215802e+01    2.9818565027e+02   -3.0872905120e+01    1.3611689318e+01    1.7045850790e+01   -5.6693945488e+01    1.7944263316e+00    6.9807632464e+00    7.1362000000e+04    9.4980600613e-01    9.5396285449e-01
        14   -1.7263954070e+01    2.9829337222e+02   -3.0968162348e+01    1.3704208278e+01    1.7076978060e+01   -5.6855785906e+01    1.8298822518e+00    6.9807632464e+00    7.1078000000e+04    9.5218736973e-01    9.5347364498e-01
        15   -1.7268743973e+01    2.9845610328e+02   -3.0973198215e+01    1.3704454243e+01    1.7061302283e+01   -5.6792578119e+01    1.7773143739e+00    6.9807632464e+00    7.1595000000e+04    9.5433112211e-01    9.5370085712e-01
        16   -1.7269752850e+01    2.9850120751e+02   -3.0940859829e+01    1.3671106979e+01    1.7071229104e+01   -5.6775284571e+01    1.7824323923e+00    6.9807632464e+00    7.1588000000e+04    9.4822130184e-01    9.5358140284e-01
        17   -1.7269710866e+01    2.9849288225e+02   -3.0997164854e+01    1.3727453988e+01    1.7118433160e+01   -5.6898027454e+01    1.8016661934e+00    6.9807632464e+00    7.1347000000e+04    9.4933090816e-01    9.5373314953e-01
        18   -1.7267453292e+01    2.9840918695e+02   -3.1030090185e+01    1.3762636893e+01    1.7102886284e+01   -5.6879523055e+01    1.7657833399e+00    6.9807632464e+00    7.1743000000e+04    9.5737373578e-01    9.5361117304e-01
        19   -1.7264828895e+01    2.9832816930e+02   -3.1114677845e+01    1.3849848950e+01    1.7199220612e+01   -5.7115386749e+01    1.8207250459e+00    6.9807632464e+00    7.2544000000e+04    9.5849255789e-01    9.5319519861e-01
        20   -1.7263199365e+01    2.9829896306e+02   -3.1119893648e+01    1.3856694283e+01    1.7184961830e+01   -5.7043524245e+01    1.7579055211e+00    6.9807632464e+00    7.0851000000e+04    9.6099028383e-01    9.5415732660e-01
        21   -1.7264165730e+01    2.9830199541e+02   -3.1002869028e+01    1.3738703297e+01    1.7083223709e+01   -5.6873140582e+01    1.8062845986e+00    6.9807632464e+00    7.1364000000e+04    9.5797709746e-01    9.5314451081e-01
        22   -1.7265942419e+01    2.9836571414e+02   -3.1142153533e+01    1.3876211114e+01    1.7124721946e+01   -5.7027870634e+01    1.7802319082e+00    6.9807632464e+00    7.1292000000e+04    9.5515073086e-01    9.5323815297e-01
        23   -1.7265711007e+01    2.9833859495e+02   -3.0824260610e+01    1.3558549603e+01    1.7000549022e+01   -5.6598745016e+01    1.7931721366e+00    6.9807632464e+00    7.1509000000e+04    9.4154947883e-01    9.5417989556e-01
        24   -1.7262446631e+01    2.9831481944e+02   -3.1095921226e+01    1.3833474595e+01    1.7131164176e+01   -5.6970385582e+01    1.7625369332e+00    6.9807632464e+00    7.2163000000e+04    9.5835719156e-01    9.5363254073e-01
        25   -1.7266934222e+01    2.9840422406e+02   -3.0960381857e+01    1.3693447635e+01    1.7031674155e+01   -5.6738787461e+01    1.7659682016e+00    6.9807632464e+00    7.2346000000e+04    9.5979012781e-01    9.5371702390e-01
        26   -1.7264492540e+01    2.9829945360e+02   -3.1013545467e+01    1.3749052927e+01    1.7054385589e+01   -5.6862529174e+01    1.8138348714e+00    6.9807632464e+00    7.2390000000e+04    9.5003237746e-01    9.5388415255e-01
        27   -1.7262638667e+01    2.9824192360e+02   -3.0958442633e+01    1.3695803966e+01    1.7102239936e+01   -5.6832354829e+01    1.7909090127e+00    6.9807632464e+00    7.1407000000e+04    9.5668401391e-01    9.5374169186e-01
        28   -1.7264051195e+01    2.9830837202e+02   -3.0996738451e+01    1.3732687256e+01    1.7034890451e+01   -5.6762928557e+01    1.7505364083e+00    6.9807632464e+00    7.1847000000e+04    9.4751894426e-01    9.5337976767e-01
        29   -1.7266636812e+01    2.9838624698e+02   -3.0944253178e+01    1.3677616365e+01    1.7039419250e+01   -5.6773595843e+01    1.8091601695e+00    6.9807632464e+00    7.2027000000e+04    9.5946509926e-01    9.5379530225e-01
        30   -1.7270450840e+01    2.9851194374e+02   -3.1099381402e+01    1.3828930562e+01    1.7089030416e+01   -5.6937586458e+01    1.7684113928e+00    6.9807632464e+00    7.1116000000e+04    9.5277919578e-01    9.5347700477e-01
        31   -1.7264578521e+01    2.9831870005e+02   -3.0990138260e+01    1.3725559738e+01    1.7097338276e+01   -5.6899220066e+01    1.8309802841e+00    6.9807632464e+00    7.2450000000e+04    9.5574933461e-01    9.5400320861e-01
        32   -1.7268214826e+01    2.9852314629e+02   -3.0985385723e+01    1.3717170897e+01    1.7086754343e+01   -5.6800217979e+01    1.7473146665e+00    6.9807632464e+00    7.1669000000e+04    9.5968473203e-01    9.5374798852e-01
        33   -1.7267505874e+01    2.9841511464e+02   -3.0927900193e+01    1.3660394319e+01    1.7055221081e+01   -5.6774513447e+01    1.8106289265e+00    6.9807632464e+00    7.2611000000e+04    9.6792608457e-01    9.5363791961e-01
        34   -1.7265291834e+01    2.9835607442e+02   -3.0836503464e+01    1.3571211630e+01    1.7042893316e+01   -5.6640361308e+01    1.7802012819e+00    6.9807632464e+00    7.1428000000e+04    9.5724568258e-01    9.5352409178e-01
        35   -1.7264323990e+01    2.9832072500e+02   -3.0997293270e+01    1.3732969279e+01    1.7101467496e+01   -5.6842293922e+01    1.7627699105e+00    6.9807632464e+00    7.2195000000e+04    9.5193962059e-01    9.5313375343e-01
        36   -1.7268022082e+01    2.9844117340e+02   -3.1004938007e+01    1.3736915924e+01    1.7082300205e+01   -5.6839401299e+01    1.7713998406e+00    6.9807632464e+00    7.1001000000e+04    9.6387332320e-01    9.5384597563e-01
