#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7243118020e+01    2.9749600840e+02   -3.0857701428e+01    1.3614583408e+01    1.7160023896e+01   -5.7009611570e+01    2.0111229999e+00    6.9807632464e+00    5.1200000000e+02    3.2835828958e-02    5.9343261719e-01
         1   -1.7246585921e+01    2.9766787523e+02   -3.0765612516e+01    1.3519026595e+01    1.7006546830e+01   -5.6883926814e+01    2.1310042218e+00    6.9807632464e+00    5.1200000000e+02    3.2812880161e-02    5.9613037109e-01
         2   -1.7275064054e+01    2.9889996628e+02   -3.0797182355e+01    1.3522118301e+01    1.7051858592e+01   -5.7195842977e+01    2.3660387828e+00    6.9807632464e+00    5.1200000000e+02    3.2804982007e-02    6.0018310547e-01
         3   -1.7259920979e+01    2.9810569168e+02   -3.0631152237e+01    1.3371231259e+01    1.7104823565e+01   -5.6430357226e+01    1.7136181775e+00    6.9807632464e+00    5.1200000000e+02    3.2827255215e-02    5.9921875000e-01
         4   -1.7229924319e+01    2.9704714216e+02   -3.0727096835e+01    1.3497172516e+01    1.6993876332e+01   -5.6696024269e+01    1.9942878559e+00    6.9807632464e+00    5.1200000000e+02    3.2774993691e-02    5.9793701172e-01
         5   -1.7250863931e+01    2.9782559241e+02   -3.1359781637e+01    1.4108917706e+01    1.7171918801e+01   -5.7418619841e+01    1.9061561566e+00    6.9807632464e+00    5.1200000000e+02    3.2825975913e-02    6.0050048828e-01
         6   -1.7262906055e+01    2.9817640715e+02   -3.0565874050e+01    1.3302967995e+01    1.6938369527e+01   -5.6485333372e+01    2.0003265480e+00    6.9807632464e+00    5.1200000000e+02    3.2815328652e-02    6.0048828125e-01
         7   -1.7261477576e+01    2.9815997629e+02   -3.0966576065e+01    1.3705098489e+01    1.7178883922e+01   -5.6839254116e+01    1.7130308824e+00    6.9807632464e+00    5.1200000000e+02    3.2867529375e-02    5.9826660156e-01
         8   -1.7243526458e+01    2.9751045114e+02   -3.0704892827e+01    1.3461366370e+01    1.6976206227e+01   -5.6753866063e+01    2.0920037619e+00    6.9807632464e+00    5.1200000000e+02    3.2848946057e-02    6.0100097656e-01
         9   -1.7250087900e+01    2.9776966121e+02   -3.0871475353e+01    1.3621387452e+01    1.7181865965e+01   -5.6818213882e+01    1.7841093183e+00    6.9807632464e+00    5.1200000000e+02    3.2840145212e-02    5.9630126953e-01
        10   -1.7256361255e+01    2.9803163798e+02   -3.0981707076e+01    1.3725345821e+01    1.7306769941e+01   -5.7129518044e+01    1.8602777796e+00    6.9807632464e+00    5.1200000000e+02    3.2870041902e-02    6.0007324219e-01
        11   -1.7218461569e+01    2.9670617136e+02   -3.0819459970e+01    1.3600998400e+01    1.7034776098e+01   -5.6894219579e+01    2.0592202657e+00    6.9807632464e+00    5.1200000000e+02    3.2794538889e-02    5.9605712891e-01
        12   -1.7233405647e+01    2.9718358756e+02   -3.1149473620e+01    1.3916067973e+01    1.7233172353e+01   -5.7203614594e+01    1.8402053742e+00    6.9807632464e+00    5.1200000000e+02    3.2862948120e-02    5.9613037109e-01
        13   -1.7250815853e+01    2.9775558635e+02   -3.1202519183e+01    1.3951703330e+01    1.6852549332e+01   -5.6674898514e+01    1.6390667527e+00    6.9807632464e+00    5.1200000000e+02    3.2786700527e-02    5.9582519531e-01
        14   -1.7262755202e+01    2.9828824262e+02   -3.0783238950e+01    1.3520483748e+01    1.6885396730e+01   -5.6314166020e+01    1.6647670927e+00    6.9807632464e+00    5.1200000000e+02    3.2804475298e-02    5.9754638672e-01
        15   -1.7243161744e+01    2.9744691527e+02   -3.0815537463e+01    1.3572375719e+01    1.7052836579e+01   -5.6663373840e+01    1.8142365516e+00    6.9807632464e+00    5.1200000000e+02    3.2847786191e-02    6.0083007812e-01
        16   -1.7246203397e+01    2.9764322362e+02   -3.0808337967e+01    1.3562134569e+01    1.7125205644e+01   -5.7190253096e+01    2.2759462386e+00    6.9807632464e+00    5.1200000000e+02    3.2816338042e-02    6.0069580078e-01
        17   -1.7264897490e+01    2.9825004425e+02   -3.0917756016e+01    1.3652858527e+01    1.6977683247e+01   -5.6444312337e+01    1.5681098277e+00    6.9807632464e+00    5.1200000000e+02    3.2805109348e-02    5.9738769531e-01
        18   -1.7272033473e+01    2.9854362581e+02   -3.0821279310e+01    1.3549245837e+01    1.7070968277e+01   -5.6631597239e+01    1.7585864061e+00    6.9807632464e+00    5.1200000000e+02    3.2834269048e-02    5.9685058594e-01
        19   -1.7260182376e+01    2.9814372523e+02   -3.0729990184e+01    1.3469807808e+01    1.7052985566e+01   -5.6975090788e+01    2.2113517918e+00    6.9807632464e+00    5.1200000000e+02    3.2815852375e-02    5.9953613281e-01
