#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7158563113e+01    2.9480959978e+02   -3.1574319816e+01    1.4415756703e+01    1.7329554102e+01   -5.7634990281e+01    1.7503531158e+00    6.9807632464e+00    5.1200000000e+02    1.7227712129e-02    5.9166259766e-01
         1   -1.7222611083e+01    2.9695847152e+02   -3.1039000293e+01    1.3816389211e+01    1.7311784978e+01   -5.7518595339e+01    2.1870468215e+00    6.9807632464e+00    5.1200000000e+02    1.7192829329e-02    5.9310302734e-01
         2   -1.7249466675e+01    2.9788041312e+02   -3.0637572447e+01    1.3388105772e+01    1.7213254879e+01   -5.6865401535e+01    2.0338109636e+00    6.9807632464e+00    5.1200000000e+02    1.7215893289e-02    5.9335937500e-01
         3   -1.7244760694e+01    2.9767309468e+02   -3.1174112566e+01    1.3929351871e+01    1.7188115062e+01   -5.7399809057e+01    2.0568181820e+00    6.9807632464e+00    5.1200000000e+02    1.7177951826e-02    5.9139404297e-01
         4   -1.7193384024e+01    2.9591461092e+02   -3.0846624632e+01    1.3653240607e+01    1.7384306732e+01   -5.7433992302e+01    2.2222976918e+00    6.9807632464e+00    5.1200000000e+02    1.7197111658e-02    5.9385986328e-01
         5   -1.7200564566e+01    2.9625484288e+02   -3.0988292382e+01    1.3787727815e+01    1.7305752456e+01   -5.7188065652e+01    1.9132575674e+00    6.9807632464e+00    5.1200000000e+02    1.7212214731e-02    5.9283447266e-01
         6   -1.7249336552e+01    2.9787097543e+02   -3.1101233506e+01    1.3851896954e+01    1.7238165962e+01   -5.7271045629e+01    1.9508829145e+00    6.9807632464e+00    5.1200000000e+02    1.7221757886e-02    5.9488525391e-01
         7   -1.7223923017e+01    2.9692302692e+02   -3.1027939789e+01    1.3804016771e+01    1.7260643963e+01   -5.7221543029e+01    1.9521960310e+00    6.9807632464e+00    5.1200000000e+02    1.7240779021e-02    5.9796142578e-01
         8   -1.7238727602e+01    2.9750302767e+02   -3.0294533044e+01    1.3055805442e+01    1.7220860114e+01   -5.7052310429e+01    2.5561540240e+00    6.9807632464e+00    5.1200000000e+02    1.7187394309e-02    5.9577636719e-01
         9   -1.7231304214e+01    2.9724298282e+02   -3.0794673250e+01    1.3563369035e+01    1.7346169231e+01   -5.7064726323e+01    1.9431205955e+00    6.9807632464e+00    5.1200000000e+02    1.7224076780e-02    5.9378662109e-01
        10   -1.7200783235e+01    2.9627142971e+02   -3.1985445933e+01    1.4784662698e+01    1.7492389144e+01   -5.8741552018e+01    2.2829536950e+00    6.9807632464e+00    5.1200000000e+02    1.7227614573e-02    5.9472656250e-01
        11   -1.7217711559e+01    2.9674754977e+02   -3.0997610952e+01    1.3779899393e+01    1.7115279302e+01   -5.7070069590e+01    1.9764160898e+00    6.9807632464e+00    5.1200000000e+02    1.7169456672e-02    5.9500732422e-01
        12   -1.7260692463e+01    2.9824918747e+02   -3.0904688058e+01    1.3643995595e+01    1.6906984801e+01   -5.6633338945e+01    1.8409028399e+00    6.9807632464e+00    5.1200000000e+02    1.7190532166e-02    5.9875488281e-01
        13   -1.7226770767e+01    2.9706728872e+02   -3.0981345497e+01    1.3754574731e+01    1.7045610492e+01   -5.6658364913e+01    1.6506456768e+00    6.9807632464e+00    5.1200000000e+02    1.7194287278e-02    5.9958496094e-01
        14   -1.7203471501e+01    2.9625770406e+02   -3.0636667727e+01    1.3433196226e+01    1.7102655814e+01   -5.6583147384e+01    1.8630605966e+00    6.9807632464e+00    5.1200000000e+02    1.7173679546e-02    5.9637451172e-01
        15   -1.7201560184e+01    2.9623100416e+02   -3.1086304877e+01    1.3884744693e+01    1.7250924103e+01   -5.7074588979e+01    1.7565967527e+00    6.9807632464e+00    5.1200000000e+02    1.7194020652e-02    5.9565429687e-01
        16   -1.7252239001e+01    2.9806512406e+02   -3.0586255435e+01    1.3334016435e+01    1.7318475687e+01   -5.7038216914e+01    2.1527225455e+00    6.9807632464e+00    5.1200000000e+02    1.7210561990e-02    5.9533691406e-01
        17   -1.7262867864e+01    2.9833307114e+02   -3.0700758519e+01    1.3437890656e+01    1.7281923762e+01   -5.7297685394e+01    2.3342398667e+00    6.9807632464e+00    5.1200000000e+02    1.7197778286e-02    5.9135742187e-01
        18   -1.7198441012e+01    2.9620109434e+02   -3.0454858747e+01    1.3256417735e+01    1.7010858797e+01   -5.6524016103e+01    2.0775353119e+00    6.9807632464e+00    5.1200000000e+02    1.7179659568e-02    5.9631347656e-01
        19   -1.7273928074e+01    2.9866249829e+02   -3.1384851780e+01    1.4110923706e+01    1.7282231398e+01   -5.7871365881e+01    2.2235194576e+00    6.9807632464e+00    5.1200000000e+02    1.7216708687e-02    5.9647216797e-01
        20   -1.7248137585e+01    2.9784271651e+02   -3.0712523967e+01    1.3464386382e+01    1.7268952581e+01   -5.7019035345e+01    2.0567955504e+00    6.9807632464e+00    5.1200000000e+02    1.7220982588e-02    5.9732666016e-01
        21   -1.7223864621e+01    2.9715215605e+02   -3.0923562950e+01    1.3699698329e+01    1.7092692066e+01   -5.6678686823e+01    1.6816685606e+00    6.9807632464e+00    5.1200000000e+02    1.7180693479e-02    5.9321289062e-01
        22   -1.7193157957e+01    2.9595683961e+02   -3.1230859150e+01    1.4037701192e+01    1.7152742722e+01   -5.7152535536e+01    1.7881704184e+00    6.9807632464e+00    5.1200000000e+02    1.7195421624e-02    5.9685058594e-01
        23   -1.7246821383e+01    2.9775733902e+02   -3.0277322049e+01    1.3030500666e+01    1.6998721269e+01   -5.6375216780e+01    2.1184102153e+00    6.9807632464e+00    5.1200000000e+02    1.7203475781e-02    5.9642333984e-01
        24   -1.7195678836e+01    2.9612537386e+02   -3.0687123416e+01    1.3491444580e+01    1.7165845679e+01   -5.6672522528e+01    1.8387901868e+00    6.9807632464e+00    5.1200000000e+02    1.7146548489e-02    5.9621582031e-01
        25   -1.7227797482e+01    2.9710685677e+02   -3.0812668817e+01    1.3584871336e+01    1.7475846798e+01   -5.7242328584e+01    1.9730497221e+00    6.9807632464e+00    5.1200000000e+02    1.7231339678e-02    5.9837646484e-01
        26   -1.7211935274e+01    2.9665916228e+02   -3.1417472034e+01    1.4205536760e+01    1.7128024221e+01   -5.7261848976e+01    1.7355894745e+00    6.9807632464e+00    5.1200000000e+02    1.7172215063e-02    5.9343261719e-01
        27   -1.7261376383e+01    2.9824243317e+02   -3.1134088948e+01    1.3872712565e+01    1.7127724803e+01   -5.6993120856e+01    1.7505438588e+00    6.9807632464e+00    5.1200000000e+02    1.7178924561e-02    5.9313964844e-01
        28   -1.7266205426e+01    2.9856491048e+02   -3.0995100740e+01    1.3728895314e+01    1.7039718704e+01   -5.6704418623e+01    1.6888359334e+00    6.9807632464e+00    5.1200000000e+02    1.7197607512e-02    5.9471435547e-01
        29   -1.7231280487e+01    2.9726394805e+02   -3.1270709057e+01    1.4039428570e+01    1.7275960909e+01   -5.7311037704e+01    1.7836044920e+00    6.9807632464e+00    5.1200000000e+02    1.7231478337e-02    5.9754638672e-01
        30   -1.7242576360e+01    2.9764526858e+02   -3.0508015224e+01    1.3265438864e+01    1.7071113069e+01   -5.6439722048e+01    1.8798305086e+00    6.9807632464e+00    5.1200000000e+02    1.7193791863e-02    5.9453125000e-01
        31   -1.7218369543e+01    2.9674532799e+02   -3.0667681349e+01    1.3449311805e+01    1.7224905896e+01   -5.6757912840e+01    1.8845623486e+00    6.9807632464e+00    5.1200000000e+02    1.7203879988e-02    5.9359130859e-01
        32   -1.7271225916e+01    2.9868351049e+02   -3.0766057815e+01    1.3494831899e+01    1.7236392738e+01   -5.7267312410e+01    2.2840986116e+00    6.9807632464e+00    5.1200000000e+02    1.7213539094e-02    5.9493408203e-01
        33   -1.7277526265e+01    2.9951177117e+02   -3.1191246555e+01    1.3913720290e+01    1.6868749507e+01   -5.6788259976e+01    1.7475006676e+00    6.9807632464e+00    5.1200000000e+02    1.7176308281e-02    5.9427490234e-01
        34   -1.7195169233e+01    2.9610133055e+02   -3.0845606073e+01    1.3650436840e+01    1.7316354895e+01   -5.6906494066e+01    1.7637698520e+00    6.9807632464e+00    5.1200000000e+02    1.7172250029e-02    5.9539794922e-01
        35   -1.7258612334e+01    2.9820395701e+02   -3.0860818973e+01    1.3602206639e+01    1.7304819765e+01   -5.7156843844e+01    2.0104418591e+00    6.9807632464e+00    5.1200000000e+02    1.7232781301e-02    5.9626464844e-01
        36   -1.7236935485e+01    2.9743231066e+02   -3.0782284913e+01    1.3545349428e+01    1.7156202046e+01   -5.7216201493e+01    2.2969512884e+00    6.9807632464e+00    5.1200000000e+02    1.7189911863e-02    5.9156494141e-01
        37   -1.7210145780e+01    2.9648881879e+02   -3.0749251024e+01    1.3539105243e+01    1.7335358431e+01   -5.7023531386e+01    1.9581586846e+00    6.9807632464e+00    5.1200000000e+02    1.7199300730e-02    5.9454345703e-01
        38   -1.7197630487e+01    2.9612586707e+02   -3.0303146340e+01    1.3105515853e+01    1.7336514618e+01   -5.6607776770e+01    1.9873525660e+00    6.9807632464e+00    5.1200000000e+02    1.7191705110e-02    5.9326171875e-01
        39   -1.7214511229e+01    2.9665530835e+02   -3.1009258816e+01    1.3794747588e+01    1.7305467010e+01   -5.7040354666e+01    1.7448655936e+00    6.9807632464e+00    5.1200000000e+02    1.7224315476e-02    5.9533691406e-01
        40   -1.7279711232e+01    2.9889639075e+02   -3.0816118481e+01    1.3536407249e+01    1.7227866397e+01   -5.6847189400e+01    1.8224412750e+00    6.9807632464e+00    5.1200000000e+02    1.7199656821e-02    5.9510498047e-01
        41   -1.7200563047e+01    2.9613828575e+02   -3.0676214366e+01    1.3475651319e+01    1.7083197225e+01   -5.6568827717e+01    1.8286528796e+00    6.9807632464e+00    5.1200000000e+02    1.7173823943e-02    5.9814453125e-01
        42   -1.7274777867e+01    2.9879009160e+02   -3.0940896763e+01    1.3666118896e+01    1.7042252189e+01   -5.6867229126e+01    1.9033169283e+00    6.9807632464e+00    5.1200000000e+02    1.7184624778e-02    5.9671630859e-01
        43   -1.7223513335e+01    2.9701642831e+02   -3.0862986818e+01    1.3639473484e+01    1.7091163141e+01   -5.6659891563e+01    1.7249783572e+00    6.9807632464e+00    5.1200000000e+02    1.7191169917e-02    5.9530029297e-01
        44   -1.7195611748e+01    2.9610086501e+02   -3.1098351283e+01    1.3902739535e+01    1.7200550208e+01   -5.6848988617e+01    1.5693238791e+00    6.9807632464e+00    5.1200000000e+02    1.7232149722e-02    5.9899902344e-01
        45   -1.7257109475e+01    2.9818826047e+02   -3.1021299625e+01    1.3764190150e+01    1.7330863277e+01   -5.7383453035e+01    2.0505268859e+00    6.9807632464e+00    5.1200000000e+02    1.7222374773e-02    5.9613037109e-01
        46   -1.7234088795e+01    2.9736283219e+02   -3.0378072089e+01    1.3143983295e+01    1.7049101944e+01   -5.6276151277e+01    1.8682139969e+00    6.9807632464e+00    5.1200000000e+02    1.7196555083e-02    5.9655761719e-01
        47   -1.7246569745e+01    2.9773653563e+02   -3.0651344020e+01    1.3404774275e+01    1.7112821420e+01   -5.6980710233e+01    2.2357815468e+00    6.9807632464e+00    5.1200000000e+02    1.7185686794e-02    5.9664306641e-01
