#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6946188885e+01    2.8965291593e+02   -2.9810853709e+01    1.2864664824e+01    1.7442000516e+01   -5.5918854711e+01    1.6852372390e+00    6.9807632464e+00    5.1200000000e+02    1.6120089800e-02    6.1029052734e-01
         1   -1.6818128363e+01    2.8688841768e+02   -2.9728786001e+01    1.2910657638e+01    1.7301161600e+01   -5.5994372071e+01    1.9836612235e+00    6.9807632464e+00    5.1200000000e+02    1.6072236602e-02    6.0668945312e-01
         2   -1.7132208395e+01    2.9570478012e+02   -3.0410469253e+01    1.3278260858e+01    1.7417039224e+01   -5.6575250433e+01    1.7669787091e+00    6.9807632464e+00    5.1200000000e+02    1.6132953240e-02    6.0828857422e-01
         3   -1.7113362769e+01    2.9537769408e+02   -3.0626119699e+01    1.3512756931e+01    1.7591252555e+01   -5.7103425640e+01    1.9052901394e+00    6.9807632464e+00    5.1200000000e+02    1.6129838643e-02    6.0133056641e-01
         4   -1.6972803254e+01    2.9029432356e+02   -2.9938373618e+01    1.2965570364e+01    1.7423139317e+01   -5.6390867265e+01    2.0485910834e+00    6.9807632464e+00    5.1200000000e+02    1.6108434131e-02    6.0552978516e-01
         5   -1.6914808362e+01    2.8860292147e+02   -3.0340922224e+01    1.3426113862e+01    1.7762086112e+01   -5.6644300453e+01    1.5605288709e+00    6.9807632464e+00    5.1200000000e+02    1.6160437366e-02    6.0518798828e-01
         6   -1.6840862949e+01    2.8620044073e+02   -3.0302400258e+01    1.3461537308e+01    1.7832370822e+01   -5.7165156932e+01    2.0496226059e+00    6.9807632464e+00    5.1200000000e+02    1.6115227786e-02    6.0194091797e-01
         7   -1.6781915754e+01    2.9717766196e+02   -2.9854536184e+01    1.3072620430e+01    1.7810169288e+01   -5.6673032140e+01    2.0275634217e+00    6.9807632464e+00    5.1200000000e+02    1.6142324863e-02    6.0554199219e-01
         8   -1.6942215467e+01    2.8996723730e+02   -3.0277525057e+01    1.3335309589e+01    1.7566328701e+01   -5.6920077493e+01    2.0954604890e+00    6.9807632464e+00    5.1200000000e+02    1.6103540020e-02    6.0766601562e-01
         9   -1.6964748053e+01    2.9056462607e+02   -3.0048125145e+01    1.3083377092e+01    1.7495404571e+01   -5.6420348019e+01    1.8960550576e+00    6.9807632464e+00    5.1200000000e+02    1.6124357561e-02    6.0759277344e-01
        10   -1.6997504012e+01    2.9238318587e+02   -3.0012090589e+01    1.3014586577e+01    1.7591238519e+01   -5.6319581129e+01    1.7354887737e+00    6.9807632464e+00    5.1200000000e+02    1.6139062710e-02    6.0814208984e-01
        11   -1.7005140871e+01    2.9180981149e+02   -3.0142266074e+01    1.3137125203e+01    1.7552283622e+01   -5.6524634553e+01    1.8493216093e+00    6.9807632464e+00    5.1200000000e+02    1.6131033306e-02    6.0383300781e-01
        12   -1.6945448312e+01    2.9011746556e+02   -2.9778421236e+01    1.2832972925e+01    1.7419563931e+01   -5.5902664931e+01    1.7239165176e+00    6.9807632464e+00    5.1200000000e+02    1.6110234744e-02    6.0657958984e-01
        13   -1.6942401684e+01    2.9048139424e+02   -3.0041494322e+01    1.3099092638e+01    1.7644270084e+01   -5.6757969614e+01    2.0914419610e+00    6.9807632464e+00    5.1200000000e+02    1.6131230300e-02    6.0379638672e-01
        14   -1.6846318892e+01    2.8719924131e+02   -3.0116136178e+01    1.3269817285e+01    1.7485996122e+01   -5.6436991042e+01    1.8540954950e+00    6.9807632464e+00    5.1200000000e+02    1.6111490491e-02    6.0689697266e-01
        15   -1.6961521067e+01    2.9098294345e+02   -3.0797082139e+01    1.3835561072e+01    1.7744605704e+01   -5.7317738669e+01    1.7952875801e+00    6.9807632464e+00    5.1200000000e+02    1.6142175920e-02    6.0422363281e-01
        16   -1.7109700558e+01    2.9477389839e+02   -3.0710436278e+01    1.3600735720e+01    1.7789718604e+01   -5.7253283547e+01    1.7723654193e+00    6.9807632464e+00    5.1200000000e+02    1.6162993169e-02    6.0048828125e-01
