#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7273550060e+01    2.9854987174e+02   -3.1403097172e+01    1.4129547112e+01    1.7276536686e+01   -5.7901165016e+01    2.2407679118e+00    6.9807632464e+00    5.1200000000e+02    3.2683302515e-02    5.9801025391e-01
         1   -1.7236614991e+01    2.9726032273e+02   -3.1364556988e+01    1.4127941997e+01    1.6956752734e+01   -5.6979008160e+01    1.6769351914e+00    6.9807632464e+00    5.1200000000e+02    3.2660995161e-02    6.0001220703e-01
         2   -1.7258564566e+01    2.9807513457e+02   -3.1238491030e+01    1.3979926463e+01    1.7375334361e+01   -5.7621612209e+01    2.0270235721e+00    6.9807632464e+00    5.1200000000e+02    3.2696232129e-02    5.9724121094e-01
         3   -1.7264254364e+01    2.9822067061e+02   -3.1258891701e+01    1.3994637337e+01    1.7053884343e+01   -5.7273881151e+01    1.9803418602e+00    6.9807632464e+00    5.1200000000e+02    3.2714358323e-02    6.0084228516e-01
         4   -1.7292817290e+01    2.9924407541e+02   -3.0791748895e+01    1.3498931605e+01    1.6983646918e+01   -5.6495023228e+01    1.7388641698e+00    6.9807632464e+00    5.1200000000e+02    3.2683796753e-02    5.9692382812e-01
         5   -1.7249644576e+01    2.9773374089e+02   -3.0491563542e+01    1.3241918966e+01    1.6882698303e+01   -5.5825454461e+01    1.4704293699e+00    6.9807632464e+00    5.1200000000e+02    3.2636935938e-02    5.9698486328e-01
         6   -1.7256394356e+01    2.9796073851e+02   -3.0828762800e+01    1.3572368444e+01    1.6947448198e+01   -5.6586357775e+01    1.8293835309e+00    6.9807632464e+00    5.1200000000e+02    3.2658122041e-02    6.0100097656e-01
         7   -1.7231296112e+01    2.9705898099e+02   -3.1440550979e+01    1.4209254868e+01    1.7101786692e+01   -5.7434842215e+01    1.9117412969e+00    6.9807632464e+00    5.1200000000e+02    3.2734155266e-02    5.9626464844e-01
         8   -1.7216581239e+01    2.9662804332e+02   -3.0842933543e+01    1.3626352304e+01    1.7100622803e+01   -5.6782640970e+01    1.8583213779e+00    6.9807632464e+00    5.1200000000e+02    3.2624605779e-02    5.9591064453e-01
         9   -1.7225902228e+01    2.9693949635e+02   -3.1567469928e+01    1.4341567700e+01    1.7133919142e+01   -5.7558862814e+01    1.8767104972e+00    6.9807632464e+00    5.1200000000e+02    3.2674454971e-02    5.9521484375e-01
