#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7279931966e+01    2.9878907943e+02   -3.0783935456e+01    1.3504003490e+01    1.7103670868e+01   -5.6778856655e+01    1.9104870840e+00    6.9807632464e+00    5.1200000000e+02    3.2713861382e-02    5.9809570312e-01
         1   -1.7252081334e+01    2.9781022671e+02   -3.0681371181e+01    1.3429289846e+01    1.6862648914e+01   -5.5987101130e+01    1.4623177889e+00    6.9807632464e+00    5.1200000000e+02    3.2705814731e-02    5.9680175781e-01
         2   -1.7258877035e+01    2.9805424368e+02   -3.1348512591e+01    1.4089635556e+01    1.7228144026e+01   -5.7411014433e+01    1.8535945685e+00    6.9807632464e+00    5.1200000000e+02    3.2735103386e-02    5.9837646484e-01
         3   -1.7231104550e+01    2.9713850198e+02   -3.1141236818e+01    1.3910132268e+01    1.7177094328e+01   -5.6947889660e+01    1.6487952674e+00    6.9807632464e+00    5.1200000000e+02    3.2701693350e-02    5.9731445312e-01
         4   -1.7267573929e+01    2.9836516323e+02   -3.0925610284e+01    1.3658036354e+01    1.7216294251e+01   -5.6751207698e+01    1.6285399168e+00    6.9807632464e+00    5.1200000000e+02    3.2728513120e-02    5.9907226562e-01
         5   -1.7261529496e+01    2.9814419201e+02   -3.1284716593e+01    1.4023187097e+01    1.7163141179e+01   -5.7254601563e+01    1.8259805445e+00    6.9807632464e+00    5.1200000000e+02    3.2709437959e-02    5.9825439453e-01
         6   -1.7255246977e+01    2.9794431439e+02   -3.0836649934e+01    1.3581402957e+01    1.7113836007e+01   -5.6159518306e+01    1.2282691188e+00    6.9807632464e+00    5.1200000000e+02    3.2730923770e-02    5.9508056641e-01
         7   -1.7241158183e+01    2.9748344759e+02   -3.1240286486e+01    1.3999128303e+01    1.7144414559e+01   -5.7082701607e+01    1.7172373156e+00    6.9807632464e+00    5.1200000000e+02    3.2756005427e-02    5.9608154297e-01
         8   -1.7256323575e+01    2.9795045858e+02   -3.0829147875e+01    1.3572824301e+01    1.7259718401e+01   -5.7099151147e+01    2.0295216247e+00    6.9807632464e+00    5.1200000000e+02    3.2709185510e-02    5.9763183594e-01
         9   -1.7260110894e+01    2.9812033648e+02   -3.0749654916e+01    1.3489544022e+01    1.7104182727e+01   -5.6715594334e+01    1.8809934458e+00    6.9807632464e+00    5.1200000000e+02    3.2712566116e-02    5.9854736328e-01
        10   -1.7264445548e+01    2.9825206536e+02   -3.1218291358e+01    1.3953845811e+01    1.7102823071e+01   -5.6978310442e+01    1.6764327664e+00    6.9807632464e+00    5.1200000000e+02    3.2727780354e-02    5.9655761719e-01
        11   -1.7263638882e+01    2.9820940611e+02   -3.0854321713e+01    1.3590682831e+01    1.6951327507e+01   -5.6968339925e+01    2.1819274581e+00    6.9807632464e+00    5.1200000000e+02    3.2671640325e-02    5.9873046875e-01
        12   -1.7256289650e+01    2.9800354777e+02   -3.0304379352e+01    1.3048089702e+01    1.6973124745e+01   -5.6223871835e+01    1.9656044915e+00    6.9807632464e+00    5.1200000000e+02    3.2702756816e-02    5.9901123047e-01
        13   -1.7275732172e+01    2.9861837521e+02   -3.0726113242e+01    1.3450381069e+01    1.7010081845e+01   -5.6519530833e+01    1.8025725000e+00    6.9807632464e+00    5.1200000000e+02    3.2732060198e-02    5.9511718750e-01
        14   -1.7270498423e+01    2.9850169281e+02   -3.0864302431e+01    1.3593804008e+01    1.7131002143e+01   -5.6812857782e+01    1.8367899620e+00    6.9807632464e+00    5.1200000000e+02    3.2703482346e-02    5.9866943359e-01
        15   -1.7249995944e+01    2.9777341626e+02   -3.1250428516e+01    1.4000432572e+01    1.7212622687e+01   -5.7603038700e+01    2.1592242493e+00    6.9807632464e+00    5.1200000000e+02    3.2760533838e-02    5.9846191406e-01
        16   -1.7227150662e+01    2.9698944770e+02   -3.0686632239e+01    1.3459481577e+01    1.7015917179e+01   -5.6318156068e+01    1.6348434034e+00    6.9807632464e+00    5.1200000000e+02    3.2652026318e-02    5.9526367187e-01
        17   -1.7255614343e+01    2.9792439272e+02   -3.0567407855e+01    1.3311793512e+01    1.7129991212e+01   -5.6602710563e+01    1.9245482489e+00    6.9807632464e+00    5.1200000000e+02    3.2708256206e-02    5.9760742187e-01
        18   -1.7245679678e+01    2.9759563799e+02   -3.0848635558e+01    1.3602955880e+01    1.7098053148e+01   -5.6494129256e+01    1.5666773045e+00    6.9807632464e+00    5.1200000000e+02    3.2710582673e-02    5.9814453125e-01
        19   -1.7249519264e+01    2.9772890270e+02   -3.0869628919e+01    1.3620109655e+01    1.7087530447e+01   -5.7014155092e+01    2.0762324800e+00    6.9807632464e+00    5.1200000000e+02    3.2709367808e-02    5.9733886719e-01
        20   -1.7264775773e+01    2.9826027418e+02   -3.0705307241e+01    1.3440531468e+01    1.7048217306e+01   -5.6830569055e+01    2.0962812619e+00    6.9807632464e+00    5.1200000000e+02    3.2702137009e-02    5.9459228516e-01
        21   -1.7214850587e+01    2.9717786816e+02   -3.0889007557e+01    1.3674156971e+01    1.7156371047e+01   -5.7037839092e+01    2.0116972409e+00    6.9807632464e+00    5.1200000000e+02    3.2693413533e-02    5.9721679687e-01
        22   -1.7229579708e+01    2.9704731356e+02   -3.1521476852e+01    1.4291897144e+01    1.7118384723e+01   -5.7120215919e+01    1.4995910987e+00    6.9807632464e+00    5.1200000000e+02    3.2712539976e-02    5.9724121094e-01
        23   -1.7259091869e+01    2.9823287542e+02   -3.1220448248e+01    1.3961356379e+01    1.7310470619e+01   -5.7476995633e+01    1.9653135198e+00    6.9807632464e+00    5.1200000000e+02    3.2768956084e-02    5.9417724609e-01
        24   -1.7267514512e+01    2.9834275301e+02   -3.0984313438e+01    1.3716798926e+01    1.7026778956e+01   -5.7069235925e+01    2.0773802843e+00    6.9807632464e+00    5.1200000000e+02    3.2721028987e-02    5.9454345703e-01
        25   -1.7274438902e+01    2.9861358135e+02   -3.0780870406e+01    1.3506431504e+01    1.7066376169e+01   -5.6879198505e+01    2.0511886830e+00    6.9807632464e+00    5.1200000000e+02    3.2702722356e-02    6.0053710937e-01
        26   -1.7241219574e+01    2.9740581858e+02   -3.1231093945e+01    1.3989874371e+01    1.7131091090e+01   -5.7128601826e+01    1.7856535442e+00    6.9807632464e+00    5.1200000000e+02    3.2722899399e-02    5.9443359375e-01
        27   -1.7268489622e+01    2.9837774150e+02   -3.0310342142e+01    1.3041852520e+01    1.6789371477e+01   -5.5988223035e+01    1.9077461705e+00    6.9807632464e+00    5.1200000000e+02    3.2678510000e-02    5.9609375000e-01
        28   -1.7270092528e+01    2.9855554571e+02   -3.0504794237e+01    1.3234701709e+01    1.7101644818e+01   -5.6085607260e+01    1.4984049595e+00    6.9807632464e+00    5.1200000000e+02    3.2667307954e-02    5.9603271484e-01
        29   -1.7217390595e+01    2.9665311851e+02   -3.1182557914e+01    1.3965167318e+01    1.6986820429e+01   -5.6704144127e+01    1.5540025385e+00    6.9807632464e+00    5.1200000000e+02    3.2694230762e-02    5.9871826172e-01
        30   -1.7290954434e+01    2.9926140919e+02   -3.0815694423e+01    1.3524739988e+01    1.7081501137e+01   -5.7153462521e+01    2.2755037149e+00    6.9807632464e+00    5.1200000000e+02    3.2689312664e-02    5.9658203125e-01
        31   -1.7241320329e+01    2.9747229938e+02   -3.0720076987e+01    1.3478756658e+01    1.6879783654e+01   -5.6068821163e+01    1.4881972755e+00    6.9807632464e+00    5.1200000000e+02    3.2703537874e-02    5.9631347656e-01
        32   -1.7247317801e+01    2.9771248040e+02   -3.1042723454e+01    1.3795405654e+01    1.7190649294e+01   -5.7397243902e+01    2.1831079072e+00    6.9807632464e+00    5.1200000000e+02    3.2715927600e-02    5.9583740234e-01
        33   -1.7223512329e+01    2.9682121190e+02   -3.0460536988e+01    1.3237024659e+01    1.7089441701e+01   -5.6643271625e+01    2.1125296894e+00    6.9807632464e+00    5.1200000000e+02    3.2662063550e-02    5.9543457031e-01
        34   -1.7263463442e+01    2.9819786495e+02   -3.0807440718e+01    1.3543977276e+01    1.7123866751e+01   -5.7073098723e+01    2.1610280075e+00    6.9807632464e+00    5.1200000000e+02    3.2716967334e-02    5.9833984375e-01
        35   -1.7291526517e+01    2.9914849005e+02   -3.0172460035e+01    1.2880933518e+01    1.7129914347e+01   -5.6440350072e+01    2.1572124437e+00    6.9807632464e+00    5.1200000000e+02    3.2693827561e-02    5.9476318359e-01
        36   -1.7229912876e+01    2.9701808408e+02   -3.0810054781e+01    1.3580141906e+01    1.7158487041e+01   -5.6603278899e+01    1.6539738299e+00    6.9807632464e+00    5.1200000000e+02    3.2705849309e-02    5.9586181641e-01
        37   -1.7239334490e+01    2.9741296330e+02   -3.1519264320e+01    1.4279929830e+01    1.7126839124e+01   -5.7463195080e+01    1.8363283893e+00    6.9807632464e+00    5.1200000000e+02    3.2696681699e-02    5.9519042969e-01
        38   -1.7241101641e+01    2.9744109894e+02   -3.1145057196e+01    1.3903955555e+01    1.7082468948e+01   -5.7205188871e+01    1.9968994805e+00    6.9807632464e+00    5.1200000000e+02    3.2710608503e-02    5.9757080078e-01
        39   -1.7259348420e+01    2.9810521157e+02   -3.1542256031e+01    1.4282907611e+01    1.7194037790e+01   -5.7184760770e+01    1.4677037020e+00    6.9807632464e+00    5.1200000000e+02    3.2743923613e-02    5.9534912109e-01
        40   -1.7254400391e+01    2.9796745093e+02   -3.1317849680e+01    1.4063449289e+01    1.7199431412e+01   -5.7361412395e+01    1.8633680562e+00    6.9807632464e+00    5.1200000000e+02    3.2739156736e-02    5.9459228516e-01
        41   -1.7271871170e+01    2.9868751195e+02   -3.0876999234e+01    1.3605128064e+01    1.7007345742e+01   -5.6777408789e+01    1.9123005664e+00    6.9807632464e+00    5.1200000000e+02    3.2665018350e-02    5.9721679687e-01
        42   -1.7262809326e+01    2.9819830128e+02   -3.0670913932e+01    1.3408104606e+01    1.6866604942e+01   -5.6456575826e+01    1.9382937061e+00    6.9807632464e+00    5.1200000000e+02    3.2687909773e-02    6.0239257812e-01
        43   -1.7289123827e+01    2.9912479577e+02   -3.1051342019e+01    1.3762218192e+01    1.7135536025e+01   -5.6972858002e+01    1.8052167124e+00    6.9807632464e+00    5.1200000000e+02    3.2727355989e-02    5.9615478516e-01
        44   -1.7211038812e+01    2.9646594408e+02   -3.0380429413e+01    1.3169390602e+01    1.7018997081e+01   -5.6242689586e+01    1.8624998452e+00    6.9807632464e+00    5.1200000000e+02    3.2665151689e-02    5.9632568359e-01
        45   -1.7252233390e+01    2.9780003886e+02   -3.0627075854e+01    1.3374842465e+01    1.7199738042e+01   -5.6432685217e+01    1.6251080748e+00    6.9807632464e+00    5.1200000000e+02    3.2747269414e-02    5.9600830078e-01
        46   -1.7260117717e+01    2.9816331620e+02   -3.0986520623e+01    1.3726402906e+01    1.6991728338e+01   -5.6666739673e+01    1.7077274657e+00    6.9807632464e+00    5.1200000000e+02    3.2685422239e-02    5.9691162109e-01
        47   -1.7263989801e+01    2.9828558644e+02   -3.1068190107e+01    1.3804200306e+01    1.6995307222e+01   -5.7038811251e+01    1.9945506748e+00    6.9807632464e+00    5.1200000000e+02    3.2691630237e-02    5.9511718750e-01
        48   -1.7210090733e+01    2.9656402894e+02   -3.1537088763e+01    1.4326998030e+01    1.7272527506e+01   -5.7712037110e+01    1.9216575947e+00    6.9807632464e+00    5.1200000000e+02    3.2753071589e-02    5.9821777344e-01
        49   -1.7235088026e+01    2.9723623618e+02   -3.1289395948e+01    1.4054307922e+01    1.7211478545e+01   -5.7270824976e+01    1.7891872376e+00    6.9807632464e+00    5.1200000000e+02    3.2767220686e-02    5.9409179687e-01
        50   -1.7239931648e+01    2.9742127873e+02   -3.0399014112e+01    1.3159082464e+01    1.6827052285e+01   -5.5935078583e+01    1.7282489392e+00    6.9807632464e+00    5.1200000000e+02    3.2643940930e-02    5.9855957031e-01
        51   -1.7251248168e+01    2.9775853142e+02   -3.0985477814e+01    1.3734229646e+01    1.7173855858e+01   -5.7162412716e+01    2.0223157969e+00    6.9807632464e+00    5.1200000000e+02    3.2741058882e-02    5.9707031250e-01
        52   -1.7238527294e+01    2.9733410917e+02   -3.1251645816e+01    1.4013118522e+01    1.7055631712e+01   -5.6939449025e+01    1.6514082510e+00    6.9807632464e+00    5.1200000000e+02    3.2700476619e-02    5.9494628906e-01
        53   -1.7239191124e+01    2.9749253078e+02   -3.1430362726e+01    1.4191171602e+01    1.6953843465e+01   -5.6955557171e+01    1.5905877337e+00    6.9807632464e+00    5.1200000000e+02    3.2704649436e-02    5.9705810547e-01
        54   -1.7243197819e+01    2.9748176464e+02   -3.0996061498e+01    1.3752863679e+01    1.7027880765e+01   -5.6996076005e+01    1.9913704951e+00    6.9807632464e+00    5.1200000000e+02    3.2762959944e-02    5.9707031250e-01
        55   -1.7264419764e+01    2.9826588621e+02   -3.0415728787e+01    1.3151309023e+01    1.7353561071e+01   -5.7014021254e+01    2.2639681496e+00    6.9807632464e+00    5.1200000000e+02    3.2730796282e-02    5.9760742187e-01
        56   -1.7224519657e+01    2.9688819944e+02   -3.1575037524e+01    1.4350517868e+01    1.7147604067e+01   -5.7719261791e+01    2.0158569538e+00    6.9807632464e+00    5.1200000000e+02    3.2708803359e-02    5.9708251953e-01
        57   -1.7252699752e+01    2.9782237744e+02   -3.1110597807e+01    1.3857898055e+01    1.7201176026e+01   -5.7494194415e+01    2.2016573353e+00    6.9807632464e+00    5.1200000000e+02    3.2730749133e-02    5.9656982422e-01
        58   -1.7236205162e+01    2.9725156455e+02   -3.1170550530e+01    1.3934345369e+01    1.7065487112e+01   -5.7257666092e+01    2.0408652033e+00    6.9807632464e+00    5.1200000000e+02    3.2716324199e-02    5.9658203125e-01
        59   -1.7242935114e+01    2.9752687444e+02   -3.1513542565e+01    1.4270607451e+01    1.7279128335e+01   -5.7436626371e+01    1.6631922256e+00    6.9807632464e+00    5.1200000000e+02    3.2721943782e-02    5.9229736328e-01
        60   -1.7262850291e+01    2.9853569977e+02   -3.0677100005e+01    1.3414249714e+01    1.6883519655e+01   -5.6350986499e+01    1.8096035929e+00    6.9807632464e+00    5.1200000000e+02    3.2701352180e-02    5.9802246094e-01
        61   -1.7248834771e+01    2.9767217097e+02   -3.0979757676e+01    1.3730922905e+01    1.7056110824e+01   -5.6988120680e+01    1.9714889334e+00    6.9807632464e+00    5.1200000000e+02    3.2704197734e-02    5.9858398437e-01
        62   -1.7241029778e+01    2.9748805760e+02   -3.1358268325e+01    1.4117238547e+01    1.7156557974e+01   -5.7213482422e+01    1.7178928765e+00    6.9807632464e+00    5.1200000000e+02    3.2720155959e-02    5.9724121094e-01
        63   -1.7248910621e+01    2.9769170839e+02   -3.0889121606e+01    1.3640210984e+01    1.7049768134e+01   -5.6751216102e+01    1.8315631156e+00    6.9807632464e+00    5.1200000000e+02    3.2699621587e-02    5.9746093750e-01
        64   -1.7257363043e+01    2.9800864124e+02   -3.1145899569e+01    1.3888536526e+01    1.7229052696e+01   -5.7215230658e+01    1.8595151473e+00    6.9807632464e+00    5.1200000000e+02    3.2737397876e-02    5.9770507812e-01
        65   -1.7282195389e+01    2.9894514040e+02   -3.1026609738e+01    1.3744414349e+01    1.7004270975e+01   -5.6936603576e+01    1.9249596167e+00    6.9807632464e+00    5.1200000000e+02    3.2681035945e-02    6.0065917969e-01
        66   -1.7297743077e+01    2.9964255546e+02   -3.1043952623e+01    1.3746209546e+01    1.7154398601e+01   -5.6980594564e+01    1.8014800945e+00    6.9807632464e+00    5.1200000000e+02    3.2737354839e-02    5.9708251953e-01
        67   -1.7237400594e+01    2.9728883859e+02   -3.0752066330e+01    1.3514665736e+01    1.6893288573e+01   -5.6381145500e+01    1.7550273503e+00    6.9807632464e+00    5.1200000000e+02    3.2645648560e-02    5.9412841797e-01
        68   -1.7255457251e+01    2.9791890315e+02   -3.1137912356e+01    1.3882455105e+01    1.7250214149e+01   -5.7271504790e+01    1.9026150382e+00    6.9807632464e+00    5.1200000000e+02    3.2727166965e-02    5.9575195312e-01
        69   -1.7251260101e+01    2.9774965742e+02   -3.1152301457e+01    1.3901041356e+01    1.7088170570e+01   -5.7292319077e+01    2.0710838025e+00    6.9807632464e+00    5.1200000000e+02    3.2709894995e-02    5.9472656250e-01
        70   -1.7262593377e+01    2.9825568801e+02   -3.0778742466e+01    1.3516149089e+01    1.7347345893e+01   -5.6943432856e+01    1.8365812506e+00    6.9807632464e+00    5.1200000000e+02    3.2749743064e-02    5.9265136719e-01
