#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7218424921e+01    2.9672000732e+02   -3.1302367976e+01    1.4083943055e+01    1.6861222265e+01   -5.6961273618e+01    1.8169201303e+00    6.9807632464e+00    5.1200000000e+02    3.2635587087e-02    5.9776611328e-01
         1   -1.7214706702e+01    2.9655004295e+02   -3.0677339734e+01    1.3462633033e+01    1.6997235650e+01   -5.6719395687e+01    2.0640570561e+00    6.9807632464e+00    5.1200000000e+02    3.2641858970e-02    6.0006103516e-01
         2   -1.7260052819e+01    2.9818100577e+02   -3.1183121366e+01    1.3923068546e+01    1.7157451045e+01   -5.7521704855e+01    2.2003691980e+00    6.9807632464e+00    5.1200000000e+02    3.2676903853e-02    5.9715576172e-01
         3   -1.7239400457e+01    2.9738898212e+02   -3.1259349597e+01    1.4019949140e+01    1.7318240538e+01   -5.7907055694e+01    2.3487023124e+00    6.9807632464e+00    5.1200000000e+02    3.2709279431e-02    5.9453125000e-01
         4   -1.7258051120e+01    2.9810696157e+02   -3.1376806230e+01    1.4118755109e+01    1.7218867526e+01   -5.7281419251e+01    1.7049822486e+00    6.9807632464e+00    5.1200000000e+02    3.2707052444e-02    5.9931640625e-01
         5   -1.7231217570e+01    2.9706643894e+02   -3.0750802782e+01    1.3519585212e+01    1.7093968860e+01   -5.6885269985e+01    2.0597350965e+00    6.9807632464e+00    5.1200000000e+02    3.2628504465e-02    5.9660644531e-01
         6   -1.7249866172e+01    2.9779089144e+02   -3.0623213327e+01    1.3373347155e+01    1.6938242368e+01   -5.6417467990e+01    1.8752490489e+00    6.9807632464e+00    5.1200000000e+02    3.2660050056e-02    5.9610595703e-01
         7   -1.7272263691e+01    2.9852320767e+02   -3.0759245329e+01    1.3486981638e+01    1.7090460948e+01   -5.6570785234e+01    1.7403157103e+00    6.9807632464e+00    5.1200000000e+02    3.2704303164e-02    6.0012207031e-01
         8   -1.7241042254e+01    2.9743416553e+02   -3.0882401629e+01    1.3641359375e+01    1.7138244474e+01   -5.6957744995e+01    1.9563356452e+00    6.9807632464e+00    5.1200000000e+02    3.2691151895e-02    5.9481201172e-01
         9   -1.7243164142e+01    2.9748903322e+02   -3.0411998485e+01    1.3168834344e+01    1.7078083253e+01   -5.5987927988e+01    1.5170830031e+00    6.9807632464e+00    5.1200000000e+02    3.2659832151e-02    5.9510498047e-01
        10   -1.7243571520e+01    2.9753095051e+02   -3.1345747163e+01    1.4102175643e+01    1.7169734355e+01   -5.7235942896e+01    1.7396981307e+00    6.9807632464e+00    5.1200000000e+02    3.2711741362e-02    5.9947509766e-01
        11   -1.7238293273e+01    2.9731101755e+02   -3.0293553498e+01    1.3055260225e+01    1.7188764222e+01   -5.6490894490e+01    2.0278135239e+00    6.9807632464e+00    5.1200000000e+02    3.2690255828e-02    5.9488525391e-01
        12   -1.7237694033e+01    2.9728325395e+02   -3.0877402566e+01    1.3639708533e+01    1.7185590460e+01   -5.6672205905e+01    1.6284496319e+00    6.9807632464e+00    5.1200000000e+02    3.2668048181e-02    5.9936523437e-01
        13   -1.7244607105e+01    2.9754961751e+02   -3.1042164260e+01    1.3797557156e+01    1.7089102156e+01   -5.6956414118e+01    1.8443844553e+00    6.9807632464e+00    5.1200000000e+02    3.2661221941e-02    5.9769287109e-01
        14   -1.7272656690e+01    2.9858365745e+02   -3.0693615020e+01    1.3420958330e+01    1.7002211999e+01   -5.6403034425e+01    1.7264441594e+00    6.9807632464e+00    5.1200000000e+02    3.2685848850e-02    5.9959716797e-01
        15   -1.7220685467e+01    2.9706061404e+02   -3.1141860977e+01    1.3921175511e+01    1.7024347436e+01   -5.6720520539e+01    1.5735488791e+00    6.9807632464e+00    5.1200000000e+02    3.2634600610e-02    5.9825439453e-01
        16   -1.7252202173e+01    2.9782086024e+02   -3.1414388873e+01    1.4162186700e+01    1.7081734409e+01   -5.7367263675e+01    1.8903771468e+00    6.9807632464e+00    5.1200000000e+02    3.2648797427e-02    5.9890136719e-01
        17   -1.7272743870e+01    2.9852033253e+02   -3.1028865287e+01    1.3756121417e+01    1.7149587348e+01   -5.7037505377e+01    1.8782894955e+00    6.9807632464e+00    5.1200000000e+02    3.2717352810e-02    5.9693603516e-01
        18   -1.7269779224e+01    2.9844029098e+02   -3.0984323257e+01    1.3714544033e+01    1.7213245383e+01   -5.6989775058e+01    1.8114431728e+00    6.9807632464e+00    5.1200000000e+02    3.2701412961e-02    5.9736328125e-01
        19   -1.7268067709e+01    2.9845109735e+02   -3.0565195820e+01    1.3297128111e+01    1.6817486209e+01   -5.6087364615e+01    1.7239193396e+00    6.9807632464e+00    5.1200000000e+02    3.2637109226e-02    5.9418945312e-01
        20   -1.7253994807e+01    2.9783776608e+02   -3.0398236010e+01    1.3144241203e+01    1.6712634153e+01   -5.5909281883e+01    1.8176484729e+00    6.9807632464e+00    5.1200000000e+02    3.2588739727e-02    5.9982910156e-01
        21   -1.7255438639e+01    2.9790352269e+02   -3.0439895659e+01    1.3184457020e+01    1.7063241578e+01   -5.6573129880e+01    2.0892293965e+00    6.9807632464e+00    5.1200000000e+02    3.2651630142e-02    5.9433593750e-01
        22   -1.7233733125e+01    2.9718250083e+02   -3.0636315172e+01    1.3402582047e+01    1.6900557383e+01   -5.6426951808e+01    1.9093160063e+00    6.9807632464e+00    5.1200000000e+02    3.2627057012e-02    5.9667968750e-01
        23   -1.7250413033e+01    2.9775332231e+02   -3.0553730431e+01    1.3303317399e+01    1.7034623024e+01   -5.6233117868e+01    1.6640011672e+00    6.9807632464e+00    5.1200000000e+02    3.2691054473e-02    6.0048828125e-01
        24   -1.7273477656e+01    2.9850230340e+02   -3.0731739306e+01    1.3458261650e+01    1.7193356419e+01   -5.6775472828e+01    1.8696138558e+00    6.9807632464e+00    5.1200000000e+02    3.2691291328e-02    5.9785156250e-01
        25   -1.7239100324e+01    2.9745413413e+02   -3.0868960825e+01    1.3629860501e+01    1.7021636877e+01   -5.7161275691e+01    2.2899147431e+00    6.9807632464e+00    5.1200000000e+02    3.2664736230e-02    5.9829101562e-01
        26   -1.7252132831e+01    2.9783841955e+02   -3.0767872679e+01    1.3515739848e+01    1.7075183672e+01   -5.6700629965e+01    1.8768103683e+00    6.9807632464e+00    5.1200000000e+02    3.2637063137e-02    5.9667968750e-01
        27   -1.7279223714e+01    2.9881262283e+02   -3.0579113444e+01    1.3299889730e+01    1.6890599978e+01   -5.6373214884e+01    1.9227382158e+00    6.9807632464e+00    5.1200000000e+02    3.2640407085e-02    5.9837646484e-01
        28   -1.7255862199e+01    2.9792860272e+02   -3.0986258747e+01    1.3730396548e+01    1.7046554643e+01   -5.6611940539e+01    1.5983639024e+00    6.9807632464e+00    5.1200000000e+02    3.2701782881e-02    5.9746093750e-01
        29   -1.7239241471e+01    2.9735356245e+02   -3.0589264656e+01    1.3350023185e+01    1.7013951748e+01   -5.6556172504e+01    1.9721928530e+00    6.9807632464e+00    5.1200000000e+02    3.2648940759e-02    5.9556884766e-01
        30   -1.7259264900e+01    2.9812196775e+02   -3.0685698791e+01    1.3426433891e+01    1.6971138703e+01   -5.6329292737e+01    1.6916919973e+00    6.9807632464e+00    5.1200000000e+02    3.2614764294e-02    5.9808349609e-01
        31   -1.7255077186e+01    2.9789367611e+02   -3.0967767049e+01    1.3712689863e+01    1.7049294167e+01   -5.6669820105e+01    1.6719956426e+00    6.9807632464e+00    5.1200000000e+02    3.2686387773e-02    5.9843750000e-01
        32   -1.7261289780e+01    2.9816527732e+02   -3.1058820912e+01    1.3797531132e+01    1.7028921044e+01   -5.7133728548e+01    2.0652233457e+00    6.9807632464e+00    5.1200000000e+02    3.2648384790e-02    6.0084228516e-01
        33   -1.7284979454e+01    2.9901084384e+02   -3.1024993084e+01    1.3740013630e+01    1.7147916001e+01   -5.6788606018e+01    1.6349336874e+00    6.9807632464e+00    5.1200000000e+02    3.2687579109e-02    5.9665527344e-01
        34   -1.7258775786e+01    2.9806510650e+02   -3.0891280074e+01    1.3632504288e+01    1.7143216350e+01   -5.6929413135e+01    1.9141534650e+00    6.9807632464e+00    5.1200000000e+02    3.2659948850e-02    5.9635009766e-01
        35   -1.7240264494e+01    2.9743411433e+02   -3.0608286995e+01    1.3368022501e+01    1.7075957677e+01   -5.6525697041e+01    1.8606891219e+00    6.9807632464e+00    5.1200000000e+02    3.2649390723e-02    5.9700927734e-01
        36   -1.7276552027e+01    2.9872844274e+02   -3.0150771507e+01    1.2874219480e+01    1.6965035757e+01   -5.6103704336e+01    2.0071338264e+00    6.9807632464e+00    5.1200000000e+02    3.2658172878e-02    5.9840087891e-01
        37   -1.7219825500e+01    2.9672645047e+02   -3.1423298638e+01    1.4203473139e+01    1.7237041801e+01   -5.7977264607e+01    2.3361609214e+00    6.9807632464e+00    5.1200000000e+02    3.2736527502e-02    6.0294189453e-01
        38   -1.7246495437e+01    2.9764471049e+02   -3.0970312807e+01    1.3723817369e+01    1.7161396252e+01   -5.7064861782e+01    1.9523894771e+00    6.9807632464e+00    5.1200000000e+02    3.2649762502e-02    5.9814453125e-01
        39   -1.7232082525e+01    2.9713309832e+02   -3.0925343162e+01    1.3693260637e+01    1.6910103929e+01   -5.6416457842e+01    1.6002475039e+00    6.9807632464e+00    5.1200000000e+02    3.2645037529e-02    5.9555664062e-01
        40   -1.7226658309e+01    2.9693643065e+02   -3.0878579436e+01    1.3651921127e+01    1.7159572350e+01   -5.6905760808e+01    1.8868457748e+00    6.9807632464e+00    5.1200000000e+02    3.2680546692e-02    5.9772949219e-01
        41   -1.7266849702e+01    2.9835492944e+02   -3.0773545656e+01    1.3506695954e+01    1.7290074236e+01   -5.6830669865e+01    1.7862867264e+00    6.9807632464e+00    5.1200000000e+02    3.2719791167e-02    5.9698486328e-01
        42   -1.7259107644e+01    2.9804162068e+02   -3.0953613026e+01    1.3694505382e+01    1.7174392063e+01   -5.6769651006e+01    1.6608826716e+00    6.9807632464e+00    5.1200000000e+02    3.2618621035e-02    5.9541015625e-01
        43   -1.7261850218e+01    2.9815448491e+02   -3.0482051335e+01    1.3220201118e+01    1.6818587331e+01   -5.6102176859e+01    1.8207749465e+00    6.9807632464e+00    5.1200000000e+02    3.2639453064e-02    5.9624023437e-01
        44   -1.7258067642e+01    2.9807044789e+02   -3.0473854160e+01    1.3215786518e+01    1.6921892423e+01   -5.5958341010e+01    1.5818311804e+00    6.9807632464e+00    5.1200000000e+02    3.2663472439e-02    5.9687500000e-01
        45   -1.7257783763e+01    2.9818205395e+02   -3.0887844813e+01    1.3630061050e+01    1.6992212076e+01   -5.7070500747e+01    2.2096806116e+00    6.9807632464e+00    5.1200000000e+02    3.2615854648e-02    5.9770507812e-01
