#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7262857651e+01    2.9823741006e+02   -3.1074661317e+01    1.3811803665e+01    1.7096093908e+01   -5.6884360383e+01    1.7328419125e+00    6.9807632464e+00    7.4502000000e+04    1.9987689953e+00    9.5356006829e-01
         1   -1.7265222865e+01    2.9832980588e+02   -3.1114796464e+01    1.3849573600e+01    1.7142721568e+01   -5.6980904226e+01    1.7426229470e+00    6.9807632464e+00    7.2592000000e+04    1.9544417977e+00    9.5368738567e-01
         2   -1.7266514177e+01    2.9835947173e+02   -3.0932616357e+01    1.3666102180e+01    1.7031114787e+01   -5.6678678854e+01    1.7341844631e+00    6.9807632464e+00    7.2681000000e+04    1.9375415443e+00    9.5402996490e-01
         3   -1.7265351780e+01    2.9832405200e+02   -3.1021279589e+01    1.3755927809e+01    1.7074948015e+01   -5.6802429350e+01    1.7254384992e+00    6.9807632464e+00    7.2347000000e+04    1.9439298198e+00    9.5397395713e-01
         4   -1.7266054806e+01    2.9835323609e+02   -3.1167738390e+01    1.3901683585e+01    1.7098205332e+01   -5.7060900982e+01    1.8141940135e+00    6.9807632464e+00    7.1649000000e+04    1.9220102718e+00    9.5307831459e-01
         5   -1.7264035100e+01    2.9827559646e+02   -3.0955329493e+01    1.3691294393e+01    1.7061363879e+01   -5.6773381672e+01    1.7759250537e+00    6.9807632464e+00    7.2018000000e+04    1.9103631358e+00    9.5322732584e-01
         6   -1.7261411811e+01    2.9820300053e+02   -3.0981603663e+01    1.3720191851e+01    1.7115849445e+01   -5.6909301022e+01    1.8310846676e+00    6.9807632464e+00    7.1066000000e+04    1.8957600575e+00    9.5397888877e-01
         7   -1.7264325066e+01    2.9827447928e+02   -3.1029995060e+01    1.3765669993e+01    1.7117953985e+01   -5.6925122586e+01    1.7964102948e+00    6.9807632464e+00    7.1637000000e+04    1.9084414810e+00    9.5327672067e-01
         8   -1.7263512928e+01    2.9824357566e+02   -3.0959205945e+01    1.3695693018e+01    1.7093026602e+01   -5.6812716017e+01    1.7797202233e+00    6.9807632464e+00    7.2489000000e+04    1.9205602682e+00    9.5355755139e-01
         9   -1.7263568533e+01    2.9825769704e+02   -3.1033474183e+01    1.3769905650e+01    1.7109370449e+01   -5.6881400172e+01    1.7577922941e+00    6.9807632464e+00    7.1618000000e+04    1.9367515842e+00    9.5334923086e-01
        10   -1.7265362647e+01    2.9831767939e+02   -3.0862846654e+01    1.3597484007e+01    1.7042222518e+01   -5.6608024492e+01    1.7221920738e+00    6.9807632464e+00    7.2291000000e+04    1.9118916720e+00    9.5404593952e-01
        11   -1.7263691818e+01    2.9826246096e+02   -3.0998679004e+01    1.3734987185e+01    1.7073580791e+01   -5.6815575608e+01    1.7625525664e+00    6.9807632464e+00    7.3150000000e+04    1.9345277679e+00    9.5364947869e-01
        12   -1.7266643413e+01    2.9835307583e+02   -3.1028242818e+01    1.3761599405e+01    1.7089047506e+01   -5.6913578856e+01    1.8155252860e+00    6.9807632464e+00    7.1730000000e+04    1.9269260880e+00    9.5321995997e-01
        13   -1.7267026516e+01    2.9836999993e+02   -3.1082967271e+01    1.3815940755e+01    1.7113385948e+01   -5.7042703075e+01    1.8655866094e+00    6.9807632464e+00    7.2420000000e+04    1.9471752114e+00    9.5338052363e-01
        14   -1.7262726936e+01    2.9826449141e+02   -3.1081240835e+01    1.3818513899e+01    1.7047544846e+01   -5.6906726286e+01    1.7971773580e+00    6.9807632464e+00    7.1324000000e+04    1.9027121386e+00    9.5364121320e-01
        15   -1.7266981270e+01    2.9839722505e+02   -3.1004815257e+01    1.3737833987e+01    1.7037270942e+01   -5.6774259031e+01    1.7514095860e+00    6.9807632464e+00    7.2514000000e+04    1.9240372596e+00    9.5357349420e-01
        16   -1.7271221604e+01    2.9852345061e+02   -3.0985188103e+01    1.3713966499e+01    1.7057594100e+01   -5.6841149198e+01    1.8176037489e+00    6.9807632464e+00    7.2180000000e+04    1.9238135642e+00    9.5344859462e-01
        17   -1.7266497927e+01    2.9836167065e+02   -3.0953451241e+01    1.3686953314e+01    1.7023637932e+01   -5.6787626943e+01    1.8297745243e+00    6.9807632464e+00    7.2626000000e+04    1.9257157588e+00    9.5382400012e-01
        18   -1.7265726175e+01    2.9834096503e+02   -3.0999269831e+01    1.3733543656e+01    1.7039738013e+01   -5.6800513831e+01    1.7807427398e+00    6.9807632464e+00    7.1620000000e+04    1.9096988616e+00    9.5334571252e-01
        19   -1.7260157787e+01    2.9814204503e+02   -3.0985928093e+01    1.3725770306e+01    1.7044399258e+01   -5.6843629691e+01    1.8325390932e+00    6.9807632464e+00    7.1214000000e+04    1.9026111827e+00    9.5300287369e-01
        20   -1.7263640346e+01    2.9826577097e+02   -3.1089878826e+01    1.3826238480e+01    1.7104268491e+01   -5.7016767912e+01    1.8418573485e+00    6.9807632464e+00    7.1254000000e+04    1.8989699319e+00    9.5345670878e-01
        21   -1.7268193594e+01    2.9844402830e+02   -3.0996971291e+01    1.3728777697e+01    1.7077596356e+01   -5.6805181586e+01    1.7498506929e+00    6.9807632464e+00    7.2619000000e+04    1.9465155141e+00    9.5355682725e-01
        22   -1.7262256741e+01    2.9821836358e+02   -3.1094038982e+01    1.3831782242e+01    1.7093877771e+01   -5.7007468179e+01    1.8387881790e+00    6.9807632464e+00    7.2185000000e+04    1.9510754702e+00    9.5312391999e-01
        23   -1.7264263966e+01    2.9830084632e+02   -3.0862712313e+01    1.3598448348e+01    1.7049593339e+01   -5.6617031418e+01    1.7239625192e+00    6.9807632464e+00    7.2021000000e+04    1.9006031719e+00    9.5406318758e-01
        24   -1.7265578102e+01    2.9833615063e+02   -3.1003397138e+01    1.3737819036e+01    1.7104596929e+01   -5.6874607300e+01    1.7858499860e+00    6.9807632464e+00    7.2577000000e+04    1.9377387799e+00    9.5382990763e-01
        25   -1.7265217417e+01    2.9832189388e+02   -3.1030496693e+01    1.3765279276e+01    1.7114092322e+01   -5.6898555057e+01    1.7732027949e+00    6.9807632464e+00    7.1766000000e+04    1.9388599798e+00    9.5372283245e-01
        26   -1.7272829827e+01    2.9858409332e+02   -3.0992307292e+01    1.3719477465e+01    1.7035475793e+01   -5.6803983579e+01    1.7954372472e+00    6.9807632464e+00    7.2036000000e+04    1.9086109908e+00    9.5390555757e-01
        27   -1.7265059266e+01    2.9830293356e+02   -3.1052344717e+01    1.3787285451e+01    1.7105578333e+01   -5.6951821652e+01    1.8131353547e+00    6.9807632464e+00    7.2439000000e+04    1.9295472558e+00    9.5367033650e-01
        28   -1.7269209217e+01    2.9848010275e+02   -3.0879116894e+01    1.3609907677e+01    1.7026575880e+01   -5.6676419032e+01    1.7899630112e+00    6.9807632464e+00    7.1337000000e+04    1.8961054989e+00    9.5376058585e-01
        29   -1.7263030035e+01    2.9824141373e+02   -3.0866078045e+01    1.3603048010e+01    1.7040852052e+01   -5.6683155590e+01    1.7954622467e+00    6.9807632464e+00    7.1756000000e+04    1.9012269789e+00    9.5348428393e-01
        30   -1.7261803450e+01    2.9819318828e+02   -3.0948210615e+01    1.3686407165e+01    1.7045263979e+01   -5.6780790300e+01    1.8065524601e+00    6.9807632464e+00    7.2319000000e+04    1.9243679157e+00    9.5344404352e-01
        31   -1.7263187734e+01    2.9824878461e+02   -3.0949221075e+01    1.3686033341e+01    1.7050408934e+01   -5.6764597351e+01    1.7842040951e+00    6.9807632464e+00    7.2151000000e+04    1.9305094757e+00    9.5333416033e-01
        32   -1.7266276840e+01    2.9835744602e+02   -3.1145967895e+01    1.3879691055e+01    1.7162496887e+01   -5.7089342495e+01    1.8001144658e+00    6.9807632464e+00    7.2070000000e+04    1.9239538972e+00    9.5319325718e-01
        33   -1.7264019857e+01    2.9828087254e+02   -3.1020734312e+01    1.3756714455e+01    1.7068722384e+01   -5.6860838125e+01    1.7906181824e+00    6.9807632464e+00    7.0797000000e+04    1.8944280744e+00    9.5376931143e-01
        34   -1.7263285464e+01    2.9824036260e+02   -3.0890446258e+01    1.3627160795e+01    1.6983927121e+01   -5.6620363184e+01    1.7652265583e+00    6.9807632464e+00    7.1624000000e+04    1.8993961483e+00    9.5369347222e-01
        35   -1.7265271079e+01    2.9832510202e+02   -3.1053732082e+01    1.3788461004e+01    1.7095519696e+01   -5.6921372540e+01    1.7913575150e+00    6.9807632464e+00    7.1370000000e+04    1.9311628664e+00    9.5367980395e-01
        36   -1.7268710598e+01    2.9844579628e+02   -3.1047544168e+01    1.3778833570e+01    1.7071952417e+01   -5.6842879065e+01    1.7426192334e+00    6.9807632464e+00    7.2027000000e+04    1.9177813872e+00    9.5325436271e-01
