#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7207181342e+01    2.9632058307e+02   -3.0967772824e+01    1.3760591481e+01    1.7130873918e+01   -5.7014557925e+01    1.9351479360e+00    6.9807632464e+00    6.4000000000e+02    1.2430795181e-02    5.9412109375e-01
         1   -1.7206367248e+01    2.9631281623e+02   -3.0734210292e+01    1.3527843043e+01    1.7230741025e+01   -5.6932122635e+01    1.9864080722e+00    6.9807632464e+00    6.4000000000e+02    1.2454972988e-02    5.9812500000e-01
         2   -1.7228856927e+01    2.9711511121e+02   -3.0736171797e+01    1.3507314870e+01    1.7324074934e+01   -5.7294733807e+01    2.2537238297e+00    6.9807632464e+00    6.4000000000e+02    1.2439202368e-02    5.9865234375e-01
         3   -1.7213876712e+01    2.9669026743e+02   -3.0709981227e+01    1.3496104515e+01    1.6873904834e+01   -5.6312301373e+01    1.7476520650e+00    6.9807632464e+00    6.4000000000e+02    1.2411188697e-02    5.9952148438e-01
         4   -1.7201971506e+01    2.9624501270e+02   -3.0977700287e+01    1.3775728781e+01    1.7027249888e+01   -5.7059542588e+01    2.0738291667e+00    6.9807632464e+00    6.4000000000e+02    1.2444011060e-02    6.0036132813e-01
         5   -1.7246181648e+01    2.9775487272e+02   -3.1156136285e+01    1.3909954636e+01    1.7114780563e+01   -5.7354107609e+01    2.1024275147e+00    6.9807632464e+00    6.4000000000e+02    1.2426933394e-02    5.9458984375e-01
         6   -1.7230577894e+01    2.9709000143e+02   -3.1178618435e+01    1.3948040540e+01    1.6974466050e+01   -5.7169158257e+01    2.0353105259e+00    6.9807632464e+00    6.4000000000e+02    1.2432263400e-02    5.9744140625e-01
         7   -1.7260777454e+01    2.9826392095e+02   -3.1161139235e+01    1.3900361781e+01    1.7046384170e+01   -5.6792873117e+01    1.6045864658e+00    6.9807632464e+00    6.4000000000e+02    1.2422647581e-02    5.9776367188e-01
         8   -1.7204606922e+01    2.9621253826e+02   -3.0574670812e+01    1.3370063890e+01    1.7077372346e+01   -5.6498014326e+01    1.8652079220e+00    6.9807632464e+00    6.4000000000e+02    1.2441875566e-02    5.9985351562e-01
         9   -1.7222851154e+01    2.9689037972e+02   -3.1307805182e+01    1.4084954028e+01    1.7349656412e+01   -5.7546574332e+01    1.9083494915e+00    6.9807632464e+00    6.4000000000e+02    1.2458259194e-02    5.9918945312e-01
        10   -1.7221259316e+01    2.9682461484e+02   -3.0777505318e+01    1.3556246002e+01    1.7298076073e+01   -5.7242054770e+01    2.1857101327e+00    6.9807632464e+00    6.4000000000e+02    1.2470679372e-02    5.9777343750e-01
        11   -1.7230726470e+01    2.9719275174e+02   -3.0837743977e+01    1.3607017508e+01    1.7100385652e+01   -5.7266635012e+01    2.3477421352e+00    6.9807632464e+00    6.4000000000e+02    1.2461852275e-02    5.9565429688e-01
        12   -1.7258642049e+01    2.9807189718e+02   -3.1185193971e+01    1.3926551922e+01    1.7187904291e+01   -5.7352531285e+01    1.9986697758e+00    6.9807632464e+00    6.4000000000e+02    1.2451127678e-02    5.9520507813e-01
        13   -1.7183891178e+01    2.9576055396e+02   -3.0926500391e+01    1.3742609213e+01    1.6919228556e+01   -5.6769638950e+01    1.9431467561e+00    6.9807632464e+00    6.4000000000e+02    1.2457904532e-02    5.9812500000e-01
        14   -1.7242704501e+01    2.9753493007e+02   -3.1099606701e+01    1.3856902201e+01    1.7086484245e+01   -5.7063321953e+01    1.8964677600e+00    6.9807632464e+00    6.4000000000e+02    1.2451367322e-02    5.9752929687e-01
