#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6935856342e+01    2.8953366993e+02   -3.0076571307e+01    1.3140714965e+01    1.7539774784e+01   -5.6490856123e+01    1.8937467850e+00    6.9807632464e+00    6.4000000000e+02    3.2854898750e-03    6.0682617188e-01
         1   -1.6999683674e+01    2.9156469836e+02   -3.0225404486e+01    1.3225720812e+01    1.7665145807e+01   -5.6517782974e+01    1.6464694352e+00    6.9807632464e+00    6.4000000000e+02    3.3303695747e-03    6.0761718750e-01
         2   -1.7003505944e+01    2.9207485403e+02   -3.0517045899e+01    1.3513539954e+01    1.7575530023e+01   -5.7150264798e+01    2.0769256298e+00    6.9807632464e+00    6.4000000000e+02    3.2734925309e-03    6.0738281250e-01
         3   -1.6984335446e+01    2.9073190386e+02   -3.0737067555e+01    1.3752732109e+01    1.7827721274e+01   -5.7474464011e+01    1.9289119354e+00    6.9807632464e+00    6.4000000000e+02    3.3237116695e-03    6.0333007813e-01
         4   -1.7069971425e+01    2.9368726390e+02   -3.0490563705e+01    1.3420592280e+01    1.7560247984e+01   -5.7175356998e+01    2.1437820630e+00    6.9807632464e+00    6.4000000000e+02    3.3223801156e-03    6.0606445313e-01
         5   -1.6963353412e+01    2.9031431475e+02   -3.0206457312e+01    1.3243103900e+01    1.7621512948e+01   -5.6855680780e+01    2.0469472741e+00    6.9807632464e+00    6.4000000000e+02    3.2650801461e-03    6.0532226563e-01
         6   -1.6985187001e+01    2.9078184679e+02   -2.9748727558e+01    1.2763540557e+01    1.7437837919e+01   -5.6056586172e+01    1.8892574489e+00    6.9807632464e+00    6.4000000000e+02    3.3372507279e-03    6.0823242188e-01
         7   -1.7026756084e+01    2.9259998110e+02   -3.0714628254e+01    1.3687872171e+01    1.7754722298e+01   -5.7489934373e+01    2.0398205739e+00    6.9807632464e+00    6.4000000000e+02    3.3073309442e-03    6.0503906250e-01
         8   -1.6939440325e+01    2.8923920853e+02   -3.0183684078e+01    1.3244243753e+01    1.7650677200e+01   -5.6667931327e+01    1.8528068023e+00    6.9807632464e+00    6.4000000000e+02    3.2844228936e-03    6.0714843750e-01
         9   -1.6959711853e+01    2.9121565037e+02   -2.9771016815e+01    1.2811304962e+01    1.7432790218e+01   -5.6014998855e+01    1.8304285752e+00    6.9807632464e+00    6.4000000000e+02    3.3237185940e-03    6.0854492188e-01
        10   -1.6915159240e+01    2.8823724162e+02   -2.9932926987e+01    1.3017767748e+01    1.7337488342e+01   -5.6264467385e+01    2.0132888097e+00    6.9807632464e+00    6.4000000000e+02    3.2854923657e-03    6.0695312500e-01
        11   -1.6895872630e+01    2.8807442613e+02   -3.0231947207e+01    1.3336074577e+01    1.7687419684e+01   -5.6884753244e+01    1.9846231055e+00    6.9807632464e+00    6.4000000000e+02    3.3088307191e-03    6.0907226562e-01
        12   -1.7050675629e+01    2.9300331390e+02   -3.0611048629e+01    1.3560373000e+01    1.7588069042e+01   -5.6777679809e+01    1.5977988915e+00    6.9807632464e+00    6.4000000000e+02    3.3121345970e-03    6.0684570313e-01
        13   -1.6990998936e+01    2.9087586121e+02   -3.0009033821e+01    1.3018034885e+01    1.7550146445e+01   -5.6498882583e+01    1.9589390714e+00    6.9807632464e+00    6.4000000000e+02    3.2936129185e-03    6.0720703125e-01
        14   -1.6840877085e+01    2.8814683208e+02   -2.9542009275e+01    1.2701132190e+01    1.7464406825e+01   -5.5784090186e+01    1.7969108393e+00    6.9807632464e+00    6.4000000000e+02    3.3087547062e-03    6.1287109375e-01
        15   -1.7139510586e+01    2.9570769335e+02   -3.0352743838e+01    1.3213233251e+01    1.7262168768e+01   -5.6415630639e+01    1.8199547864e+00    6.9807632464e+00    6.4000000000e+02    3.2965288905e-03    6.0697265625e-01
        16   -1.6876013658e+01    2.8920406546e+02   -2.9846473331e+01    1.2970459673e+01    1.7519444444e+01   -5.6424666455e+01    2.0779854329e+00    6.9807632464e+00    6.4000000000e+02    3.3081018007e-03    6.0824218750e-01
        17   -1.7082962356e+01    2.9431711112e+02   -3.1019770094e+01    1.3936807738e+01    1.7630258729e+01   -5.7311623552e+01    1.6808314828e+00    6.9807632464e+00    6.4000000000e+02    3.3028476031e-03    6.0681640625e-01
        18   -1.7085749425e+01    2.9410804993e+02   -3.0516715191e+01    1.3430965766e+01    1.7514876679e+01   -5.7070264294e+01    2.0579091776e+00    6.9807632464e+00    6.4000000000e+02    3.3051392501e-03    6.0347656250e-01
        19   -1.6893086068e+01    2.8802302135e+02   -2.9951756120e+01    1.3058670052e+01    1.7522115696e+01   -5.6140098233e+01    1.6854631713e+00    6.9807632464e+00    6.4000000000e+02    3.3073916034e-03    6.0966796875e-01
        20   -1.6876923885e+01    2.8780175638e+02   -2.9910719580e+01    1.3033795695e+01    1.7677525381e+01   -5.6429967783e+01    1.8609595751e+00    6.9807632464e+00    6.4000000000e+02    3.2933204346e-03    6.0734375000e-01
