#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7220757215e+01    2.9675912561e+02   -3.0559361874e+01    1.3338604659e+01    1.6966469806e+01   -5.6216335474e+01    1.7097405471e+00    6.9807632464e+00    6.4000000000e+02    1.2462106959e-02    5.9842773438e-01
         1   -1.7240240437e+01    2.9748479194e+02   -3.0317130865e+01    1.3076890427e+01    1.6882567968e+01   -5.6036092103e+01    1.8556300229e+00    6.9807632464e+00    6.4000000000e+02    1.2427883331e-02    5.9894531250e-01
         2   -1.7254389587e+01    2.9806108640e+02   -3.0730728903e+01    1.3476339316e+01    1.7103275012e+01   -5.6524227408e+01    1.7094602466e+00    6.9807632464e+00    6.4000000000e+02    1.2482339475e-02    5.9654296875e-01
         3   -1.7261119894e+01    2.9821235014e+02   -3.0845441167e+01    1.3584321273e+01    1.7079764380e+01   -5.6724770886e+01    1.8188020918e+00    6.9807632464e+00    6.4000000000e+02    1.2471254972e-02    5.9737304688e-01
         4   -1.7247648535e+01    2.9772276155e+02   -3.0424627318e+01    1.3176978783e+01    1.7135333980e+01   -5.6447423297e+01    1.9066987529e+00    6.9807632464e+00    6.4000000000e+02    1.2459715035e-02    6.0044921875e-01
         5   -1.7290938833e+01    2.9925426547e+02   -3.0735794830e+01    1.3444855996e+01    1.7186746306e+01   -5.7149146564e+01    2.2458421818e+00    6.9807632464e+00    6.4000000000e+02    1.2455809156e-02    5.9692382812e-01
         6   -1.7185415844e+01    2.9570957141e+02   -3.1062122676e+01    1.3876706832e+01    1.7155096688e+01   -5.6704018052e+01    1.5060354425e+00    6.9807632464e+00    6.4000000000e+02    1.2483641835e-02    6.0059570312e-01
         7   -1.7233674747e+01    2.9726203323e+02   -3.0901329612e+01    1.3667654865e+01    1.7045736864e+01   -5.6929218011e+01    2.0013882885e+00    6.9807632464e+00    6.4000000000e+02    1.2471835162e-02    5.9584960937e-01
         8   -1.7264357346e+01    2.9835263977e+02   -3.0740130867e+01    1.3475773521e+01    1.7007013664e+01   -5.6634978519e+01    1.9070707421e+00    6.9807632464e+00    6.4000000000e+02    1.2749208059e-02    5.9958007813e-01
         9   -1.7276114343e+01    2.9874867007e+02   -3.0628732340e+01    1.3352617997e+01    1.7011249630e+01   -5.6200528482e+01    1.5797832651e+00    6.9807632464e+00    6.4000000000e+02    1.2488482918e-02    5.9971679688e-01
