#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7241945898e+01    2.9743816595e+02   -3.0760116360e+01    1.3518170462e+01    1.6959983100e+01   -5.6857366238e+01    2.1565035321e+00    6.9807632464e+00    6.4000000000e+02    1.7981294931e-02    5.9567382813e-01
         1   -1.7257795674e+01    2.9800026304e+02   -3.1069072898e+01    1.3811277224e+01    1.7052718129e+01   -5.6721207790e+01    1.6186535170e+00    6.9807632464e+00    6.4000000000e+02    1.8060489121e-02    5.9799804688e-01
         2   -1.7255370281e+01    2.9790789028e+02   -3.0809032798e+01    1.3553662517e+01    1.7033591384e+01   -5.7052989352e+01    2.2296019235e+00    6.9807632464e+00    6.4000000000e+02    1.8027396378e-02    5.9759765625e-01
         3   -1.7253917765e+01    2.9787763006e+02   -3.1207541942e+01    1.3953624177e+01    1.7195495076e+01   -5.7247878809e+01    1.8640785439e+00    6.9807632464e+00    6.4000000000e+02    1.8036099310e-02    5.9761718750e-01
         4   -1.7251111933e+01    2.9775196785e+02   -3.0659310328e+01    1.3408198395e+01    1.6846008275e+01   -5.6499806170e+01    2.0137243200e+00    6.9807632464e+00    6.4000000000e+02    1.8013656929e-02    5.9678710938e-01
         5   -1.7232982009e+01    2.9717591127e+02   -3.0800294202e+01    1.3567312192e+01    1.7033392402e+01   -5.6623271710e+01    1.8088218592e+00    6.9807632464e+00    6.4000000000e+02    1.8048127865e-02    5.9535156250e-01
         6   -1.7241426813e+01    2.9749074296e+02   -3.0748177929e+01    1.3506751116e+01    1.6910751947e+01   -5.6959277127e+01    2.3195840043e+00    6.9807632464e+00    6.4000000000e+02    1.7999470978e-02    5.9957031250e-01
         7   -1.7258864883e+01    2.9807150671e+02   -3.0928578723e+01    1.3669713840e+01    1.7137034664e+01   -5.7026143743e+01    1.9797671096e+00    6.9807632464e+00    6.4000000000e+02    1.8020759481e-02    5.9716796875e-01
         8   -1.7264688445e+01    2.9835835221e+02   -3.1155164176e+01    1.3890475730e+01    1.7266916521e+01   -5.7539394292e+01    2.1365503495e+00    6.9807632464e+00    6.4000000000e+02    1.8035006260e-02    5.9786132812e-01
         9   -1.7279166616e+01    2.9869697987e+02   -3.0740430285e+01    1.3461263668e+01    1.6918079407e+01   -5.6580941542e+01    1.9416686038e+00    6.9807632464e+00    6.4000000000e+02    1.7985874069e-02    5.9808593750e-01
        10   -1.7274283213e+01    2.9856913918e+02   -3.1018999795e+01    1.3744716583e+01    1.7051279778e+01   -5.6899149615e+01    1.8481067947e+00    6.9807632464e+00    6.4000000000e+02    1.7997486743e-02    5.9786132813e-01
        11   -1.7255205307e+01    2.9790783322e+02   -3.0809368144e+01    1.3554162838e+01    1.7080877821e+01   -5.6833872880e+01    1.9628636689e+00    6.9807632464e+00    6.4000000000e+02    1.8032967262e-02    5.9775390625e-01
        12   -1.7265356327e+01    2.9828325663e+02   -3.0953264864e+01    1.3687908537e+01    1.6987165951e+01   -5.7018568630e+01    2.0973745689e+00    6.9807632464e+00    6.4000000000e+02    1.8019504982e-02    5.9620117187e-01
        13   -1.7221142747e+01    2.9704343302e+02   -3.0440129538e+01    1.3218986791e+01    1.6971990766e+01   -5.6205416142e+01    1.8125325917e+00    6.9807632464e+00    6.4000000000e+02    1.8002219803e-02    5.9770507813e-01
        14   -1.7249778004e+01    2.9780696024e+02   -3.0698138889e+01    1.3448360885e+01    1.6888991844e+01   -5.6428181055e+01    1.8602870757e+00    6.9807632464e+00    6.4000000000e+02    1.8001128813e-02    5.9922851563e-01
        15   -1.7266754611e+01    2.9830351045e+02   -3.0659147752e+01    1.3392393140e+01    1.7067213937e+01   -5.6967947851e+01    2.2608229155e+00    6.9807632464e+00    6.4000000000e+02    1.8031329219e-02    6.0096679687e-01
        16   -1.7232595389e+01    2.9714318417e+02   -3.0885982229e+01    1.3653386841e+01    1.7086491715e+01   -5.6783867269e+01    1.8306300775e+00    6.9807632464e+00    6.4000000000e+02    1.8015015438e-02    5.9443359375e-01
        17   -1.7277204459e+01    2.9866985672e+02   -3.0378756320e+01    1.3101551861e+01    1.7038930363e+01   -5.6089040029e+01    1.6905900991e+00    6.9807632464e+00    6.4000000000e+02    1.7999367906e-02    5.9846679688e-01
        18   -1.7285046989e+01    2.9891068619e+02   -3.0938188072e+01    1.3653141083e+01    1.7141678675e+01   -5.6992491486e+01    1.9318614920e+00    6.9807632464e+00    6.4000000000e+02    1.8015167640e-02    5.9600585938e-01
        19   -1.7249231544e+01    2.9775206605e+02   -3.0867179547e+01    1.3617948003e+01    1.7021711100e+01   -5.7090128407e+01    2.2204745135e+00    6.9807632464e+00    6.4000000000e+02    1.7994525672e-02    5.9721679688e-01
        20   -1.7231329536e+01    2.9707636766e+02   -3.0517757516e+01    1.3286427981e+01    1.7100681850e+01   -5.6715284943e+01    2.1160823305e+00    6.9807632464e+00    6.4000000000e+02    1.8001863481e-02    5.9759765625e-01
        21   -1.7296552067e+01    2.9982261059e+02   -3.0823483790e+01    1.3526931724e+01    1.7023250975e+01   -5.6689232026e+01    1.8617340147e+00    6.9807632464e+00    6.4000000000e+02    1.8013412566e-02    6.0127929688e-01
        22   -1.7256518066e+01    2.9796966296e+02   -3.1134100501e+01    1.3877582435e+01    1.7080681036e+01   -5.7331479580e+01    2.1359347961e+00    6.9807632464e+00    6.4000000000e+02    1.7999096750e-02    5.9693359375e-01
        23   -1.7270915575e+01    2.9860970595e+02   -3.0795805516e+01    1.3524889941e+01    1.6956169296e+01   -5.6317734552e+01    1.5849964938e+00    6.9807632464e+00    6.4000000000e+02    1.8014273359e-02    5.9760742188e-01
        24   -1.7257998779e+01    2.9804044088e+02   -3.0957233573e+01    1.3699234794e+01    1.7199558573e+01   -5.7046671003e+01    1.9091156113e+00    6.9807632464e+00    6.4000000000e+02    1.7978168800e-02    5.9472656250e-01
        25   -1.7268103879e+01    2.9833063520e+02   -3.0939048113e+01    1.3670944234e+01    1.7289083091e+01   -5.7130712601e+01    1.9218181503e+00    6.9807632464e+00    6.4000000000e+02    1.8014120340e-02    5.9831054687e-01
        26   -1.7254840571e+01    2.9788516353e+02   -3.0867104918e+01    1.3612264347e+01    1.7011548065e+01   -5.6503688636e+01    1.6442724064e+00    6.9807632464e+00    6.4000000000e+02    1.7969411266e-02    5.9861328125e-01
        27   -1.7257173463e+01    2.9796075712e+02   -3.1084052953e+01    1.3826879490e+01    1.7127039831e+01   -5.7037322490e+01    1.8454664596e+00    6.9807632464e+00    6.4000000000e+02    1.7988110816e-02    5.9511718750e-01
        28   -1.7263176254e+01    2.9818215888e+02   -3.1390190968e+01    1.4127014713e+01    1.7317718940e+01   -5.7529432294e+01    1.8407591393e+00    6.9807632464e+00    6.4000000000e+02    1.8001458034e-02    5.9487304687e-01
        29   -1.7260763387e+01    2.9808963480e+02   -3.0815961140e+01    1.3555197753e+01    1.6908582332e+01   -5.6623057243e+01    1.9177505250e+00    6.9807632464e+00    6.4000000000e+02    1.7972160637e-02    5.9751953125e-01
