#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7261934669e+01    2.9820437935e+02   -3.0623997291e+01    1.3362062622e+01    1.7098407031e+01   -5.6557582764e+01    1.8544151953e+00    6.9807632464e+00    6.4000000000e+02    2.0548787569e-02    5.9819335938e-01
         1   -1.7215738834e+01    2.9659949146e+02   -3.1086234687e+01    1.3870495853e+01    1.7106797018e+01   -5.7333418379e+01    2.1596234284e+00    6.9807632464e+00    6.4000000000e+02    2.0540223207e-02    5.9723632813e-01
         2   -1.7270655589e+01    2.9858931708e+02   -3.0713961138e+01    1.3443305549e+01    1.6914645490e+01   -5.6430752502e+01    1.8213826277e+00    6.9807632464e+00    6.4000000000e+02    2.0506181112e-02    5.9437500000e-01
         3   -1.7236861483e+01    2.9739503870e+02   -3.0714231219e+01    1.3477369736e+01    1.6958849323e+01   -5.6640174634e+01    1.9863308465e+00    6.9807632464e+00    6.4000000000e+02    2.0489654016e-02    6.0138671875e-01
         4   -1.7270988887e+01    2.9952870476e+02   -3.1162330023e+01    1.3891341135e+01    1.7051157246e+01   -5.6999757992e+01    1.8055074770e+00    6.9807632464e+00    6.4000000000e+02    2.0501089744e-02    5.9885742188e-01
         5   -1.7254689213e+01    2.9806506036e+02   -3.0912484823e+01    1.3657795611e+01    1.7102037288e+01   -5.7241146955e+01    2.2458615974e+00    6.9807632464e+00    6.4000000000e+02    2.0474617393e-02    5.9960937500e-01
         6   -1.7250809974e+01    2.9782519945e+02   -3.0093115421e+01    1.2842305447e+01    1.6959540156e+01   -5.6268492456e+01    2.2350736327e+00    6.9807632464e+00    6.4000000000e+02    2.0467847001e-02    5.9905273438e-01
         7   -1.7268263844e+01    2.9845769800e+02   -3.0385509422e+01    1.3117245578e+01    1.7036900175e+01   -5.6921153548e+01    2.5179807044e+00    6.9807632464e+00    6.4000000000e+02    2.0491079231e-02    6.0094726563e-01
         8   -1.7232275936e+01    2.9713803668e+02   -3.0870161710e+01    1.3637885774e+01    1.7074912653e+01   -5.6602320114e+01    1.6764825048e+00    6.9807632464e+00    6.4000000000e+02    2.0494942744e-02    5.9758789063e-01
         9   -1.7250221952e+01    2.9780708828e+02   -3.0661705199e+01    1.3411483247e+01    1.6895664912e+01   -5.6560987797e+01    2.0228544390e+00    6.9807632464e+00    6.4000000000e+02    2.0467975807e-02    5.9538085938e-01
        10   -1.7230179612e+01    2.9712659373e+02   -3.0699802449e+01    1.3469622837e+01    1.7165224825e+01   -5.6795715972e+01    1.9499254517e+00    6.9807632464e+00    6.4000000000e+02    2.0486130447e-02    5.9897460937e-01
        11   -1.7228288014e+01    2.9706292050e+02   -3.0294377915e+01    1.3066089901e+01    1.7068470731e+01   -5.6823899022e+01    2.4802871297e+00    6.9807632464e+00    6.4000000000e+02    2.0475935719e-02    5.9963867188e-01
        12   -1.7257113777e+01    2.9805249922e+02   -3.1084052110e+01    1.3826938333e+01    1.7336054436e+01   -5.7741845994e+01    2.3409762014e+00    6.9807632464e+00    6.4000000000e+02    2.0488050553e-02    5.9812500000e-01
