#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7265398475e+01    2.9821298665e+02   -3.1062785896e+01    1.3797387421e+01    1.6943175126e+01   -5.6824469587e+01    1.8377453186e+00    6.9807632464e+00    6.4000000000e+02    2.9167318700e-02    5.9625000000e-01
         1   -1.7269561078e+01    2.9837696683e+02   -3.0608380654e+01    1.3338819576e+01    1.6980855878e+01   -5.6487975072e+01    1.9179752937e+00    6.9807632464e+00    6.4000000000e+02    2.9184838569e-02    6.0013671875e-01
         2   -1.7231542261e+01    2.9707015824e+02   -3.0687756402e+01    1.3456214141e+01    1.6900155913e+01   -5.6600735451e+01    2.0320598892e+00    6.9807632464e+00    6.4000000000e+02    2.9133932726e-02    5.9846679688e-01
         3   -1.7280695683e+01    2.9876561656e+02   -3.0917069246e+01    1.3636373563e+01    1.7360798428e+01   -5.7387389585e+01    2.1287586648e+00    6.9807632464e+00    6.4000000000e+02    2.9181944775e-02    5.9916015625e-01
         4   -1.7259528155e+01    2.9804568875e+02   -3.0348451960e+01    1.3088923804e+01    1.6956060445e+01   -5.6129292739e+01    1.8440170877e+00    6.9807632464e+00    6.4000000000e+02    2.9125964665e-02    5.9898437500e-01
         5   -1.7240526606e+01    2.9742235922e+02   -3.1249738198e+01    1.4009211591e+01    1.6947250519e+01   -5.7133196589e+01    1.9554446252e+00    6.9807632464e+00    6.4000000000e+02    2.9146926944e-02    5.9585937500e-01
         6   -1.7244425754e+01    2.9749306004e+02   -3.0814788321e+01    1.3570362567e+01    1.7015568496e+01   -5.6729692724e+01    1.9185726611e+00    6.9807632464e+00    6.4000000000e+02    2.9132512004e-02    5.9926757812e-01
         7   -1.7262317082e+01    2.9810026111e+02   -3.0766226104e+01    1.3503909023e+01    1.6985379932e+01   -5.6419857781e+01    1.6874884981e+00    6.9807632464e+00    6.4000000000e+02    2.9158433423e-02    5.9701171875e-01
         8   -1.7234364164e+01    2.9717252415e+02   -3.1011750935e+01    1.3777386771e+01    1.6919100848e+01   -5.6858139608e+01    1.9465245780e+00    6.9807632464e+00    6.4000000000e+02    2.9128804813e-02    5.9554687500e-01
         9   -1.7244082624e+01    2.9752356208e+02   -3.1228708513e+01    1.3984625888e+01    1.7160621800e+01   -5.7204778465e+01    1.8346849058e+00    6.9807632464e+00    6.4000000000e+02    2.9150409450e-02    5.9772460938e-01
        10   -1.7264319114e+01    2.9822474006e+02   -3.0527662157e+01    1.3263343042e+01    1.6829695065e+01   -5.6171668304e+01    1.8335478361e+00    6.9807632464e+00    6.4000000000e+02    2.9120709884e-02    5.9812500000e-01
        11   -1.7248487743e+01    2.9767617738e+02   -3.1019259632e+01    1.3770771888e+01    1.7093544403e+01   -5.6863713750e+01    1.7701464690e+00    6.9807632464e+00    6.4000000000e+02    2.9139860334e-02    5.9703125000e-01
        12   -1.7235260402e+01    2.9723794755e+02   -3.0793802458e+01    1.3558542056e+01    1.6976202781e+01   -5.6700048899e+01    1.9492804134e+00    6.9807632464e+00    6.4000000000e+02    2.9125512631e-02    5.9718750000e-01
        13   -1.7269112532e+01    2.9840348734e+02   -3.0762362412e+01    1.3493249880e+01    1.7059526886e+01   -5.6594631261e+01    1.7919787164e+00    6.9807632464e+00    6.4000000000e+02    2.9218347606e-02    6.0089843750e-01
