#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6560519798e-01    1.2121203603e+00   -1.1934356042e+00    7.2783040620e-01   -1.1934356042e+00    1.2800000000e+04    5.3009636133e-03    9.9875000000e-01
         1   -4.6278772612e-01    7.3160343165e-01   -1.1919490775e+00    7.2916135140e-01   -1.1919490775e+00    1.2800000000e+04    5.2919401953e-03    9.9859375000e-01
         2   -4.4469825926e-01    6.5437904685e-01   -1.2132072187e+00    7.6850895946e-01   -1.2132072187e+00    1.2800000000e+04    5.2936297754e-03    9.9867187500e-01
         3   -4.9201871672e-01    9.2912259120e-01   -1.2402946766e+00    7.4827595989e-01   -1.2402946766e+00    1.2800000000e+04    5.2988795947e-03    9.9914062500e-01
         4   -4.4121945598e-01    6.7478195375e-01   -1.1935613488e+00    7.5234189282e-01   -1.1935613488e+00    1.2800000000e+04    5.2942879297e-03    9.9906250000e-01
         5   -4.6052724155e-01    5.3088177517e-01   -1.1402233006e+00    6.7969605904e-01   -1.1402233006e+00    1.2800000000e+04    5.2923462109e-03    9.9835937500e-01
         6   -4.5008010385e-01    8.1437221815e-01   -1.2022337256e+00    7.5215362177e-01   -1.2022337256e+00    1.2800000000e+04    5.2925287158e-03    9.9867187500e-01
         7   -4.2167005200e-01    6.8282383304e-01   -1.2386740409e+00    8.1700398888e-01   -1.2386740409e+00    1.2800000000e+04    5.2957538184e-03    9.9898437500e-01
         8   -4.0851309816e-01    7.0389424020e-01   -1.2646570738e+00    8.5614397565e-01   -1.2646570738e+00    1.2800000000e+04    5.2981253711e-03    9.9890625000e-01
         9   -4.6427667625e-01    1.2925356693e+00   -1.2057868462e+00    7.4151016995e-01   -1.2057868462e+00    1.2800000000e+04    5.2926854883e-03    9.9835937500e-01
        10   -4.2960012787e-01    7.2376302743e-01   -1.2244386335e+00    7.9483850561e-01   -1.2244386335e+00    1.2800000000e+04    5.2935895850e-03    9.9835937500e-01
        11   -4.4669759998e-01    1.0662611231e+00   -1.1907527515e+00    7.4405515155e-01   -1.1907527515e+00    1.2800000000e+04    5.2901319873e-03    9.9859375000e-01
        12   -4.2833623616e-01    5.2226286028e-01   -1.2349647293e+00    8.0662849314e-01   -1.2349647293e+00    1.2800000000e+04    5.2938225732e-03    9.9835937500e-01
        13   -4.1324960719e-01    5.0416420804e-01   -1.2315227824e+00    8.1827317517e-01   -1.2315227824e+00    1.2800000000e+04    5.2913149170e-03    9.9820312500e-01
        14   -4.5291441439e-01    7.1933635302e-01   -1.2664374411e+00    8.1352302666e-01   -1.2664374411e+00    1.2800000000e+04    5.2958416357e-03    9.9851562500e-01
        15   -4.7523185579e-01    7.6008714455e-01   -1.1836263686e+00    7.0839451285e-01   -1.1836263686e+00    1.2800000000e+04    5.2963061084e-03    9.9898437500e-01
        16   -4.6451264573e-01    1.4176890064e+00   -1.2336673350e+00    7.6915468932e-01   -1.2336673350e+00    1.2800000000e+04    5.2943046631e-03    9.9835937500e-01
        17   -4.3956428589e-01    8.7379293800e-01   -1.2519590729e+00    8.1239478705e-01   -1.2519590729e+00    1.2800000000e+04    5.2947438232e-03    9.9851562500e-01
        18   -4.6815058867e-01    6.5476339232e-01   -1.1402844212e+00    6.7213383255e-01   -1.1402844212e+00    1.2800000000e+04    5.2957828467e-03    9.9890625000e-01
        19   -4.7823239133e-01    7.4601602433e-01   -1.2019574437e+00    7.2372505235e-01   -1.2019574437e+00    1.2800000000e+04    5.2922777783e-03    9.9843750000e-01
        20   -4.5551066820e-01    5.1026331249e-01   -1.0993152073e+00    6.4380453909e-01   -1.0993152073e+00    1.2800000000e+04    5.2986100732e-03    9.9875000000e-01
        21   -4.4978501604e-01    6.5906720680e-01   -1.2107839509e+00    7.6099893488e-01   -1.2107839509e+00    1.2800000000e+04    5.2903518457e-03    9.9804687500e-01
        22   -4.5421368151e-01    7.5263506288e-01   -1.2402154651e+00    7.8600178356e-01   -1.2402154651e+00    1.2800000000e+04    5.2912024512e-03    9.9851562500e-01
        23   -4.8668031683e-01    8.1150227674e-01   -1.1843110619e+00    6.9763074502e-01   -1.1843110619e+00    1.2800000000e+04    5.2920401562e-03    9.9851562500e-01
        24   -5.1698959085e-01    9.0473765917e-01   -1.1655604794e+00    6.4857088852e-01   -1.1655604794e+00    1.2800000000e+04    5.2983222217e-03    9.9875000000e-01
        25   -5.0251871222e-01    2.4035906167e+00   -1.1956563730e+00    6.9313766082e-01   -1.1956563730e+00    1.2800000000e+04    5.2952789160e-03    9.9875000000e-01
        26   -4.5021918308e-01    6.5372524434e-01   -1.1554716914e+00    7.0525250829e-01   -1.1554716914e+00    1.2800000000e+04    5.2947922168e-03    9.9890625000e-01
        27   -4.0867707285e-01    4.4748832380e-01   -1.1609921707e+00    7.5231509780e-01   -1.1609921707e+00    1.2800000000e+04    5.2944409570e-03    9.9875000000e-01
        28   -4.4011032571e-01    7.0532934801e-01   -1.1522016495e+00    7.1209132382e-01   -1.1522016495e+00    1.2800000000e+04    5.2905172217e-03    9.9843750000e-01
        29   -4.6746910552e-01    5.9969417834e-01   -1.1307800785e+00    6.6331097299e-01   -1.1307800785e+00    1.2800000000e+04    5.2969326465e-03    9.9882812500e-01
        30   -4.5157010941e-01    7.4528527258e-01   -1.1046106392e+00    6.5304052982e-01   -1.1046106392e+00    1.2800000000e+04    5.2923096484e-03    9.9867187500e-01
        31   -4.5847173825e-01    6.0071894820e-01   -1.2026681894e+00    7.4419645116e-01   -1.2026681894e+00    1.2800000000e+04    5.2899001611e-03    9.9859375000e-01
        32   -4.4667525335e-01    6.5101503846e-01   -1.2067036689e+00    7.6002841554e-01   -1.2067036689e+00    1.2800000000e+04    5.2953910449e-03    9.9898437500e-01
        33   -4.7633989769e-01    7.9216258640e-01   -1.2017174312e+00    7.2537753346e-01   -1.2017174312e+00    1.2800000000e+04    5.2946896680e-03    9.9867187500e-01
        34   -4.3785308110e-01    5.6802459844e-01   -1.2053083521e+00    7.6745527103e-01   -1.2053083521e+00    1.2800000000e+04    5.2909167383e-03    9.9843750000e-01
        35   -4.3276064943e-01    4.9041927024e-01   -1.1909108403e+00    7.5815019087e-01   -1.1909108403e+00    1.2800000000e+04    5.2955795215e-03    9.9875000000e-01
        36   -3.9777054008e-01    5.0314887324e-01   -1.1856402826e+00    7.8786974255e-01   -1.1856402826e+00    1.2800000000e+04    5.2918294727e-03    9.9859375000e-01
        37   -4.6772550673e-01    7.4143203252e-01   -1.1784200045e+00    7.1069449776e-01   -1.1784200045e+00    1.2800000000e+04    5.2924368359e-03    9.9867187500e-01
        38   -4.4309364834e-01    5.5102986112e-01   -1.1076597838e+00    6.6456613550e-01   -1.1076597838e+00    1.2800000000e+04    5.3009527783e-03    9.9906250000e-01
        39   -4.5091255297e-01    5.8808203725e-01   -1.1836618163e+00    7.3274926330e-01   -1.1836618163e+00    1.2800000000e+04    5.2953911719e-03    9.9890625000e-01
        40   -4.5022222439e-01    5.5476255186e-01   -1.1641947738e+00    7.1397254942e-01   -1.1641947738e+00    1.2800000000e+04    5.2964560938e-03    9.9859375000e-01
        41   -4.7471855739e-01    6.1009420712e-01   -1.1125467609e+00    6.3782820349e-01   -1.1125467609e+00    1.2800000000e+04    5.2944405762e-03    9.9882812500e-01
        42   -4.5754834071e-01    6.9681800766e-01   -1.2161455099e+00    7.5859716921e-01   -1.2161455099e+00    1.2800000000e+04    5.2971410449e-03    9.9882812500e-01
        43   -4.4486190610e-01    8.4423300306e-01   -1.2854298413e+00    8.4056793516e-01   -1.2854298413e+00    1.2800000000e+04    5.2910583691e-03    9.9812500000e-01
        44   -4.6577938925e-01    5.2337569457e-01   -1.1158017458e+00    6.5002235653e-01   -1.1158017458e+00    1.2800000000e+04    5.2960201221e-03    9.9921875000e-01
        45   -4.9539786238e-01    8.6368260217e-01   -1.0913841113e+00    5.9598624888e-01   -1.0913841113e+00    1.2800000000e+04    5.2977593994e-03    9.9937500000e-01
        46   -4.7492045372e-01    6.2424689462e-01   -1.1405956183e+00    6.6567516457e-01   -1.1405956183e+00    1.2800000000e+04    5.2912085547e-03    9.9867187500e-01
        47   -4.9124923936e-01    9.4071809666e-01   -1.2095636013e+00    7.1831436195e-01   -1.2095636013e+00    1.2800000000e+04    5.2926796582e-03    9.9867187500e-01
        48   -4.7803692606e-01    6.1284433771e-01   -1.1195044149e+00    6.4146748880e-01   -1.1195044149e+00    1.2800000000e+04    5.2900889795e-03    9.9804687500e-01
        49   -4.5140864951e-01    6.2747957490e-01   -1.1417743142e+00    6.9036566467e-01   -1.1417743142e+00    1.2800000000e+04    5.2902908008e-03    9.9835937500e-01
        50   -4.1766024318e-01    6.7287147592e-01   -1.2640968929e+00    8.4643664970e-01   -1.2640968929e+00    1.2800000000e+04    5.2897803760e-03    9.9828125000e-01
        51   -4.4140026287e-01    7.5834957216e-01   -1.2313246620e+00    7.8992439913e-01   -1.2313246620e+00    1.2800000000e+04    5.2950638770e-03    9.9875000000e-01
        52   -4.3064797781e-01    9.6388409074e-01   -1.2384878053e+00    8.0783982751e-01   -1.2384878053e+00    1.2800000000e+04    5.3012467383e-03    9.9929687500e-01
        53   -4.4046774539e-01    6.9768767883e-01   -1.3026248458e+00    8.6215710041e-01   -1.3026248458e+00    1.2800000000e+04    5.2945610107e-03    9.9851562500e-01
        54   -4.2627153428e-01    7.5312002559e-01   -1.2896719532e+00    8.6340041890e-01   -1.2896719532e+00    1.2800000000e+04    5.2977669043e-03    9.9867187500e-01
        55   -4.2969403860e-01    6.1175496955e-01   -1.2799253217e+00    8.5023128306e-01   -1.2799253217e+00    1.2800000000e+04    5.2953212891e-03    9.9851562500e-01
        56   -4.2935590525e-01    6.9025948171e-01   -1.2549452152e+00    8.2558930995e-01   -1.2549452152e+00    1.2800000000e+04    5.2956010596e-03    9.9875000000e-01
        57   -4.8509976610e-01    6.4108231713e-01   -1.1859699848e+00    7.0087021869e-01   -1.1859699848e+00    1.2800000000e+04    5.2907777832e-03    9.9835937500e-01
        58   -4.4660969532e-01    5.7287110292e-01   -1.2059683382e+00    7.5935864292e-01   -1.2059683382e+00    1.2800000000e+04    5.2991498584e-03    9.9914062500e-01
        59   -4.6138603611e-01    6.4645761255e-01   -1.1868504354e+00    7.2546439926e-01   -1.1868504354e+00    1.2800000000e+04    5.2936254346e-03    9.9867187500e-01
        60   -4.4043712273e-01    5.8514181455e-01   -1.1850052778e+00    7.4456815511e-01   -1.1850052778e+00    1.2800000000e+04    5.2947621729e-03    9.9906250000e-01
        61   -4.4220375039e-01    6.5944233651e-01   -1.2005769920e+00    7.5837324159e-01   -1.2005769920e+00    1.2800000000e+04    5.2945103857e-03    9.9859375000e-01
        62   -4.6456515069e-01    5.5589449218e-01   -1.1605316516e+00    6.9596650094e-01   -1.1605316516e+00    1.2800000000e+04    5.2944879297e-03    9.9835937500e-01
        63   -4.4750677390e-01    8.2948303314e-01   -1.2088401208e+00    7.6133334687e-01   -1.2088401208e+00    1.2800000000e+04    5.2963928760e-03    9.9843750000e-01
        64   -5.2029914226e-01    1.0340929594e+00   -1.1610952953e+00    6.4079615308e-01   -1.1610952953e+00    1.2800000000e+04    5.2978961377e-03    9.9921875000e-01
        65   -4.4838672540e-01    6.6661443005e-01   -1.2178212759e+00    7.6943455052e-01   -1.2178212759e+00    1.2800000000e+04    5.2975547363e-03    9.9898437500e-01
        66   -4.5815804724e-01    7.3165440646e-01   -1.2206861634e+00    7.6252811611e-01   -1.2206861634e+00    1.2800000000e+04    5.2949291406e-03    9.9875000000e-01
        67   -4.2001269765e-01    9.1427356623e-01   -1.2951019655e+00    8.7508926783e-01   -1.2951019655e+00    1.2800000000e+04    5.2968417383e-03    9.9867187500e-01
        68   -4.6301069452e-01    6.6730808425e-01   -1.1991860513e+00    7.3617535681e-01   -1.1991860513e+00    1.2800000000e+04    5.2938406982e-03    9.9851562500e-01
        69   -4.7835073646e-01    8.7237866604e-01   -1.2274278456e+00    7.4907710918e-01   -1.2274278456e+00    1.2800000000e+04    5.2968732520e-03    9.9859375000e-01
        70   -4.4863010341e-01    7.0710853988e-01   -1.2155838098e+00    7.6695370635e-01   -1.2155838098e+00    1.2800000000e+04    5.2981547168e-03    9.9898437500e-01
        71   -4.6148044003e-01    4.8974450522e-01   -1.1077460798e+00    6.4626563973e-01   -1.1077460798e+00    1.2800000000e+04    5.2926797461e-03    9.9851562500e-01
        72   -4.3033201894e-01    5.3718655169e-01   -1.1570933637e+00    7.2676134480e-01   -1.1570933637e+00    1.2800000000e+04    5.2938303223e-03    9.9851562500e-01
        73   -4.5369890118e-01    7.3686290143e-01   -1.2179676806e+00    7.6426877944e-01   -1.2179676806e+00    1.2800000000e+04    5.2924802930e-03    9.9843750000e-01
        74   -4.8144277117e-01    9.9238716738e-01   -1.2041313463e+00    7.2268857516e-01   -1.2041313463e+00    1.2800000000e+04    5.2891931250e-03    9.9835937500e-01
        75   -4.5733258068e-01    6.5436656157e-01   -1.2111127424e+00    7.5378016177e-01   -1.2111127424e+00    1.2800000000e+04    5.2980527734e-03    9.9859375000e-01
        76   -4.7617263089e-01    6.9789651653e-01   -1.1583813793e+00    6.8220874842e-01   -1.1583813793e+00    1.2800000000e+04    5.2956731104e-03    9.9851562500e-01
        77   -4.2882034900e-01    6.3158728200e-01   -1.2653304453e+00    8.3651009635e-01   -1.2653304453e+00    1.2800000000e+04    5.2963954297e-03    9.9882812500e-01
        78   -4.0594011179e-01    5.2117929825e-01   -1.2792384949e+00    8.7329838315e-01   -1.2792384949e+00    1.2800000000e+04    5.2940316992e-03    9.9859375000e-01
        79   -4.4031912676e-01    7.6827471290e-01   -1.2732976465e+00    8.3297851974e-01   -1.2732976465e+00    1.2800000000e+04    5.2933914941e-03    9.9875000000e-01
        80   -4.7193222262e-01    9.4196777084e-01   -1.2479919477e+00    7.7605972505e-01   -1.2479919477e+00    1.2800000000e+04    5.2973261475e-03    9.9859375000e-01
        81   -4.4968352833e-01    9.4836213839e-01   -1.2690568492e+00    8.1937332084e-01   -1.2690568492e+00    1.2800000000e+04    5.2962165674e-03    9.9914062500e-01
        82   -4.2790121355e-01    5.7650862990e-01   -1.1945968842e+00    7.6669567069e-01   -1.1945968842e+00    1.2800000000e+04    5.2939474072e-03    9.9867187500e-01
        83   -4.7765372199e-01    5.8628263003e-01   -1.1172912822e+00    6.3963756020e-01   -1.1172912822e+00    1.2800000000e+04    5.2893947754e-03    9.9835937500e-01
        84   -4.1977493153e-01    6.3483405209e-01   -1.2474896850e+00    8.2771475347e-01   -1.2474896850e+00    1.2800000000e+04    5.2945455908e-03    9.9890625000e-01
        85   -4.5324938058e-01    1.3162560854e+00   -1.2191909567e+00    7.6594157609e-01   -1.2191909567e+00    1.2800000000e+04    5.2959409473e-03    9.9875000000e-01
