#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -3.8011574061e-01    2.9337207018e-01   -1.2379919992e+00    8.5787625858e-01   -1.2379919992e+00    1.2800000000e+02    5.5756918933e-05    1.0000000000e+00
         1   -3.8687682226e-01    3.0873495371e-01   -1.2325540384e+00    8.4567721618e-01   -1.2325540384e+00    1.2800000000e+02    6.2565395517e-05    1.0000000000e+00
         2   -3.9490506480e-01    3.3086899343e-01   -1.2472528202e+00    8.5234775541e-01   -1.2472528202e+00    1.2800000000e+02    5.9976113288e-05    1.0000000000e+00
         3   -3.9680314276e-01    3.3264687502e-01   -1.2552562776e+00    8.5845313487e-01   -1.2552562776e+00    1.2800000000e+02    5.9779580077e-05    1.0000000000e+00
         4   -3.8403505125e-01    3.1687000790e-01   -1.2456826589e+00    8.6164760760e-01   -1.2456826589e+00    1.2800000000e+02    5.9606372048e-05    1.0000000000e+00
         5   -3.8195646288e-01    3.1106851685e-01   -1.2258656011e+00    8.4390913818e-01   -1.2258656011e+00    1.2800000000e+02    5.9577021478e-05    1.0000000000e+00
         6   -3.8430740109e-01    3.1766434529e-01   -1.2216811178e+00    8.3737371668e-01   -1.2216811178e+00    1.2800000000e+02    5.9487661130e-05    1.0000000000e+00
         7   -3.7546579054e-01    2.9931146997e-01   -1.1977199241e+00    8.2225413354e-01   -1.1977199241e+00    1.2800000000e+02    5.9931074194e-05    1.0000000000e+00
         8   -3.7661996413e-01    3.0807330998e-01   -1.2019685694e+00    8.2534860523e-01   -1.2019685694e+00    1.2800000000e+02    5.9851508780e-05    1.0000000000e+00
         9   -3.7535728149e-01    3.0542396619e-01   -1.1879396146e+00    8.1258233315e-01   -1.1879396146e+00    1.2800000000e+02    5.9503496075e-05    1.0000000000e+00
        10   -3.7861195516e-01    3.2362906312e-01   -1.1911167818e+00    8.1250482666e-01   -1.1911167818e+00    1.2800000000e+02    5.9864877898e-05    1.0000000000e+00
        11   -3.8340677042e-01    3.2552684959e-01   -1.2076255573e+00    8.2421878686e-01   -1.2076255573e+00    1.2800000000e+02    5.9768999009e-05    1.0000000000e+00
        12   -3.9021555278e-01    3.6548669525e-01   -1.2274977138e+00    8.3728216103e-01   -1.2274977138e+00    1.2800000000e+02    5.9685541970e-05    1.0000000000e+00
        13   -4.2419905910e-01    7.6557821448e-01   -1.2687715076e+00    8.4457244846e-01   -1.2687715076e+00    1.2800000000e+02    5.9765634738e-05    1.0000000000e+00
        14   -4.2575278525e-01    7.1408583087e-01   -1.2714930831e+00    8.4574029789e-01   -1.2714930831e+00    1.2800000000e+02    6.0034340809e-05    1.0000000000e+00
        15   -4.2154402662e-01    5.3304182510e-01   -1.2628584101e+00    8.4131438351e-01   -1.2628584101e+00    1.2800000000e+02    5.9878764663e-05    1.0000000000e+00
        16   -4.1906933371e-01    5.3382587958e-01   -1.2591081606e+00    8.4003882688e-01   -1.2591081606e+00    1.2800000000e+02    5.9909746067e-05    1.0000000000e+00
        17   -4.3909054782e-01    6.5702674191e-01   -1.2857591714e+00    8.4666862360e-01   -1.2857591714e+00    1.2800000000e+02    5.9705683604e-05    1.0000000000e+00
        18   -4.8895694868e-01    1.1059993209e+00   -1.3264114987e+00    8.3745455000e-01   -1.3264114987e+00    1.2800000000e+02    5.9850937507e-05    1.0000000000e+00
        19   -5.1266842660e-01    1.2951027202e+00   -1.3560401285e+00    8.4337170188e-01   -1.3560401285e+00    1.2800000000e+02    5.9692680662e-05    1.0000000000e+00
        20   -5.2904995951e-01    1.5151509998e+00   -1.3711363889e+00    8.4208642938e-01   -1.3711363889e+00    1.2800000000e+02    6.0001025393e-05    1.0000000000e+00
        21   -5.0757575579e-01    8.9405881818e-01   -1.3455378769e+00    8.3796212113e-01   -1.3455378769e+00    1.2800000000e+02    6.0173173814e-05    1.0000000000e+00
        22   -4.6497098715e-01    5.9828501906e-01   -1.3050538903e+00    8.4008290313e-01   -1.3050538903e+00    1.2800000000e+02    5.9843774416e-05    1.0000000000e+00
        23   -4.6102171808e-01    5.0302974315e-01   -1.3090904108e+00    8.4806869273e-01   -1.3090904108e+00    1.2800000000e+02    5.9870493164e-05    1.0000000000e+00
        24   -4.7391179956e-01    5.4051478283e-01   -1.3300295131e+00    8.5611771358e-01   -1.3300295131e+00    1.2800000000e+02    5.9676020502e-05    1.0000000000e+00
        25   -5.0613900788e-01    7.3237552710e-01   -1.3605632153e+00    8.5442420746e-01   -1.3605632153e+00    1.2800000000e+02    5.9511015603e-05    1.0000000000e+00
