#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -3.3260983880e-01    7.8353896137e-01   -1.3772670348e+00    1.0446571960e+00   -1.3772670348e+00    2.0480000000e+05    5.3157075757e-03    9.9992675781e-01
         1   -3.6118816431e-01    7.7530088392e-01   -1.4096752462e+00    1.0484870819e+00   -1.4096752462e+00    2.0480000000e+05    5.3183511813e-03    9.9995605469e-01
         2   -3.8672618207e-01    6.5989515219e-01   -1.4206665063e+00    1.0339403242e+00   -1.4206665063e+00    2.0480000000e+05    5.3141282819e-03    9.9994140625e-01
         3   -4.0566069525e-01    9.7399520577e-01   -1.4449043811e+00    1.0392436858e+00   -1.4449043811e+00    2.0480000000e+05    5.3128548013e-03    9.9993652344e-01
         4   -3.9529908467e-01    8.5064605633e-01   -1.4181269492e+00    1.0228278645e+00   -1.4181269492e+00    2.0480000000e+05    5.2924895596e-03    9.9995117187e-01
         5   -4.1756136308e-01    1.1117237551e+00   -1.4146350821e+00    9.9707371906e-01   -1.4146350821e+00    2.0480000000e+05    5.3117319968e-03    9.9995117187e-01
         6   -4.0827986737e-01    8.1656014367e-01   -1.3770277393e+00    9.6874787195e-01   -1.3770277393e+00    2.0480000000e+05    5.3131876001e-03    9.9995605469e-01
         7   -4.1568283753e-01    7.5410618380e-01   -1.3468161320e+00    9.3113329444e-01   -1.3468161320e+00    2.0480000000e+05    5.3112108463e-03    9.9995605469e-01
         8   -4.2484496437e-01    6.7806311350e-01   -1.3192366662e+00    8.9439170181e-01   -1.3192366662e+00    2.0480000000e+05    5.3148362637e-03    9.9994140625e-01
         9   -4.2221371618e-01    8.0206906999e-01   -1.2946017841e+00    8.7238806794e-01   -1.2946017841e+00    2.0480000000e+05    5.2916779962e-03    9.9994628906e-01
        10   -4.1886226155e-01    6.7856101559e-01   -1.2832990807e+00    8.6443681914e-01   -1.2832990807e+00    2.0480000000e+05    5.3109992081e-03    9.9993652344e-01
        11   -4.2873437548e-01    7.0002151152e-01   -1.2947590404e+00    8.6602466491e-01   -1.2947590404e+00    2.0480000000e+05    5.3137584207e-03    9.9993652344e-01
        12   -4.3491100680e-01    8.6336792554e-01   -1.2927594640e+00    8.5784845716e-01   -1.2927594640e+00    2.0480000000e+05    5.3118868484e-03    9.9996582031e-01
        13   -4.2382415966e-01    7.4896281569e-01   -1.2608302283e+00    8.3700606862e-01   -1.2608302283e+00    2.0480000000e+05    5.3137263095e-03    9.9995117187e-01
        14   -4.3440764837e-01    7.6916694347e-01   -1.2622154712e+00    8.2780782280e-01   -1.2622154712e+00    2.0480000000e+05    5.2943309872e-03    9.9992675781e-01
        15   -4.4395505878e-01    6.6696077129e-01   -1.2520928065e+00    8.0813774774e-01   -1.2520928065e+00    2.0480000000e+05    5.3118050092e-03    9.9995117187e-01
        16   -4.3334219777e-01    6.7582440347e-01   -1.2510189511e+00    8.1767675334e-01   -1.2510189511e+00    2.0480000000e+05    5.3118455780e-03    9.9996093750e-01
        17   -4.2880842152e-01    6.4555051566e-01   -1.2315609069e+00    8.0275248539e-01   -1.2315609069e+00    2.0480000000e+05    5.3122320413e-03    9.9994628906e-01
        18   -4.3227457937e-01    7.1053587835e-01   -1.2344982623e+00    8.0222368294e-01   -1.2344982623e+00    2.0480000000e+05    5.3157214749e-03    9.9995605469e-01
        19   -4.3685420920e-01    7.7764595748e-01   -1.2283127814e+00    7.9145857219e-01   -1.2283127814e+00    2.0480000000e+05    5.2935253876e-03    9.9996093750e-01
        20   -4.3773740284e-01    6.2876808102e-01   -1.2326891448e+00    7.9495174198e-01   -1.2326891448e+00    2.0480000000e+05    5.3118559329e-03    9.9995605469e-01
        21   -4.5481747199e-01    7.3373106578e-01   -1.2523250499e+00    7.9750757787e-01   -1.2523250499e+00    2.0480000000e+05    5.3139912369e-03    9.9995117187e-01
        22   -4.4792584346e-01    6.2864830573e-01   -1.2285147574e+00    7.8058891392e-01   -1.2285147574e+00    2.0480000000e+05    5.3113620212e-03    9.9998535156e-01
        23   -4.5014889762e-01    6.0968748388e-01   -1.2015018632e+00    7.5135296560e-01   -1.2015018632e+00    2.0480000000e+05    5.3131972095e-03    9.9996093750e-01
        24   -4.5429783661e-01    8.3403341498e-01   -1.1967305190e+00    7.4243268242e-01   -1.1967305190e+00    2.0480000000e+05    5.2954671634e-03    9.9995117187e-01
        25   -4.5998364106e-01    7.3281404102e-01   -1.2165405976e+00    7.5655695653e-01   -1.2165405976e+00    2.0480000000e+05    5.3115510321e-03    9.9997558594e-01
        26   -4.5078339437e-01    7.0455326607e-01   -1.2065114598e+00    7.5572806545e-01   -1.2065114598e+00    2.0480000000e+05    5.3134756406e-03    9.9996093750e-01
        27   -4.5977443674e-01    7.3093761745e-01   -1.2072495845e+00    7.4747514779e-01   -1.2072495845e+00    2.0480000000e+05    5.3125634830e-03    9.9993652344e-01
        28   -4.3916554609e-01    5.7710684738e-01   -1.1899313503e+00    7.5076580423e-01   -1.1899313503e+00    2.0480000000e+05    5.3138618671e-03    9.9997070312e-01
        29   -4.4550580412e-01    6.3726251196e-01   -1.1970724490e+00    7.5156664486e-01   -1.1970724490e+00    2.0480000000e+05    5.2937819861e-03    9.9998046875e-01
        30   -4.5685416555e-01    7.4689399699e-01   -1.1976065078e+00    7.4075234220e-01   -1.1976065078e+00    2.0480000000e+05    5.3133162582e-03    9.9995117187e-01
        31   -4.4840352244e-01    7.4578246011e-01   -1.2025660094e+00    7.5416248698e-01   -1.2025660094e+00    2.0480000000e+05    5.3135349554e-03    9.9993164062e-01
        32   -4.5474688632e-01    9.7009606622e-01   -1.2055881439e+00    7.5084125753e-01   -1.2055881439e+00    2.0480000000e+05    5.3134089258e-03    9.9990234375e-01
        33   -4.5750791654e-01    7.1130941760e-01   -1.1946611187e+00    7.3715320215e-01   -1.1946611187e+00    2.0480000000e+05    5.3154258594e-03    9.9997558594e-01
        34   -4.5799051883e-01    6.8077510580e-01   -1.1844180691e+00    7.2642755023e-01   -1.1844180691e+00    2.0480000000e+05    5.2944556909e-03    9.9995605469e-01
        35   -4.5204095110e-01    7.4369911107e-01   -1.1815563618e+00    7.2951541070e-01   -1.1815563618e+00    2.0480000000e+05    5.3107633331e-03    9.9993652344e-01
        36   -4.4848100707e-01    6.8086159229e-01   -1.1692987832e+00    7.2081777618e-01   -1.1692987832e+00    2.0480000000e+05    5.3146689426e-03    9.9999511719e-01
        37   -4.5107883313e-01    6.2547467284e-01   -1.1724205187e+00    7.2134168560e-01   -1.1724205187e+00    2.0480000000e+05    5.3111801526e-03    9.9996582031e-01
        38   -4.4721101675e-01    5.7768766680e-01   -1.1553466662e+00    7.0813564949e-01   -1.1553466662e+00    2.0480000000e+05    5.3146432397e-03    9.9997558594e-01
        39   -4.5860523325e-01    7.6493896766e-01   -1.1645765148e+00    7.0597128151e-01   -1.1645765148e+00    2.0480000000e+05    5.2945975525e-03    9.9995605469e-01
        40   -4.4945985063e-01    6.4657182346e-01   -1.1772328176e+00    7.2777296696e-01   -1.1772328176e+00    2.0480000000e+05    5.3127803241e-03    9.9993652344e-01
        41   -4.6662024596e-01    7.3159175238e-01   -1.1866160284e+00    7.1999578240e-01   -1.1866160284e+00    2.0480000000e+05    5.3143991061e-03    9.9996093750e-01
        42   -4.6097261051e-01    6.7913858636e-01   -1.1862658871e+00    7.2529327657e-01   -1.1862658871e+00    2.0480000000e+05    5.3134900696e-03    9.9993652344e-01
        43   -4.4760392667e-01    6.3536023366e-01   -1.1682848467e+00    7.2068092005e-01   -1.1682848467e+00    2.0480000000e+05    5.3158411777e-03    9.9996582031e-01
        44   -4.5827774445e-01    7.7178298777e-01   -1.1972218708e+00    7.3894412638e-01   -1.1972218708e+00    2.0480000000e+05    5.2934318387e-03    9.9996582031e-01
