#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -4.8011246373e-01    5.7249639861e-01   -1.2128819049e+00    7.3276944114e-01   -1.2128819049e+00    1.2800000000e+04    5.6578723877e-03    9.8226562500e-01
         1   -4.7939236104e-01    4.8085919104e-01   -1.2356349669e+00    7.5624260584e-01   -1.2356349669e+00    1.2800000000e+04    5.7450352686e-03    9.8476562500e-01
         2   -4.6710203557e-01    4.1537943898e-01   -1.2515957983e+00    7.8449376270e-01   -1.2515957983e+00    1.2800000000e+04    5.6795417090e-03    9.8250000000e-01
         3   -4.5596905598e-01    5.4101751182e-01   -1.3033197482e+00    8.4735069226e-01   -1.3033197482e+00    1.2800000000e+04    5.6649059619e-03    9.8015625000e-01
         4   -4.4861029675e-01    3.6306747097e-01   -1.3299512687e+00    8.8134097191e-01   -1.3299512687e+00    1.2800000000e+04    5.6604725537e-03    9.8109375000e-01
         5   -4.6565220159e-01    3.8653394553e-01   -1.2652260531e+00    7.9957385147e-01   -1.2652260531e+00    1.2800000000e+04    5.6855939209e-03    9.8257812500e-01
         6   -4.6812116825e-01    3.5555838833e-01   -1.2460864170e+00    7.7796524875e-01   -1.2460864170e+00    1.2800000000e+04    5.6760915234e-03    9.8179687500e-01
         7   -4.6402181581e-01    3.3751940605e-01   -1.2536584458e+00    7.8963662995e-01   -1.2536584458e+00    1.2800000000e+04    5.6652355811e-03    9.8062500000e-01
         8   -4.6979576801e-01    3.5090253768e-01   -1.2339002691e+00    7.6410450106e-01   -1.2339002691e+00    1.2800000000e+04    5.6773197412e-03    9.8156250000e-01
         9   -4.5453869171e-01    3.3274152779e-01   -1.3038798628e+00    8.4934117109e-01   -1.3038798628e+00    1.2800000000e+04    5.6456176904e-03    9.7851562500e-01
        10   -4.6488416989e-01    4.7602363397e-01   -1.2735603553e+00    8.0867618537e-01   -1.2735603553e+00    1.2800000000e+04    5.6714987451e-03    9.8031250000e-01
        11   -4.6095863602e-01    3.5967536627e-01   -1.2703570615e+00    8.0939842551e-01   -1.2703570615e+00    1.2800000000e+04    5.6655931055e-03    9.7976562500e-01
        12   -4.7993371234e-01    3.6819260585e-01   -1.2046094192e+00    7.2467570687e-01   -1.2046094192e+00    1.2800000000e+04    5.6714523730e-03    9.8164062500e-01
        13   -4.7220567610e-01    3.5279120014e-01   -1.2164818494e+00    7.4427617327e-01   -1.2164818494e+00    1.2800000000e+04    5.6788324316e-03    9.8250000000e-01
        14   -4.7732530377e-01    4.2390238717e-01   -1.2042706026e+00    7.2694529880e-01   -1.2042706026e+00    1.2800000000e+04    5.6563101221e-03    9.8039062500e-01
        15   -4.8755621769e-01    3.3704062958e-01   -1.1724298457e+00    6.8487362800e-01   -1.1724298457e+00    1.2800000000e+04    5.6807977393e-03    9.8304687500e-01
        16   -4.6766578286e-01    3.6696744082e-01   -1.2426335145e+00    7.7496773168e-01   -1.2426335145e+00    1.2800000000e+04    5.6785538086e-03    9.8132812500e-01
        17   -4.7066664079e-01    3.3281727491e-01   -1.2206940846e+00    7.5002744383e-01   -1.2206940846e+00    1.2800000000e+04    5.7040725732e-03    9.8554687500e-01
        18   -4.7931363219e-01    4.6086203170e-01   -1.2108676363e+00    7.3155400415e-01   -1.2108676363e+00    1.2800000000e+04    5.6797243457e-03    9.8156250000e-01
        19   -4.6144316927e-01    8.5822771905e-01   -1.3297191928e+00    8.6827602356e-01   -1.3297191928e+00    1.2800000000e+04    5.6503853857e-03    9.7914062500e-01
        20   -4.8298799837e-01    3.3427155864e-01   -1.1789843190e+00    6.9599632066e-01   -1.1789843190e+00    1.2800000000e+04    5.6850524170e-03    9.8296875000e-01
