#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5883767444e+01    5.9288889544e+03   -1.5201565754e+02    7.6131890091e+01    6.1957101802e+01   -2.4763672067e+02    3.3663961334e+01    1.2800000000e+04    1.1107393646e-01    8.6455566406e-01
         1   -7.5695114157e+01    6.0352359199e+03   -1.4972516685e+02    7.4030052696e+01    6.2627917002e+01   -2.4601704519e+02    3.3663961334e+01    1.2800000000e+04    1.1118505042e-01    8.6582519531e-01
         2   -7.5052746817e+01    5.6722916951e+03   -1.4734558530e+02    7.2292838481e+01    6.2310940107e+01   -2.4332048674e+02    3.3663961334e+01    1.2800000000e+04    1.1119292837e-01    8.6520019531e-01
         3   -7.5107363310e+01    5.6979751438e+03   -1.4997516847e+02    7.4867805164e+01    6.2586051498e+01   -2.4622518131e+02    3.3663961334e+01    1.2800000000e+04    1.1120109059e-01    8.6561523438e-01
         4   -7.5347539603e+01    5.7734907046e+03   -1.4748979797e+02    7.2142258372e+01    6.2210658806e+01   -2.4336441811e+02    3.3663961334e+01    1.2800000000e+04    1.1116347184e-01    8.6586425781e-01
         5   -7.4811468615e+01    5.7247885381e+03   -1.5126015285e+02    7.6448684233e+01    6.2616075537e+01   -2.4754018972e+02    3.3663961334e+01    1.2800000000e+04    1.1114915653e-01    8.6423828125e-01
         6   -7.4576512784e+01    5.6527495080e+03   -1.5260573370e+02    7.8029220912e+01    6.1957655296e+01   -2.4822735033e+02    3.3663961334e+01    1.2800000000e+04    1.1116736578e-01    8.6483886719e-01
         7   -7.6651773148e+01    6.7147797703e+03   -1.5363952458e+02    7.6987751435e+01    6.2345303150e+01   -2.4964878907e+02    3.3663961334e+01    1.2800000000e+04    1.1110590360e-01    8.6363281250e-01
         8   -7.5294841394e+01    5.7302673632e+03   -1.5093232038e+02    7.5637478986e+01    6.2508175511e+01   -2.4710445722e+02    3.3663961334e+01    1.2800000000e+04    1.1117247403e-01    8.6603515625e-01
         9   -7.5177125415e+01    5.6935250230e+03   -1.4724220812e+02    7.2065082704e+01    6.2503361482e+01   -2.4340953094e+02    3.3663961334e+01    1.2800000000e+04    1.1113524606e-01    8.6471191406e-01
        10   -7.5985200452e+01    6.3888636022e+03   -1.5154069676e+02    7.5555496309e+01    6.2210877836e+01   -2.4741553593e+02    3.3663961334e+01    1.2800000000e+04    1.1121819590e-01    8.6584960937e-01
