#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5889688927e+01    2.5334731650e+02   -2.7711798141e+01    1.1822109215e+01    1.0351343756e+01   -4.0096922548e+01    2.0337806508e+00    8.9450000000e+03    3.6262891641e-02    9.5980365617e-01
         1   -1.5895802788e+01    2.5335279694e+02   -2.7545803413e+01    1.1650000625e+01    1.0328836067e+01   -3.9916102887e+01    2.0414634074e+00    9.0420000000e+03    3.5860077773e-02    9.5882113687e-01
         2   -1.5892156835e+01    2.5326005575e+02   -2.7657946891e+01    1.1765790056e+01    1.0338084605e+01   -3.9945371028e+01    1.9493395324e+00    8.8620000000e+03    3.1362878906e-02    9.5846318845e-01
         3   -1.5905420828e+01    2.5376082693e+02   -2.7457551859e+01    1.1552131031e+01    1.0313595707e+01   -3.9806878736e+01    2.0357311707e+00    8.6770000000e+03    3.0682642188e-02    9.5872497379e-01
         4   -1.5890142299e+01    2.5333554229e+02   -2.7656279286e+01    1.1766136986e+01    1.0335183964e+01   -4.0002150944e+01    2.0106876950e+00    8.6000000000e+03    3.0769050508e-02    9.5923189552e-01
         5   -1.5878185699e+01    2.5274066856e+02   -2.7664659997e+01    1.1786474298e+01    1.0342301991e+01   -3.9973291012e+01    1.9663290243e+00    8.5460000000e+03    3.1059679297e-02    9.5923683309e-01
         6   -1.5903698236e+01    2.5359365042e+02   -2.7626840636e+01    1.1723142401e+01    1.0330926569e+01   -4.0001989621e+01    2.0442224156e+00    8.5340000000e+03    3.0429104922e-02    9.5823818786e-01
         7   -1.5910436200e+01    2.5383447786e+02   -2.7979200090e+01    1.2068763890e+01    1.0316484215e+01   -4.0186100592e+01    1.8904162867e+00    8.4800000000e+03    2.9808017578e-02    9.5967973072e-01
         8   -1.5904442564e+01    2.5367464962e+02   -2.7907952659e+01    1.2003510095e+01    1.0372802412e+01   -4.0205623455e+01    1.9248683839e+00    8.4450000000e+03    3.1045452148e-02    9.5878505388e-01
         9   -1.5916443883e+01    2.5409810983e+02   -2.7739149392e+01    1.1822705510e+01    1.0415743583e+01   -4.0174233609e+01    2.0193406339e+00    8.4340000000e+03    3.0703106523e-02    9.5937334079e-01
        10   -1.5910614849e+01    2.5385485648e+02   -2.7630631597e+01    1.1720016748e+01    1.0382098914e+01   -4.0019772715e+01    2.0070422036e+00    8.4170000000e+03    3.0051877734e-02    9.5927251633e-01
        11   -1.5897293637e+01    2.5340064240e+02   -2.7530650048e+01    1.1633356411e+01    1.0332559249e+01   -3.9816938671e+01    1.9537293730e+00    8.4310000000e+03    3.0695359688e-02    9.6156392346e-01
        12   -1.5919793785e+01    2.5411918061e+02   -2.7477622806e+01    1.1557829022e+01    1.0290063173e+01   -3.9717067195e+01    1.9493812161e+00    8.4290000000e+03    3.0170617305e-02    9.5979872106e-01
        13   -1.5913570925e+01    2.5388261902e+02   -2.7610675177e+01    1.1697104252e+01    1.0283545807e+01   -3.9845522327e+01    1.9513013429e+00    8.3760000000e+03    3.0016826406e-02    9.6052492875e-01
        14   -1.5906594750e+01    2.5379248718e+02   -2.7801111607e+01    1.1894516857e+01    1.0330676256e+01   -3.9956320211e+01    1.8245323492e+00    8.3180000000e+03    3.0718447266e-02    9.5870994646e-01
        15   -1.5888412318e+01    2.5311944512e+02   -2.7615789075e+01    1.1727376757e+01    1.0281451541e+01   -3.9952094403e+01    2.0548537872e+00    8.2720000000e+03    2.8909734609e-02    9.5810304466e-01
