#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5870489656e+01    2.5208936466e+02   -2.7575351588e+01    1.1704861932e+01    1.0183153063e+01   -3.9465878763e+01    1.7073741122e+00    5.1200000000e+02    5.5123160645e-04    4.4075520833e-01
         1   -1.5898550376e+01    2.5297718474e+02   -2.7427450483e+01    1.1528900107e+01    1.0219441328e+01   -3.9521647610e+01    1.8747557992e+00    5.1200000000e+02    5.5357835938e-04    4.4856770833e-01
         2   -1.5890496030e+01    2.5269142080e+02   -2.7497213701e+01    1.1606717671e+01    1.0212318831e+01   -3.9311116616e+01    1.6015840836e+00    5.1200000000e+02    5.5181558105e-04    4.5507812500e-01
         3   -1.5894177006e+01    2.5278613906e+02   -2.6909032764e+01    1.1014855757e+01    1.0160889981e+01   -3.8688612739e+01    1.6186899945e+00    5.1200000000e+02    5.5219634033e-04    4.4270833333e-01
         4   -1.5875223911e+01    2.5226923970e+02   -2.6988066375e+01    1.1112842464e+01    1.0234614122e+01   -3.8936336977e+01    1.7136564800e+00    5.1200000000e+02    5.5292101563e-04    4.4140625000e-01
         5   -1.5869018312e+01    2.5205530734e+02   -2.7038352313e+01    1.1169334001e+01    1.0175868109e+01   -3.9078287258e+01    1.8640668355e+00    5.1200000000e+02    5.4927257812e-04    4.5117187500e-01
         6   -1.5899553719e+01    2.5311601510e+02   -2.6907093445e+01    1.1007539726e+01    1.0219178289e+01   -3.9046460990e+01    1.9201892556e+00    5.1200000000e+02    5.5061733398e-04    4.4010416667e-01
         7   -1.5915693640e+01    2.5356590768e+02   -2.6703443930e+01    1.0787750291e+01    1.0189918892e+01   -3.8915904745e+01    2.0225419227e+00    5.1200000000e+02    5.5833150879e-04    4.6744791667e-01
         8   -1.5892826547e+01    2.5284250510e+02   -2.6579403276e+01    1.0686576729e+01    1.0157550890e+01   -3.9092460180e+01    2.3555060140e+00    5.1200000000e+02    5.5141531494e-04    4.4075520833e-01
         9   -1.5879706940e+01    2.5243864205e+02   -2.6809107111e+01    1.0929400171e+01    1.0159943581e+01   -3.9081131303e+01    2.1120806111e+00    5.1200000000e+02    5.5131957275e-04    4.4921875000e-01
        10   -1.5879052166e+01    2.5244976132e+02   -2.7050269306e+01    1.1171217140e+01    1.0114709233e+01   -3.9123656053e+01    1.9586775136e+00    5.1200000000e+02    5.4792371582e-04    4.3977864583e-01
        11   -1.5877743981e+01    2.5238235375e+02   -2.7137434147e+01    1.1259690166e+01    1.0012351361e+01   -3.9211317196e+01    2.0615316872e+00    5.1200000000e+02    5.4941650146e-04    4.4661458333e-01
