#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5861280788e+01    2.5232660885e+02   -2.7385377643e+01    1.1524096856e+01    9.9561665366e+00   -3.9445316100e+01    2.1037719199e+00    2.0480000000e+03    9.5649340973e-04    7.0760091146e-01
         1   -1.5832323927e+01    2.5136263424e+02   -2.7254569216e+01    1.1422245288e+01    9.9338209943e+00   -3.9140778315e+01    1.9523881052e+00    2.0480000000e+03    9.5141262360e-04    6.9840494792e-01
         2   -1.5827182054e+01    2.5124220034e+02   -2.7110742120e+01    1.1283560066e+01    1.0000370171e+01   -3.9167325382e+01    2.0562130907e+00    2.0480000000e+03    9.5361929047e-04    7.0125325521e-01
         3   -1.5822919841e+01    2.5115732789e+02   -2.7353427990e+01    1.1530508149e+01    9.9842323210e+00   -3.9283746021e+01    1.9460857098e+00    2.0480000000e+03    9.6772033691e-04    6.9417317708e-01
         4   -1.5839239987e+01    2.5168004818e+02   -2.7453524605e+01    1.1614284618e+01    9.9221710847e+00   -3.9326976569e+01    1.9512808789e+00    2.0480000000e+03    9.5642668030e-04    7.0019531250e-01
         5   -1.5843505848e+01    2.5191741278e+02   -2.7262972503e+01    1.1419466655e+01    9.9057426701e+00   -3.9168428451e+01    1.9997132779e+00    2.0480000000e+03    9.5491704254e-04    7.0483398437e-01
         6   -1.5846069698e+01    2.5187840808e+02   -2.7034822829e+01    1.1188753132e+01    9.9179611869e+00   -3.8988646293e+01    2.0358622768e+00    2.0480000000e+03    9.4779089417e-04    7.0084635417e-01
         7   -1.5867178755e+01    2.5257182366e+02   -2.7067496328e+01    1.1200317573e+01    9.9375958719e+00   -3.9059095349e+01    2.0540031491e+00    2.0480000000e+03    9.5310493835e-04    7.0564778646e-01
         8   -1.5855475651e+01    2.5199508875e+02   -2.7017069242e+01    1.1161593591e+01    9.9626388230e+00   -3.9166805736e+01    2.1870976708e+00    2.0480000000e+03    9.5028251831e-04    6.9807942708e-01
         9   -1.5837410903e+01    2.5151568721e+02   -2.7176508294e+01    1.1339097391e+01    9.9669021651e+00   -3.9271697381e+01    2.1282869222e+00    2.0480000000e+03    9.5428071106e-04    7.0068359375e-01
        10   -1.5843308232e+01    2.5170121914e+02   -2.7125781075e+01    1.1282472843e+01    1.0051627770e+01   -3.9153899091e+01    1.9764902458e+00    2.0480000000e+03    9.6002662323e-04    7.0296223958e-01
        11   -1.5856172268e+01    2.5214138240e+02   -2.7058458286e+01    1.1202286018e+01    1.0078071674e+01   -3.9257113011e+01    2.1205830510e+00    2.0480000000e+03    9.5411142822e-04    7.0247395833e-01
        12   -1.5896565347e+01    2.5341976770e+02   -2.7325651574e+01    1.1429086228e+01    1.0074652147e+01   -3.9587308732e+01    2.1870050100e+00    2.0480000000e+03    9.5905294525e-04    6.9848632812e-01
        13   -1.5862159459e+01    2.5237022141e+02   -2.7724581732e+01    1.1862422273e+01    1.0054091745e+01   -3.9821613625e+01    2.0429401482e+00    2.0480000000e+03    9.6138729645e-04    6.9742838542e-01
        14   -1.5856844788e+01    2.5220561201e+02   -2.7559615333e+01    1.1702770545e+01    1.0066981519e+01   -3.9794416881e+01    2.1678200295e+00    2.0480000000e+03    9.5977437225e-04    7.0117187500e-01
        15   -1.5867867033e+01    2.5257827288e+02   -2.7336176618e+01    1.1468309585e+01    9.9826265069e+00   -3.9499574731e+01    2.1807716062e+00    2.0480000000e+03    9.5925440002e-04    6.9767252604e-01
