#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.5386682007e+01    2.3737055765e+02   -2.6549707883e+01    1.1163025875e+01    7.5077813514e+00   -3.6407845828e+01    2.3503565942e+00    6.7040000000e+04    1.0146960758e-01    9.9651388418e-01
         1   -1.5394466458e+01    2.3758854935e+02   -2.6422025123e+01    1.1027558664e+01    7.4947966442e+00   -3.6190974625e+01    2.2741528578e+00    6.6662000000e+04    9.8510667070e-02    9.9664848113e-01
         2   -1.5393908004e+01    2.3758472464e+02   -2.6406284358e+01    1.1012376354e+01    7.4742747574e+00   -3.6257167124e+01    2.3766080086e+00    6.6928000000e+04    1.0214053059e-01    9.9638670546e-01
         3   -1.5394142120e+01    2.3758434049e+02   -2.6292243961e+01    1.0898101842e+01    7.4623225150e+00   -3.6126570453e+01    2.3720039768e+00    6.7002000000e+04    1.0064943020e-01    9.9655094079e-01
         4   -1.5409898179e+01    2.3806374729e+02   -2.6245581605e+01    1.0835683426e+01    7.4380896219e+00   -3.6094115838e+01    2.4104446106e+00    6.6600000000e+04    9.4262291289e-02    9.9668310212e-01
         5   -1.5402087747e+01    2.3787255645e+02   -2.6129917421e+01    1.0727829674e+01    7.4446192908e+00   -3.6059502165e+01    2.4849654529e+00    6.6117000000e+04    9.2419349023e-02    9.9654446710e-01
         6   -1.5404331845e+01    2.3794061887e+02   -2.6010962669e+01    1.0606630825e+01    7.4028984812e+00   -3.5773063471e+01    2.3592023201e+00    6.5781000000e+04    9.2551855039e-02    9.9661720774e-01
         7   -1.5391525075e+01    2.3750870363e+02   -2.6112955614e+01    1.0721430539e+01    7.3746162651e+00   -3.5827880892e+01    2.3403090122e+00    6.5381000000e+04    9.1107684609e-02    9.9654329359e-01
         8   -1.5394328170e+01    2.3770573937e+02   -2.6201325119e+01    1.0806996949e+01    7.4232818447e+00   -3.5959327767e+01    2.3347208032e+00    6.4980000000e+04    9.0587691328e-02    9.9659563715e-01
         9   -1.5394426952e+01    2.3759980990e+02   -2.6189293697e+01    1.0794866745e+01    7.4086867522e+00   -3.5903510254e+01    2.3055298053e+00    6.4905000000e+04    9.1202547539e-02    9.9647204400e-01
        10   -1.5396044475e+01    2.3758549301e+02   -2.6156581008e+01    1.0760536534e+01    7.3774966782e+00   -3.5708042077e+01    2.1739643904e+00    6.4717000000e+04    9.1229665820e-02    9.9656416582e-01
        11   -1.5396381956e+01    2.3762570711e+02   -2.6137939976e+01    1.0741558021e+01    7.4099989807e+00   -3.5738013273e+01    2.1900743157e+00    6.4291000000e+04    9.0524745898e-02    9.9663995638e-01
        12   -1.5416255462e+01    2.3829463285e+02   -2.6447774054e+01    1.1031518591e+01    7.4494302523e+00   -3.6162966053e+01    2.2657617474e+00    6.4329000000e+04    9.0522195586e-02    9.9635699067e-01
        13   -1.5390638021e+01    2.3750132803e+02   -2.6457120972e+01    1.1066482950e+01    7.4883527989e+00   -3.6279324490e+01    2.3338507196e+00    6.4811000000e+04    9.0183227617e-02    9.9645196687e-01
        14   -1.5397696410e+01    2.3768424808e+02   -2.6288301294e+01    1.0890604884e+01    7.4567210560e+00   -3.6117741521e+01    2.3727191703e+00    6.5239000000e+04    9.0104386406e-02    9.9642348904e-01
        15   -1.5419068283e+01    2.3835733737e+02   -2.6159714798e+01    1.0740646515e+01    7.4257781155e+00   -3.5861616721e+01    2.2761238081e+00    6.5053000000e+04    9.1665223633e-02    9.9658062082e-01
