#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1855583576e+01    1.0163109628e+03   -5.5580904557e+01    2.3725320981e+01    3.5384336901e+01    1.5778018497e+01   -1.1081044409e+02    4.0671841306e+00    5.1200000000e+02    1.5280025708e-03    4.3863932292e-01
         1   -3.1903726512e+01    1.0193612607e+03   -5.5580126439e+01    2.3676399927e+01    3.5283056362e+01    1.5778018497e+01   -1.1043077392e+02    3.7895726171e+00    5.1200000000e+02    1.5298460132e-03    4.4482421875e-01
         2   -3.1904405668e+01    1.0191722677e+03   -5.5099040595e+01    2.3194634927e+01    3.5520639498e+01    1.5778018497e+01   -1.1033425298e+02    3.9365543916e+00    5.1200000000e+02    1.5267797266e-03    4.5328776042e-01
         3   -3.1939053272e+01    1.0214499165e+03   -5.5682790196e+01    2.3743736924e+01    3.5576226994e+01    1.5778018497e+01   -1.1059335266e+02    3.5563169716e+00    5.1200000000e+02    1.5306831201e-03    4.4531250000e-01
         4   -3.1907028521e+01    1.0194310680e+03   -5.5772450440e+01    2.3865421919e+01    3.5610672580e+01    1.5778018497e+01   -1.1094703824e+02    3.7858967193e+00    5.1200000000e+02    1.5292498682e-03    4.4514973958e-01
         5   -3.1865492776e+01    1.0170822425e+03   -5.5975154493e+01    2.4109661717e+01    3.5714563375e+01    1.5778018497e+01   -1.1102613522e+02    3.5583988549e+00    5.1200000000e+02    1.5255164453e-03    4.4449869792e-01
         6   -3.1888315705e+01    1.0183554345e+03   -5.6604832295e+01    2.4716516590e+01    3.5547876430e+01    1.5778018497e+01   -1.1130352183e+02    3.3727946063e+00    5.1200000000e+02    1.5220043188e-03    4.5003255208e-01
         7   -3.1859835287e+01    1.0164514375e+03   -5.6106699799e+01    2.4246864512e+01    3.5569516392e+01    1.5778018497e+01   -1.1134787002e+02    3.8936353304e+00    5.1200000000e+02    1.5222918848e-03    4.5279947917e-01
         8   -3.1849035314e+01    1.0157792140e+03   -5.6376716399e+01    2.4527681085e+01    3.5618820813e+01    1.5778018497e+01   -1.1157569454e+02    3.8021388290e+00    5.1200000000e+02    1.5395432764e-03    4.4726562500e-01
         9   -3.1863783200e+01    1.0167177438e+03   -5.6103310955e+01    2.4239527755e+01    3.5830400544e+01    1.5778018497e+01   -1.1166787641e+02    3.9561464116e+00    5.1200000000e+02    1.5469688281e-03    4.5865885417e-01
        10   -3.1785740668e+01    1.0119146633e+03   -5.6052337011e+01    2.4266596342e+01    3.5870953392e+01    1.5778018497e+01   -1.1177025982e+02    4.0689509260e+00    5.1200000000e+02    1.5420496045e-03    4.4173177083e-01
        11   -3.1779130184e+01    1.0114248620e+03   -5.6252967984e+01    2.4473837800e+01    3.5743046440e+01    1.5778018497e+01   -1.1166861289e+02    3.8945799716e+00    5.1200000000e+02    1.5349640063e-03    4.5784505208e-01
        12   -3.1859960144e+01    1.0164247705e+03   -5.5823956184e+01    2.3963996041e+01    3.5655363228e+01    1.5778018497e+01   -1.1130500707e+02    4.0476691560e+00    5.1200000000e+02    1.5240630957e-03    4.5019531250e-01
        13   -3.1817259296e+01    1.0136240126e+03   -5.6050323426e+01    2.4233064130e+01    3.5736932270e+01    1.5778018497e+01   -1.1170044792e+02    4.1351737245e+00    5.1200000000e+02    1.5250609741e-03    4.4873046875e-01
        14   -3.1818724911e+01    1.0139636343e+03   -5.5553834068e+01    2.3735109157e+01    3.5983300389e+01    1.5778018497e+01   -1.1169822390e+02    4.3830709501e+00    5.1200000000e+02    1.5216065088e-03    4.4661458333e-01
        15   -3.1844837477e+01    1.0157283179e+03   -5.5819803722e+01    2.3974966245e+01    3.5783650710e+01    1.5778018497e+01   -1.1154205827e+02    4.1605853431e+00    5.1200000000e+02    1.5177191577e-03    4.5312500000e-01
        16   -3.1855770233e+01    1.0161944239e+03   -5.5486454449e+01    2.3630684216e+01    3.5603958320e+01    1.5778018497e+01   -1.1091909488e+02    4.0506636171e+00    5.1200000000e+02    1.5197773975e-03    4.4580078125e-01
        17   -3.1886103026e+01    1.0181255814e+03   -5.5495351105e+01    2.3609248079e+01    3.5734430702e+01    1.5778018497e+01   -1.1125456251e+02    4.2467622100e+00    5.1200000000e+02    1.5096828662e-03    4.3636067708e-01
        18   -3.1852619416e+01    1.0159790983e+03   -5.5556849081e+01    2.3704229665e+01    3.5685214074e+01    1.5778018497e+01   -1.1143341684e+02    4.4133351867e+00    5.1200000000e+02    1.5212210449e-03    4.4368489583e-01
        19   -3.1920057901e+01    1.0204808636e+03   -5.5663930463e+01    2.3743872562e+01    3.5437657067e+01    1.5778018497e+01   -1.1126749228e+02    4.3878862581e+00    5.1200000000e+02    1.5256994263e-03    4.3733723958e-01
        20   -3.1892268384e+01    1.0184779177e+03   -5.5881127347e+01    2.3988858963e+01    3.5494250779e+01    1.5778018497e+01   -1.1096113773e+02    3.8077411034e+00    5.1200000000e+02    1.5201717261e-03    4.5524088542e-01
        21   -3.1973926200e+01    1.0236730520e+03   -5.5295768153e+01    2.3321841953e+01    3.5392883872e+01    1.5778018497e+01   -1.1023422343e+02    3.7675529077e+00    5.1200000000e+02    1.5116505713e-03    4.4547526042e-01
        22   -3.1890022469e+01    1.0183646029e+03   -5.5456906453e+01    2.3566883984e+01    3.5274746760e+01    1.5778018497e+01   -1.1052928162e+02    4.0196099106e+00    5.1200000000e+02    1.5077451855e-03    4.4189453125e-01
        23   -3.1942608327e+01    1.0224029533e+03   -5.5046859216e+01    2.3104250889e+01    3.5261847476e+01    1.5778018497e+01   -1.0992787645e+02    3.8411512582e+00    5.1200000000e+02    1.5100538354e-03    4.4889322917e-01
        24   -3.1802383461e+01    1.0129299258e+03   -5.4197732877e+01    2.2395349416e+01    3.5464340586e+01    1.5778018497e+01   -1.1002152430e+02    4.5814323428e+00    5.1200000000e+02    1.5052102808e-03    4.3684895833e-01
        25   -3.1820582106e+01    1.0137266528e+03   -5.5439014555e+01    2.3618432449e+01    3.5467883318e+01    1.5778018497e+01   -1.1012729553e+02    3.4423791647e+00    5.1200000000e+02    1.5055310620e-03    4.5068359375e-01
        26   -3.1801082567e+01    1.0129146820e+03   -5.4398255755e+01    2.2597173188e+01    3.5234871965e+01    1.5778018497e+01   -1.0944812768e+02    4.0369814654e+00    5.1200000000e+02    1.5163915698e-03    4.6386718750e-01
        27   -3.1835890738e+01    1.0148586546e+03   -5.4837229983e+01    2.3001339245e+01    3.5172694194e+01    1.5778018497e+01   -1.0944845529e+02    3.6605126150e+00    5.1200000000e+02    1.5144613745e-03    4.5068359375e-01
