#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.1873938413e+01    1.0179049194e+03   -5.5693688622e+01    2.3819750209e+01    3.5169424103e+01    1.5026684323e+01   -1.0988808571e+02    3.9982886656e+00    5.1200000000e+03    2.1619211567e-02    6.1300455729e-01
         1   -3.1853995303e+01    1.0161362033e+03   -5.5513234085e+01    2.3659238782e+01    3.4946972454e+01    1.5026684323e+01   -1.0940004592e+02    3.9131550553e+00    5.1200000000e+03    2.1561742815e-02    6.1856282552e-01
         2   -3.1868886070e+01    1.0172670671e+03   -5.5356399702e+01    2.3487513632e+01    3.4987635986e+01    1.5026684323e+01   -1.0932714633e+02    3.9564263145e+00    5.1200000000e+03    2.1567873003e-02    6.1771647135e-01
         3   -3.1839551893e+01    1.0150932818e+03   -5.5157422931e+01    2.3317871038e+01    3.5017389772e+01    1.5026684323e+01   -1.0926445824e+02    4.0629612119e+00    5.1200000000e+03    2.1578450383e-02    6.1652018229e-01
         4   -3.1874352492e+01    1.0174443695e+03   -5.5306796886e+01    2.3432444394e+01    3.5135148737e+01    1.5026684323e+01   -1.0947108749e+02    4.0024575474e+00    5.1200000000e+03    2.1616145889e-02    6.1566569010e-01
         5   -3.1876555290e+01    1.0176661132e+03   -5.5500441178e+01    2.3623885889e+01    3.4946600088e+01    1.5026684323e+01   -1.0941193446e+02    3.9382088736e+00    5.1200000000e+03    2.1513789163e-02    6.1288248698e-01
         6   -3.1851033983e+01    1.0159738222e+03   -5.5215384338e+01    2.3364350355e+01    3.4900429104e+01    1.5026684323e+01   -1.0918228451e+02    4.0397867403e+00    5.1200000000e+03    2.1542516101e-02    6.1855468750e-01
         7   -3.1896194013e+01    1.0189485241e+03   -5.5330453418e+01    2.3434259406e+01    3.4872594466e+01    1.5026684323e+01   -1.0920323781e+02    3.9735056022e+00    5.1200000000e+03    2.1533389888e-02    6.1491699219e-01
         8   -3.1888161118e+01    1.0183680897e+03   -5.5124661672e+01    2.3236500554e+01    3.4822659213e+01    1.5026684323e+01   -1.0910846132e+02    4.1344561088e+00    5.1200000000e+03    2.1487329248e-02    6.1924641927e-01
         9   -3.1874575580e+01    1.0174471904e+03   -5.5102010774e+01    2.3227435193e+01    3.4930591683e+01    1.5026684323e+01   -1.0894219959e+02    3.8829128058e+00    5.1200000000e+03    2.1510920632e-02    6.1712239583e-01
        10   -3.1864745699e+01    1.0166628555e+03   -5.5193995755e+01    2.3329250057e+01    3.4970005663e+01    1.5026684323e+01   -1.0932501220e+02    4.1343264614e+00    5.1200000000e+03    2.1516473962e-02    6.1509602865e-01
        11   -3.1894620672e+01    1.0192609619e+03   -5.5319019883e+01    2.3424399210e+01    3.4997188339e+01    1.5026684323e+01   -1.0937405317e+02    4.0311606214e+00    5.1200000000e+03    2.1545090359e-02    6.1659342448e-01
        12   -3.1894204553e+01    1.0186500566e+03   -5.5460460676e+01    2.3566256124e+01    3.4988614313e+01    1.5026684323e+01   -1.0964190898e+02    4.1661496624e+00    5.1200000000e+03    2.1543263689e-02    6.1370442708e-01
        13   -3.1899681955e+01    1.0190893691e+03   -5.5150163699e+01    2.3250481744e+01    3.4859230998e+01    1.5026684323e+01   -1.0910116298e+02    4.0650839547e+00    5.1200000000e+03    2.1541547993e-02    6.1860351562e-01
        14   -3.1865285116e+01    1.0169490413e+03   -5.5424468777e+01    2.3559183662e+01    3.4793546878e+01    1.5026684323e+01   -1.0923064397e+02    3.9859439879e+00    5.1200000000e+03    2.1481282639e-02    6.1591796875e-01
        15   -3.1842850141e+01    1.0154245130e+03   -5.5099642280e+01    2.3256792139e+01    3.4890396935e+01    1.5026684323e+01   -1.0901677503e+02    4.0000514874e+00    5.1200000000e+03    2.1524042529e-02    6.1705729167e-01
        16   -3.1909200086e+01    1.0196437576e+03   -5.5659683817e+01    2.3750483731e+01    3.5002662468e+01    1.5026684323e+01   -1.0976534507e+02    4.0763144579e+00    5.1200000000e+03    2.1540921462e-02    6.1558430990e-01
        17   -3.1868207542e+01    1.0172007513e+03   -5.5403052805e+01    2.3534845263e+01    3.4962096049e+01    1.5026684323e+01   -1.0945861547e+02    4.0667822929e+00    5.1200000000e+03    2.1508594575e-02    6.1573079427e-01
        18   -3.1873775948e+01    1.0173927731e+03   -5.5471567179e+01    2.3597791230e+01    3.4958917819e+01    1.5026684323e+01   -1.0947212913e+02    4.0149598062e+00    5.1200000000e+03    2.1539777742e-02    6.1585286458e-01
        19   -3.1894200991e+01    1.0188598155e+03   -5.5351430473e+01    2.3457229482e+01    3.5101951832e+01    1.5026684323e+01   -1.0949237684e+02    4.0123102079e+00    5.1200000000e+03    2.1569048965e-02    6.1673177083e-01
