#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5311424101e+01    2.0542283147e+03   -8.0594128942e+01    3.5282704841e+01   -1.1219723166e+01   -5.1102678671e+01   -2.2215765391e+01    3.9440382858e+00   -1.0922669467e+01    9.1366050590e-02    2.0480000000e+03    5.1248144871e-02    7.4868774414e-01
         1   -4.5312029766e+01    2.0542709112e+03   -8.0413879662e+01    3.5101849896e+01   -1.1305472127e+01   -5.1102678671e+01   -2.2124626116e+01    4.1188972515e+00   -1.1012926873e+01    9.1366050590e-02    2.0480000000e+03    5.1651569817e-02    7.4740600586e-01
         2   -4.5263377461e+01    2.0498919982e+03   -7.9954728009e+01    3.4691350548e+01   -1.1429694473e+01   -5.1102678671e+01   -2.1438218611e+01    4.0158637461e+00   -1.1139315906e+01    9.1366050590e-02    2.0480000000e+03    5.1134345649e-02    7.5238037109e-01
         3   -4.5276443569e+01    2.0511429780e+03   -7.9847259702e+01    3.4570816133e+01   -1.1435655928e+01   -5.1102678671e+01   -2.1299920809e+01    3.9909957060e+00   -1.1143160633e+01    9.1366050590e-02    2.0480000000e+03    5.1160410310e-02    7.5154113770e-01
         4   -4.5287966231e+01    2.0521480408e+03   -8.0447635174e+01    3.5159668942e+01   -1.1486340746e+01   -5.1102678671e+01   -2.1921483600e+01    4.0628678428e+00   -1.1186821314e+01    9.1366050590e-02    2.0480000000e+03    5.1090209980e-02    7.5260925293e-01
         5   -4.5242856968e+01    2.0479990984e+03   -8.0147099967e+01    3.4904242998e+01   -1.1352289910e+01   -5.1102678671e+01   -2.1734960539e+01    4.0428291531e+00   -1.1037448742e+01    9.1366050590e-02    2.0480000000e+03    5.1220634133e-02    7.5115966797e-01
         6   -4.5305839018e+01    2.0537520486e+03   -8.0382734741e+01    3.5076895723e+01   -1.1269156922e+01   -5.1102678671e+01   -2.2155828231e+01    4.1449290833e+00   -1.0978098566e+01    9.1366050590e-02    2.0480000000e+03    5.1325478403e-02    7.4945068359e-01
         7   -4.5281213287e+01    2.0515831643e+03   -8.0856179388e+01    3.5574966101e+01   -1.1329956708e+01   -5.1102678671e+01   -2.2266593567e+01    3.8430495580e+00   -1.1035413101e+01    9.1366050590e-02    2.0480000000e+03    5.1440691650e-02    7.4813842773e-01
         8   -4.5288527424e+01    2.0521434549e+03   -7.9939540611e+01    3.4651013186e+01   -1.1435639443e+01   -5.1102678671e+01   -2.1310097680e+01    3.9088751837e+00   -1.1133904040e+01    9.1366050590e-02    2.0480000000e+03    5.1199672866e-02    7.4850463867e-01
         9   -4.5241464411e+01    2.0478724308e+03   -8.0376297086e+01    3.5134832675e+01   -1.1292954453e+01   -5.1102678671e+01   -2.2241395287e+01    4.2607313244e+00   -1.0992542620e+01    9.1366050590e-02    2.0480000000e+03    5.1114641848e-02    7.4740600586e-01
        10   -4.5296371503e+01    2.0529380730e+03   -8.0339338810e+01    3.5042967307e+01   -1.1333650849e+01   -5.1102678671e+01   -2.2110693227e+01    4.2076839375e+00   -1.1034026665e+01    9.1366050590e-02    2.0480000000e+03    5.1161244202e-02    7.5134277344e-01
        11   -4.5310580124e+01    2.0541856520e+03   -8.0521196826e+01    3.5210616702e+01   -1.1372491440e+01   -5.1102678671e+01   -2.2219646055e+01    4.1736193400e+00   -1.1076999055e+01    9.1366050590e-02    2.0480000000e+03    5.1241597363e-02    7.5270080566e-01
        12   -4.5265651602e+01    2.0500481810e+03   -8.0572042804e+01    3.5306391202e+01   -1.1290112106e+01   -5.1102678671e+01   -2.2187784751e+01    4.0085327236e+00   -1.0986347222e+01    9.1366050590e-02    2.0480000000e+03    5.1250837170e-02    7.5149536133e-01
        13   -4.5297435386e+01    2.0529307121e+03   -8.0392844780e+01    3.5095409394e+01   -1.1371784770e+01   -5.1102678671e+01   -2.1702254633e+01    3.7838732947e+00   -1.1078493935e+01    9.1366050590e-02    2.0480000000e+03    5.1174583328e-02    7.4975585938e-01
        14   -4.5302883995e+01    2.0534210681e+03   -8.0430577460e+01    3.5127693465e+01   -1.1493922320e+01   -5.1102678671e+01   -2.1843247249e+01    4.0092707808e+00   -1.1204462914e+01    9.1366050590e-02    2.0480000000e+03    5.1140782158e-02    7.5157165527e-01
        15   -4.5298839488e+01    2.0531232732e+03   -8.0445807610e+01    3.5146968123e+01   -1.1375280080e+01   -5.1102678671e+01   -2.2002912491e+01    4.0350636320e+00   -1.1082423138e+01    9.1366050590e-02    2.0480000000e+03    5.1150717654e-02    7.4859619141e-01
        16   -4.5300436370e+01    2.0532374825e+03   -8.0594198764e+01    3.5293762395e+01   -1.1402927633e+01   -5.1102678671e+01   -2.2192385930e+01    4.1037934705e+00   -1.1106327568e+01    9.1366050590e-02    2.0480000000e+03    5.1318730430e-02    7.4855041504e-01
        17   -4.5271677285e+01    2.0506010456e+03   -8.0703349656e+01    3.5431672372e+01   -1.1302803196e+01   -5.1102678671e+01   -2.2433693009e+01    4.1358252200e+00   -1.1003901376e+01    9.1366050590e-02    2.0480000000e+03    5.1181626162e-02    7.5057983398e-01
        18   -4.5297666782e+01    2.0531840366e+03   -8.0890879137e+01    3.5593212355e+01   -1.1399682077e+01   -5.1102678671e+01   -2.2314621625e+01    3.9261032363e+00   -1.1120416877e+01    9.1366050590e-02    2.0480000000e+03    5.1361234934e-02    7.5117492676e-01
        19   -4.5288656515e+01    2.0522341424e+03   -8.0433388059e+01    3.5144731544e+01   -1.1373605295e+01   -5.1102678671e+01   -2.1899875189e+01    3.9427710964e+00   -1.1086918081e+01    9.1366050590e-02    2.0480000000e+03    5.1311552100e-02    7.5000000000e-01
        20   -4.5275442995e+01    2.0508736996e+03   -8.0196485478e+01    3.4921042484e+01   -1.1439073231e+01   -5.1102678671e+01   -2.1659888327e+01    4.0051547510e+00   -1.1152532044e+01    9.1366050590e-02    2.0480000000e+03    5.1186046985e-02    7.5048828125e-01
        21   -4.5277952470e+01    2.0513791122e+03   -8.0387503904e+01    3.5109551434e+01   -1.1432243908e+01   -5.1102678671e+01   -2.1699354042e+01    3.8467727173e+00   -1.1133389892e+01    9.1366050590e-02    2.0480000000e+03    5.1279748865e-02    7.4964904785e-01
        22   -4.5301389670e+01    2.0533856590e+03   -8.0556228000e+01    3.5254838330e+01   -1.1289376198e+01   -5.1102678671e+01   -2.2139700885e+01    3.9755277544e+00   -1.0997549502e+01    9.1366050590e-02    2.0480000000e+03    5.1220620657e-02    7.5064086914e-01
        23   -4.5307297107e+01    2.0539083371e+03   -8.0175158213e+01    3.4867861107e+01   -1.1277699664e+01   -5.1102678671e+01   -2.2015632592e+01    4.2208527136e+00   -1.0978488216e+01    9.1366050590e-02    2.0480000000e+03    5.1300825183e-02    7.4771118164e-01
        24   -4.5284704745e+01    2.0517861664e+03   -8.0287617398e+01    3.5002912654e+01   -1.1475240529e+01   -5.1102678671e+01   -2.1794607662e+01    4.0849094636e+00   -1.1187523218e+01    9.1366050590e-02    2.0480000000e+03    5.1293790540e-02    7.5300598145e-01
        25   -4.5327145364e+01    2.0557029128e+03   -8.0068594362e+01    3.4741448998e+01   -1.1415029981e+01   -5.1102678671e+01   -2.1621797366e+01    4.0709116564e+00   -1.1121156350e+01    9.1366050590e-02    2.0480000000e+03    5.1171006533e-02    7.5274658203e-01
        26   -4.5226815909e+01    2.0464662973e+03   -8.0526810630e+01    3.5299994721e+01   -1.1360752992e+01   -5.1102678671e+01   -2.1951866254e+01    3.8884872865e+00   -1.1059316116e+01    9.1366050590e-02    2.0480000000e+03    5.1226979731e-02    7.5105285645e-01
        27   -4.5309260693e+01    2.0541135068e+03   -8.1040285046e+01    3.5731024353e+01   -1.1445912186e+01   -5.1102678671e+01   -2.2656975678e+01    4.1652814895e+00   -1.1148996724e+01    9.1366050590e-02    2.0480000000e+03    5.1206021436e-02    7.4903869629e-01
        28   -4.5283766485e+01    2.0518357078e+03   -8.1047586922e+01    3.5763820436e+01   -1.1346051645e+01   -5.1102678671e+01   -2.2587314217e+01    3.9884576124e+00   -1.1047938798e+01    9.1366050590e-02    2.0480000000e+03    5.1266077258e-02    7.4804687500e-01
        29   -4.5274869749e+01    2.0509687854e+03   -8.0630173906e+01    3.5355304157e+01   -1.1365494290e+01   -5.1102678671e+01   -2.2111251864e+01    3.9492509196e+00   -1.1071461951e+01    9.1366050590e-02    2.0480000000e+03    5.1343242537e-02    7.4697875977e-01
        30   -4.5239957583e+01    2.0476749203e+03   -8.0742287321e+01    3.5502329738e+01   -1.1364002875e+01   -5.1102678671e+01   -2.2142655118e+01    3.8670493428e+00   -1.1066164391e+01    9.1366050590e-02    2.0480000000e+03    5.1155320029e-02    7.4670410156e-01
        31   -4.5291451266e+01    2.0524114830e+03   -8.0547959123e+01    3.5256507857e+01   -1.1383913656e+01   -5.1102678671e+01   -2.2291430424e+01    4.2300636281e+00   -1.1093826928e+01    9.1366050590e-02    2.0480000000e+03    5.1319734109e-02    7.4917602539e-01
        32   -4.5313973177e+01    2.0544419918e+03   -8.0195539096e+01    3.4881565919e+01   -1.1454081601e+01   -5.1102678671e+01   -2.1552095100e+01    3.9133162761e+00   -1.1163731464e+01    9.1366050590e-02    2.0480000000e+03    5.1185930066e-02    7.4993896484e-01
        33   -4.5324821761e+01    2.0554061681e+03   -8.0403510142e+01    3.5078688382e+01   -1.1446366874e+01   -5.1102678671e+01   -2.1874005147e+01    4.0195405497e+00   -1.1163951278e+01    9.1366050590e-02    2.0480000000e+03    5.1173344321e-02    7.5427246094e-01
        34   -4.5250501933e+01    2.0486415347e+03   -8.0172079848e+01    3.4921577915e+01   -1.1464054614e+01   -5.1102678671e+01   -2.1653505720e+01    4.0481591577e+00   -1.1158909320e+01    9.1366050590e-02    2.0480000000e+03    5.1170891936e-02    7.5148010254e-01
        35   -4.5294236995e+01    2.0526460539e+03   -8.0400700109e+01    3.5106463114e+01   -1.1453667851e+01   -5.1102678671e+01   -2.1909934451e+01    4.0655808634e+00   -1.1165087376e+01    9.1366050590e-02    2.0480000000e+03    5.1380505754e-02    7.5001525879e-01
        36   -4.5290145471e+01    2.0524157208e+03   -8.0419316033e+01    3.5129170563e+01   -1.1371841833e+01   -5.1102678671e+01   -2.1909462411e+01    3.9646668824e+00   -1.1080648956e+01    9.1366050590e-02    2.0480000000e+03    5.1268192703e-02    7.4967956543e-01
        37   -4.5227465531e+01    2.0466968452e+03   -8.0559014897e+01    3.5331549366e+01   -1.1326489581e+01   -5.1102678671e+01   -2.2119748209e+01    3.9899015639e+00   -1.1030806355e+01    9.1366050590e-02    2.0480000000e+03    5.1195387217e-02    7.4870300293e-01
        38   -4.5286032132e+01    2.0519617741e+03   -8.0509712943e+01    3.5223680811e+01   -1.1384963499e+01   -5.1102678671e+01   -2.2073416762e+01    4.0513459888e+00   -1.1099912136e+01    9.1366050590e-02    2.0480000000e+03    5.1133865093e-02    7.4906921387e-01
        39   -4.5225243602e+01    2.0463944301e+03   -8.0218814058e+01    3.4993570456e+01   -1.1421715036e+01   -5.1102678671e+01   -2.1469625965e+01    3.7752056140e+00   -1.1120049803e+01    9.1366050590e-02    2.0480000000e+03    5.1038593081e-02    7.5280761719e-01
        40   -4.5244466897e+01    2.0482287441e+03   -8.0802424570e+01    3.5557957673e+01   -1.1411911379e+01   -5.1102678671e+01   -2.2174379744e+01    3.8865452244e+00   -1.1108322477e+01    9.1366050590e-02    2.0480000000e+03    5.1121675330e-02    7.5311279297e-01
        41   -4.5317204409e+01    2.0546938246e+03   -8.0443526860e+01    3.5126322451e+01   -1.1394999511e+01   -5.1102678671e+01   -2.1819252188e+01    3.8734035105e+00   -1.1107404264e+01    9.1366050590e-02    2.0480000000e+03    5.1231958516e-02    7.4949645996e-01
        42   -4.5263752823e+01    2.0500303404e+03   -8.0506803224e+01    3.5243050401e+01   -1.1403921855e+01   -5.1102678671e+01   -2.1870401508e+01    3.8701988096e+00   -1.1103829096e+01    9.1366050590e-02    2.0480000000e+03    5.1103020896e-02    7.5212097168e-01
        43   -4.5269016649e+01    2.0503869698e+03   -8.0094542348e+01    3.4825525699e+01   -1.1435242161e+01   -5.1102678671e+01   -2.1609623249e+01    4.0530017334e+00   -1.1131193597e+01    9.1366050590e-02    2.0480000000e+03    5.1145916621e-02    7.5068664551e-01
        44   -4.5274081409e+01    2.0508125016e+03   -8.0185915793e+01    3.4911834384e+01   -1.1446578757e+01   -5.1102678671e+01   -2.1819264579e+01    4.1826062134e+00   -1.1156034068e+01    9.1366050590e-02    2.0480000000e+03    5.1115800967e-02    7.5065612793e-01
        45   -4.5268299753e+01    2.0503333855e+03   -8.0242667122e+01    3.4974367369e+01   -1.1385688899e+01   -5.1102678671e+01   -2.2087722272e+01    4.3334227200e+00   -1.1079166826e+01    9.1366050590e-02    2.0480000000e+03    5.1299308350e-02    7.5039672852e-01
        46   -4.5259706901e+01    2.0496917420e+03   -8.0627071222e+01    3.5367364321e+01   -1.1295722606e+01   -5.1102678671e+01   -2.2117844238e+01    3.8891742924e+00   -1.1001327056e+01    9.1366050590e-02    2.0480000000e+03    5.1344722441e-02    7.5337219238e-01
        47   -4.5252882903e+01    2.0490686084e+03   -8.0647108418e+01    3.5394225515e+01   -1.1386504248e+01   -5.1102678671e+01   -2.2171969008e+01    4.0140435086e+00   -1.1090024802e+01    9.1366050590e-02    2.0480000000e+03    5.1287961765e-02    7.5144958496e-01
        48   -4.5304034956e+01    2.0536450933e+03   -8.0429082009e+01    3.5125047053e+01   -1.1230627921e+01   -5.1102678671e+01   -2.2307560657e+01    4.2117852401e+00   -1.0930015170e+01    9.1366050590e-02    2.0480000000e+03    5.1344052964e-02    7.5003051758e-01
        49   -4.5303125372e+01    2.0534400988e+03   -8.0351928852e+01    3.5048803480e+01   -1.1334220492e+01   -5.1102678671e+01   -2.1930227870e+01    4.0151981810e+00   -1.1037774125e+01    9.1366050590e-02    2.0480000000e+03    5.1396224568e-02    7.4720764160e-01
        50   -4.5318359185e+01    2.0549279108e+03   -8.0720262176e+01    3.5401902990e+01   -1.1281901390e+01   -5.1102678671e+01   -2.2404813806e+01    4.0691316923e+00   -1.0977512911e+01    9.1366050590e-02    2.0480000000e+03    5.1451660208e-02    7.4873352051e-01
        51   -4.5311284333e+01    2.0541128930e+03   -8.0486994559e+01    3.5175710226e+01   -1.1384636045e+01   -5.1102678671e+01   -2.1949829046e+01    3.9501492038e+00   -1.1082437401e+01    9.1366050590e-02    2.0480000000e+03    5.1280299016e-02    7.4780273438e-01
        52   -4.5278693090e+01    2.0511689107e+03   -8.0572668491e+01    3.5293975401e+01   -1.1450147666e+01   -5.1102678671e+01   -2.2030908541e+01    4.0110663874e+00   -1.1158191587e+01    9.1366050590e-02    2.0480000000e+03    5.1144838796e-02    7.5117492676e-01
        53   -4.5300321045e+01    2.0532652352e+03   -8.0002706138e+01    3.4702385093e+01   -1.1335590986e+01   -5.1102678671e+01   -2.1723376503e+01    4.1589400218e+00   -1.1050265686e+01    9.1366050590e-02    2.0480000000e+03    5.1259075474e-02    7.5149536133e-01
        54   -4.5271036205e+01    2.0505893839e+03   -8.0245926805e+01    3.4974890600e+01   -1.1326652929e+01   -5.1102678671e+01   -2.1936082283e+01    4.1194870780e+00   -1.1027453867e+01    9.1366050590e-02    2.0480000000e+03    5.1112210083e-02    7.4938964844e-01
        55   -4.5297754536e+01    2.0530898279e+03   -8.0371420185e+01    3.5073665650e+01   -1.1376552346e+01   -5.1102678671e+01   -2.1925906461e+01    4.0337172927e+00   -1.1086241681e+01    9.1366050590e-02    2.0480000000e+03    5.1401671628e-02    7.5105285645e-01
        56   -4.5344818883e+01    2.0572737571e+03   -8.0455953530e+01    3.5111134647e+01   -1.1313198384e+01   -5.1102678671e+01   -2.2170422626e+01    4.1303461508e+00   -1.1018661945e+01    9.1366050590e-02    2.0480000000e+03    5.1301780767e-02    7.5050354004e-01
        57   -4.5246539462e+01    2.0483732327e+03   -8.0486725832e+01    3.5240186371e+01   -1.1392746392e+01   -5.1102678671e+01   -2.1891576806e+01    3.9002760369e+00   -1.1101978377e+01    9.1366050590e-02    2.0480000000e+03    5.0998076438e-02    7.4960327148e-01
        58   -4.5272702253e+01    2.0506895532e+03   -8.0184121795e+01    3.4911419542e+01   -1.1384148941e+01   -5.1102678671e+01   -2.1799138262e+01    4.1018440789e+00   -1.1092977836e+01    9.1366050590e-02    2.0480000000e+03    5.0932793755e-02    7.5282287598e-01
        59   -4.5237534780e+01    2.0475141282e+03   -8.0007331439e+01    3.4769796659e+01   -1.1236170377e+01   -5.1102678671e+01   -2.1914834458e+01    4.2463520672e+00   -1.0919663156e+01    9.1366050590e-02    2.0480000000e+03    5.1174761299e-02    7.4971008301e-01
        60   -4.5281208927e+01    2.0516412538e+03   -8.0995896263e+01    3.5714687336e+01   -1.1341393009e+01   -5.1102678671e+01   -2.2555716380e+01    4.0038917973e+00   -1.1038882883e+01    9.1366050590e-02    2.0480000000e+03    5.1355457012e-02    7.4581909180e-01
        61   -4.5243478830e+01    2.0480647441e+03   -8.0155103332e+01    3.4911624503e+01   -1.1347152659e+01   -5.1102678671e+01   -2.2084335165e+01    4.3790631628e+00   -1.1039641624e+01    9.1366050590e-02    2.0480000000e+03    5.1176960532e-02    7.5152587891e-01
        62   -4.5233734955e+01    2.0472571195e+03   -8.0163239207e+01    3.4929504252e+01   -1.1393481465e+01   -5.1102678671e+01   -2.1937867703e+01    4.2707886325e+00   -1.1094820379e+01    9.1366050590e-02    2.0480000000e+03    5.1112159412e-02    7.5212097168e-01
