#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7107747138e+01    2.9398628156e+02   -3.1100927262e+01    1.3993180124e+01    1.7380109220e+01   -5.7806390817e+01    2.3445910892e+00    6.9807632464e+00    5.1200000000e+02    5.1611157815e-02    6.0986328125e-01
         1   -1.7015785678e+01    2.9096380173e+02   -3.0538938223e+01    1.3523152545e+01    1.7626394784e+01   -5.6724758658e+01    1.5786624049e+00    6.9807632464e+00    5.1200000000e+02    5.1629941038e-02    6.0137939453e-01
         2   -1.7060510110e+01    2.9219569051e+02   -3.0622051018e+01    1.3561540908e+01    1.7441434141e+01   -5.7086463307e+01    2.0422149007e+00    6.9807632464e+00    5.1200000000e+02    5.1598138320e-02    6.0003662109e-01
         3   -1.7076722923e+01    2.9287018671e+02   -3.1023725736e+01    1.3947002813e+01    1.7565939711e+01   -5.7372115475e+01    1.8016867815e+00    6.9807632464e+00    5.1200000000e+02    5.1720424358e-02    6.0758056641e-01
         4   -1.7079296628e+01    2.9296615940e+02   -3.0217761366e+01    1.3138464738e+01    1.7198268618e+01   -5.6075480068e+01    1.6786868371e+00    6.9807632464e+00    5.1200000000e+02    5.1543900769e-02    6.0499267578e-01
         5   -1.7165035270e+01    2.9580027508e+02   -3.0644150771e+01    1.3479115500e+01    1.7311679674e+01   -5.6511600240e+01    1.5750065491e+00    6.9807632464e+00    5.1200000000e+02    5.1532853875e-02    6.0895996094e-01
         6   -1.7113901012e+01    2.9399798904e+02   -3.0458817422e+01    1.3344916410e+01    1.7307909687e+01   -5.6526885429e+01    1.7793950738e+00    6.9807632464e+00    5.1200000000e+02    5.1597909141e-02    6.0705566406e-01
         7   -1.6988288863e+01    2.8984007208e+02   -3.0337476382e+01    1.3349187519e+01    1.7325159046e+01   -5.6643502623e+01    2.0001039488e+00    6.9807632464e+00    5.1200000000e+02    5.1560564875e-02    6.0688476562e-01
         8   -1.7097200488e+01    2.9341383833e+02   -3.0701341074e+01    1.3604140586e+01    1.7485985399e+01   -5.7211297207e+01    2.0432074884e+00    6.9807632464e+00    5.1200000000e+02    5.1632043335e-02    6.0809326172e-01
         9   -1.7035698476e+01    2.9157795974e+02   -3.0456784564e+01    1.3421086088e+01    1.7272457990e+01   -5.6745100457e+01    2.0350946568e+00    6.9807632464e+00    5.1200000000e+02    5.1463136038e-02    6.0152587891e-01
        10   -1.7049669549e+01    2.9185846839e+02   -3.0515799665e+01    1.3466130115e+01    1.7424126934e+01   -5.6711828100e+01    1.7911382549e+00    6.9807632464e+00    5.1200000000e+02    5.1571939941e-02    6.0517578125e-01
        11   -1.7007508385e+01    2.9043099754e+02   -2.9900360170e+01    1.2892851784e+01    1.7122751703e+01   -5.5966911590e+01    1.9630364710e+00    6.9807632464e+00    5.1200000000e+02    5.1389238804e-02    6.0214843750e-01
        12   -1.7089760695e+01    2.9339557245e+02   -3.0009585340e+01    1.2919824645e+01    1.7169904201e+01   -5.5984458210e+01    1.8242054231e+00    6.9807632464e+00    5.1200000000e+02    5.1399004863e-02    6.0603027344e-01
        13   -1.7124629841e+01    2.9435042432e+02   -3.0716614639e+01    1.3591984798e+01    1.7227754866e+01   -5.6568599350e+01    1.6434665987e+00    6.9807632464e+00    5.1200000000e+02    5.1418696621e-02    6.0661621094e-01
        14   -1.7131781027e+01    2.9458612553e+02   -3.1014040861e+01    1.3882259834e+01    1.7446997966e+01   -5.7621762813e+01    2.1799607395e+00    6.9807632464e+00    5.1200000000e+02    5.1461202122e-02    6.0767822266e-01
        15   -1.7186480949e+01    2.9652832873e+02   -3.0704856804e+01    1.3518375855e+01    1.7209744854e+01   -5.6901770420e+01    2.0064055157e+00    6.9807632464e+00    5.1200000000e+02    5.1437561599e-02    6.0067138672e-01
        16   -1.7066513507e+01    2.9256492195e+02   -3.0147933184e+01    1.3081419677e+01    1.7284607720e+01   -5.6418679499e+01    2.0053753481e+00    6.9807632464e+00    5.1200000000e+02    5.1456784465e-02    6.0654296875e-01
        17   -1.7040214151e+01    2.9182511410e+02   -3.0479722398e+01    1.3439508247e+01    1.7363615955e+01   -5.6777101895e+01    1.9530002965e+00    6.9807632464e+00    5.1200000000e+02    5.1370224644e-02    6.0377197266e-01
        18   -1.7107835842e+01    2.9389536649e+02   -3.0560739524e+01    1.3452903682e+01    1.7417549587e+01   -5.6882748990e+01    1.9236966321e+00    6.9807632464e+00    5.1200000000e+02    5.1497091028e-02    6.0606689453e-01
        19   -1.7072425564e+01    2.9262877367e+02   -3.0095609096e+01    1.3023183533e+01    1.7174910534e+01   -5.6316515549e+01    2.0652326725e+00    6.9807632464e+00    5.1200000000e+02    5.1390608110e-02    6.0770263672e-01
        20   -1.7077809012e+01    2.9283523372e+02   -3.0898266167e+01    1.3820457155e+01    1.7373770988e+01   -5.7178147750e+01    1.9253473490e+00    6.9807632464e+00    5.1200000000e+02    5.1431419824e-02    6.0496826172e-01
        21   -1.7114898869e+01    2.9407036845e+02   -3.0127853958e+01    1.3012955089e+01    1.7273926089e+01   -5.6281733335e+01    1.8991900405e+00    6.9807632464e+00    5.1200000000e+02    5.1348523418e-02    6.0212402344e-01
        22   -1.7167797485e+01    2.9576522078e+02   -3.0527401356e+01    1.3359603871e+01    1.7423059395e+01   -5.6630191826e+01    1.6989678292e+00    6.9807632464e+00    5.1200000000e+02    5.1514050659e-02    6.0783691406e-01
        23   -1.7101319460e+01    2.9356111551e+02   -2.9847591001e+01    1.2746271541e+01    1.7236981200e+01   -5.5812146638e+01    1.7468111907e+00    6.9807632464e+00    5.1200000000e+02    5.1365465601e-02    6.0749511719e-01
        24   -1.7148500020e+01    2.9531757667e+02   -3.0561602485e+01    1.3413102465e+01    1.7586257717e+01   -5.6915468642e+01    1.7868451933e+00    6.9807632464e+00    5.1200000000e+02    5.1405631157e-02    6.0646972656e-01
        25   -1.7124885660e+01    2.9437619538e+02   -3.0876893757e+01    1.3752008098e+01    1.7393544600e+01   -5.7430104440e+01    2.1789028365e+00    6.9807632464e+00    5.1200000000e+02    5.1362884451e-02    6.0395507812e-01
        26   -1.7158999746e+01    2.9547890902e+02   -3.0283712839e+01    1.3124713094e+01    1.7273972858e+01   -5.6595766756e+01    2.0573178124e+00    6.9807632464e+00    5.1200000000e+02    5.1338714263e-02    6.0458984375e-01
        27   -1.7078505360e+01    2.9276187071e+02   -3.0087120829e+01    1.3008615468e+01    1.7328141258e+01   -5.5847102242e+01    1.4510769089e+00    6.9807632464e+00    5.1200000000e+02    5.1342665967e-02    6.0460205078e-01
        28   -1.7092401612e+01    2.9334621148e+02   -3.0337263053e+01    1.3244861442e+01    1.7099287412e+01   -5.6222643906e+01    1.8053301943e+00    6.9807632464e+00    5.1200000000e+02    5.1339334856e-02    6.0755615234e-01
        29   -1.7052291490e+01    2.9197702980e+02   -3.0507876512e+01    1.3455585022e+01    1.7329442939e+01   -5.6585217854e+01    1.7671351564e+00    6.9807632464e+00    5.1200000000e+02    5.1412748230e-02    6.0690917969e-01
        30   -1.7090077070e+01    2.9321804064e+02   -3.0978925788e+01    1.3888848718e+01    1.7552663405e+01   -5.7319730134e+01    1.8073776946e+00    6.9807632464e+00    5.1200000000e+02    5.1424774961e-02    6.0488281250e-01
        31   -1.7107696715e+01    2.9369732371e+02   -3.0625263224e+01    1.3517566509e+01    1.7300365573e+01   -5.6717778153e+01    1.8113861095e+00    6.9807632464e+00    5.1200000000e+02    5.1390949692e-02    6.0626220703e-01
        32   -1.7041401112e+01    2.9185996054e+02   -3.0441432033e+01    1.3400030921e+01    1.7217075139e+01   -5.6583698427e+01    1.9444280088e+00    6.9807632464e+00    5.1200000000e+02    5.1327612981e-02    6.0347900391e-01
        33   -1.7143790383e+01    2.9518534516e+02   -3.0647871195e+01    1.3504080812e+01    1.7408884232e+01   -5.7061851101e+01    2.0243324278e+00    6.9807632464e+00    5.1200000000e+02    5.1431891357e-02    6.0646972656e-01
        34   -1.7089222447e+01    2.9326703654e+02   -3.0479251957e+01    1.3390029510e+01    1.7121709396e+01   -5.6317174278e+01    1.7354496783e+00    6.9807632464e+00    5.1200000000e+02    5.1324125334e-02    6.0816650391e-01
        35   -1.7111721798e+01    2.9389980700e+02   -2.9957222218e+01    1.2845500419e+01    1.7249423297e+01   -5.6450319972e+01    2.2629112110e+00    6.9807632464e+00    5.1200000000e+02    5.1396322639e-02    6.0462646484e-01
        36   -1.7143181145e+01    2.9492711067e+02   -3.0694419282e+01    1.3551238137e+01    1.7345880388e+01   -5.6556475163e+01    1.5354122475e+00    6.9807632464e+00    5.1200000000e+02    5.1334595786e-02    6.0916748047e-01
        37   -1.7086140862e+01    2.9319009151e+02   -3.0367103856e+01    1.3280962994e+01    1.7399539119e+01   -5.6942881168e+01    2.1954749458e+00    6.9807632464e+00    5.1200000000e+02    5.1369869106e-02    6.0400390625e-01
        38   -1.7112289839e+01    2.9411593483e+02   -2.9376487730e+01    1.2264197891e+01    1.7086684880e+01   -5.5249551581e+01    1.8056157244e+00    6.9807632464e+00    5.1200000000e+02    5.1282182078e-02    6.0792236328e-01
        39   -1.7053238524e+01    2.9209022814e+02   -3.0115596735e+01    1.3062358211e+01    1.7193262913e+01   -5.6325833593e+01    2.0362106986e+00    6.9807632464e+00    5.1200000000e+02    5.1293308728e-02    6.0657958984e-01
        40   -1.7043313662e+01    2.9173664369e+02   -3.0570996231e+01    1.3527682569e+01    1.7559014021e+01   -5.6801284746e+01    1.6905112474e+00    6.9807632464e+00    5.1200000000e+02    5.1330568071e-02    6.0474853516e-01
        41   -1.7041692179e+01    2.9173301415e+02   -3.0292071050e+01    1.3250378871e+01    1.7480686399e+01   -5.6902627049e+01    2.1491063542e+00    6.9807632464e+00    5.1200000000e+02    5.1362729871e-02    6.0225830078e-01
        42   -1.7120208685e+01    2.9418448813e+02   -2.9811917555e+01    1.2691708870e+01    1.6981601088e+01   -5.5701990884e+01    1.9277089944e+00    6.9807632464e+00    5.1200000000e+02    5.1281288450e-02    6.0706787109e-01
        43   -1.7077566620e+01    2.9281201421e+02   -3.0704765730e+01    1.3627199110e+01    1.7313859230e+01   -5.6921381992e+01    1.9219937858e+00    6.9807632464e+00    5.1200000000e+02    5.1334466509e-02    6.0662841797e-01
        44   -1.7033379857e+01    2.9139581085e+02   -3.0273052788e+01    1.3239672932e+01    1.7109300417e+01   -5.5853193924e+01    1.4900774716e+00    6.9807632464e+00    5.1200000000e+02    5.1299401975e-02    6.0531005859e-01
        45   -1.7051015256e+01    2.9200574586e+02   -3.0330635610e+01    1.3279620354e+01    1.7324937882e+01   -5.6647057044e+01    2.0107203048e+00    6.9807632464e+00    5.1200000000e+02    5.1303830544e-02    6.0941162109e-01
        46   -1.7049348937e+01    2.9195761119e+02   -3.0602348514e+01    1.3552999577e+01    1.7329225898e+01   -5.6544693923e+01    1.6323562639e+00    6.9807632464e+00    5.1200000000e+02    5.1325553586e-02    6.0765380859e-01
        47   -1.7023603679e+01    2.9104059360e+02   -3.0336458222e+01    1.3312854543e+01    1.7276633778e+01   -5.6516098680e+01    1.9222434336e+00    6.9807632464e+00    5.1200000000e+02    5.1365993420e-02    6.0903320312e-01
        48   -1.7055809831e+01    2.9222777728e+02   -3.0724031982e+01    1.3668222152e+01    1.7700038831e+01   -5.7565301046e+01    2.1604669861e+00    6.9807632464e+00    5.1200000000e+02    5.1499427654e-02    6.0297851562e-01
        49   -1.7006624261e+01    2.9038460337e+02   -3.0685158158e+01    1.3678533898e+01    1.7494757572e+01   -5.6988188289e+01    1.8275093123e+00    6.9807632464e+00    5.1200000000e+02    5.1385201025e-02    6.0236816406e-01
