#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7236720809e+01    2.9735717334e+02   -3.1091187086e+01    1.3854466277e+01    1.6936078882e+01   -5.6637267738e+01    1.6292385235e+00    6.9807632464e+00    5.1200000000e+02    7.0662574946e-02    6.0063476562e-01
         1   -1.7198948982e+01    2.9612811326e+02   -3.0433168682e+01    1.3234219701e+01    1.7030321658e+01   -5.6343008122e+01    1.8987545357e+00    6.9807632464e+00    5.1200000000e+02    7.0610158423e-02    6.0313720703e-01
         2   -1.7235582306e+01    2.9731546300e+02   -3.1055423507e+01    1.3819841201e+01    1.7230816050e+01   -5.7053642545e+01    1.7866397412e+00    6.9807632464e+00    5.1200000000e+02    7.0763562126e-02    5.9986572266e-01
         3   -1.7249576675e+01    2.9771872895e+02   -3.0766090088e+01    1.3516513413e+01    1.6930332067e+01   -5.6515885829e+01    1.8387004272e+00    6.9807632464e+00    5.1200000000e+02    7.0624941426e-02    6.0131835937e-01
         4   -1.7216684172e+01    2.9670124164e+02   -3.0255222299e+01    1.3038538128e+01    1.6956567494e+01   -5.5852161395e+01    1.6596083553e+00    6.9807632464e+00    5.1200000000e+02    7.0653228618e-02    5.9996337891e-01
         5   -1.7227124647e+01    2.9700471642e+02   -3.0690534571e+01    1.3463409925e+01    1.7188582434e+01   -5.6737088623e+01    1.8772083719e+00    6.9807632464e+00    5.1200000000e+02    7.0719506792e-02    6.0172119141e-01
         6   -1.7233272953e+01    2.9728812352e+02   -3.0657122383e+01    1.3423849430e+01    1.7134966256e+01   -5.6684640464e+01    1.9117885776e+00    6.9807632464e+00    5.1200000000e+02    7.0785741318e-02    5.9899902344e-01
         7   -1.7232479912e+01    2.9719750161e+02   -3.0911432508e+01    1.3678952596e+01    1.7279125430e+01   -5.7132070309e+01    1.9607491248e+00    6.9807632464e+00    5.1200000000e+02    7.0729722427e-02    6.0147705078e-01
         8   -1.7236169183e+01    2.9734427514e+02   -3.0515336421e+01    1.3279167238e+01    1.6863050236e+01   -5.5982791039e+01    1.6236411356e+00    6.9807632464e+00    5.1200000000e+02    7.0506354546e-02    6.0065917969e-01
         9   -1.7246837138e+01    2.9776411007e+02   -3.0396780709e+01    1.3149943571e+01    1.6953271215e+01   -5.6026364510e+01    1.6955493394e+00    6.9807632464e+00    5.1200000000e+02    7.0612488071e-02    6.0019531250e-01
        10   -1.7222252399e+01    2.9699252800e+02   -3.1004674049e+01    1.3782421649e+01    1.7135797291e+01   -5.7078457397e+01    1.9572228107e+00    6.9807632464e+00    5.1200000000e+02    7.0662160378e-02    6.0217285156e-01
        11   -1.7230057276e+01    2.9712045113e+02   -3.0704517326e+01    1.3474460050e+01    1.7119845294e+01   -5.6727040891e+01    1.9219150238e+00    6.9807632464e+00    5.1200000000e+02    7.0686830933e-02    6.0173339844e-01
        12   -1.7216379789e+01    2.9668380750e+02   -3.0903979445e+01    1.3687599656e+01    1.7143994291e+01   -5.6816252199e+01    1.7875152171e+00    6.9807632464e+00    5.1200000000e+02    7.0705583718e-02    6.0021972656e-01
        13   -1.7199351837e+01    2.9601576745e+02   -3.0618170535e+01    1.3418818698e+01    1.7149017789e+01   -5.6408268146e+01    1.6603165762e+00    6.9807632464e+00    5.1200000000e+02    7.0649489197e-02    6.0006103516e-01
        14   -1.7260061761e+01    2.9810886577e+02   -3.1374770464e+01    1.4114708703e+01    1.7037785918e+01   -5.7392588987e+01    1.9992693591e+00    6.9807632464e+00    5.1200000000e+02    7.0707557493e-02    6.0190429687e-01
        15   -1.7248110345e+01    2.9783372970e+02   -3.0554212839e+01    1.3306102494e+01    1.7206794007e+01   -5.6851599637e+01    2.1098295455e+00    6.9807632464e+00    5.1200000000e+02    7.0728232036e-02    6.0147705078e-01
        16   -1.7261932060e+01    2.9828921164e+02   -3.1455376014e+01    1.4193443954e+01    1.7329014896e+01   -5.7769218009e+01    2.0040638535e+00    6.9807632464e+00    5.1200000000e+02    7.0760805110e-02    6.0223388672e-01
        17   -1.7255940751e+01    2.9794340411e+02   -3.0775212277e+01    1.3519271526e+01    1.7120964465e+01   -5.6461403684e+01    1.5844636963e+00    6.9807632464e+00    5.1200000000e+02    7.0653058206e-02    5.9799804687e-01
        18   -1.7256053929e+01    2.9804909961e+02   -3.1212083404e+01    1.3956029474e+01    1.7091693178e+01   -5.7446560863e+01    2.1620210357e+00    6.9807632464e+00    5.1200000000e+02    7.0660629927e-02    5.9848632812e-01
        19   -1.7233440192e+01    2.9723535874e+02   -3.0912546066e+01    1.3679105874e+01    1.7166331854e+01   -5.6874534411e+01    1.8148932445e+00    6.9807632464e+00    5.1200000000e+02    7.0720613848e-02    6.0483398437e-01
        20   -1.7227994514e+01    2.9725529067e+02   -3.0170199498e+01    1.2942204985e+01    1.7066693452e+01   -5.6332997911e+01    2.1153417149e+00    6.9807632464e+00    5.1200000000e+02    7.0601560679e-02    6.0340576172e-01
        21   -1.7255954120e+01    2.9806873594e+02   -3.0495575835e+01    1.3239621716e+01    1.7048377780e+01   -5.6488451563e+01    1.9637347007e+00    6.9807632464e+00    5.1200000000e+02    7.0663971157e-02    6.0445556641e-01
        22   -1.7266974451e+01    2.9840837071e+02   -3.0339004153e+01    1.3072029702e+01    1.7018392537e+01   -5.6307126202e+01    1.9689662658e+00    6.9807632464e+00    5.1200000000e+02    7.0629906836e-02    6.0258789062e-01
        23   -1.7237265221e+01    2.9739310212e+02   -3.0957830232e+01    1.3720565011e+01    1.7023085417e+01   -5.6337638230e+01    1.3759593347e+00    6.9807632464e+00    5.1200000000e+02    7.0623189082e-02    6.0054931641e-01
        24   -1.7221880508e+01    2.9680574857e+02   -3.0421571427e+01    1.3199690919e+01    1.6832377097e+01   -5.6154692473e+01    1.9199807032e+00    6.9807632464e+00    5.1200000000e+02    7.0512739592e-02    5.9995117187e-01
        25   -1.7232762067e+01    2.9719713230e+02   -3.0864374362e+01    1.3631612296e+01    1.7237485648e+01   -5.7105037576e+01    2.0224143192e+00    6.9807632464e+00    5.1200000000e+02    7.0762289070e-02    6.0196533203e-01
        26   -1.7252635283e+01    2.9788084901e+02   -3.0644335687e+01    1.3391700404e+01    1.7061776164e+01   -5.6774240924e+01    2.0873658270e+00    6.9807632464e+00    5.1200000000e+02    7.0578799797e-02    6.0152587891e-01
        27   -1.7250158851e+01    2.9779610501e+02   -3.0529529999e+01    1.3279371149e+01    1.7081739541e+01   -5.6273245239e+01    1.6812124523e+00    6.9807632464e+00    5.1200000000e+02    7.0692188538e-02    6.0068359375e-01
        28   -1.7227777631e+01    2.9701166611e+02   -3.1068649589e+01    1.3840871958e+01    1.7093763232e+01   -5.6936506379e+01    1.7933303110e+00    6.9807632464e+00    5.1200000000e+02    7.0712055867e-02    5.9643554687e-01
        29   -1.7227241480e+01    2.9698698519e+02   -3.0644274002e+01    1.3417032523e+01    1.7191604240e+01   -5.6511369049e+01    1.6947275596e+00    6.9807632464e+00    5.1200000000e+02    7.0699769617e-02    6.0001220703e-01
        30   -1.7237035074e+01    2.9742690042e+02   -3.1140838664e+01    1.3903803590e+01    1.7251790111e+01   -5.7190316199e+01    1.8169241776e+00    6.9807632464e+00    5.1200000000e+02    7.0720423269e-02    6.0104980469e-01
        31   -1.7231470533e+01    2.9710227226e+02   -3.0910151665e+01    1.3678681132e+01    1.6796724020e+01   -5.6624802490e+01    1.9371635588e+00    6.9807632464e+00    5.1200000000e+02    7.0563005808e-02    6.0140380859e-01
        32   -1.7220931979e+01    2.9679360083e+02   -3.0586947544e+01    1.3366015565e+01    1.7057343381e+01   -5.6365882131e+01    1.7408279589e+00    6.9807632464e+00    5.1200000000e+02    7.0688268911e-02    5.9953613281e-01
        33   -1.7239311094e+01    2.9740216029e+02   -3.0388337211e+01    1.3149026118e+01    1.6728494778e+01   -5.5713736635e+01    1.6161414000e+00    6.9807632464e+00    5.1200000000e+02    7.0575974292e-02    5.9964599609e-01
        34   -1.7219885518e+01    2.9675910834e+02   -3.0934338051e+01    1.3714452534e+01    1.7221321564e+01   -5.6966833014e+01    1.8304101517e+00    6.9807632464e+00    5.1200000000e+02    7.0679327678e-02    5.9814453125e-01
        35   -1.7282899115e+01    2.9899697674e+02   -3.0473423296e+01    1.3190524181e+01    1.7183152531e+01   -5.6964240476e+01    2.3269014024e+00    6.9807632464e+00    5.1200000000e+02    7.0740027173e-02    5.9892578125e-01
        36   -1.7214215560e+01    2.9661625886e+02   -2.9898549559e+01    1.2684333999e+01    1.7052772572e+01   -5.6659679809e+01    2.7275944314e+00    6.9807632464e+00    5.1200000000e+02    7.0663932354e-02    5.9890136719e-01
        37   -1.7258373174e+01    2.9810306030e+02   -3.1128001314e+01    1.3869628141e+01    1.7144920759e+01   -5.6597707546e+01    1.3440222258e+00    6.9807632464e+00    5.1200000000e+02    7.0769196367e-02    6.0266113281e-01
        38   -1.7241050224e+01    2.9742016355e+02   -3.0822884368e+01    1.3581834144e+01    1.7023358857e+01   -5.6523887661e+01    1.6968811892e+00    6.9807632464e+00    5.1200000000e+02    7.0643099067e-02    5.9949951172e-01
        39   -1.7221983969e+01    2.9683445318e+02   -3.0483326161e+01    1.3261342193e+01    1.6976634845e+01   -5.6253995679e+01    1.8132714260e+00    6.9807632464e+00    5.1200000000e+02    7.0664605337e-02    6.0000000000e-01
        40   -1.7239599449e+01    2.9745244811e+02   -3.0881942460e+01    1.3642343011e+01    1.7027725239e+01   -5.6959565739e+01    2.0691347944e+00    6.9807632464e+00    5.1200000000e+02    7.0619103594e-02    5.9969482422e-01
        41   -1.7215802252e+01    2.9658277651e+02   -3.1539216570e+01    1.4323414318e+01    1.7320309493e+01   -5.7755578391e+01    1.9152890820e+00    6.9807632464e+00    5.1200000000e+02    7.0670305583e-02    6.0319824219e-01
        42   -1.7253967501e+01    2.9788768364e+02   -3.0107941775e+01    1.2853974274e+01    1.7013514234e+01   -5.5967469988e+01    1.8652507335e+00    6.9807632464e+00    5.1200000000e+02    7.0677380183e-02    6.0297851562e-01
        43   -1.7276118883e+01    2.9868988021e+02   -3.0091494033e+01    1.2815375151e+01    1.6715039619e+01   -5.5316388821e+01    1.5290919222e+00    6.9807632464e+00    5.1200000000e+02    7.0610783101e-02    6.0249023437e-01
        44   -1.7199422869e+01    2.9621659319e+02   -3.0745538426e+01    1.3546115557e+01    1.7019015895e+01   -5.6702708201e+01    1.9573906325e+00    6.9807632464e+00    5.1200000000e+02    7.0638910596e-02    6.0460205078e-01
