#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7235607983e+01    2.9730222586e+02   -3.0698432492e+01    1.3462824509e+01    1.7142638296e+01   -5.6822560877e+01    2.0007268416e+00    6.9807632464e+00    5.1200000000e+02    6.9427794219e-02    5.9948730469e-01
         1   -1.7258911684e+01    2.9799629978e+02   -3.0998125473e+01    1.3739213789e+01    1.7022998351e+01   -5.6835898433e+01    1.8340113623e+00    6.9807632464e+00    5.1200000000e+02    6.9411638477e-02    6.0050048828e-01
         2   -1.7273516463e+01    2.9853690520e+02   -3.1003542338e+01    1.3730025875e+01    1.7109115967e+01   -5.6753757205e+01    1.6603356545e+00    6.9807632464e+00    5.1200000000e+02    6.9511773560e-02    5.9804687500e-01
         3   -1.7243910796e+01    2.9747723080e+02   -3.0480343743e+01    1.3236432947e+01    1.6930963846e+01   -5.6014142852e+01    1.6220720170e+00    6.9807632464e+00    5.1200000000e+02    6.9463485132e-02    5.9621582031e-01
         4   -1.7231397062e+01    2.9720983244e+02   -3.0950373379e+01    1.3718976317e+01    1.6967575121e+01   -5.7013297401e+01    2.1145856537e+00    6.9807632464e+00    5.1200000000e+02    6.9453129685e-02    5.9974365234e-01
         5   -1.7241019418e+01    2.9739825847e+02   -3.0690340821e+01    1.3449321403e+01    1.7008763834e+01   -5.6602124003e+01    1.9222561019e+00    6.9807632464e+00    5.1200000000e+02    6.9540394680e-02    5.9987792969e-01
         6   -1.7282948793e+01    2.9887885107e+02   -3.0576005458e+01    1.3293056665e+01    1.7298624102e+01   -5.6700588791e+01    1.8451959853e+00    6.9807632464e+00    5.1200000000e+02    6.9536041487e-02    6.0003662109e-01
         7   -1.7271315110e+01    2.9846570292e+02   -3.1049704058e+01    1.3778388948e+01    1.7261105508e+01   -5.7135599606e+01    1.8440267926e+00    6.9807632464e+00    5.1200000000e+02    6.9447203228e-02    5.9676513672e-01
         8   -1.7289007654e+01    2.9910657534e+02   -3.1005444534e+01    1.3716436880e+01    1.7131420402e+01   -5.6650512388e+01    1.5328842050e+00    6.9807632464e+00    5.1200000000e+02    6.9509247920e-02    5.9952392578e-01
         9   -1.7268911832e+01    2.9841274254e+02   -3.0583904534e+01    1.3314992702e+01    1.7167359424e+01   -5.6852358564e+01    2.1203313593e+00    6.9807632464e+00    5.1200000000e+02    6.9542003494e-02    5.9383544922e-01
        10   -1.7275951747e+01    2.9869139121e+02   -3.0719103541e+01    1.3443151794e+01    1.6892599345e+01   -5.6453445155e+01    1.8609790221e+00    6.9807632464e+00    5.1200000000e+02    6.9381917483e-02    5.9388427734e-01
        11   -1.7249938275e+01    2.9771463750e+02   -3.1322623910e+01    1.4072685635e+01    1.6998262838e+01   -5.7401279425e+01    2.0996294301e+00    6.9807632464e+00    5.1200000000e+02    6.9455691958e-02    5.9810791016e-01
        12   -1.7269404894e+01    2.9837049533e+02   -3.0276024058e+01    1.3006619164e+01    1.7008331742e+01   -5.6055865404e+01    1.7907463574e+00    6.9807632464e+00    5.1200000000e+02    6.9499551428e-02    5.9880371094e-01
        13   -1.7261189094e+01    2.9823781403e+02   -3.0353395571e+01    1.3092206478e+01    1.7089383359e+01   -5.6252854598e+01    1.8293124215e+00    6.9807632464e+00    5.1200000000e+02    6.9459073796e-02    5.9687500000e-01
        14   -1.7249957085e+01    2.9768567252e+02   -3.1029942009e+01    1.3779984923e+01    1.7195616312e+01   -5.6708441962e+01    1.5021203946e+00    6.9807632464e+00    5.1200000000e+02    6.9544559839e-02    5.9730224609e-01
        15   -1.7290814315e+01    2.9943034977e+02   -3.0666149896e+01    1.3375335581e+01    1.7056332861e+01   -5.6457407329e+01    1.7541613253e+00    6.9807632464e+00    5.1200000000e+02    6.9472487273e-02    5.9611816406e-01
        16   -1.7258094829e+01    2.9796098884e+02   -3.0597215290e+01    1.3339120461e+01    1.7027908193e+01   -5.6747983131e+01    2.1420964015e+00    6.9807632464e+00    5.1200000000e+02    6.9458132607e-02    5.9978027344e-01
