#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7265860154e+01    2.9834562877e+02   -3.0931148169e+01    1.3665288015e+01    1.7040079310e+01   -5.6702950841e+01    1.7509601145e+00    6.9807632464e+00    5.0257000000e+04    1.3392572216e+00    9.6462861999e-01
         1   -1.7268077640e+01    2.9844817964e+02   -3.0889201389e+01    1.3621123749e+01    1.7038899467e+01   -5.6650581113e+01    1.7417170111e+00    6.9807632464e+00    4.8102000000e+04    1.2434438051e+00    9.6430556544e-01
         2   -1.7264610721e+01    2.9832915556e+02   -3.1113601641e+01    1.3848990920e+01    1.7138991389e+01   -5.7001575046e+01    1.7682187698e+00    6.9807632464e+00    4.8458000000e+04    1.2587067677e+00    9.6395447042e-01
         3   -1.7263047990e+01    2.9824924500e+02   -3.0812189649e+01    1.3549141659e+01    1.7018568871e+01   -5.6606790367e+01    1.7952686002e+00    6.9807632464e+00    4.8153000000e+04    1.2441214027e+00    9.6464698735e-01
         4   -1.7261497744e+01    2.9821671769e+02   -3.1044938441e+01    1.3783440696e+01    1.7059109224e+01   -5.6869054713e+01    1.7842438022e+00    6.9807632464e+00    4.7379000000e+04    1.2359807052e+00    9.6431683668e-01
         5   -1.7264701343e+01    2.9832610553e+02   -3.1067888649e+01    1.3803187307e+01    1.7119601885e+01   -5.6923290993e+01    1.7550372119e+00    6.9807632464e+00    4.7618000000e+04    1.2556339409e+00    9.6402405774e-01
         6   -1.7256642188e+01    2.9804292137e+02   -3.1056976978e+01    1.3800334790e+01    1.7121914276e+01   -5.6977954903e+01    1.8183004027e+00    6.9807632464e+00    4.7540000000e+04    1.2622291843e+00    9.6373618817e-01
         7   -1.7269793703e+01    2.9849518417e+02   -3.1042637769e+01    1.3772844066e+01    1.7125542603e+01   -5.6908994485e+01    1.7600508661e+00    6.9807632464e+00    4.7962000000e+04    1.2962990646e+00    9.6427729574e-01
         8   -1.7272620068e+01    2.9859989649e+02   -3.1075192990e+01    1.3802572922e+01    1.7091501651e+01   -5.6942116366e+01    1.7946584784e+00    6.9807632464e+00    4.9195000000e+04    1.2594564747e+00    9.6394838541e-01
         9   -1.7262443707e+01    2.9825286218e+02   -3.1242791297e+01    1.3980347590e+01    1.7250673058e+01   -5.7309253727e+01    1.8350261252e+00    6.9807632464e+00    4.9746000000e+04    1.2678175373e+00    9.6339647444e-01
        10   -1.7268360531e+01    2.9843634872e+02   -3.0895439158e+01    1.3627078627e+01    1.7029908498e+01   -5.6703085936e+01    1.7969750332e+00    6.9807632464e+00    4.8338000000e+04    1.2592075580e+00    9.6489405907e-01
        11   -1.7266411429e+01    2.9838910943e+02   -3.1061330734e+01    1.3794919305e+01    1.7067221015e+01   -5.6940294449e+01    1.8309794537e+00    6.9807632464e+00    4.7861000000e+04    1.2523986061e+00    9.6404652441e-01
        12   -1.7270462262e+01    2.9852540997e+02   -3.1106280700e+01    1.3835818438e+01    1.7151263929e+01   -5.7054918620e+01    1.8166107447e+00    6.9807632464e+00    4.8001000000e+04    1.2660238707e+00    9.6447860383e-01
        13   -1.7261048315e+01    2.9819611203e+02   -3.0938315470e+01    1.3677267155e+01    1.7135020723e+01   -5.6826037869e+01    1.7719384300e+00    6.9807632464e+00    4.7477000000e+04    1.2629702991e+00    9.6461732265e-01
        14   -1.7264066623e+01    2.9828137628e+02   -3.0969515359e+01    1.3705448736e+01    1.7094531316e+01   -5.6828209065e+01    1.7833991436e+00    6.9807632464e+00    4.7913000000e+04    1.2516578874e+00    9.6397780368e-01
        15   -1.7265241430e+01    2.9834414861e+02   -3.1006189717e+01    1.3740948287e+01    1.7161346166e+01   -5.6956508282e+01    1.8082091527e+00    6.9807632464e+00    4.7442000000e+04    1.2518967084e+00    9.6438910620e-01
        16   -1.7263497134e+01    2.9829512251e+02   -3.1129300635e+01    1.3865803501e+01    1.7164812029e+01   -5.7050745116e+01    1.7758692056e+00    6.9807632464e+00    4.7861000000e+04    1.2614150443e+00    9.6407261839e-01
        17   -1.7266461270e+01    2.9837125476e+02   -3.0909027158e+01    1.3642565888e+01    1.7160988341e+01   -5.6827513793e+01    1.7767350474e+00    6.9807632464e+00    4.7348000000e+04    1.2681166562e+00    9.6456088645e-01
        18   -1.7262754910e+01    2.9824155271e+02   -3.1132628874e+01    1.3869873964e+01    1.7156930385e+01   -5.7112967929e+01    1.8426454240e+00    6.9807632464e+00    4.7527000000e+04    1.2525727638e+00    9.6383665650e-01
        19   -1.7262755128e+01    2.9824373349e+02   -3.0874552044e+01    1.3611796916e+01    1.6991982196e+01   -5.6696267187e+01    1.8489697003e+00    6.9807632464e+00    4.7239000000e+04    1.2426104541e+00    9.6428964007e-01
        20   -1.7263465778e+01    2.9826588973e+02   -3.1054541456e+01    1.3791075678e+01    1.7143960422e+01   -5.6977739805e+01    1.7984746808e+00    6.9807632464e+00    4.8589000000e+04    1.2567044107e+00    9.6420499672e-01
        21   -1.7258963385e+01    2.9816078039e+02   -3.1091898054e+01    1.3832934669e+01    1.7177696356e+01   -5.7053971802e+01    1.8036141459e+00    6.9807632464e+00    4.8164000000e+04    1.2674840132e+00    9.6431345428e-01
        22   -1.7263357949e+01    2.9826009899e+02   -3.1170290877e+01    1.3906932927e+01    1.7093182918e+01   -5.7058550162e+01    1.8143131212e+00    6.9807632464e+00    4.7657000000e+04    1.2520171537e+00    9.6391025451e-01
        23   -1.7266394032e+01    2.9838388386e+02   -3.1070049613e+01    1.3803655581e+01    1.7144722589e+01   -5.6987052546e+01    1.7915170974e+00    6.9807632464e+00    4.8435000000e+04    1.2512305513e+00    9.6368875194e-01
        24   -1.7265338434e+01    2.9832510729e+02   -3.0980764845e+01    1.3715426411e+01    1.7128080272e+01   -5.6897020838e+01    1.8074124741e+00    6.9807632464e+00    4.8674000000e+04    1.2563507343e+00    9.6473923986e-01
        25   -1.7262253196e+01    2.9825452725e+02   -3.1135056410e+01    1.3872803215e+01    1.7231554747e+01   -5.7144158387e+01    1.7967839839e+00    6.9807632464e+00    4.7113000000e+04    1.2640307054e+00    9.6399474874e-01
        26   -1.7264054237e+01    2.9830531905e+02   -3.1178422970e+01    1.3914368733e+01    1.7183049009e+01   -5.7187093995e+01    1.8448587693e+00    6.9807632464e+00    4.8839000000e+04    1.2528185502e+00    9.6404869035e-01
        27   -1.7259673359e+01    2.9814555624e+02   -3.0761356598e+01    1.3501683239e+01    1.6966067576e+01   -5.6491955079e+01    1.7837676585e+00    6.9807632464e+00    4.8177000000e+04    1.2471635123e+00    9.6493423390e-01
        28   -1.7264394746e+01    2.9829282750e+02   -3.0727597144e+01    1.3463202397e+01    1.6969075018e+01   -5.6421646938e+01    1.7442115300e+00    6.9807632464e+00    4.7934000000e+04    1.2559883759e+00    9.6482816390e-01
