#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7009153643e+01    2.9102959593e+02   -3.0556071709e+01    1.3546918065e+01    1.7489175151e+01   -5.7435525410e+01    2.4095153046e+00    6.9807632464e+00    5.1200000000e+02    3.2808867856e-02    6.0877685547e-01
         1   -1.6951000809e+01    2.8892293858e+02   -3.0541314553e+01    1.3590313745e+01    1.7574362597e+01   -5.7180167940e+01    2.0837275434e+00    6.9807632464e+00    5.1200000000e+02    3.2822507607e-02    6.0753173828e-01
         2   -1.6996865673e+01    2.9053488396e+02   -3.0003617290e+01    1.3006751618e+01    1.7490379674e+01   -5.6537283072e+01    2.0625228613e+00    6.9807632464e+00    5.1200000000e+02    3.2823700439e-02    6.0728759766e-01
         3   -1.7083530556e+01    2.9318984881e+02   -3.0587778344e+01    1.3504247788e+01    1.7467304402e+01   -5.6745609469e+01    1.7097634766e+00    6.9807632464e+00    5.1200000000e+02    3.2822196768e-02    6.1014404297e-01
         4   -1.7031684491e+01    2.9171808461e+02   -2.9955348382e+01    1.2923663890e+01    1.7431056571e+01   -5.6301537118e+01    1.9343689190e+00    6.9807632464e+00    5.1200000000e+02    3.2791474885e-02    6.0964355469e-01
         5   -1.7018125985e+01    2.9100849017e+02   -2.9904086927e+01    1.2885960942e+01    1.7562085413e+01   -5.6371357292e+01    1.9244217053e+00    6.9807632464e+00    5.1200000000e+02    3.2865654221e-02    6.0920410156e-01
         6   -1.7054043727e+01    2.9239994307e+02   -2.9694513614e+01    1.2640469887e+01    1.7417366937e+01   -5.5776848298e+01    1.6842045007e+00    6.9807632464e+00    5.1200000000e+02    3.2852472659e-02    6.0711669922e-01
         7   -1.7040238263e+01    2.9187374113e+02   -3.0387980180e+01    1.3347741918e+01    1.7565944890e+01   -5.6916436063e+01    1.9817477457e+00    6.9807632464e+00    5.1200000000e+02    3.2866469070e-02    6.0947265625e-01
         8   -1.7032644317e+01    2.9178889178e+02   -3.0065117770e+01    1.3032473453e+01    1.7380431614e+01   -5.6240388975e+01    1.8140763444e+00    6.9807632464e+00    5.1200000000e+02    3.2782278806e-02    6.0861816406e-01
         9   -1.6919860771e+01    2.8784508660e+02   -2.9684014939e+01    1.2764154168e+01    1.7562992023e+01   -5.6109208806e+01    1.8814385975e+00    6.9807632464e+00    5.1200000000e+02    3.2853868320e-02    6.0556640625e-01
        10   -1.6976906502e+01    2.8988470545e+02   -3.0675601430e+01    1.3698694928e+01    1.7732631139e+01   -5.7129459319e+01    1.7404635039e+00    6.9807632464e+00    5.1200000000e+02    3.2865127734e-02    6.0684814453e-01
        11   -1.6919285620e+01    2.8802118433e+02   -3.0044065320e+01    1.3124779700e+01    1.7548376553e+01   -5.6383839102e+01    1.8106339826e+00    6.9807632464e+00    5.1200000000e+02    3.2826501880e-02    6.0770263672e-01
        12   -1.6942641157e+01    2.8889297674e+02   -2.9941538773e+01    1.2998897615e+01    1.7612084668e+01   -5.6381049392e+01    1.8466627044e+00    6.9807632464e+00    5.1200000000e+02    3.2812174316e-02    6.0299072266e-01
        13   -1.7032848507e+01    2.9168567765e+02   -3.0254257360e+01    1.3221408853e+01    1.7444773462e+01   -5.6687648292e+01    2.0078542232e+00    6.9807632464e+00    5.1200000000e+02    3.2823965947e-02    6.0900878906e-01
        14   -1.7071043870e+01    2.9288662460e+02   -3.0740251826e+01    1.3669207956e+01    1.7598563113e+01   -5.7422376283e+01    2.1027980976e+00    6.9807632464e+00    5.1200000000e+02    3.2848501562e-02    6.0644531250e-01
        15   -1.7042064848e+01    2.9186032624e+02   -3.0242655195e+01    1.3200590347e+01    1.7645430622e+01   -5.7260071969e+01    2.3912229054e+00    6.9807632464e+00    5.1200000000e+02    3.2841013979e-02    6.0769042969e-01
        16   -1.7023953944e+01    2.9140221854e+02   -3.1081866135e+01    1.4057912191e+01    1.7625004222e+01   -5.7384446733e+01    1.6968131294e+00    6.9807632464e+00    5.1200000000e+02    3.2824374556e-02    6.0616455078e-01
        17   -1.6965063222e+01    2.8953982079e+02   -3.0210286328e+01    1.3245223105e+01    1.7468397438e+01   -5.6570076026e+01    1.9106290146e+00    6.9807632464e+00    5.1200000000e+02    3.2772426233e-02    6.0649414062e-01
        18   -1.6957524003e+01    2.8936150516e+02   -3.0691741706e+01    1.3734217703e+01    1.7563552817e+01   -5.7313414434e+01    2.0773566650e+00    6.9807632464e+00    5.1200000000e+02    3.2807881848e-02    6.0449218750e-01
