#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7265382259e+01    2.9834683045e+02   -3.1130081614e+01    1.3864699355e+01    1.7095351947e+01   -5.6919278811e+01    1.7130820035e+00    6.9807632464e+00    5.2363000000e+04    7.3649882598e-01    8.9960445822e-01
         1   -1.7263495501e+01    2.9829534684e+02   -3.1115549343e+01    1.3852053842e+01    1.7109762355e+01   -5.6944839152e+01    1.7387642084e+00    6.9807632464e+00    4.8509000000e+04    6.4364844633e-01    8.9953244412e-01
         2   -1.7269833713e+01    2.9854591558e+02   -3.0997991153e+01    1.3728157440e+01    1.7092684398e+01   -5.6800049848e+01    1.7286110506e+00    6.9807632464e+00    4.8167000000e+04    6.4368566375e-01    9.0014049611e-01
         3   -1.7268252728e+01    2.9846318136e+02   -3.1093576939e+01    1.3825324211e+01    1.7099802216e+01   -5.6848776463e+01    1.6746340616e+00    6.9807632464e+00    4.8539000000e+04    6.3629218437e-01    8.9933672835e-01
         4   -1.7276196451e+01    2.9874201433e+02   -3.1040987600e+01    1.3764791150e+01    1.7083998614e+01   -5.6807154946e+01    1.7014054849e+00    6.9807632464e+00    4.8025000000e+04    6.3727499715e-01    9.0025720886e-01
         5   -1.7274745127e+01    2.9869611777e+02   -3.1347627461e+01    1.4072882334e+01    1.7174970204e+01   -5.7175612801e+01    1.6722518890e+00    6.9807632464e+00    4.8391000000e+04    6.4009646945e-01    8.9853109262e-01
         6   -1.7269389367e+01    2.9848586918e+02   -3.0999250222e+01    1.3729860855e+01    1.7031707882e+01   -5.6707392024e+01    1.6956706731e+00    6.9807632464e+00    4.7560000000e+04    6.3924988035e-01    9.0012266929e-01
         7   -1.7270704340e+01    2.9852641135e+02   -3.0927415533e+01    1.3656711193e+01    1.7020781489e+01   -5.6643021633e+01    1.7140613650e+00    6.9807632464e+00    4.7501000000e+04    6.3883719152e-01    9.0054224292e-01
         8   -1.7264931115e+01    2.9835560266e+02   -3.1070133905e+01    1.3805202790e+01    1.7133327550e+01   -5.6950225539e+01    1.7660008379e+00    6.9807632464e+00    4.7862000000e+04    6.3402929910e-01    8.9895089004e-01
         9   -1.7267495128e+01    2.9843687665e+02   -3.1160242191e+01    1.3892747064e+01    1.7126425705e+01   -5.6955168619e+01    1.6877374767e+00    6.9807632464e+00    4.7554000000e+04    6.4511919074e-01    8.9955490039e-01
        10   -1.7276339294e+01    2.9875783033e+02   -3.1097800964e+01    1.3821461670e+01    1.7134421989e+01   -5.7018411771e+01    1.8054255719e+00    6.9807632464e+00    4.8018000000e+04    6.4000790160e-01    8.9879795538e-01
        11   -1.7261687083e+01    2.9821448683e+02   -3.1305950833e+01    1.4044263750e+01    1.7204721625e+01   -5.7206703665e+01    1.7152679608e+00    6.9807632464e+00    4.7197000000e+04    6.3898249738e-01    8.9877695001e-01
        12   -1.7270899714e+01    2.9853503335e+02   -3.0993626765e+01    1.3722727052e+01    1.7052981221e+01   -5.6724399510e+01    1.6970282773e+00    6.9807632464e+00    4.7714000000e+04    6.3958228797e-01    9.0005514584e-01
        13   -1.7265855458e+01    2.9837415019e+02   -3.0985841437e+01    1.3719985979e+01    1.7047682219e+01   -5.6752043967e+01    1.7377570643e+00    6.9807632464e+00    4.7238000000e+04    6.7899762813e-01    9.0039174461e-01
        14   -1.7273557215e+01    2.9863177924e+02   -3.1272041376e+01    1.3998484160e+01    1.7185162080e+01   -5.7161830984e+01    1.7238642819e+00    6.9807632464e+00    4.8131000000e+04    6.4241091352e-01    8.9822808490e-01
        15   -1.7270755539e+01    2.9853781698e+02   -3.1136553026e+01    1.3865797487e+01    1.7128415625e+01   -5.6939721239e+01    1.6939893415e+00    6.9807632464e+00    4.7587000000e+04    6.4278261395e-01    8.9946792603e-01
        16   -1.7269682436e+01    2.9851305618e+02   -3.1140714529e+01    1.3871032094e+01    1.7183165518e+01   -5.7037644940e+01    1.7330016455e+00    6.9807632464e+00    4.7892000000e+04    6.4249928687e-01    8.9947213883e-01
        17   -1.7264378407e+01    2.9830844914e+02   -3.1119000306e+01    1.3854621899e+01    1.7078045287e+01   -5.6896208326e+01    1.7183994871e+00    6.9807632464e+00    4.7955000000e+04    6.3987175199e-01    8.9916790905e-01
        18   -1.7269094244e+01    2.9847026334e+02   -3.1071263304e+01    1.3802169061e+01    1.7098914993e+01   -5.6893467556e+01    1.7425260129e+00    6.9807632464e+00    4.8043000000e+04    6.4739538516e-01    8.9870699738e-01
        19   -1.7269013063e+01    2.9848248929e+02   -3.1075607691e+01    1.3806594627e+01    1.7044856159e+01   -5.6826076664e+01    1.7248495672e+00    6.9807632464e+00    4.7435000000e+04    6.3540723562e-01    8.9975639144e-01
        20   -1.7269423548e+01    2.9850480602e+02   -3.0992424566e+01    1.3723001018e+01    1.7035544192e+01   -5.6658060783e+01    1.6493287786e+00    6.9807632464e+00    4.7857000000e+04    6.4473614488e-01    8.9956341833e-01
        21   -1.7268133319e+01    2.9850165275e+02   -3.1225424494e+01    1.3957291176e+01    1.7120667069e+01   -5.7038445775e+01    1.7115909658e+00    6.9807632464e+00    4.7329000000e+04    6.3389622387e-01    8.9952076323e-01
        22   -1.7274815889e+01    2.9867989468e+02   -3.1214438240e+01    1.3939622352e+01    1.7129727721e+01   -5.7047834249e+01    1.7229050416e+00    6.9807632464e+00    4.8079000000e+04    6.4099550965e-01    8.9904529146e-01
        23   -1.7267579146e+01    2.9845280609e+02   -3.1104950727e+01    1.3837371581e+01    1.7093878640e+01   -5.6854784573e+01    1.6751919588e+00    6.9807632464e+00    4.7795000000e+04    6.3371942816e-01    9.0008589580e-01
        24   -1.7269382921e+01    2.9848367051e+02   -3.1163492769e+01    1.3894109847e+01    1.7082806384e+01   -5.6970286582e+01    1.7432241827e+00    6.9807632464e+00    4.8078000000e+04    6.4701084016e-01    8.9943835852e-01
        25   -1.7272117820e+01    2.9856429146e+02   -3.1046491913e+01    1.3774374093e+01    1.7092645879e+01   -5.6861637310e+01    1.7417362715e+00    6.9807632464e+00    4.7422000000e+04    6.4190232723e-01    8.9902937448e-01
        26   -1.7271628869e+01    2.9856747848e+02   -3.1192656617e+01    1.3921027747e+01    1.7132783823e+01   -5.7033775183e+01    1.7275714973e+00    6.9807632464e+00    4.8283000000e+04    6.4552568918e-01    8.9896175555e-01
        27   -1.7265148778e+01    2.9835073581e+02   -3.1022996420e+01    1.3757847642e+01    1.7056385643e+01   -5.6794227586e+01    1.7340822768e+00    6.9807632464e+00    4.7983000000e+04    6.4319820988e-01    8.9932977380e-01
        28   -1.7273686503e+01    2.9865289230e+02   -3.1055037259e+01    1.3781350755e+01    1.7091958952e+01   -5.6856994438e+01    1.7292349808e+00    6.9807632464e+00    4.8260000000e+04    6.3924791562e-01    8.9957567385e-01
        29   -1.7268296524e+01    2.9844574833e+02   -3.1116449368e+01    1.3848152843e+01    1.7137831994e+01   -5.6975390095e+01    1.7403454867e+00    6.9807632464e+00    4.7834000000e+04    6.3928292078e-01    8.9963603586e-01
        30   -1.7266940442e+01    2.9843946540e+02   -3.1162040311e+01    1.3895099869e+01    1.7139211763e+01   -5.7013032844e+01    1.7310175241e+00    6.9807632464e+00    4.7968000000e+04    6.3700851156e-01    8.9838914612e-01
        31   -1.7270102335e+01    2.9852168077e+02   -3.1077495228e+01    1.3807392894e+01    1.7097394769e+01   -5.6880052345e+01    1.7243991012e+00    6.9807632464e+00    4.8300000000e+04    6.3990487059e-01    8.9883580550e-01
        32   -1.7276231088e+01    2.9873552090e+02   -3.1106890085e+01    1.3830658998e+01    1.7047781706e+01   -5.6870792949e+01    1.7353579116e+00    6.9807632464e+00    4.8205000000e+04    6.4069830105e-01    9.0008667822e-01
        33   -1.7267517497e+01    2.9842634776e+02   -3.1121821560e+01    1.3854304063e+01    1.7142916771e+01   -5.6978391766e+01    1.7328901884e+00    6.9807632464e+00    4.8506000000e+04    6.3839418332e-01    8.9866131786e-01
        34   -1.7275892171e+01    2.9871555372e+02   -3.1088610743e+01    1.3812718571e+01    1.7108505585e+01   -5.6875723872e+01    1.6978442976e+00    6.9807632464e+00    4.8322000000e+04    6.3715437641e-01    8.9944542429e-01
        35   -1.7275661354e+01    2.9871446941e+02   -3.1124436315e+01    1.3848774961e+01    1.7103938694e+01   -5.6943321434e+01    1.7341831788e+00    6.9807632464e+00    4.8014000000e+04    6.3518919148e-01    8.9853550776e-01
        36   -1.7267054604e+01    2.9840071577e+02   -3.1089096259e+01    1.3822041655e+01    1.7104606932e+01   -5.6892438525e+01    1.7179720875e+00    6.9807632464e+00    4.7673000000e+04    6.3952193211e-01    8.9961739815e-01
        37   -1.7263484090e+01    2.9829903161e+02   -3.1288813527e+01    1.4025329437e+01    1.7231462038e+01   -5.7267261411e+01    1.7662225991e+00    6.9807632464e+00    4.7742000000e+04    6.4159647738e-01    8.9761150085e-01
        38   -1.7274020556e+01    2.9866475010e+02   -3.1137383884e+01    1.3863363328e+01    1.7030575828e+01   -5.6839741156e+01    1.6910181976e+00    6.9807632464e+00    4.8337000000e+04    6.3461849367e-01    8.9909145142e-01
        39   -1.7271752599e+01    2.9857695486e+02   -3.0966726932e+01    1.3694974333e+01    1.7088709388e+01   -5.6720419497e+01    1.6842199309e+00    6.9807632464e+00    4.8195000000e+04    6.3747256156e-01    9.0043458129e-01
        40   -1.7270308863e+01    2.9851420398e+02   -3.1103767215e+01    1.3833458351e+01    1.7079565772e+01   -5.6875715596e+01    1.7116193638e+00    6.9807632464e+00    4.7408000000e+04    6.4302840766e-01    8.9961226454e-01
        41   -1.7274368726e+01    2.9867812669e+02   -3.1079609610e+01    1.3805240884e+01    1.7048332251e+01   -5.6818420491e+01    1.7097153837e+00    6.9807632464e+00    4.8182000000e+04    6.3849454449e-01    8.9952160059e-01
        42   -1.7269258360e+01    2.9850587207e+02   -3.1192546209e+01    1.3923287849e+01    1.7137201412e+01   -5.7037026964e+01    1.7265160963e+00    6.9807632464e+00    4.7965000000e+04    6.4036522676e-01    8.9870351161e-01
        43   -1.7269344311e+01    2.9849425451e+02   -3.1182291840e+01    1.3912947529e+01    1.7135033524e+01   -5.7110782306e+01    1.8126936953e+00    6.9807632464e+00    4.8038000000e+04    6.3903522793e-01    8.9949274323e-01
        44   -1.7269875589e+01    2.9854216368e+02   -3.1136012016e+01    1.3866136428e+01    1.7065854846e+01   -5.6877750680e+01    1.6951205714e+00    6.9807632464e+00    4.7663000000e+04    6.3751071016e-01    9.0009037117e-01
        45   -1.7270277027e+01    2.9853836867e+02   -3.1191187501e+01    1.3920910475e+01    1.7117818102e+01   -5.7025071401e+01    1.7353025516e+00    6.9807632464e+00    4.8364000000e+04    6.4453319883e-01    8.9899723033e-01
        46   -1.7270414101e+01    2.9852191449e+02   -3.1026099255e+01    1.3755685154e+01    1.7090299142e+01   -5.6798615603e+01    1.7014539595e+00    6.9807632464e+00    4.8256000000e+04    6.4845700801e-01    9.0049704226e-01
        47   -1.7269791826e+01    2.9850174663e+02   -3.1184971424e+01    1.3915179598e+01    1.7117194174e+01   -5.7037440606e+01    1.7545117613e+00    6.9807632464e+00    4.7628000000e+04    6.3885965051e-01    8.9871168700e-01
        48   -1.7277012521e+01    2.9877547277e+02   -3.1140433901e+01    1.3863421380e+01    1.7099278517e+01   -5.6903237450e+01    1.6827617856e+00    6.9807632464e+00    4.8209000000e+04    6.4349080684e-01    8.9931448015e-01
