#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7260505579e+01    2.9812456993e+02   -3.0753195090e+01    1.3492689511e+01    1.7016913347e+01   -5.6602507183e+01    1.8516355000e+00    6.9807632464e+00    5.1200000000e+02    3.2708409824e-02    5.9772949219e-01
         1   -1.7207417453e+01    2.9633732945e+02   -3.0841019096e+01    1.3633601643e+01    1.7048082522e+01   -5.6369025613e+01    1.4991607482e+00    6.9807632464e+00    5.1200000000e+02    3.2633587808e-02    5.9520263672e-01
         2   -1.7197931163e+01    2.9596929846e+02   -3.1112388817e+01    1.3914457654e+01    1.6965396721e+01   -5.6709841591e+01    1.6512928066e+00    6.9807632464e+00    5.1200000000e+02    3.2684182361e-02    6.0257568359e-01
         3   -1.7239867329e+01    2.9745538447e+02   -3.1002010049e+01    1.3762142720e+01    1.7069743068e+01   -5.6750770845e+01    1.6982544816e+00    6.9807632464e+00    5.1200000000e+02    3.2671265422e-02    5.9317626953e-01
         4   -1.7244522454e+01    2.9761704267e+02   -3.1064811442e+01    1.3820288989e+01    1.7038920747e+01   -5.6852158528e+01    1.7676630915e+00    6.9807632464e+00    5.1200000000e+02    3.2718720691e-02    5.9914550781e-01
         5   -1.7241944569e+01    2.9745761054e+02   -3.0975154126e+01    1.3733209558e+01    1.6875614260e+01   -5.6474197100e+01    1.6426654683e+00    6.9807632464e+00    5.1200000000e+02    3.2629674082e-02    5.9710693359e-01
         6   -1.7218813310e+01    2.9669453977e+02   -3.0904084999e+01    1.3685271689e+01    1.6945027912e+01   -5.6840553432e+01    2.0106772749e+00    6.9807632464e+00    5.1200000000e+02    3.2677623706e-02    5.9951171875e-01
         7   -1.7268521247e+01    2.9870919746e+02   -3.0615062880e+01    1.3346541634e+01    1.6895447672e+01   -5.6427193945e+01    1.9359201463e+00    6.9807632464e+00    5.1200000000e+02    3.2681427830e-02    5.9735107422e-01
         8   -1.7263890525e+01    2.9825200254e+02   -3.0883540629e+01    1.3619650104e+01    1.7116390663e+01   -5.7074899237e+01    2.0942046992e+00    6.9807632464e+00    5.1200000000e+02    3.2703882373e-02    5.9947509766e-01
         9   -1.7239847518e+01    2.9750239605e+02   -3.1393806210e+01    1.4153958692e+01    1.7118769064e+01   -5.7236053439e+01    1.7427149185e+00    6.9807632464e+00    5.1200000000e+02    3.2672189553e-02    5.9544677734e-01
        10   -1.7270568660e+01    2.9852299308e+02   -3.0913582165e+01    1.3643013505e+01    1.7267954568e+01   -5.7338430889e+01    2.1761309108e+00    6.9807632464e+00    5.1200000000e+02    3.2674550876e-02    5.9323730469e-01
        11   -1.7298706815e+01    2.9976157973e+02   -3.0435219606e+01    1.3136512791e+01    1.6995521343e+01   -5.6313630074e+01    1.9021258775e+00    6.9807632464e+00    5.1200000000e+02    3.2661098118e-02    5.9614257812e-01
        12   -1.7286242022e+01    2.9909527993e+02   -3.1326320552e+01    1.4040078529e+01    1.7001188662e+01   -5.6965756900e+01    1.6574844403e+00    6.9807632464e+00    5.1200000000e+02    3.2693145142e-02    5.9569091797e-01
        13   -1.7248947376e+01    2.9769042055e+02   -3.1094477877e+01    1.3845530502e+01    1.7239201032e+01   -5.6997350875e+01    1.6829087192e+00    6.9807632464e+00    5.1200000000e+02    3.2677429258e-02    5.9881591797e-01
        14   -1.7247834265e+01    2.9772741542e+02   -3.1413198822e+01    1.4165364556e+01    1.7168469630e+01   -5.7451850825e+01    1.8894191274e+00    6.9807632464e+00    5.1200000000e+02    3.2741361377e-02    5.9813232422e-01
        15   -1.7219471967e+01    2.9670803799e+02   -3.1014966376e+01    1.3795494409e+01    1.7048007163e+01   -5.6693050353e+01    1.6493135682e+00    6.9807632464e+00    5.1200000000e+02    3.2665769956e-02    5.9473876953e-01
        16   -1.7245057902e+01    2.9770172968e+02   -3.0838352971e+01    1.3593295069e+01    1.7328873129e+01   -5.7079630986e+01    1.9316416395e+00    6.9807632464e+00    5.1200000000e+02    3.2735414597e-02    6.0065917969e-01
        17   -1.7182564753e+01    2.9554695432e+02   -3.1074400930e+01    1.3891836177e+01    1.7115741007e+01   -5.7192342759e+01    2.0214375755e+00    6.9807632464e+00    5.1200000000e+02    3.2641348774e-02    5.9442138672e-01
        18   -1.7241034136e+01    2.9744362787e+02   -3.0641599844e+01    1.3400565709e+01    1.7188867392e+01   -5.6386368370e+01    1.5751378877e+00    6.9807632464e+00    5.1200000000e+02    3.2746474971e-02    5.9755859375e-01
        19   -1.7270471498e+01    2.9850733021e+02   -3.1282362455e+01    1.4011890957e+01    1.6978972194e+01   -5.7081276443e+01    1.8391785478e+00    6.9807632464e+00    5.1200000000e+02    3.2609275056e-02    5.9732666016e-01
        20   -1.7258233775e+01    2.9806786117e+02   -3.1037594487e+01    1.3779360712e+01    1.6995563537e+01   -5.6977854100e+01    1.9639328301e+00    6.9807632464e+00    5.1200000000e+02    3.2669443865e-02    5.9874267578e-01
        21   -1.7254964341e+01    2.9792364582e+02   -3.1159074515e+01    1.3904110174e+01    1.7123346393e+01   -5.6965556062e+01    1.7023719073e+00    6.9807632464e+00    5.1200000000e+02    3.2687580674e-02    5.9851074219e-01
        22   -1.7296213993e+01    2.9934931673e+02   -3.0592917560e+01    1.3296703566e+01    1.7078917129e+01   -5.6918241433e+01    2.2656434975e+00    6.9807632464e+00    5.1200000000e+02    3.2708512627e-02    5.9733886719e-01
        23   -1.7258830394e+01    2.9810441822e+02   -3.0797326467e+01    1.3538496073e+01    1.7249414112e+01   -5.7296300539e+01    2.2687967130e+00    6.9807632464e+00    5.1200000000e+02    3.2752265100e-02    6.0079345703e-01
        24   -1.7294407230e+01    2.9944512527e+02   -3.0223407274e+01    1.2929000045e+01    1.6863579116e+01   -5.5798677437e+01    1.7309278005e+00    6.9807632464e+00    5.1200000000e+02    3.2665600735e-02    5.9577636719e-01
        25   -1.7242179515e+01    2.9752714750e+02   -3.1225332257e+01    1.3983152742e+01    1.7085085378e+01   -5.7515868660e+01    2.2246877789e+00    6.9807632464e+00    5.1200000000e+02    3.2753561587e-02    6.0230712891e-01
        26   -1.7251738373e+01    2.9781255344e+02   -3.0741481149e+01    1.3489742775e+01    1.6962363682e+01   -5.6915187114e+01    2.2305790366e+00    6.9807632464e+00    5.1200000000e+02    3.2681620310e-02    5.9776611328e-01
        27   -1.7230146715e+01    2.9710442512e+02   -3.1053427989e+01    1.3823281273e+01    1.7254893923e+01   -5.7273517969e+01    1.9844328111e+00    6.9807632464e+00    5.1200000000e+02    3.2689497114e-02    5.9897460937e-01
        28   -1.7238369002e+01    2.9733119794e+02   -3.1160569104e+01    1.3922200102e+01    1.7063912943e+01   -5.7225709867e+01    2.0204645725e+00    6.9807632464e+00    5.1200000000e+02    3.2716576511e-02    5.9910888672e-01
        29   -1.7249416331e+01    2.9772619323e+02   -3.0988681809e+01    1.3739265478e+01    1.7150916559e+01   -5.7081638848e+01    1.9612772338e+00    6.9807632464e+00    5.1200000000e+02    3.2677991292e-02    6.0106201172e-01
        30   -1.7207240264e+01    2.9625080119e+02   -3.0578707425e+01    1.3371467162e+01    1.6945633614e+01   -5.6531851242e+01    2.0267469567e+00    6.9807632464e+00    5.1200000000e+02    3.2672652959e-02    5.9841308594e-01
        31   -1.7271676916e+01    2.9858695109e+02   -3.0697089761e+01    1.3425412845e+01    1.6912409386e+01   -5.6577608303e+01    1.9873459089e+00    6.9807632464e+00    5.1200000000e+02    3.2659936702e-02    5.9827880859e-01
        32   -1.7243286069e+01    2.9754899538e+02   -3.1019945536e+01    1.3776659466e+01    1.7069343783e+01   -5.6847677731e+01    1.7776251666e+00    6.9807632464e+00    5.1200000000e+02    3.2682370164e-02    5.9873046875e-01
        33   -1.7237267588e+01    2.9728694122e+02   -3.1031855572e+01    1.3794587985e+01    1.7094828102e+01   -5.6913719102e+01    1.8062721812e+00    6.9807632464e+00    5.1200000000e+02    3.2656308662e-02    5.9570312500e-01
        34   -1.7229627565e+01    2.9708711877e+02   -3.0580513041e+01    1.3350885476e+01    1.7246338253e+01   -5.6792452959e+01    1.9848384180e+00    6.9807632464e+00    5.1200000000e+02    3.2767545896e-02    5.9930419922e-01
        35   -1.7229514239e+01    2.9707621191e+02   -3.1034976394e+01    1.3805462154e+01    1.7232148953e+01   -5.7462254110e+01    2.2143655170e+00    6.9807632464e+00    5.1200000000e+02    3.2669551643e-02    5.9940185547e-01
        36   -1.7233537475e+01    2.9722583074e+02   -3.1032350072e+01    1.3798812597e+01    1.7225984209e+01   -5.7176088031e+01    1.9369905039e+00    6.9807632464e+00    5.1200000000e+02    3.2707744844e-02    5.9904785156e-01
        37   -1.7225474682e+01    2.9688536271e+02   -3.0453124820e+01    1.3227650138e+01    1.7027203806e+01   -5.6243590415e+01    1.7824985417e+00    6.9807632464e+00    5.1200000000e+02    3.2674874336e-02    6.0024414062e-01
        38   -1.7216838784e+01    2.9659257550e+02   -3.0847623814e+01    1.3630785029e+01    1.7057225430e+01   -5.6792446651e+01    1.9068341605e+00    6.9807632464e+00    5.1200000000e+02    3.2682610061e-02    5.9941406250e-01
        39   -1.7222705464e+01    2.9680673332e+02   -3.0943807071e+01    1.3721101607e+01    1.7092010706e+01   -5.7082081430e+01    2.0655004062e+00    6.9807632464e+00    5.1200000000e+02    3.2676050308e-02    5.9802246094e-01
        40   -1.7238099000e+01    2.9738898283e+02   -3.0482092024e+01    1.3243993024e+01    1.7001862986e+01   -5.6412413569e+01    1.9476953128e+00    6.9807632464e+00    5.1200000000e+02    3.2645244199e-02    6.0053710937e-01
        41   -1.7224750733e+01    2.9683848875e+02   -3.0956975256e+01    1.3732224523e+01    1.7208872670e+01   -5.7185411640e+01    2.0388004679e+00    6.9807632464e+00    5.1200000000e+02    3.2706621516e-02    5.9473876953e-01
        42   -1.7275366298e+01    2.9870190795e+02   -3.1194993345e+01    1.3919627047e+01    1.7283060535e+01   -5.7285231904e+01    1.8264147776e+00    6.9807632464e+00    5.1200000000e+02    3.2696601487e-02    5.9766845703e-01
        43   -1.7245428924e+01    2.9763378785e+02   -3.0579021901e+01    1.3333592977e+01    1.7082185619e+01   -5.6634155814e+01    1.9921850473e+00    6.9807632464e+00    5.1200000000e+02    3.2685666855e-02    5.9929199219e-01
        44   -1.7267415172e+01    2.9832332505e+02   -3.0548468294e+01    1.3281053121e+01    1.6983228358e+01   -5.6221260591e+01    1.7088006932e+00    6.9807632464e+00    5.1200000000e+02    3.2653273186e-02    6.0032958984e-01
        45   -1.7228831874e+01    2.9704567209e+02   -3.1013854927e+01    1.3785023054e+01    1.7014002748e+01   -5.6877918185e+01    1.8692972626e+00    6.9807632464e+00    5.1200000000e+02    3.2696396523e-02    5.9659423828e-01
        46   -1.7256540015e+01    2.9798222467e+02   -3.0730754347e+01    1.3474214332e+01    1.6931681286e+01   -5.6774752480e+01    2.1315536014e+00    6.9807632464e+00    5.1200000000e+02    3.2648210085e-02    5.9744873047e-01
        47   -1.7236495338e+01    2.9732151978e+02   -3.0455147888e+01    1.3218652550e+01    1.6983968199e+01   -5.6307054673e+01    1.8871753396e+00    6.9807632464e+00    5.1200000000e+02    3.2698503220e-02    5.9541015625e-01
        48   -1.7262296612e+01    2.9818285410e+02   -3.1265651054e+01    1.4003354442e+01    1.6972399157e+01   -5.7274685589e+01    2.0558721313e+00    6.9807632464e+00    5.1200000000e+02    3.2626500806e-02    5.9476318359e-01
