#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7265001378e+01    2.9837388441e+02   -3.0664655993e+01    1.3399654615e+01    1.7076904321e+01   -5.6604712938e+01    1.8823893768e+00    6.9807632464e+00    5.1200000000e+02    1.7136515854e-02    5.9704589844e-01
         1   -1.7227291106e+01    2.9704716925e+02   -3.0611730280e+01    1.3384439174e+01    1.6924344918e+01   -5.6307578014e+01    1.7907395702e+00    6.9807632464e+00    5.1200000000e+02    1.7148728333e-02    6.0032958984e-01
         2   -1.7223072834e+01    2.9707456766e+02   -3.0369892794e+01    1.3146819961e+01    1.6779149825e+01   -5.6027917635e+01    1.8981117690e+00    6.9807632464e+00    5.1200000000e+02    1.7126409568e-02    5.9752197266e-01
         3   -1.7226960619e+01    2.9710389862e+02   -3.0919659832e+01    1.3692699213e+01    1.7483163577e+01   -5.7409498283e+01    2.0259116281e+00    6.9807632464e+00    5.1200000000e+02    1.7182822793e-02    5.9589843750e-01
         4   -1.7222437245e+01    2.9694323696e+02   -3.0559520742e+01    1.3337083498e+01    1.7055382832e+01   -5.6868829327e+01    2.2731625071e+00    6.9807632464e+00    5.1200000000e+02    1.7146031809e-02    5.9514160156e-01
         5   -1.7232013441e+01    2.9735328406e+02   -3.0957899084e+01    1.3725885643e+01    1.7144091797e+01   -5.7203168824e+01    2.1204146963e+00    6.9807632464e+00    5.1200000000e+02    1.7169212214e-02    5.9560546875e-01
         6   -1.7189841464e+01    2.9575022401e+02   -3.1001305814e+01    1.3811464350e+01    1.7269928719e+01   -5.7522314694e+01    2.2703169145e+00    6.9807632464e+00    5.1200000000e+02    1.7163637134e-02    5.9570312500e-01
         7   -1.7247710020e+01    2.9778095664e+02   -3.0733985281e+01    1.3486275261e+01    1.7115697030e+01   -5.6560904024e+01    1.7304584672e+00    6.9807632464e+00    5.1200000000e+02    1.7149526741e-02    5.9291992187e-01
         8   -1.7210771122e+01    2.9661866623e+02   -3.0846025149e+01    1.3635254027e+01    1.7094397981e+01   -5.6908260097e+01    1.9870737215e+00    6.9807632464e+00    5.1200000000e+02    1.7150531182e-02    5.9643554687e-01
         9   -1.7199460691e+01    2.9617462719e+02   -3.0693173551e+01    1.3493712861e+01    1.7117164316e+01   -5.6580368484e+01    1.7892673706e+00    6.9807632464e+00    5.1200000000e+02    1.7150457639e-02    5.9648437500e-01
        10   -1.7291043527e+01    2.9952466092e+02   -3.0818469273e+01    1.3527425747e+01    1.7126170021e+01   -5.6595667557e+01    1.6702650162e+00    6.9807632464e+00    5.1200000000e+02    1.7158220874e-02    5.9798583984e-01
        11   -1.7241794022e+01    2.9782367576e+02   -3.1039039212e+01    1.3797245190e+01    1.7293076764e+01   -5.7629729257e+01    2.3168500350e+00    6.9807632464e+00    5.1200000000e+02    1.7153915918e-02    5.9552001953e-01
        12   -1.7210046677e+01    2.9645537775e+02   -3.1057765846e+01    1.3847719169e+01    1.7096390901e+01   -5.7027022965e+01    1.8921029711e+00    6.9807632464e+00    5.1200000000e+02    1.7149367961e-02    5.9506835937e-01
        13   -1.7213106487e+01    2.9659254403e+02   -3.0948397575e+01    1.3735291089e+01    1.6968320699e+01   -5.6638142691e+01    1.7406611705e+00    6.9807632464e+00    5.1200000000e+02    1.7140706289e-02    5.9484863281e-01
        14   -1.7260338331e+01    2.9823082171e+02   -3.0903181268e+01    1.3642842937e+01    1.7200111772e+01   -5.7354918828e+01    2.2708625415e+00    6.9807632464e+00    5.1200000000e+02    1.7152448584e-02    5.9227294922e-01
        15   -1.7253619593e+01    2.9801087129e+02   -3.1254568288e+01    1.4000948695e+01    1.7155643674e+01   -5.7063423858e+01    1.6724486489e+00    6.9807632464e+00    5.1200000000e+02    1.7149073247e-02    5.9321289062e-01
        16   -1.7212743309e+01    2.9653392864e+02   -3.0355056882e+01    1.3142313573e+01    1.6949761240e+01   -5.6290080318e+01    2.0044989493e+00    6.9807632464e+00    5.1200000000e+02    1.7136734111e-02    5.9395751953e-01
        17   -1.7164865066e+01    2.9521035713e+02   -3.1006164941e+01    1.3841299874e+01    1.7209194831e+01   -5.7184228890e+01    1.9881058713e+00    6.9807632464e+00    5.1200000000e+02    1.7169092263e-02    5.9566650391e-01
        18   -1.7244539473e+01    2.9772660242e+02   -3.1174249404e+01    1.3929709931e+01    1.7301151686e+01   -5.7496606991e+01    2.0404426545e+00    6.9807632464e+00    5.1200000000e+02    1.7160362522e-02    5.9578857422e-01
        19   -1.7195517202e+01    2.9607220954e+02   -3.0974734288e+01    1.3779217086e+01    1.6898768151e+01   -5.6771231274e+01    1.9169655891e+00    6.9807632464e+00    5.1200000000e+02    1.7136236880e-02    5.9697265625e-01
        20   -1.7265295905e+01    2.9842427617e+02   -3.1075367765e+01    1.3810071860e+01    1.7112671147e+01   -5.7083783791e+01    1.9149816325e+00    6.9807632464e+00    5.1200000000e+02    1.7144770564e-02    5.9703369141e-01
        21   -1.7199907292e+01    2.9620163277e+02   -3.0867657731e+01    1.3667750438e+01    1.7186955874e+01   -5.7208988506e+01    2.1736116547e+00    6.9807632464e+00    5.1200000000e+02    1.7168339937e-02    6.0026855469e-01
        22   -1.7225567653e+01    2.9705858926e+02   -3.0506254543e+01    1.3280686890e+01    1.6971922096e+01   -5.6208133394e+01    1.7491935092e+00    6.9807632464e+00    5.1200000000e+02    1.7167534353e-02    5.9687500000e-01
        23   -1.7262078015e+01    2.9832459105e+02   -3.0864322672e+01    1.3602244657e+01    1.7228915798e+01   -5.7142310361e+01    2.0683086451e+00    6.9807632464e+00    5.1200000000e+02    1.7155611733e-02    5.9431152344e-01
        24   -1.7219963169e+01    2.9681109940e+02   -3.0239194170e+01    1.3019231001e+01    1.6882100718e+01   -5.5760081501e+01    1.6580233676e+00    6.9807632464e+00    5.1200000000e+02    1.7140491794e-02    5.9456787109e-01
        25   -1.7212636089e+01    2.9654554583e+02   -2.9985433744e+01    1.2772797655e+01    1.7192388446e+01   -5.6011324936e+01    1.8527395000e+00    6.9807632464e+00    5.1200000000e+02    1.7139223008e-02    5.9409179687e-01
        26   -1.7273209653e+01    2.9873963620e+02   -3.0445563518e+01    1.3172353864e+01    1.7131895141e+01   -5.6382896564e+01    1.8246746592e+00    6.9807632464e+00    5.1200000000e+02    1.7160544468e-02    5.9724121094e-01
        27   -1.7253745372e+01    2.9795444944e+02   -3.0631901461e+01    1.3378156089e+01    1.7149241091e+01   -5.6450036855e+01    1.6881310571e+00    6.9807632464e+00    5.1200000000e+02    1.7132293879e-02    5.9481201172e-01
        28   -1.7227355446e+01    2.9708369420e+02   -3.1243000366e+01    1.4015644920e+01    1.7324698015e+01   -5.7530299045e+01    1.9818374172e+00    6.9807632464e+00    5.1200000000e+02    1.7188159224e-02    5.9390869141e-01
        29   -1.7212929843e+01    2.9666468865e+02   -3.1091896941e+01    1.3878967098e+01    1.7065152957e+01   -5.7029643279e+01    1.8918301349e+00    6.9807632464e+00    5.1200000000e+02    1.7133988640e-02    5.9677734375e-01
        30   -1.7207100094e+01    2.9652289702e+02   -3.0789532923e+01    1.3582432829e+01    1.7165476514e+01   -5.7158200972e+01    2.2224282876e+00    6.9807632464e+00    5.1200000000e+02    1.7194066128e-02    5.9438476562e-01
        31   -1.7212869951e+01    2.9663718368e+02   -3.1138478408e+01    1.3925608457e+01    1.7194797733e+01   -5.7023049615e+01    1.7090102281e+00    6.9807632464e+00    5.1200000000e+02    1.7182045527e-02    5.9766845703e-01
        32   -1.7220923316e+01    2.9696067229e+02   -3.0720767603e+01    1.3499844288e+01    1.7256270740e+01   -5.7050925469e+01    2.0931238790e+00    6.9807632464e+00    5.1200000000e+02    1.7156919973e-02    5.9658203125e-01
        33   -1.7241423452e+01    2.9769475816e+02   -3.0697901414e+01    1.3456477962e+01    1.7118412684e+01   -5.6193761899e+01    1.3966845548e+00    6.9807632464e+00    5.1200000000e+02    1.7152801653e-02    5.9005126953e-01
        34   -1.7232856860e+01    2.9742778490e+02   -3.1431747725e+01    1.4198890865e+01    1.7205904145e+01   -5.7402233750e+01    1.7838186343e+00    6.9807632464e+00    5.1200000000e+02    1.7169302234e-02    5.9197998047e-01
        35   -1.7230007943e+01    2.9718622611e+02   -3.1196037656e+01    1.3966029714e+01    1.7327269840e+01   -5.7369736541e+01    1.8656657990e+00    6.9807632464e+00    5.1200000000e+02    1.7171102244e-02    5.9418945312e-01
        36   -1.7242885375e+01    2.9767068767e+02   -3.0942886413e+01    1.3700001038e+01    1.7359611435e+01   -5.7228733072e+01    1.9454719775e+00    6.9807632464e+00    5.1200000000e+02    1.7182108516e-02    6.0112304687e-01
        37   -1.7206879794e+01    2.9645585498e+02   -3.0862597146e+01    1.3655717352e+01    1.7061177443e+01   -5.6617618260e+01    1.7130804249e+00    6.9807632464e+00    5.1200000000e+02    1.7142269124e-02    5.9530029297e-01
        38   -1.7176541989e+01    2.9535516708e+02   -3.1037591233e+01    1.3861049244e+01    1.7227311132e+01   -5.7436012031e+01    2.1903464188e+00    6.9807632464e+00    5.1200000000e+02    1.7185285593e-02    5.9881591797e-01
        39   -1.7226471057e+01    2.9705543898e+02   -3.0766133940e+01    1.3539662883e+01    1.7050700135e+01   -5.6494850277e+01    1.6972529555e+00    6.9807632464e+00    5.1200000000e+02    1.7168858945e-02    5.9466552734e-01
        40   -1.7198119623e+01    2.9612932054e+02   -3.0729572447e+01    1.3531452824e+01    1.7108696071e+01   -5.6913070079e+01    2.0940383147e+00    6.9807632464e+00    5.1200000000e+02    1.7159976611e-02    5.9637451172e-01
        41   -1.7228512916e+01    2.9718682638e+02   -3.1035525427e+01    1.3807012511e+01    1.7250165832e+01   -5.7169091053e+01    1.9026365476e+00    6.9807632464e+00    5.1200000000e+02    1.7174553938e-02    5.9296875000e-01
        42   -1.7244369084e+01    2.9799984179e+02   -3.0765502255e+01    1.3521133171e+01    1.7220868901e+01   -5.7115311653e+01    2.1481772507e+00    6.9807632464e+00    5.1200000000e+02    1.7170368784e-02    5.9367675781e-01
        43   -1.7204007158e+01    2.9635243500e+02   -3.0876037446e+01    1.3672030288e+01    1.7207915826e+01   -5.6732359791e+01    1.6676432725e+00    6.9807632464e+00    5.1200000000e+02    1.7161084165e-02    5.9619140625e-01
