#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7075033880e+01    2.9422213730e+02   -3.0973774357e+01    1.3898740476e+01    1.7887067884e+01   -5.7902100369e+01    2.0604948818e+00    6.9807632464e+00    5.1200000000e+02    1.6233586785e-02    6.0786132812e-01
         1   -1.6936330369e+01    2.8962931544e+02   -2.9825165421e+01    1.2888835052e+01    1.7388517020e+01   -5.5971520798e+01    1.7770751101e+00    6.9807632464e+00    5.1200000000e+02    1.6147034270e-02    6.0621337891e-01
         2   -1.7004694017e+01    2.9134303932e+02   -3.0235590985e+01    1.3230896968e+01    1.7471327122e+01   -5.6672091072e+01    1.9844097188e+00    6.9807632464e+00    5.1200000000e+02    1.6155678372e-02    6.0712890625e-01
         3   -1.7029056342e+01    2.9289847167e+02   -3.0654281046e+01    1.3625224705e+01    1.7703052207e+01   -5.7196289910e+01    1.8581934099e+00    6.9807632464e+00    5.1200000000e+02    1.6199418594e-02    6.0651855469e-01
         4   -1.7010732741e+01    2.9209606676e+02   -3.0209830176e+01    1.3199097435e+01    1.7584866463e+01   -5.6778536174e+01    2.0030762888e+00    6.9807632464e+00    5.1200000000e+02    1.6182363826e-02    6.0737304687e-01
         5   -1.6953164091e+01    2.8989327896e+02   -3.0650217654e+01    1.3697053563e+01    1.7785096569e+01   -5.7487271918e+01    2.0711944496e+00    6.9807632464e+00    5.1200000000e+02    1.6173298679e-02    6.0295410156e-01
         6   -1.6944527272e+01    2.8999822234e+02   -3.0257360294e+01    1.3312833021e+01    1.7560067402e+01   -5.6603840251e+01    1.8056493082e+00    6.9807632464e+00    5.1200000000e+02    1.6122833899e-02    6.0540771484e-01
         7   -1.6939265329e+01    2.8968119899e+02   -3.0637211752e+01    1.3697946423e+01    1.7884061048e+01   -5.7485720715e+01    1.9836846684e+00    6.9807632464e+00    5.1200000000e+02    1.6232529507e-02    6.0974121094e-01
         8   -1.7071542437e+01    2.9421615171e+02   -3.0019261561e+01    1.2947719123e+01    1.7470556981e+01   -5.6095903902e+01    1.6253221137e+00    6.9807632464e+00    5.1200000000e+02    1.6157399531e-02    6.0297851562e-01
         9   -1.6849176037e+01    2.8746024602e+02   -2.9719262101e+01    1.2870086064e+01    1.7654462186e+01   -5.6281274620e+01    1.9267870873e+00    6.9807632464e+00    5.1200000000e+02    1.6160041289e-02    6.0312500000e-01
        10   -1.7038309269e+01    2.9335764540e+02   -3.0653913653e+01    1.3615604383e+01    1.7569256355e+01   -5.7197747200e+01    1.9938139454e+00    6.9807632464e+00    5.1200000000e+02    1.6178902651e-02    6.0664062500e-01
        11   -1.6930450950e+01    2.8960706796e+02   -2.9959329536e+01    1.3028878587e+01    1.7547855184e+01   -5.6158469855e+01    1.6705218882e+00    6.9807632464e+00    5.1200000000e+02    1.6159112905e-02    6.0463867187e-01
        12   -1.6955281869e+01    2.9060121988e+02   -3.0321528446e+01    1.3366246577e+01    1.7615245859e+01   -5.6696504897e+01    1.7789673462e+00    6.9807632464e+00    5.1200000000e+02    1.6167415325e-02    6.0985107422e-01
        13   -1.7051747968e+01    2.9367286398e+02   -3.0890293283e+01    1.3838545316e+01    1.7570862735e+01   -5.7045918613e+01    1.6039993474e+00    6.9807632464e+00    5.1200000000e+02    1.6185462200e-02    6.0444335937e-01
        14   -1.6759707356e+01    2.8447003716e+02   -3.0028646701e+01    1.3268939346e+01    1.7723989643e+01   -5.6916306222e+01    2.1829066307e+00    6.9807632464e+00    5.1200000000e+02    1.6128933293e-02    6.0620117187e-01
        15   -1.6819098392e+01    2.8673029614e+02   -3.0222107851e+01    1.3403009459e+01    1.7965148270e+01   -5.7197130095e+01    2.0291107274e+00    6.9807632464e+00    5.1200000000e+02    1.6188396660e-02    6.0791015625e-01
        16   -1.6871491350e+01    2.8716780954e+02   -2.9867502906e+01    1.2996011557e+01    1.7478372837e+01   -5.6150635634e+01    1.8239966444e+00    6.9807632464e+00    5.1200000000e+02    1.6142702625e-02    6.0635986328e-01
        17   -1.6911016101e+01    2.8942631729e+02   -3.0155901500e+01    1.3244885399e+01    1.7667696671e+01   -5.6724633100e+01    1.9202716827e+00    6.9807632464e+00    5.1200000000e+02    1.6179458130e-02    6.0842285156e-01
        18   -1.6920057197e+01    2.9059359526e+02   -3.0429074206e+01    1.3509017009e+01    1.7658978154e+01   -5.6662211321e+01    1.5933957139e+00    6.9807632464e+00    5.1200000000e+02    1.6176325635e-02    6.0537109375e-01
        19   -1.6978403085e+01    2.9067696025e+02   -3.0487839966e+01    1.3509436881e+01    1.7607596862e+01   -5.6815877880e+01    1.7396778062e+00    6.9807632464e+00    5.1200000000e+02    1.6191938069e-02    6.0740966797e-01
        20   -1.6987380555e+01    2.9075310497e+02   -2.9879991086e+01    1.2892610531e+01    1.7632087132e+01   -5.6628739423e+01    2.1358979580e+00    6.9807632464e+00    5.1200000000e+02    1.6173874568e-02    6.0435791016e-01
        21   -1.6990153219e+01    2.9101413630e+02   -3.0590449019e+01    1.3600295800e+01    1.7645312889e+01   -5.6930988688e+01    1.7144635334e+00    6.9807632464e+00    5.1200000000e+02    1.6177053816e-02    6.0491943359e-01
        22   -1.7049388744e+01    2.9280326524e+02   -3.0083577261e+01    1.3034188517e+01    1.7443152463e+01   -5.6180857932e+01    1.6733649607e+00    6.9807632464e+00    5.1200000000e+02    1.6186018496e-02    6.0416259766e-01
        23   -1.6998770358e+01    2.9161105214e+02   -3.0362462245e+01    1.3363691886e+01    1.7769659305e+01   -5.6983489501e+01    1.8706047046e+00    6.9807632464e+00    5.1200000000e+02    1.6218801194e-02    6.0905761719e-01
        24   -1.7051018168e+01    2.9377942352e+02   -2.9802493745e+01    1.2751475577e+01    1.7290365518e+01   -5.5840195123e+01    1.7665726132e+00    6.9807632464e+00    5.1200000000e+02    1.6157251084e-02    6.0617675781e-01
        25   -1.6925507295e+01    2.8945612867e+02   -3.0576023439e+01    1.3650516144e+01    1.7799906793e+01   -5.7668056848e+01    2.3113633685e+00    6.9807632464e+00    5.1200000000e+02    1.6179227754e-02    6.0447998047e-01
        26   -1.6847023214e+01    2.8702095234e+02   -3.0370899041e+01    1.3523875827e+01    1.7829373783e+01   -5.7276752594e+01    2.0957165240e+00    6.9807632464e+00    5.1200000000e+02    1.6165788501e-02    6.0076904297e-01
        27   -1.6941315199e+01    2.8935995203e+02   -2.9856860519e+01    1.2915545320e+01    1.7462540438e+01   -5.6286738948e+01    1.9865747446e+00    6.9807632464e+00    5.1200000000e+02    1.6155665908e-02    6.0517578125e-01
        28   -1.6848335119e+01    2.8809078684e+02   -3.0487906168e+01    1.3639571049e+01    1.7995975066e+01   -5.7613546686e+01    2.1489022055e+00    6.9807632464e+00    5.1200000000e+02    1.6197075779e-02    6.0313720703e-01
        29   -1.7030297246e+01    2.9219182878e+02   -3.0115628918e+01    1.3085331672e+01    1.7414586546e+01   -5.6343181822e+01    1.8322031119e+00    6.9807632464e+00    5.1200000000e+02    1.6153367424e-02    6.1004638672e-01
        30   -1.7102046538e+01    2.9470393517e+02   -3.0208294013e+01    1.3106247475e+01    1.7305292034e+01   -5.6092268936e+01    1.5979196426e+00    6.9807632464e+00    5.1200000000e+02    1.6145428115e-02    6.0429687500e-01
        31   -1.6976478645e+01    2.9036339383e+02   -3.0132109558e+01    1.3155630914e+01    1.7450978272e+01   -5.6701731414e+01    2.1378803368e+00    6.9807632464e+00    5.1200000000e+02    1.6179189216e-02    6.0429687500e-01
        32   -1.6962906890e+01    2.9046062575e+02   -2.9888296817e+01    1.2925389927e+01    1.7582855074e+01   -5.6309886129e+01    1.8579709908e+00    6.9807632464e+00    5.1200000000e+02    1.6162273992e-02    6.0668945312e-01
        33   -1.6978312504e+01    2.9065590502e+02   -3.0166529908e+01    1.3188217404e+01    1.7621785559e+01   -5.6580989576e+01    1.8119108627e+00    6.9807632464e+00    5.1200000000e+02    1.6183542607e-02    6.0728759766e-01
        34   -1.7057177528e+01    2.9291239023e+02   -3.0181529054e+01    1.3124351526e+01    1.7494332479e+01   -5.6899835503e+01    2.2432107234e+00    6.9807632464e+00    5.1200000000e+02    1.6163869639e-02    6.0828857422e-01
        35   -1.7002826136e+01    2.9127634506e+02   -2.9936184457e+01    1.2933358321e+01    1.7598953577e+01   -5.6396060309e+01    1.8801590290e+00    6.9807632464e+00    5.1200000000e+02    1.6193164868e-02    6.0617675781e-01
        36   -1.7042921022e+01    2.9325682236e+02   -3.0420027951e+01    1.3377106929e+01    1.7595820058e+01   -5.6728658307e+01    1.7320470515e+00    6.9807632464e+00    5.1200000000e+02    1.6195596267e-02    6.0753173828e-01
        37   -1.7080589023e+01    2.9376948484e+02   -3.0645788077e+01    1.3565199054e+01    1.7671649882e+01   -5.7396314293e+01    2.0981130875e+00    6.9807632464e+00    5.1200000000e+02    1.6198285261e-02    6.0355224609e-01
        38   -1.7071096660e+01    2.9308838000e+02   -2.9959613282e+01    1.2888516622e+01    1.7370729570e+01   -5.6115400553e+01    1.8042944553e+00    6.9807632464e+00    5.1200000000e+02    1.6152334153e-02    6.0454101562e-01
        39   -1.7033279867e+01    2.9270798032e+02   -3.0662382991e+01    1.3629103125e+01    1.7523814727e+01   -5.6946104545e+01    1.7791435805e+00    6.9807632464e+00    5.1200000000e+02    1.6160878596e-02    6.0631103516e-01
        40   -1.7008059945e+01    2.9168069129e+02   -3.1018536140e+01    1.4010476195e+01    1.7688301455e+01   -5.7451889838e+01    1.7642889966e+00    6.9807632464e+00    5.1200000000e+02    1.6160289282e-02    6.0268554687e-01
        41   -1.6910528446e+01    2.8907337060e+02   -3.0730503453e+01    1.3819975007e+01    1.7811703451e+01   -5.7246443066e+01    1.7234729164e+00    6.9807632464e+00    5.1200000000e+02    1.6186855330e-02    6.0734863281e-01
        42   -1.6949320244e+01    2.9018937857e+02   -3.0355845224e+01    1.3406524980e+01    1.7604227344e+01   -5.6901007577e+01    1.9601717628e+00    6.9807632464e+00    5.1200000000e+02    1.6176034204e-02    6.0980224609e-01
        43   -1.6952041229e+01    2.8984143729e+02   -2.9914777434e+01    1.2962736205e+01    1.7569042009e+01   -5.6491475880e+01    2.0268931902e+00    6.9807632464e+00    5.1200000000e+02    1.6143787073e-02    6.0583496094e-01
        44   -1.6924356272e+01    2.9022163770e+02   -3.0027014565e+01    1.3102658293e+01    1.7650475614e+01   -5.6255326445e+01    1.5970730197e+00    6.9807632464e+00    5.1200000000e+02    1.6189347632e-02    6.0792236328e-01
        45   -1.6911235459e+01    2.8887041593e+02   -3.0346036586e+01    1.3434801127e+01    1.7680685287e+01   -5.6806310413e+01    1.7988252938e+00    6.9807632464e+00    5.1200000000e+02    1.6169175151e-02    6.0540771484e-01
        46   -1.6908324457e+01    2.8866529389e+02   -3.0416185180e+01    1.3507860723e+01    1.7485317456e+01   -5.6541844400e+01    1.6595785172e+00    6.9807632464e+00    5.1200000000e+02    1.6175764873e-02    6.1142578125e-01
        47   -1.6934915720e+01    2.8912345595e+02   -3.0206453679e+01    1.3271537958e+01    1.7564295123e+01   -5.6478385849e+01    1.7268738008e+00    6.9807632464e+00    5.1200000000e+02    1.6135558367e-02    6.0485839844e-01
        48   -1.6909589004e+01    2.8947753568e+02   -3.0279679557e+01    1.3370090554e+01    1.7807831254e+01   -5.6866693008e+01    1.7984189509e+00    6.9807632464e+00    5.1200000000e+02    1.6188948408e-02    6.0507812500e-01
        49   -1.7084787342e+01    2.9437131374e+02   -3.0569484527e+01    1.3484697185e+01    1.7678767973e+01   -5.7301901265e+01    2.0728855189e+00    6.9807632464e+00    5.1200000000e+02    1.6181277993e-02    6.0069580078e-01
        50   -1.6942386889e+01    2.8970922055e+02   -3.0219653490e+01    1.3277266601e+01    1.7645348101e+01   -5.6906992758e+01    2.0612279197e+00    6.9807632464e+00    5.1200000000e+02    1.6173971846e-02    6.0563964844e-01
        51   -1.6867720742e+01    2.8722051843e+02   -3.0071441711e+01    1.3203720969e+01    1.7833389071e+01   -5.6866401610e+01    1.9808075817e+00    6.9807632464e+00    5.1200000000e+02    1.6186990532e-02    6.0751953125e-01
        52   -1.6918614156e+01    2.8871007425e+02   -3.0334299652e+01    1.3415685496e+01    1.7672596150e+01   -5.7104511770e+01    2.1168527213e+00    6.9807632464e+00    5.1200000000e+02    1.6161553079e-02    6.0412597656e-01
        53   -1.6846363637e+01    2.8781804664e+02   -3.0295875579e+01    1.3449511942e+01    1.7526134448e+01   -5.6557678215e+01    1.7549049421e+00    6.9807632464e+00    5.1200000000e+02    1.6154891943e-02    6.1027832031e-01
        54   -1.6964364380e+01    2.9140931325e+02   -3.0053786943e+01    1.3089422563e+01    1.7630205036e+01   -5.6488455674e+01    1.8237004490e+00    6.9807632464e+00    5.1200000000e+02    1.6181233337e-02    6.0670166016e-01
        55   -1.6946221053e+01    2.9048732298e+02   -3.0562298728e+01    1.3616077675e+01    1.7780510608e+01   -5.7492957455e+01    2.1693848726e+00    6.9807632464e+00    5.1200000000e+02    1.6192094248e-02    6.0651855469e-01
        56   -1.6934189122e+01    2.9075951265e+02   -2.9712820663e+01    1.2778631542e+01    1.7543952720e+01   -5.5986551708e+01    1.7490150777e+00    6.9807632464e+00    5.1200000000e+02    1.6167588789e-02    6.0589599609e-01
        57   -1.7002303241e+01    2.9179699811e+02   -3.0299508993e+01    1.3297205752e+01    1.7567456220e+01   -5.6784231418e+01    1.9365029580e+00    6.9807632464e+00    5.1200000000e+02    1.6194690078e-02    6.0622558594e-01
        58   -1.6982876211e+01    2.9188287746e+02   -3.0160705651e+01    1.3177829440e+01    1.7696076002e+01   -5.7045546382e+01    2.2080014827e+00    6.9807632464e+00    5.1200000000e+02    1.6198025691e-02    6.0948486328e-01
        59   -1.6956638938e+01    2.8983637355e+02   -3.0277910750e+01    1.3321271811e+01    1.7546652451e+01   -5.6745417172e+01    1.9400907244e+00    6.9807632464e+00    5.1200000000e+02    1.6173000537e-02    6.0412597656e-01
        60   -1.7072790641e+01    2.9421789793e+02   -3.0535383329e+01    1.3462592688e+01    1.7410015614e+01   -5.6519238350e+01    1.5930761600e+00    6.9807632464e+00    5.1200000000e+02    1.6172083137e-02    6.0819091797e-01
        61   -1.6941455346e+01    2.9006188368e+02   -3.0864228424e+01    1.3922773079e+01    1.7714290259e+01   -5.7520691858e+01    1.9614099281e+00    6.9807632464e+00    5.1200000000e+02    1.6162648962e-02    6.0787353516e-01
        62   -1.6990836715e+01    2.9112514458e+02   -3.0320753714e+01    1.3329916999e+01    1.7751723527e+01   -5.6975232554e+01    1.9219920662e+00    6.9807632464e+00    5.1200000000e+02    1.6187962046e-02    6.0412597656e-01
        63   -1.6812585612e+01    2.9071654152e+02   -2.9766810092e+01    1.2954224480e+01    1.7778285479e+01   -5.6735966336e+01    2.2101075181e+00    6.9807632464e+00    5.1200000000e+02    1.6171130403e-02    6.0485839844e-01
        64   -1.6936703345e+01    2.8970599468e+02   -3.0580503919e+01    1.3643800574e+01    1.7726291022e+01   -5.7437742080e+01    2.1501838933e+00    6.9807632464e+00    5.1200000000e+02    1.6181648325e-02    6.0753173828e-01
