#  Units = bohr hartree 
#  r  -r*V/zeff 
2.210000000000e-03       1.818306274773e-02
1.921000000000e-02       1.575088248426e-01
3.621000000000e-02       2.942290976551e-01
5.321000000000e-02       4.260405695927e-01
7.021000000000e-02       5.507269145245e-01
8.721000000000e-02       6.662539018565e-01
1.042100000000e-01       7.708642053790e-01
1.212100000000e-01       8.631626900384e-01
1.382100000000e-01       9.421839623144e-01
1.552100000000e-01       1.007435103269e+00
1.722100000000e-01       1.058909293658e+00
1.892100000000e-01       1.097069123345e+00
2.062100000000e-01       1.122800963886e+00
2.232100000000e-01       1.137345262046e+00
2.402100000000e-01       1.142209043568e+00
2.572100000000e-01       1.139068585495e+00
2.742100000000e-01       1.129670378105e+00
2.912100000000e-01       1.115737879343e+00
3.082100000000e-01       1.098890341545e+00
3.252100000000e-01       1.080578190540e+00
3.422100000000e-01       1.062037473248e+00
3.592100000000e-01       1.044263830962e+00
3.762100000000e-01       1.028005021270e+00
3.932100000000e-01       1.013769312639e+00
4.102100000000e-01       1.001846586753e+00
4.272100000000e-01       9.923383512589e-01
4.442100000000e-01       9.851928987852e-01
4.612100000000e-01       9.802423302148e-01
4.782100000000e-01       9.772384895656e-01
4.952100000000e-01       9.758857379558e-01
5.122100000000e-01       9.758690773243e-01
5.292100000000e-01       9.768768496348e-01
5.462100000000e-01       9.786177954725e-01
5.632100000000e-01       9.808327200773e-01
5.802100000000e-01       9.833013188751e-01
5.972100000000e-01       9.858449263517e-01
6.142100000000e-01       9.883260555755e-01
6.312100000000e-01       9.906455551667e-01
6.482100000000e-01       9.927382140113e-01
6.652100000000e-01       9.945674811731e-01
6.822100000000e-01       9.961198802528e-01
6.992100000000e-01       9.973995582708e-01
7.162100000000e-01       9.984232657563e-01
7.332100000000e-01       9.992159766579e-01
7.502100000000e-01       9.998072378340e-01
7.672100000000e-01       1.000228275398e+00
7.842100000000e-01       1.000509823355e+00
8.012100000000e-01       1.000680603626e+00
8.182100000000e-01       1.000766363017e+00
8.352100000000e-01       1.000789365226e+00
8.522100000000e-01       1.000768235165e+00
8.692100000000e-01       1.000718059158e+00
8.862100000000e-01       1.000650660116e+00
9.032100000000e-01       1.000574975162e+00
9.202100000000e-01       1.000497482808e+00
9.372100000000e-01       1.000422637461e+00
9.542100000000e-01       1.000353281944e+00
9.712100000000e-01       1.000291020751e+00
9.882100000000e-01       1.000236542763e+00
1.005210000000e+00       1.000189890809e+00
1.022210000000e+00       1.000150678730e+00
1.039210000000e+00       1.000118260078e+00
1.056210000000e+00       1.000091854497e+00
1.073210000000e+00       1.000070638264e+00
1.090210000000e+00       1.000053805806e+00
