#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7266748226e+01    2.9840605617e+02   -3.1053487549e+01    1.3786739323e+01    1.7260793414e+01   -5.7386801492e+01    2.0917572825e+00    6.9807632464e+00    5.1200000000e+02    3.2684916248e-02    5.9724121094e-01
         1   -1.7251350444e+01    2.9785440848e+02   -3.0623482377e+01    1.3372131933e+01    1.6973719939e+01   -5.6024776214e+01    1.4468106512e+00    6.9807632464e+00    5.1200000000e+02    3.2660985027e-02    6.0009765625e-01
         2   -1.7246971577e+01    2.9761335450e+02   -3.1237297293e+01    1.3990325716e+01    1.7127704047e+01   -5.7236781665e+01    1.8910170785e+00    6.9807632464e+00    5.1200000000e+02    3.2668239719e-02    5.9632568359e-01
         3   -1.7260498643e+01    2.9816010705e+02   -3.0913850619e+01    1.3653351976e+01    1.6892427183e+01   -5.6597252775e+01    1.8102117270e+00    6.9807632464e+00    5.1200000000e+02    3.2592442349e-02    5.9779052734e-01
         4   -1.7273264766e+01    2.9853597682e+02   -3.0560957495e+01    1.3287692729e+01    1.6928122331e+01   -5.6277708301e+01    1.8078652286e+00    6.9807632464e+00    5.1200000000e+02    3.2665875383e-02    5.9859619141e-01
         5   -1.7249543219e+01    2.9785121166e+02   -3.0929262125e+01    1.3679718905e+01    1.7123386648e+01   -5.6773201416e+01    1.7397893962e+00    6.9807632464e+00    5.1200000000e+02    3.2697300269e-02    5.9747314453e-01
         6   -1.7255786667e+01    2.9795088896e+02   -3.0850145632e+01    1.3594358965e+01    1.7292273975e+01   -5.7255496465e+01    2.1323136123e+00    6.9807632464e+00    5.1200000000e+02    3.2708713862e-02    5.9205322266e-01
         7   -1.7258321045e+01    2.9816083144e+02   -3.0894074149e+01    1.3635753105e+01    1.7115454008e+01   -5.6577339969e+01    1.5870485653e+00    6.9807632464e+00    5.1200000000e+02    3.2705930432e-02    5.9299316406e-01
         8   -1.7206964461e+01    2.9628517446e+02   -3.1815583508e+01    1.4608619046e+01    1.7274855598e+01   -5.7918813289e+01    1.8476109366e+00    6.9807632464e+00    5.1200000000e+02    3.2715138545e-02    5.9829101562e-01
         9   -1.7257802827e+01    2.9802857896e+02   -3.0543904408e+01    1.3286101581e+01    1.7242293901e+01   -5.6461870819e+01    1.6949092630e+00    6.9807632464e+00    5.1200000000e+02    3.2713471487e-02    5.9887695312e-01
        10   -1.7287490760e+01    2.9904440956e+02   -3.0478337537e+01    1.3190846777e+01    1.6943761885e+01   -5.5902058095e+01    1.4991954267e+00    6.9807632464e+00    5.1200000000e+02    3.2611714290e-02    5.9683837891e-01
        11   -1.7247797700e+01    2.9769829159e+02   -3.0941022367e+01    1.3693224666e+01    1.7029183303e+01   -5.6523117902e+01    1.5721489856e+00    6.9807632464e+00    5.1200000000e+02    3.2636764736e-02    5.9810791016e-01
        12   -1.7251049263e+01    2.9780391765e+02   -3.0892181637e+01    1.3641132374e+01    1.7198005316e+01   -5.6802301334e+01    1.7313511341e+00    6.9807632464e+00    5.1200000000e+02    3.2673859565e-02    5.9736328125e-01
        13   -1.7224072526e+01    2.9682088657e+02   -3.0907020981e+01    1.3682948455e+01    1.7010864241e+01   -5.6618361579e+01    1.7197131104e+00    6.9807632464e+00    5.1200000000e+02    3.2606444434e-02    5.9429931641e-01
        14   -1.7228817135e+01    2.9698229619e+02   -3.0649651919e+01    1.3420834783e+01    1.7109310937e+01   -5.6593088661e+01    1.8533625584e+00    6.9807632464e+00    5.1200000000e+02    3.2663507039e-02    5.9985351562e-01
        15   -1.7255419824e+01    2.9795390228e+02   -3.1478990627e+01    1.4223570804e+01    1.7321856727e+01   -5.7707340609e+01    1.9257300086e+00    6.9807632464e+00    5.1200000000e+02    3.2726163772e-02    5.9871826172e-01
        16   -1.7250972062e+01    2.9778259279e+02   -3.0990655018e+01    1.3739682956e+01    1.6910435747e+01   -5.6762860214e+01    1.8810062030e+00    6.9807632464e+00    5.1200000000e+02    3.2618781130e-02    5.9879150391e-01
        17   -1.7272031604e+01    2.9850659122e+02   -3.0731347969e+01    1.3459316365e+01    1.7209796092e+01   -5.6817849661e+01    1.8959423537e+00    6.9807632464e+00    5.1200000000e+02    3.2707092173e-02    6.0068359375e-01
        18   -1.7248699931e+01    2.9769854262e+02   -3.0746217207e+01    1.3497517276e+01    1.6879440543e+01   -5.6488824296e+01    1.8824032992e+00    6.9807632464e+00    5.1200000000e+02    3.2599340291e-02    5.9578857422e-01
        19   -1.7250944173e+01    2.9781913472e+02   -3.1458754061e+01    1.4207809888e+01    1.7117583464e+01   -5.7128099529e+01    1.5709987580e+00    6.9807632464e+00    5.1200000000e+02    3.2708078149e-02    5.9947509766e-01
