#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6929920500e+01    2.8822844701e+02   -2.9741673717e+01    1.2811753217e+01    1.7174010055e+01   -5.5529872884e+01    1.6334258656e+00    6.9807632464e+00    5.1200000000e+02    3.2761970586e-02    6.1048583984e-01
         1   -1.7040287442e+01    2.9188407880e+02   -2.9722561892e+01    1.2682274451e+01    1.7235046696e+01   -5.5516153874e+01    1.5777820393e+00    6.9807632464e+00    5.1200000000e+02    3.2779922012e-02    6.0662841797e-01
         2   -1.7026302962e+01    2.9131078154e+02   -3.0734036773e+01    1.3707733811e+01    1.7602326833e+01   -5.7317209521e+01    2.0000826682e+00    6.9807632464e+00    5.1200000000e+02    3.2845670002e-02    6.0074462891e-01
         3   -1.7031677537e+01    2.9148483071e+02   -3.1142341703e+01    1.4110664166e+01    1.7506078032e+01   -5.7430459411e+01    1.8012764295e+00    6.9807632464e+00    5.1200000000e+02    3.2848460649e-02    6.0721435547e-01
         4   -1.6929571196e+01    2.8812751540e+02   -2.9876076379e+01    1.2946505183e+01    1.7280609749e+01   -5.5892181764e+01    1.7547323892e+00    6.9807632464e+00    5.1200000000e+02    3.2800922493e-02    6.0637207031e-01
         5   -1.6981991353e+01    2.8985048409e+02   -2.9988117161e+01    1.3006125808e+01    1.7484709314e+01   -5.6219827193e+01    1.7662374717e+00    6.9807632464e+00    5.1200000000e+02    3.2841610784e-02    6.1075439453e-01
         6   -1.7014234924e+01    2.9145265620e+02   -3.0888680076e+01    1.3874445153e+01    1.7486922246e+01   -5.7116734811e+01    1.7603692426e+00    6.9807632464e+00    5.1200000000e+02    3.2840460488e-02    6.0142822266e-01
         7   -1.7002352595e+01    2.9055621619e+02   -2.9831235096e+01    1.2828882501e+01    1.7312092722e+01   -5.5868742327e+01    1.7446512622e+00    6.9807632464e+00    5.1200000000e+02    3.2836835901e-02    6.0616455078e-01
         8   -1.7027050046e+01    2.9146782392e+02   -3.0320459062e+01    1.3293409016e+01    1.7363274979e+01   -5.6567097380e+01    1.9026000917e+00    6.9807632464e+00    5.1200000000e+02    3.2781981035e-02    6.0778808594e-01
         9   -1.7005783822e+01    2.9084017840e+02   -2.9903969237e+01    1.2898185416e+01    1.7415195516e+01   -5.6387865508e+01    2.0879375083e+00    6.9807632464e+00    5.1200000000e+02    3.2824660339e-02    6.0310058594e-01
        10   -1.6973747569e+01    2.8961346283e+02   -3.0644831367e+01    1.3671083798e+01    1.7506090089e+01   -5.7246587790e+01    2.1149030873e+00    6.9807632464e+00    5.1200000000e+02    3.2780675920e-02    6.0156250000e-01
        11   -1.7072530042e+01    2.9273437119e+02   -3.0568287749e+01    1.3495757707e+01    1.7391168494e+01   -5.6654989786e+01    1.7147702974e+00    6.9807632464e+00    5.1200000000e+02    3.2829831616e-02    6.0670166016e-01
        12   -1.7017994329e+01    2.9118406991e+02   -3.0202904315e+01    1.3184909986e+01    1.7228650630e+01   -5.6026975730e+01    1.6146575384e+00    6.9807632464e+00    5.1200000000e+02    3.2790368831e-02    6.0385742187e-01
        13   -1.6957503565e+01    2.8929514321e+02   -3.1008775999e+01    1.4051272434e+01    1.7534133021e+01   -5.7261238185e+01    1.7375659185e+00    6.9807632464e+00    5.1200000000e+02    3.2841182319e-02    6.0700683594e-01
        14   -1.7040448437e+01    2.9180548034e+02   -3.0368755057e+01    1.3328306620e+01    1.7413548055e+01   -5.6768662192e+01    2.0055958341e+00    6.9807632464e+00    5.1200000000e+02    3.2824850339e-02    6.0152587891e-01
        15   -1.6993794334e+01    2.9024310456e+02   -3.0567478889e+01    1.3573684555e+01    1.7413763429e+01   -5.6369730479e+01    1.4077249151e+00    6.9807632464e+00    5.1200000000e+02    3.2857219851e-02    6.0556640625e-01
        16   -1.6930271369e+01    2.8824576438e+02   -3.0869897169e+01    1.3939625800e+01    1.7502511572e+01   -5.6984546208e+01    1.6313742209e+00    6.9807632464e+00    5.1200000000e+02    3.2843063899e-02    6.0687255859e-01
        17   -1.6909103244e+01    2.8766903373e+02   -3.0180719411e+01    1.3271616167e+01    1.7317272818e+01   -5.6157455392e+01    1.6786999162e+00    6.9807632464e+00    5.1200000000e+02    3.2782793906e-02    6.0551757812e-01
        18   -1.6936607595e+01    2.8854047131e+02   -3.0788941452e+01    1.3852333857e+01    1.7577993536e+01   -5.7581055276e+01    2.2333570409e+00    6.9807632464e+00    5.1200000000e+02    3.2845924973e-02    6.0339355469e-01
