#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7267521450e+01    2.9854226103e+02   -3.1004806332e+01    1.3737284882e+01    1.7186152580e+01   -5.7289667830e+01    2.1179456710e+00    6.9807632464e+00    5.1200000000e+02    3.2704433931e-02    5.9630126953e-01
         1   -1.7231826000e+01    2.9717322589e+02   -3.0701822935e+01    1.3469996935e+01    1.7006434646e+01   -5.6732575091e+01    2.0435542638e+00    6.9807632464e+00    5.1200000000e+02    3.2679854922e-02    5.9655761719e-01
         2   -1.7268295428e+01    2.9867309774e+02   -3.0788727056e+01    1.3520431628e+01    1.7161203362e+01   -5.7243744775e+01    2.3130511101e+00    6.9807632464e+00    5.1200000000e+02    3.2672367109e-02    5.9548339844e-01
         3   -1.7229821546e+01    2.9709198137e+02   -3.1125449251e+01    1.3895627705e+01    1.7005814040e+01   -5.6777701023e+01    1.6656744853e+00    6.9807632464e+00    5.1200000000e+02    3.2709400149e-02    5.9763183594e-01
         4   -1.7280261533e+01    2.9878050554e+02   -3.1198792524e+01    1.3918530991e+01    1.7001833888e+01   -5.6792067076e+01    1.6106774172e+00    6.9807632464e+00    5.1200000000e+02    3.2655780186e-02    5.9595947266e-01
         5   -1.7253688047e+01    2.9786387078e+02   -3.1508964906e+01    1.4255276859e+01    1.6815845754e+01   -5.6834172882e+01    1.5285989759e+00    6.9807632464e+00    5.1200000000e+02    3.2614004565e-02    5.9931640625e-01
         6   -1.7303183419e+01    2.9974926412e+02   -3.1358698953e+01    1.4055515534e+01    1.7258858973e+01   -5.7319029745e+01    1.7207085726e+00    6.9807632464e+00    5.1200000000e+02    3.2668039233e-02    5.9705810547e-01
         7   -1.7250695825e+01    2.9778961904e+02   -3.0769220519e+01    1.3518524694e+01    1.7191694727e+01   -5.6730828125e+01    1.7891496325e+00    6.9807632464e+00    5.1200000000e+02    3.2702315977e-02    5.9774169922e-01
         8   -1.7233115141e+01    2.9711118228e+02   -3.0081211025e+01    1.2848095884e+01    1.6712081842e+01   -5.5820273045e+01    2.0462169312e+00    6.9807632464e+00    5.1200000000e+02    3.2626787839e-02    5.9605712891e-01
         9   -1.7210994308e+01    2.9644225699e+02   -3.1181717359e+01    1.3970723051e+01    1.7263898427e+01   -5.7082972373e+01    1.6565933399e+00    6.9807632464e+00    5.1200000000e+02    3.2679753655e-02    5.9775390625e-01
        10   -1.7239748682e+01    2.9738084736e+02   -3.0680331957e+01    1.3440583274e+01    1.6932270538e+01   -5.6302492519e+01    1.7091267782e+00    6.9807632464e+00    5.1200000000e+02    3.2628112839e-02    5.9299316406e-01
        11   -1.7243806936e+01    2.9750417041e+02   -3.0872477706e+01    1.3628670770e+01    1.7048361258e+01   -5.6665339973e+01    1.7637377627e+00    6.9807632464e+00    5.1200000000e+02    3.2649323938e-02    5.9739990234e-01
        12   -1.7247279213e+01    2.9764906242e+02   -3.0741214324e+01    1.3493935111e+01    1.7053600111e+01   -5.6770197732e+01    1.9946200508e+00    6.9807632464e+00    5.1200000000e+02    3.2669564016e-02    5.9843750000e-01
        13   -1.7246848356e+01    2.9760257084e+02   -3.1138420580e+01    1.3891572224e+01    1.7143817725e+01   -5.7370265287e+01    2.1072637356e+00    6.9807632464e+00    5.1200000000e+02    3.2708536255e-02    5.9517822266e-01
        14   -1.7234089468e+01    2.9720321999e+02   -3.1387779127e+01    1.4153689659e+01    1.7254730328e+01   -5.7567392354e+01    1.9441196531e+00    6.9807632464e+00    5.1200000000e+02    3.2688837461e-02    5.9407958984e-01
        15   -1.7239625590e+01    2.9739595646e+02   -3.0881906527e+01    1.3642280937e+01    1.6993987441e+01   -5.6842771336e+01    1.9861141214e+00    6.9807632464e+00    5.1200000000e+02    3.2609573816e-02    5.9743652344e-01
        16   -1.7273623433e+01    2.9862865301e+02   -3.0433766965e+01    1.3160143532e+01    1.7147252980e+01   -5.6383592272e+01    1.8218090795e+00    6.9807632464e+00    5.1200000000e+02    3.2668734590e-02    5.9862060547e-01
        17   -1.7250820530e+01    2.9772598806e+02   -3.0530370187e+01    1.3279549657e+01    1.7132633274e+01   -5.6397175130e+01    1.7534084222e+00    6.9807632464e+00    5.1200000000e+02    3.2688440903e-02    5.9796142578e-01
        18   -1.7247246822e+01    2.9766090626e+02   -3.0585356904e+01    1.3338110082e+01    1.7218353780e+01   -5.6799758445e+01    2.0152845147e+00    6.9807632464e+00    5.1200000000e+02    3.2693102271e-02    5.9588623047e-01
        19   -1.7270918357e+01    2.9850371379e+02   -3.1334623240e+01    1.4063704884e+01    1.7334464449e+01   -5.7569553029e+01    1.9197020935e+00    6.9807632464e+00    5.1200000000e+02    3.2674103997e-02    5.9426269531e-01
        20   -1.7259815210e+01    2.9806044816e+02   -3.1083611607e+01    1.3823796396e+01    1.7146587392e+01   -5.7062693020e+01    1.8517307754e+00    6.9807632464e+00    5.1200000000e+02    3.2653640447e-02    5.9205322266e-01
        21   -1.7259586313e+01    2.9806282498e+02   -3.0772819670e+01    1.3513233357e+01    1.7055940487e+01   -5.6657376762e+01    1.8478533584e+00    6.9807632464e+00    5.1200000000e+02    3.2616946003e-02    5.9833984375e-01
        22   -1.7291003144e+01    2.9949412388e+02   -3.1020906261e+01    1.3729903117e+01    1.7162420126e+01   -5.7161398176e+01    1.9973085425e+00    6.9807632464e+00    5.1200000000e+02    3.2681222715e-02    5.9625244141e-01
        23   -1.7248986398e+01    2.9769971648e+02   -3.1071118453e+01    1.3822132055e+01    1.7266885252e+01   -5.7497964280e+01    2.1791973284e+00    6.9807632464e+00    5.1200000000e+02    3.2734558928e-02    5.9615478516e-01
        24   -1.7221671417e+01    2.9682971310e+02   -3.1082784204e+01    1.3861112787e+01    1.7285477337e+01   -5.6997613408e+01    1.6485886211e+00    6.9807632464e+00    5.1200000000e+02    3.2688619956e-02    5.9849853516e-01
        25   -1.7251309587e+01    2.9775279427e+02   -3.0816439360e+01    1.3565129773e+01    1.7095042236e+01   -5.6692179183e+01    1.7999343405e+00    6.9807632464e+00    5.1200000000e+02    3.2665535999e-02    5.9458007812e-01
        26   -1.7253374192e+01    2.9784210665e+02   -3.0950970654e+01    1.3697596462e+01    1.6907153704e+01   -5.6533228820e+01    1.6943412151e+00    6.9807632464e+00    5.1200000000e+02    3.2616914866e-02    5.9775390625e-01
        27   -1.7234362528e+01    2.9718226091e+02   -3.1464289837e+01    1.4229927310e+01    1.7123549280e+01   -5.7361151051e+01    1.7925486870e+00    6.9807632464e+00    5.1200000000e+02    3.2679125359e-02    5.9829101562e-01
        28   -1.7248794958e+01    2.9779305545e+02   -3.1528995788e+01    1.4280200830e+01    1.7210995174e+01   -5.7497004268e+01    1.7762500601e+00    6.9807632464e+00    5.1200000000e+02    3.2655792842e-02    5.9749755859e-01
        29   -1.7253151863e+01    2.9780360088e+02   -3.0670328107e+01    1.3417176244e+01    1.6974190814e+01   -5.6271824106e+01    1.6465419383e+00    6.9807632464e+00    5.1200000000e+02    3.2656773350e-02    5.9803466797e-01
        30   -1.7228638627e+01    2.9696204712e+02   -3.0477028589e+01    1.3248389962e+01    1.6958417795e+01   -5.6559370311e+01    2.1431606811e+00    6.9807632464e+00    5.1200000000e+02    3.2629017417e-02    5.9877929687e-01
        31   -1.7238295728e+01    2.9754131297e+02   -3.0711852622e+01    1.3473556894e+01    1.7031808087e+01   -5.6702391514e+01    1.9779675575e+00    6.9807632464e+00    5.1200000000e+02    3.2665038762e-02    6.0020751953e-01
        32   -1.7275120942e+01    2.9865192788e+02   -3.0777058998e+01    1.3501938055e+01    1.7133116732e+01   -5.6873123548e+01    1.9821845717e+00    6.9807632464e+00    5.1200000000e+02    3.2630717944e-02    5.9783935547e-01
        33   -1.7245274410e+01    2.9760019541e+02   -3.1451798092e+01    1.4206523682e+01    1.7100925276e+01   -5.7329261054e+01    1.7957744399e+00    6.9807632464e+00    5.1200000000e+02    3.2679067881e-02    5.9719238281e-01
        34   -1.7268120466e+01    2.9837448172e+02   -3.1438443211e+01    1.4170322744e+01    1.7406936633e+01   -5.7802273909e+01    1.9761308180e+00    6.9807632464e+00    5.1200000000e+02    3.2721817627e-02    5.9559326172e-01
