#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7255028510e+01    2.9788972105e+02   -3.0292780311e+01    1.3037751800e+01    1.7189434174e+01   -5.6272872974e+01    1.8098952432e+00    6.9807632464e+00    5.1200000000e+02    3.3176826755e-02    7.2562255859e-01
         1   -1.7241769165e+01    2.9757244882e+02   -3.0803531391e+01    1.3561762226e+01    1.6868269871e+01   -5.6447918877e+01    1.7953543681e+00    6.9807632464e+00    5.1200000000e+02    3.3096890479e-02    7.2539062500e-01
         2   -1.7241375346e+01    2.9746943260e+02   -3.0784574023e+01    1.3543198677e+01    1.7116806564e+01   -5.6796400909e+01    1.9142570763e+00    6.9807632464e+00    5.1200000000e+02    3.3169577683e-02    7.2666015625e-01
         3   -1.7233530908e+01    2.9712672030e+02   -3.0598991005e+01    1.3365460098e+01    1.6836515877e+01   -5.6185013637e+01    1.7687435081e+00    6.9807632464e+00    5.1200000000e+02    3.3154575024e-02    7.2381591797e-01
         4   -1.7269029352e+01    2.9838459639e+02   -3.0942185525e+01    1.3673156173e+01    1.6942747546e+01   -5.6707949578e+01    1.8422532599e+00    6.9807632464e+00    5.1200000000e+02    3.3149411748e-02    7.2474365234e-01
         5   -1.7270226014e+01    2.9840411988e+02   -3.0968149241e+01    1.3697923227e+01    1.6942094011e+01   -5.6510749216e+01    1.6197427178e+00    6.9807632464e+00    5.1200000000e+02    3.3203492214e-02    7.2624511719e-01
         6   -1.7253419747e+01    2.9791736627e+02   -3.1001651570e+01    1.3748231823e+01    1.7152817728e+01   -5.7043191340e+01    1.9079587964e+00    6.9807632464e+00    5.1200000000e+02    3.3191416338e-02    7.2412109375e-01
         7   -1.7223332193e+01    2.9680183224e+02   -3.1138013716e+01    1.3914681524e+01    1.7131294720e+01   -5.6911227986e+01    1.6611563037e+00    6.9807632464e+00    5.1200000000e+02    3.3203772168e-02    7.2202148437e-01
         8   -1.7266456600e+01    2.9834632227e+02   -3.0969223031e+01    1.3702766431e+01    1.7037714430e+01   -5.6780178139e+01    1.7924774312e+00    6.9807632464e+00    5.1200000000e+02    3.3211638994e-02    7.2423095703e-01
         9   -1.7220573972e+01    2.9671556527e+02   -3.0755869488e+01    1.3535295516e+01    1.6909257012e+01   -5.6722723711e+01    2.0768339644e+00    6.9807632464e+00    5.1200000000e+02    3.3094394026e-02    7.2229003906e-01
        10   -1.7233879221e+01    2.9716106673e+02   -3.1202435956e+01    1.3968556735e+01    1.7134073569e+01   -5.7237294525e+01    1.9200217533e+00    6.9807632464e+00    5.1200000000e+02    3.3177239795e-02    7.2598876953e-01
        11   -1.7256103217e+01    2.9789221750e+02   -3.0965411117e+01    1.3709307900e+01    1.7010579776e+01   -5.7001878926e+01    2.0451247871e+00    6.9807632464e+00    5.1200000000e+02    3.3203152385e-02    7.2327880859e-01
