#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7014784516e+01    2.9095063009e+02   -2.9864575668e+01    1.2849791152e+01    1.7093109914e+01   -5.5534796325e+01    1.5963474971e+00    6.9807632464e+00    6.4000000000e+02    1.2443723438e-02    6.0646484375e-01
         1   -1.6971167536e+01    2.8972649677e+02   -2.9891200661e+01    1.2920033125e+01    1.7509955053e+01   -5.6136404641e+01    1.7544856803e+00    6.9807632464e+00    6.4000000000e+02    1.2479649016e-02    6.1182617188e-01
         2   -1.7008062678e+01    2.9091291130e+02   -3.1033645986e+01    1.4025583308e+01    1.7724527542e+01   -5.7584857799e+01    1.8459210253e+00    6.9807632464e+00    6.4000000000e+02    1.2484629287e-02    6.0748046875e-01
         3   -1.7018108125e+01    2.9114592970e+02   -2.9784711319e+01    1.2766603194e+01    1.7316928419e+01   -5.5699067210e+01    1.6166642260e+00    6.9807632464e+00    6.4000000000e+02    1.2463454100e-02    6.0654296875e-01
         4   -1.6983395503e+01    2.9014665944e+02   -3.0317254113e+01    1.3333858610e+01    1.7543867768e+01   -5.6183895261e+01    1.3420101343e+00    6.9807632464e+00    6.4000000000e+02    1.2479604297e-02    6.0668945312e-01
         5   -1.6965738675e+01    2.8952690315e+02   -2.9889260400e+01    1.2923521724e+01    1.7430823661e+01   -5.6067393032e+01    1.7665457254e+00    6.9807632464e+00    6.4000000000e+02    1.2455543994e-02    6.0742187500e-01
         6   -1.6897347468e+01    2.8735158434e+02   -3.0395660694e+01    1.3498313226e+01    1.7537794655e+01   -5.6701899300e+01    1.7876807050e+00    6.9807632464e+00    6.4000000000e+02    1.2451351296e-02    6.0476562500e-01
         7   -1.7057177422e+01    2.9261485031e+02   -3.0130051022e+01    1.3072873600e+01    1.7500078741e+01   -5.6558245411e+01    1.9473524019e+00    6.9807632464e+00    6.4000000000e+02    1.2469967847e-02    6.0648437500e-01
         8   -1.6941630392e+01    2.8863198923e+02   -2.9733317846e+01    1.2791687454e+01    1.7471129431e+01   -5.5883077878e+01    1.6978673548e+00    6.9807632464e+00    6.4000000000e+02    1.2464667137e-02    6.0893554688e-01
         9   -1.6951026218e+01    2.8909254722e+02   -3.0444707800e+01    1.3493681582e+01    1.7815201259e+01   -5.6968983222e+01    1.7283109160e+00    6.9807632464e+00    6.4000000000e+02    1.2472125765e-02    6.0901367188e-01
