#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7269031440e+01    2.9846108631e+02   -3.1125931195e+01    1.3856899754e+01    1.7098349340e+01   -5.6884200495e+01    1.6791567136e+00    6.9807632464e+00    5.1750000000e+04    2.1317068270e+00    8.9906844854e-01
         1   -1.7272611159e+01    2.9862387835e+02   -3.1137554415e+01    1.3864943257e+01    1.7036914008e+01   -5.6910005036e+01    1.7547733661e+00    6.9807632464e+00    4.8225000000e+04    1.8147074831e+00    8.9936026647e-01
         2   -1.7269659550e+01    2.9847965504e+02   -3.1138990041e+01    1.3869330491e+01    1.7170182663e+01   -5.6988765860e+01    1.6988299091e+00    6.9807632464e+00    4.8254000000e+04    1.7439494500e+00    8.9858832086e-01
         3   -1.7267845011e+01    2.9843689694e+02   -3.0990223165e+01    1.3722378154e+01    1.7053241412e+01   -5.6732106883e+01    1.7078790594e+00    6.9807632464e+00    4.8141000000e+04    1.6329533058e+00    8.9936688071e-01
         4   -1.7271330240e+01    2.9857026015e+02   -3.1163393404e+01    1.3892063164e+01    1.7104690769e+01   -5.7002965053e+01    1.7541176339e+00    6.9807632464e+00    4.8305000000e+04    1.4798926821e+00    8.9958938374e-01
         5   -1.7273882201e+01    2.9865168442e+02   -3.1164146991e+01    1.3890264790e+01    1.7099625320e+01   -5.6906142209e+01    1.6616066510e+00    6.9807632464e+00    4.8385000000e+04    1.4466184430e+00    8.9887817281e-01
         6   -1.7272665967e+01    2.9861146572e+02   -3.1128067494e+01    1.3855401527e+01    1.7049719174e+01   -5.6908533943e+01    1.7499840285e+00    6.9807632464e+00    4.7379000000e+04    1.2942634661e+00    8.9915929045e-01
         7   -1.7272057043e+01    2.9856550886e+02   -3.1288850526e+01    1.4016793483e+01    1.7157826455e+01   -5.7152284874e+01    1.7248446464e+00    6.9807632464e+00    4.7779000000e+04    1.4313821035e+00    8.9947091386e-01
         8   -1.7269667211e+01    2.9846466492e+02   -3.0904245439e+01    1.3634578227e+01    1.6984557507e+01   -5.6638813755e+01    1.7692475626e+00    6.9807632464e+00    4.7977000000e+04    1.3881217462e+00    8.9855614585e-01
         9   -1.7271589700e+01    2.9856706387e+02   -3.1163515627e+01    1.3891925927e+01    1.7069810415e+01   -5.6978534195e+01    1.7644449068e+00    6.9807632464e+00    4.8119000000e+04    1.3431871965e+00    8.9888569471e-01
