# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.7258531963e+01    2.1935003460e-01    9.2858185740e+02    9.3000000000e+02    0.0000000000e+00   -1.7270111360e+01    9.2065106353e-01    9.8924731183e-01
         1   -1.7274424967e+01    2.5156580613e-01    1.1024357487e+03    9.3000000000e+02    2.2500000000e-01   -1.3527092894e+01    9.2368473867e-01    1.0000000000e+00
         2   -1.7278544233e+01    3.3100563689e-01    1.0951721054e+03    1.1020000000e+03    7.5000000000e-01   -1.7412373672e+01    9.1487152220e-01    9.9183303085e-01
         3   -1.7275603549e+01    2.3491718228e-01    1.0882149189e+03    1.0950000000e+03    1.2500000000e-01   -1.7410120590e+01    9.1868836461e-01    9.8812785388e-01
         4   -1.7268517668e+01    2.1362250208e-01    1.0777600645e+03    1.0840000000e+03    2.2500000000e-01   -1.7397083446e+01    9.2105454817e-01    9.8708487085e-01
         5   -1.7268008286e+01    3.8709675059e-01    1.0693419792e+03    1.0750000000e+03    2.2500000000e-01   -1.7381660324e+01    9.2928468515e-01    9.9255813953e-01
         6   -1.7260792532e+01    2.2646032107e-01    1.0674063849e+03    1.0730000000e+03    1.7500000000e-01   -1.7379288744e+01    9.1842395634e-01    9.8974836906e-01
         7   -1.7266881894e+01    2.0349353383e-01    1.0629564164e+03    1.0680000000e+03    2.0000000000e-01   -1.7367402267e+01    9.2304254245e-01    9.9438202247e-01
         8   -1.7246283849e+01    1.5963635569e-01    1.0604188941e+03    1.0660000000e+03    1.2500000000e-01   -1.7371617214e+01    9.2144579853e-01    9.9718574109e-01
         9   -1.7262259728e+01    3.2937796092e-01    1.0592161637e+03    1.0640000000e+03    5.0000000000e-02   -1.7349141234e+01    9.2436643560e-01    9.9248120301e-01
        10   -1.7262033389e+01    4.6441679632e-01    1.0528351136e+03    1.0580000000e+03    1.5000000000e-01   -1.7359462056e+01    9.2315353922e-01    9.9338374291e-01
        11   -1.7248409332e+01    1.9987668342e-01    1.0485800383e+03    1.0540000000e+03    1.2500000000e-01   -1.7360487491e+01    9.2000644623e-01    9.9051233397e-01
        12   -1.7256719276e+01    2.0054011728e-01    1.0452238510e+03    1.0500000000e+03    2.2500000000e-01   -1.7354165377e+01    9.1478895815e-01    9.9333333333e-01
        13   -1.7263255807e+01    2.0077808909e-01    1.0408802807e+03    1.0450000000e+03    1.7500000000e-01   -1.7344010803e+01    9.2228831699e-01    9.9330143541e-01
        14   -1.7272027479e+01    1.8920538258e-01    1.0356221644e+03    1.0390000000e+03    1.2500000000e-01   -1.7337639468e+01    9.1328677064e-01    9.9615014437e-01
        15   -1.7274385749e+01    2.6558052643e-01    1.0338538894e+03    1.0370000000e+03    1.0000000000e-01   -1.7336652094e+01    9.2284767846e-01    9.9614271938e-01
        16   -1.7258433652e+01    2.3764789936e-01    1.0315350096e+03    1.0350000000e+03    1.0000000000e-01   -1.7336809810e+01    9.1912394668e-01    9.8743961353e-01
        17   -1.7273633705e+01    1.9484651478e-01    1.0249616102e+03    1.0280000000e+03    2.5000000000e-01   -1.7331852030e+01    9.2160043241e-01    9.9416342412e-01
        18   -1.7266859970e+01    1.9508943399e-01    1.0222130070e+03    1.0250000000e+03    1.0000000000e-01   -1.7328306823e+01    9.1656354954e-01    9.9707317073e-01
        19   -1.7259534762e+01    2.2678789306e-01    1.0247427103e+03    1.0280000000e+03    1.2500000000e-01   -1.7332433988e+01    9.2011269471e-01    9.9319066148e-01
        20   -1.7244940182e+01    1.8632337890e-01    1.0203496607e+03    1.0240000000e+03    1.5000000000e-01   -1.7328821662e+01    9.1978502254e-01    9.8828125000e-01
        21   -1.7250742992e+01    2.8149895357e-01    1.0125554994e+03    1.0160000000e+03    2.2500000000e-01   -1.7320546813e+01    9.1669992298e-01    9.9015748031e-01
        22   -1.7287115367e+01    3.1059065042e-01    1.0062185149e+03    1.0080000000e+03    2.2500000000e-01   -1.7311065693e+01    9.1519364733e-01    9.8809523810e-01
        23   -1.7256527222e+01    1.9859704457e-01    1.0017004294e+03    1.0030000000e+03    1.7500000000e-01   -1.7305205914e+01    9.1482527449e-01    9.9601196411e-01
        24   -1.7273587604e+01    1.6508850067e-01    1.0048481357e+03    1.0070000000e+03    2.0000000000e-01   -1.7311023659e+01    9.2041747474e-01    9.8907646475e-01
        25   -1.7274744021e+01    2.1316287344e-01    9.9966628482e+02    1.0010000000e+03    1.7500000000e-01   -1.7304600957e+01    9.2348016326e-01    9.9000999001e-01
        26   -1.7294392439e+01    3.3803545647e-01    9.9448544900e+02    9.9500000000e+02    1.7500000000e-01   -1.7299264424e+01    9.1149442656e-01    9.9698492462e-01
        27   -1.7277622257e+01    1.8702359975e-01    9.9425093598e+02    9.9500000000e+02    7.5000000000e-02   -1.7299928485e+01    9.2021498900e-01    9.8994974874e-01
        28   -1.7250565842e+01    2.0419570761e-01    9.9138990327e+02    9.9300000000e+02    2.0000000000e-01   -1.7299598268e+01    9.2641756242e-01    9.9295065458e-01
        29   -1.7243667328e+01    1.8906914931e-01    9.8959635144e+02    9.9200000000e+02    1.5000000000e-01   -1.7299212889e+01    9.1567128888e-01    9.9596774194e-01
        30   -1.7236773131e+01    1.6883989598e-01    9.8832330519e+02    9.9100000000e+02    1.0000000000e-01   -1.7297411455e+01    9.1697221876e-01    9.9293642785e-01
        31   -1.7284959965e+01    2.2736247025e-01    9.8748668948e+02    9.8900000000e+02    1.7500000000e-01   -1.7294345401e+01    9.2473704098e-01    9.9595551062e-01
        32   -1.7264735601e+01    2.3328847532e-01    9.8820291420e+02    9.8900000000e+02    1.0000000000e-01   -1.7293081254e+01    9.1737017590e-01    9.9089989889e-01
        33   -1.7275530624e+01    2.0537187162e-01    9.8115771798e+02    9.8200000000e+02    2.0000000000e-01   -1.7286919090e+01    9.1775120209e-01    9.9490835031e-01
        34   -1.7262351153e+01    2.4572802577e-01    9.8216459577e+02    9.8300000000e+02    1.5000000000e-01   -1.7287956674e+01    9.2168411565e-01    9.9186164802e-01
        35   -1.7276974745e+01    1.8907246785e-01    9.7738533239e+02    9.7800000000e+02    1.7500000000e-01   -1.7283307215e+01    9.1441946105e-01    9.9488752556e-01
        36   -1.7278112438e+01    5.2161140207e-01    9.7632415409e+02    9.7700000000e+02    7.5000000000e-02   -1.7282192671e+01    9.2400411610e-01    9.9590583419e-01
        37   -1.7270007621e+01    1.9791937349e-01    9.7722086821e+02    9.7800000000e+02    1.2500000000e-01   -1.7283672557e+01    9.2324104730e-01    9.9079754601e-01
        38   -1.7293366410e+01    2.9435676138e-01    9.7794481807e+02    9.7800000000e+02    1.5000000000e-01   -1.7284137424e+01    9.1663690205e-01    9.9284253579e-01
        39   -1.7273998282e+01    2.2050085300e-01    9.7612571702e+02    9.7600000000e+02    1.7500000000e-01   -1.7282243671e+01    9.2017093741e-01    9.9282786885e-01
        40   -1.7271086112e+01    2.1674386105e-01    9.7547749069e+02    9.7600000000e+02    1.2500000000e-01   -1.7283165406e+01    9.2139432326e-01    9.9385245902e-01
        41   -1.7277315171e+01    1.8181126862e-01    9.7462533573e+02    9.7500000000e+02    1.2500000000e-01   -1.7282377780e+01    9.2536114276e-01    9.9282051282e-01
        42   -1.7271844183e+01    1.9497338428e-01    9.7383000487e+02    9.7400000000e+02    1.7500000000e-01   -1.7281483254e+01    9.1501282999e-01    9.9794661191e-01
        43   -1.7264138760e+01    2.5112704808e-01    9.7328454756e+02    9.7400000000e+02    5.0000000000e-02   -1.7281795676e+01    9.2027970096e-01    9.9075975359e-01
        44   -1.7255352929e+01    2.2359420871e-01    9.7033702581e+02    9.7100000000e+02    2.0000000000e-01   -1.7278843974e+01    9.2806894312e-01    9.9382080330e-01
        45   -1.7274283794e+01    2.4260024306e-01    9.6838279404e+02    9.6900000000e+02    1.2500000000e-01   -1.7276687488e+01    9.2306543553e-01    9.9587203302e-01
        46   -1.7250593722e+01    1.8030548329e-01    9.6636763735e+02    9.6700000000e+02    1.0000000000e-01   -1.7274287948e+01    9.1818802377e-01    9.9379524302e-01
        47   -1.7256677997e+01    2.0224519241e-01    9.6704457597e+02    9.6800000000e+02    1.5000000000e-01   -1.7275517785e+01    9.2159971815e-01    9.9070247934e-01
        48   -1.7245715618e+01    2.2248386827e-01    9.6321949726e+02    9.6400000000e+02    2.0000000000e-01   -1.7270939485e+01    9.2085147706e-01    9.9481327801e-01
        49   -1.7281762889e+01    2.4602837900e-01    9.6473439229e+02    9.6500000000e+02    1.2500000000e-01   -1.7271717229e+01    9.1793504923e-01    9.9689119171e-01
        50   -1.7242815150e+01    2.1795081999e-01    9.6639708601e+02    9.6700000000e+02    1.2500000000e-01   -1.7273267453e+01    9.1554749462e-01    9.9276111686e-01
        51   -1.7248347826e+01    2.2078406623e-01    9.6481919368e+02    9.6600000000e+02    1.5000000000e-01   -1.7272617198e+01    9.2297864348e-01    9.9275362319e-01
        52   -1.7254365933e+01    1.8732084673e-01    9.6319464560e+02    9.6400000000e+02    1.7500000000e-01   -1.7269983432e+01    9.1990093066e-01    9.9481327801e-01
        53   -1.7266852616e+01    3.0164456710e-01    9.6256514022e+02    9.6300000000e+02    1.2500000000e-01   -1.7268539093e+01    9.1751568765e-01    9.8753894081e-01
        54   -1.7286869758e+01    2.2510251557e-01    9.5977776048e+02    9.5900000000e+02    2.2500000000e-01   -1.7264125551e+01    9.2840857190e-01    9.9478623566e-01
        55   -1.7263293388e+01    1.8939876774e-01    9.6045675745e+02    9.6000000000e+02    1.2500000000e-01   -1.7265205202e+01    9.2701710522e-01    9.9687500000e-01
        56   -1.7267692660e+01    3.0164793316e-01    9.6848309185e+02    9.6900000000e+02    2.2500000000e-01   -1.7275007498e+01    9.1876899947e-01    9.9380804954e-01
        57   -1.7266128107e+01    2.2712050849e-01    9.6782961142e+02    9.6800000000e+02    1.2500000000e-01   -1.7273924276e+01    9.2183660488e-01    9.8966942149e-01
        58   -1.7265566326e+01    1.5964479142e-01    9.6212345446e+02    9.6200000000e+02    1.7500000000e-01   -1.7267749706e+01    9.2207708793e-01    9.9584199584e-01
        59   -1.7255145615e+01    2.2126039653e-01    9.6161686167e+02    9.6200000000e+02    1.0000000000e-01   -1.7267759085e+01    9.1889631699e-01    9.9584199584e-01
        60   -1.7253010804e+01    2.0022910960e-01    9.5943805028e+02    9.6000000000e+02    1.0000000000e-01   -1.7265675687e+01    9.1690079874e-01    9.9583333333e-01
        61   -1.7250096549e+01    2.1794476907e-01    9.5738567857e+02    9.5800000000e+02    1.0000000000e-01   -1.7263383708e+01    9.1734347529e-01    9.9895615866e-01
        62   -1.7234473601e+01    3.0561156226e-01    9.6173483697e+02    9.6300000000e+02    1.5000000000e-01   -1.7268349757e+01    9.1433150526e-01    9.9480789200e-01
        63   -1.7248410519e+01    1.7035735179e-01    9.6375327751e+02    9.6500000000e+02    1.5000000000e-01   -1.7270138917e+01    9.1580200685e-01    9.9792746114e-01
        64   -1.7246161666e+01    1.8304005932e-01    9.6683835749e+02    9.6800000000e+02    1.2500000000e-01   -1.7272678634e+01    9.1393996850e-01    9.9276859504e-01
        65   -1.7262936219e+01    1.8539165984e-01    9.6333065617e+02    9.6400000000e+02    1.2500000000e-01   -1.7268247490e+01    9.1617283756e-01    9.9170124481e-01
        66   -1.7251447067e+01    1.8195940921e-01    9.6171698364e+02    9.6200000000e+02    1.5000000000e-01   -1.7265850507e+01    9.2249668893e-01    9.9480249480e-01
        67   -1.7261933007e+01    2.0164683311e-01    9.6058861181e+02    9.6100000000e+02    1.2500000000e-01   -1.7264795849e+01    9.2183661942e-01    9.9375650364e-01
        68   -1.7270927174e+01    1.7683274639e-01    9.5724342780e+02    9.5700000000e+02    1.0000000000e-01   -1.7260412631e+01    9.1801147274e-01    9.9059561129e-01
        69   -1.7262185056e+01    1.8963643412e-01    9.5355049621e+02    9.5300000000e+02    2.0000000000e-01   -1.7256196863e+01    9.2790593308e-01    9.9685204617e-01
        70   -1.7252505550e+01    2.7247010667e-01    9.5583690913e+02    9.5600000000e+02    1.5000000000e-01   -1.7259463404e+01    9.1568477061e-01    9.9372384937e-01
        71   -1.7235941316e+01    2.3709334347e-01    9.5537620402e+02    9.5600000000e+02    1.2500000000e-01   -1.7259439573e+01    9.2197882979e-01    9.9476987448e-01
        72   -1.7253016020e+01    2.7173432305e-01    9.5532617071e+02    9.5600000000e+02    1.2500000000e-01   -1.7259260389e+01    9.1486609914e-01    9.9581589958e-01
        73   -1.7253692976e+01    1.8944321152e-01    9.5569520574e+02    9.5600000000e+02    7.5000000000e-02   -1.7258823969e+01    9.2126481983e-01    9.9581589958e-01
        74   -1.7246865891e+01    1.9617046690e-01    9.5553739630e+02    9.5600000000e+02    1.0000000000e-01   -1.7258667980e+01    9.2569482180e-01    9.9581589958e-01
        75   -1.7269902858e+01    2.0205040443e-01    9.5691464413e+02    9.5700000000e+02    7.5000000000e-02   -1.7259572683e+01    9.1772423625e-01    9.9373040752e-01
        76   -1.7267799572e+01    1.4813529071e-01    9.5355451299e+02    9.5300000000e+02    1.2500000000e-01   -1.7255144246e+01    9.1770166495e-01    9.9790136411e-01
        77   -1.7264883430e+01    2.1075894652e-01    9.5629064697e+02    9.5600000000e+02    1.2500000000e-01   -1.7258398303e+01    9.1720428762e-01    9.9476987448e-01
        78   -1.7248838855e+01    2.8033900705e-01    9.5395232038e+02    9.5400000000e+02    7.5000000000e-02   -1.7256380913e+01    9.1452310532e-01    9.9580712788e-01
        79   -1.7254093017e+01    2.4521760347e-01    9.5855010928e+02    9.5900000000e+02    1.5000000000e-01   -1.7261640678e+01    9.2300974161e-01    9.9374348279e-01
        80   -1.7253601754e+01    1.9516473521e-01    9.5864315050e+02    9.5900000000e+02    1.5000000000e-01   -1.7261442906e+01    9.1469992899e-01    9.9687174140e-01
        81   -1.7261274986e+01    3.5762501367e-01    9.5963961299e+02    9.6000000000e+02    1.0000000000e-01   -1.7262366917e+01    9.2164682769e-01    9.9166666667e-01
        82   -1.7270679349e+01    2.3988256247e-01    9.5719383132e+02    9.5700000000e+02    1.5000000000e-01   -1.7259115285e+01    9.2510676308e-01    9.9582027168e-01
        83   -1.7274145408e+01    2.4122074073e-01    9.5947186091e+02    9.5900000000e+02    1.5000000000e-01   -1.7261189679e+01    9.1722147334e-01    9.9478623566e-01
        84   -1.7248711127e+01    3.3153917109e-01    9.5890461137e+02    9.5900000000e+02    1.0000000000e-01   -1.7261303833e+01    9.2523549730e-01    9.9687174140e-01
        85   -1.7238902798e+01    1.6249536626e-01    9.6011376029e+02    9.6100000000e+02    1.2500000000e-01   -1.7263544492e+01    9.1198995418e-01    9.9687825182e-01
        86   -1.7264378320e+01    2.8515485256e-01    9.6426808259e+02    9.6500000000e+02    1.5000000000e-01   -1.7267516708e+01    9.1726194976e-01    9.9378238342e-01
        87   -1.7264278353e+01    2.1972051931e-01    9.6300987622e+02    9.6300000000e+02    1.5000000000e-01   -1.7265137874e+01    9.2379789889e-01    9.9480789200e-01
        88   -1.7262245976e+01    2.4014205484e-01    9.6572773247e+02    9.6600000000e+02    1.7500000000e-01   -1.7268278560e+01    9.1217507247e-01    9.9275362319e-01
        89   -1.7280924578e+01    2.3183654616e-01    9.6234846134e+02    9.6200000000e+02    1.0000000000e-01   -1.7264157409e+01    9.2340236570e-01    9.9376299376e-01
        90   -1.7277579558e+01    1.8924104772e-01    9.5779713865e+02    9.5700000000e+02    7.5000000000e-02   -1.7258948472e+01    9.1514081471e-01    9.9164054336e-01
        91   -1.7265091100e+01    2.0314198453e-01    9.5652917113e+02    9.5600000000e+02    1.5000000000e-01   -1.7258135662e+01    9.1813339932e-01    9.9895397490e-01
        92   -1.7260814489e+01    2.1183089830e-01    9.6383700325e+02    9.6400000000e+02    2.0000000000e-01   -1.7266655246e+01    9.2355785514e-01    9.9377593361e-01
        93   -1.7276284087e+01    2.4480133824e-01    9.6113813564e+02    9.6100000000e+02    1.2500000000e-01   -1.7263569611e+01    9.1619895337e-01    9.9375650364e-01
        94   -1.7275042938e+01    2.6724367454e-01    9.6069849748e+02    9.6000000000e+02    1.2500000000e-01   -1.7262508082e+01    9.1720565929e-01    9.9270833333e-01
        95   -1.7264588654e+01    2.6391119376e-01    9.6041000517e+02    9.6000000000e+02    1.5000000000e-01   -1.7262670153e+01    9.1842635450e-01    9.9375000000e-01
        96   -1.7239461223e+01    2.1929921122e-01    9.5849836972e+02    9.5900000000e+02    1.2500000000e-01   -1.7261771813e+01    9.1880799230e-01    9.9791449426e-01
        97   -1.7264107358e+01    2.1774488403e-01    9.5942066711e+02    9.6000000000e+02    7.5000000000e-02   -1.7262834420e+01    9.2589634683e-01    9.9375000000e-01
        98   -1.7282150711e+01    2.5508477374e-01    9.5853383222e+02    9.5800000000e+02    1.5000000000e-01   -1.7260483309e+01    9.1505312348e-01    9.9582463466e-01
        99   -1.7249511693e+01    1.7131969527e-01    9.5821784224e+02    9.5800000000e+02    7.5000000000e-02   -1.7260500596e+01    9.2773627206e-01    9.9582463466e-01
       100   -1.7276228567e+01    2.1571114526e-01    9.6001634606e+02    9.6000000000e+02    1.0000000000e-01   -1.7262803487e+01    9.1967929259e-01    9.9375000000e-01
       101   -1.7262080774e+01    2.0148742045e-01    9.6331926508e+02    9.6300000000e+02    1.5000000000e-01   -1.7265777551e+01    9.1569653002e-01    9.9792315680e-01
       102   -1.7265774828e+01    1.9414971916e-01    9.6663423977e+02    9.6700000000e+02    1.5000000000e-01   -1.7270070147e+01    9.1614093089e-01    9.9896587384e-01
       103   -1.7255788680e+01    2.4429831980e-01    9.7328412977e+02    9.7400000000e+02    1.5000000000e-01   -1.7277275169e+01    9.2284353116e-01    9.9486652977e-01
       104   -1.7239005726e+01    2.5818338744e-01    9.7560836640e+02    9.7700000000e+02    1.5000000000e-01   -1.7280382194e+01    9.1942269432e-01    9.9181166837e-01
       105   -1.7253357779e+01    1.9477269530e-01    9.6967504778e+02    9.7100000000e+02    2.0000000000e-01   -1.7274147904e+01    9.2069025591e-01    9.8970133883e-01
       106   -1.7284535175e+01    2.2716410515e-01    9.6795873323e+02    9.6800000000e+02    2.2500000000e-01   -1.7270806137e+01    9.2327962049e-01    9.9483471074e-01
