#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7194170730e+01    2.9592089367e+02   -3.1187455112e+01    1.3993284381e+01    1.6747745005e+01   -5.6837560376e+01    1.9215970131e+00    6.9807632464e+00    6.4000000000e+02    1.2334942912e-02    6.0107421875e-01
         1   -1.7179557126e+01    2.9539382592e+02   -3.0805819321e+01    1.3626262195e+01    1.6830038577e+01   -5.6797680764e+01    2.1810596202e+00    6.9807632464e+00    6.4000000000e+02    1.2306840513e-02    5.9712890625e-01
         2   -1.7213596070e+01    2.9657056269e+02   -3.0489598923e+01    1.3276002853e+01    1.6671204149e+01   -5.5891656354e+01    1.7500900364e+00    6.9807632464e+00    6.4000000000e+02    1.2304057909e-02    5.9709960937e-01
         3   -1.7161669522e+01    2.9475266483e+02   -3.0711417659e+01    1.3549748137e+01    1.6681586068e+01   -5.6590014640e+01    2.2162476670e+00    6.9807632464e+00    6.4000000000e+02    1.2276601475e-02    5.9749023437e-01
         4   -1.7144511621e+01    2.9430970611e+02   -3.0995772348e+01    1.3851260727e+01    1.7045272914e+01   -5.6903723161e+01    1.8819146517e+00    6.9807632464e+00    6.4000000000e+02    1.2292618922e-02    5.9616210938e-01
         5   -1.7209942505e+01    2.9644897533e+02   -3.0538070239e+01    1.3328127734e+01    1.6746805149e+01   -5.6408050974e+01    2.1424123396e+00    6.9807632464e+00    6.4000000000e+02    1.2282151534e-02    6.0192382812e-01
         6   -1.7209863290e+01    2.9642299198e+02   -3.1021850095e+01    1.3811986804e+01    1.6842039075e+01   -5.6602738022e+01    1.7580856060e+00    6.9807632464e+00    6.4000000000e+02    1.2293883021e-02    5.9670898437e-01
         7   -1.7182812320e+01    2.9552509358e+02   -3.1077627709e+01    1.3894815389e+01    1.6826114227e+01   -5.6867427731e+01    1.9829225485e+00    6.9807632464e+00    6.4000000000e+02    1.2282117462e-02    5.9979492188e-01
         8   -1.7181909554e+01    2.9551973460e+02   -3.0773681777e+01    1.3591772223e+01    1.6764117911e+01   -5.6317480286e+01    1.7989173516e+00    6.9807632464e+00    6.4000000000e+02    1.2258276215e-02    5.9758789063e-01
         9   -1.7180050448e+01    2.9543108652e+02   -3.0735039654e+01    1.3554989207e+01    1.6689708816e+01   -5.6397038516e+01    1.9915267997e+00    6.9807632464e+00    6.4000000000e+02    1.2262671637e-02    5.9909179688e-01
        10   -1.7162388253e+01    2.9495133678e+02   -3.0539725061e+01    1.3377336808e+01    1.6756337327e+01   -5.6571215769e+01    2.2943901343e+00    6.9807632464e+00    6.4000000000e+02    1.2263301800e-02    5.9972656250e-01
        11   -1.7143064675e+01    2.9429564923e+02   -3.1275717574e+01    1.4132652899e+01    1.6807017710e+01   -5.6777353073e+01    1.7138545423e+00    6.9807632464e+00    6.4000000000e+02    1.2252215709e-02    5.9924804687e-01
        12   -1.7157512354e+01    2.9477018151e+02   -3.1178132620e+01    1.4020620267e+01    1.7012152136e+01   -5.7355969896e+01    2.1849218931e+00    6.9807632464e+00    6.4000000000e+02    1.2279252759e-02    5.9735351563e-01
        13   -1.7127557508e+01    2.9365961439e+02   -3.0891932157e+01    1.3764374649e+01    1.6715148590e+01   -5.6684439498e+01    2.0965955052e+00    6.9807632464e+00    6.4000000000e+02    1.2240083321e-02    5.9928710937e-01
        14   -1.7177350007e+01    2.9547137277e+02   -3.1023290781e+01    1.3845940774e+01    1.6767699995e+01   -5.6837046694e+01    2.0652926718e+00    6.9807632464e+00    6.4000000000e+02    1.2232200844e-02    5.9940429688e-01
        15   -1.7123456677e+01    2.9353256403e+02   -3.0679297311e+01    1.3555840634e+01    1.6789175354e+01   -5.6198515609e+01    1.7492796973e+00    6.9807632464e+00    6.4000000000e+02    1.2239353488e-02    5.9704101563e-01
        16   -1.7154462124e+01    2.9457816800e+02   -3.0426999490e+01    1.3272537366e+01    1.6612786418e+01   -5.5930303314e+01    1.9097541589e+00    6.9807632464e+00    6.4000000000e+02    1.2222697181e-02    6.0215820313e-01
        17   -1.7150597512e+01    2.9447012057e+02   -3.0736865719e+01    1.3586268207e+01    1.6817586905e+01   -5.6456123127e+01    1.9209072569e+00    6.9807632464e+00    6.4000000000e+02    1.2213631234e-02    6.0068359375e-01
        18   -1.7157934525e+01    2.9478870286e+02   -3.0984400928e+01    1.3826466403e+01    1.6606157330e+01   -5.6516499073e+01    1.9451775688e+00    6.9807632464e+00    6.4000000000e+02    1.2201627703e-02    6.0015625000e-01
        19   -1.7160736302e+01    2.9493017348e+02   -3.0678879438e+01    1.3518143135e+01    1.6769240783e+01   -5.6533855591e+01    2.1049721237e+00    6.9807632464e+00    6.4000000000e+02    1.2193728710e-02    5.9923828125e-01
        20   -1.7106932649e+01    2.9307567609e+02   -3.0824471844e+01    1.3717539196e+01    1.6806831819e+01   -5.6682278254e+01    2.0702113445e+00    6.9807632464e+00    6.4000000000e+02    1.2189488684e-02    5.9754882812e-01
        21   -1.7133090936e+01    2.9401415288e+02   -3.0849675705e+01    1.3716584769e+01    1.6767433747e+01   -5.6632009832e+01    2.0341371340e+00    6.9807632464e+00    6.4000000000e+02    1.2199954106e-02    5.9859375000e-01
        22   -1.7147206702e+01    2.9432961871e+02   -3.0898879008e+01    1.3751672306e+01    1.6721311603e+01   -5.6443958819e+01    1.8430049615e+00    6.9807632464e+00    6.4000000000e+02    1.2196581069e-02    6.0226562500e-01
        23   -1.7176135194e+01    2.9538322573e+02   -3.0862333814e+01    1.3686198619e+01    1.6888001254e+01   -5.6388743908e+01    1.6576455941e+00    6.9807632464e+00    6.4000000000e+02    1.2204514041e-02    6.0249023438e-01
