#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6962172972e+01    2.8933325242e+02   -3.0473775480e+01    1.3511602509e+01    1.7729744669e+01   -5.7033188553e+01    1.8489051572e+00    6.9807632464e+00    6.4000000000e+02    3.7162086406e-03    6.0703125000e-01
         1   -1.7023174756e+01    2.9133301149e+02   -3.0116443396e+01    1.3093268640e+01    1.7560585587e+01   -5.6649233257e+01    1.9914410267e+00    6.9807632464e+00    6.4000000000e+02    3.6997289843e-03    6.0618164063e-01
         2   -1.7024472110e+01    2.9143708123e+02   -3.0285999610e+01    1.3261527501e+01    1.7314475264e+01   -5.6139331046e+01    1.5580929257e+00    6.9807632464e+00    6.4000000000e+02    3.6875941466e-03    6.0769531250e-01
         3   -1.6936706323e+01    2.8839052399e+02   -3.0134203438e+01    1.3197497115e+01    1.7741725482e+01   -5.6768419417e+01    1.9117272506e+00    6.9807632464e+00    6.4000000000e+02    3.6785368722e-03    6.0787109375e-01
         4   -1.6912781307e+01    2.8768530625e+02   -3.0126947043e+01    1.3214165736e+01    1.7377609520e+01   -5.6296488712e+01    1.8111689032e+00    6.9807632464e+00    6.4000000000e+02    3.7043521066e-03    6.1426757812e-01
         5   -1.7021032437e+01    2.9122787191e+02   -2.9942389281e+01    1.2921356844e+01    1.7533771457e+01   -5.6313782124e+01    1.8568581403e+00    6.9807632464e+00    6.4000000000e+02    3.6673855313e-03    6.1085937500e-01
         6   -1.6954475196e+01    2.8899221382e+02   -3.0581012381e+01    1.3626537186e+01    1.7572168208e+01   -5.6782864958e+01    1.6489211224e+00    6.9807632464e+00    6.4000000000e+02    3.7257084150e-03    6.0848632813e-01
         7   -1.7112586986e+01    2.9421670474e+02   -3.0268412137e+01    1.3155825151e+01    1.7276931974e+01   -5.6121646176e+01    1.5955388189e+00    6.9807632464e+00    6.4000000000e+02    3.9564792873e-03    6.0993164063e-01
         8   -1.6998368581e+01    2.9051463977e+02   -3.0330223961e+01    1.3331855381e+01    1.7498917831e+01   -5.6514763502e+01    1.7048584631e+00    6.9807632464e+00    6.4000000000e+02    3.7267745811e-03    6.0720703125e-01
         9   -1.6995260164e+01    2.9039935017e+02   -2.9965758055e+01    1.2970497890e+01    1.7407286090e+01   -5.6271983929e+01    1.9181765387e+00    6.9807632464e+00    6.4000000000e+02    3.7027908784e-03    6.1281250000e-01
        10   -1.7094378676e+01    2.9357604151e+02   -3.0644883757e+01    1.3550505080e+01    1.7400184940e+01   -5.6952327801e+01    1.9264958576e+00    6.9807632464e+00    6.4000000000e+02    3.6754693593e-03    6.0692382813e-01
        11   -1.6969095635e+01    2.8965600255e+02   -2.9727208996e+01    1.2758113362e+01    1.7463392502e+01   -5.5996082225e+01    1.8247174806e+00    6.9807632464e+00    6.4000000000e+02    3.7405756500e-03    6.0555664063e-01
        12   -1.7013449111e+01    2.9085567045e+02   -2.9431230075e+01    1.2417780964e+01    1.7133899308e+01   -5.5272631607e+01    1.7267389773e+00    6.9807632464e+00    6.4000000000e+02    3.6706226467e-03    6.1042968750e-01
        13   -1.6927055538e+01    2.8810687752e+02   -3.0636559666e+01    1.3709504128e+01    1.7853599585e+01   -5.7103236988e+01    1.6323144899e+00    6.9807632464e+00    6.4000000000e+02    3.6918941502e-03    6.0873046875e-01
        14   -1.6998442938e+01    2.9040791017e+02   -2.9913493147e+01    1.2915050209e+01    1.7341339381e+01   -5.6395780864e+01    2.1601850896e+00    6.9807632464e+00    6.4000000000e+02    3.7088800283e-03    6.0811523438e-01
        15   -1.6954037718e+01    2.8899669600e+02   -2.9935902854e+01    1.2981865136e+01    1.7385889810e+01   -5.6138681145e+01    1.8361252339e+00    6.9807632464e+00    6.4000000000e+02    3.6531761595e-03    6.1010742188e-01
        16   -1.7133003023e+01    2.9509041233e+02   -3.0742400174e+01    1.3609397152e+01    1.7340553274e+01   -5.6763619564e+01    1.6999028685e+00    6.9807632464e+00    6.4000000000e+02    3.7133168312e-03    6.0731445313e-01
        17   -1.6941971008e+01    2.9023680173e+02   -3.0085072431e+01    1.3143101424e+01    1.7415396013e+01   -5.6019575071e+01    1.5383433797e+00    6.9807632464e+00    6.4000000000e+02    3.6826418000e-03    6.0800781250e-01
        18   -1.6956745525e+01    2.8911959597e+02   -2.9849364500e+01    1.2892618974e+01    1.7394243885e+01   -5.6229801430e+01    2.0054297988e+00    6.9807632464e+00    6.4000000000e+02    3.6787340092e-03    6.0783203125e-01
        19   -1.6991336743e+01    2.9019736242e+02   -3.0518957193e+01    1.3527620450e+01    1.7596297080e+01   -5.6696902632e+01    1.6008851125e+00    6.9807632464e+00    6.4000000000e+02    3.7175139345e-03    6.0950195313e-01
        20   -1.6998722123e+01    2.9066851511e+02   -3.0609375689e+01    1.3610653566e+01    1.7745769145e+01   -5.7312423258e+01    1.9765151782e+00    6.9807632464e+00    6.4000000000e+02    3.6716717935e-03    6.0350585938e-01
        21   -1.7058465847e+01    2.9243770731e+02   -3.0585752446e+01    1.3527286598e+01    1.7442205108e+01   -5.6907739818e+01    1.8990190181e+00    6.9807632464e+00    6.4000000000e+02    3.7086659566e-03    6.0426757813e-01
        22   -1.6967294284e+01    2.8965677250e+02   -2.9947550964e+01    1.2980256681e+01    1.7480955613e+01   -5.6115646441e+01    1.7063766172e+00    6.9807632464e+00    6.4000000000e+02    3.6878935123e-03    6.0987304687e-01
        23   -1.6957337815e+01    2.8919486990e+02   -2.9804055171e+01    1.2846717357e+01    1.7525940551e+01   -5.5887010094e+01    1.5762511250e+00    6.9807632464e+00    6.4000000000e+02    3.6909997093e-03    6.0840820312e-01
        24   -1.7005592595e+01    2.9065614193e+02   -3.0253592271e+01    1.3247999677e+01    1.7477091274e+01   -5.6378065781e+01    1.6666189893e+00    6.9807632464e+00    6.4000000000e+02    3.7105940092e-03    6.0708007813e-01
        25   -1.7044074362e+01    2.9227772397e+02   -3.0240739855e+01    1.3196665493e+01    1.7562488411e+01   -5.6614673422e+01    1.8306819096e+00    6.9807632464e+00    6.4000000000e+02    3.6850048937e-03    6.0665039063e-01
        26   -1.6951722582e+01    2.8890164537e+02   -3.0322247207e+01    1.3370524625e+01    1.7507575137e+01   -5.6550726828e+01    1.7401412383e+00    6.9807632464e+00    6.4000000000e+02    3.7002255531e-03    6.1137695312e-01
        27   -1.6943456141e+01    2.8904296790e+02   -3.0345382292e+01    1.3401926152e+01    1.7535440556e+01   -5.6713904583e+01    1.8523184880e+00    6.9807632464e+00    6.4000000000e+02    3.6887356622e-03    6.0934570313e-01
