#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.6925986544e+01    2.8815234025e+02   -2.9846400507e+01    1.2920413963e+01    1.7442933269e+01   -5.6435676453e+01    2.1655794307e+00    6.9807632464e+00    6.4000000000e+02    1.2466974834e-02    6.1054687500e-01
         1   -1.6926208494e+01    2.8829877236e+02   -3.0116000747e+01    1.3189792253e+01    1.7571040746e+01   -5.6546157310e+01    1.8783525705e+00    6.9807632464e+00    6.4000000000e+02    1.2470318466e-02    6.0868164062e-01
         2   -1.6988941579e+01    2.9020688672e+02   -3.0125615119e+01    1.3136673540e+01    1.7281192457e+01   -5.6468921712e+01    2.0813508896e+00    6.9807632464e+00    6.4000000000e+02    1.2446599385e-02    6.0566406250e-01
         3   -1.7005924191e+01    2.9079228347e+02   -3.0415623704e+01    1.3409699513e+01    1.7389916438e+01   -5.6671168326e+01    1.8848649375e+00    6.9807632464e+00    6.4000000000e+02    1.2444636731e-02    6.0938476562e-01
         4   -1.7031866234e+01    2.9160177481e+02   -3.0079129654e+01    1.3047263420e+01    1.7224341131e+01   -5.6373893860e+01    2.0896598294e+00    6.9807632464e+00    6.4000000000e+02    1.2428278075e-02    6.0890625000e-01
         5   -1.6972220683e+01    2.8952822085e+02   -3.0195529091e+01    1.3223308407e+01    1.7315899039e+01   -5.6137886795e+01    1.6456954196e+00    6.9807632464e+00    6.4000000000e+02    1.2450069938e-02    6.1259765625e-01
         6   -1.6947608281e+01    2.8870615600e+02   -2.9719212580e+01    1.2771604299e+01    1.7258691977e+01   -5.5532232805e+01    1.5735650026e+00    6.9807632464e+00    6.4000000000e+02    1.2430981937e-02    6.0663085937e-01
         7   -1.7035448774e+01    2.9175414239e+02   -3.0515054630e+01    1.3479605856e+01    1.7402436249e+01   -5.6758694129e+01    1.8604400042e+00    6.9807632464e+00    6.4000000000e+02    1.2453888849e-02    6.0735351563e-01
         8   -1.7025296581e+01    2.9150698315e+02   -3.0047412059e+01    1.3022115478e+01    1.7470207889e+01   -5.6557571674e+01    2.0591884801e+00    6.9807632464e+00    6.4000000000e+02    1.2457998975e-02    6.0550781250e-01
         9   -1.7071630677e+01    2.9280764724e+02   -3.0631235514e+01    1.3559604837e+01    1.7133746242e+01   -5.6322075203e+01    1.5763302004e+00    6.9807632464e+00    6.4000000000e+02    1.2438517106e-02    6.0823242188e-01
        10   -1.7089222440e+01    2.9341700412e+02   -3.1003214906e+01    1.3913992466e+01    1.7468918676e+01   -5.6769906919e+01    1.3170100908e+00    6.9807632464e+00    6.4000000000e+02    1.2467222803e-02    6.0316406250e-01
        11   -1.7014652694e+01    2.9111337142e+02   -3.0209220759e+01    1.3194568064e+01    1.7490904733e+01   -5.6581117732e+01    1.9002289937e+00    6.9807632464e+00    6.4000000000e+02    1.2448861850e-02    6.0709960938e-01
        12   -1.6995238800e+01    2.9071605441e+02   -3.0019469548e+01    1.3024230748e+01    1.7303710876e+01   -5.6246178939e+01    1.9422352684e+00    6.9807632464e+00    6.4000000000e+02    1.2439220393e-02    6.0831054688e-01
        13   -1.7015005663e+01    2.9110899217e+02   -3.0944571951e+01    1.3929566288e+01    1.7642365958e+01   -5.7267755174e+01    1.7000540191e+00    6.9807632464e+00    6.4000000000e+02    1.2467834544e-02    6.0517578125e-01
        14   -1.6987136057e+01    2.9022436683e+02   -3.0363432771e+01    1.3376296714e+01    1.7638739559e+01   -5.6837323706e+01    1.8543881295e+00    6.9807632464e+00    6.4000000000e+02    1.2464557466e-02    6.0667968750e-01
        15   -1.7030516684e+01    2.9149300957e+02   -3.0017408376e+01    1.2986891691e+01    1.7197088932e+01   -5.6317007492e+01    2.1217469379e+00    6.9807632464e+00    6.4000000000e+02    1.2422679182e-02    6.0698242187e-01
        16   -1.6973243279e+01    2.8962869525e+02   -3.0780310651e+01    1.3807067373e+01    1.7338040565e+01   -5.7156025850e+01    2.0569113872e+00    6.9807632464e+00    6.4000000000e+02    1.2424312134e-02    6.1008789063e-01
        17   -1.7035271741e+01    2.9166077626e+02   -3.0442843069e+01    1.3407571328e+01    1.7393185229e+01   -5.6749558149e+01    1.9327666046e+00    6.9807632464e+00    6.4000000000e+02    1.2457751347e-02    6.1020507813e-01
        18   -1.6999316540e+01    2.9080602636e+02   -3.0425366518e+01    1.3426049978e+01    1.7495811118e+01   -5.6974789694e+01    2.0728488111e+00    6.9807632464e+00    6.4000000000e+02    1.2459792710e-02    6.1201171875e-01
        19   -1.6887043021e+01    2.8695712540e+02   -2.9613155127e+01    1.2726112106e+01    1.7409002460e+01   -5.5970465977e+01    1.9675451430e+00    6.9807632464e+00    6.4000000000e+02    1.2459990679e-02    6.0974609375e-01
        20   -1.7048967565e+01    2.9213606194e+02   -3.0026303864e+01    1.2977336298e+01    1.7379532496e+01   -5.6157470211e+01    1.7708706044e+00    6.9807632464e+00    6.4000000000e+02    1.2450841425e-02    6.0464843750e-01
        21   -1.6895558400e+01    2.8713161812e+02   -3.0257164519e+01    1.3361606119e+01    1.7427782963e+01   -5.6377984202e+01    1.7122734733e+00    6.9807632464e+00    6.4000000000e+02    1.2440836453e-02    6.0500000000e-01
        22   -1.7045926045e+01    2.9199462036e+02   -3.0908673082e+01    1.3862747037e+01    1.7525387988e+01   -5.7060743964e+01    1.6459196476e+00    6.9807632464e+00    6.4000000000e+02    1.2461540662e-02    6.0705078125e-01
        23   -1.6973095785e+01    2.8960772217e+02   -3.0553212458e+01    1.3580116673e+01    1.7433778381e+01   -5.6728389583e+01    1.7606354978e+00    6.9807632464e+00    6.4000000000e+02    1.2438904853e-02    6.0613281250e-01
        24   -1.6928035489e+01    2.8825272526e+02   -3.0305460173e+01    1.3377424684e+01    1.7479153635e+01   -5.6538852933e+01    1.7734758787e+00    6.9807632464e+00    6.4000000000e+02    1.2438540934e-02    6.0886718750e-01
        25   -1.6957466889e+01    2.8932136468e+02   -3.0641545632e+01    1.3684078743e+01    1.7535145816e+01   -5.7070236045e+01    1.9127813495e+00    6.9807632464e+00    6.4000000000e+02    1.2443257979e-02    6.0689453125e-01
        26   -1.7005776958e+01    2.9081181339e+02   -3.0152671194e+01    1.3146894236e+01    1.7320459376e+01   -5.6059269415e+01    1.6053755988e+00    6.9807632464e+00    6.4000000000e+02    1.2443812026e-02    6.1076171875e-01
        27   -1.7000195420e+01    2.9053028879e+02   -3.0465625332e+01    1.3465429912e+01    1.7482989551e+01   -5.6924474546e+01    1.9950964163e+00    6.9807632464e+00    6.4000000000e+02    1.2454443144e-02    6.0716796875e-01
        28   -1.7009863547e+01    2.9088550847e+02   -3.0362590405e+01    1.3352726858e+01    1.7353057499e+01   -5.6731593958e+01    2.0351828073e+00    6.9807632464e+00    6.4000000000e+02    1.2434875163e-02    6.1345703125e-01
        29   -1.6932739768e+01    2.8840610501e+02   -3.0619434381e+01    1.3686694613e+01    1.7707824460e+01   -5.7171275415e+01    1.8632533273e+00    6.9807632464e+00    6.4000000000e+02    1.2462818394e-02    6.0905273438e-01
        30   -1.6988424489e+01    2.9014657241e+02   -3.0394267965e+01    1.3405843476e+01    1.7449003194e+01   -5.6528134458e+01    1.7041000522e+00    6.9807632464e+00    6.4000000000e+02    1.2456678578e-02    6.0442382813e-01
        31   -1.7045655406e+01    2.9217742093e+02   -3.0310739431e+01    1.3265084025e+01    1.7377783934e+01   -5.6676577018e+01    2.0072904071e+00    6.9807632464e+00    6.4000000000e+02    1.2442474794e-02    6.0410156250e-01
