#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7228976726e+01    2.9719357813e+02   -3.0583604607e+01    1.3354627881e+01    1.7061005479e+01   -5.6639582434e+01    2.0142091009e+00    6.9807632464e+00    6.4000000000e+02    1.7981427328e-02    5.9702148437e-01
         1   -1.7209795206e+01    2.9694400851e+02   -3.0467792109e+01    1.3257996903e+01    1.7120723356e+01   -5.6464659007e+01    1.8953802962e+00    6.9807632464e+00    6.4000000000e+02    1.7981346468e-02    5.9665039063e-01
         2   -1.7250862105e+01    2.9794889391e+02   -3.1025572423e+01    1.3774710317e+01    1.7272775621e+01   -5.7437450590e+01    2.1583392997e+00    6.9807632464e+00    6.4000000000e+02    1.8017013831e-02    5.9475585938e-01
         3   -1.7221387919e+01    2.9692414093e+02   -3.1047755075e+01    1.3826367155e+01    1.7238299257e+01   -5.7413506321e+01    2.1466887422e+00    6.9807632464e+00    6.4000000000e+02    1.8019982706e-02    5.9476562500e-01
         4   -1.7215646695e+01    2.9676904085e+02   -3.0822457798e+01    1.3606811104e+01    1.7040375851e+01   -5.6789247972e+01    1.9456510756e+00    6.9807632464e+00    6.4000000000e+02    1.7983846409e-02    5.9789062500e-01
         5   -1.7248396821e+01    2.9795951295e+02   -3.0586120420e+01    1.3337723599e+01    1.7045468177e+01   -5.6754440693e+01    2.1420888492e+00    6.9807632464e+00    6.4000000000e+02    1.7962075147e-02    6.0037109375e-01
         6   -1.7266392167e+01    2.9852219615e+02   -3.1315791781e+01    1.4049399614e+01    1.7146259353e+01   -5.6940478430e+01    1.4976640487e+00    6.9807632464e+00    6.4000000000e+02    1.7972659685e-02    5.9875976562e-01
         7   -1.7198693216e+01    2.9625731368e+02   -3.0769771478e+01    1.3571078263e+01    1.7396342763e+01   -5.7321694873e+01    2.1748173845e+00    6.9807632464e+00    6.4000000000e+02    1.8005749519e-02    5.9878906250e-01
         8   -1.7196753066e+01    2.9612724561e+02   -3.0656028904e+01    1.3459275837e+01    1.6950913743e+01   -5.6574392903e+01    1.9866870104e+00    6.9807632464e+00    6.4000000000e+02    1.7957103163e-02    6.0129882813e-01
         9   -1.7206767473e+01    2.9650546497e+02   -3.0631609243e+01    1.3424841771e+01    1.7041634683e+01   -5.6538088852e+01    1.8840816796e+00    6.9807632464e+00    6.4000000000e+02    1.7964646957e-02    6.0064453125e-01
        10   -1.7217660721e+01    2.9686701777e+02   -3.0549409070e+01    1.3331748349e+01    1.7069384180e+01   -5.6686655165e+01    2.0870986686e+00    6.9807632464e+00    6.4000000000e+02    1.7977572388e-02    5.9689453125e-01
        11   -1.7262740547e+01    2.9837104173e+02   -3.0386318699e+01    1.3123578152e+01    1.7096250436e+01   -5.6394083247e+01    1.9307508651e+00    6.9807632464e+00    6.4000000000e+02    1.7969272415e-02    5.9840820313e-01
        12   -1.7159453703e+01    2.9484059434e+02   -3.0688763538e+01    1.3529309835e+01    1.7294274652e+01   -5.6897442913e+01    1.9336414767e+00    6.9807632464e+00    6.4000000000e+02    1.7965308228e-02    5.9870117188e-01
        13   -1.7223995693e+01    2.9706987674e+02   -3.0497782874e+01    1.3273787181e+01    1.7103774630e+01   -5.6549492676e+01    1.9671719256e+00    6.9807632464e+00    6.4000000000e+02    1.7971483803e-02    5.9965820313e-01
        14   -1.7219677273e+01    2.9687313282e+02   -3.0805761658e+01    1.3586084385e+01    1.7072599639e+01   -5.6830312732e+01    1.9711881885e+00    6.9807632464e+00    6.4000000000e+02    1.7951931006e-02    5.9805664063e-01
        15   -1.7218666113e+01    2.9694814169e+02   -3.0360435584e+01    1.3141769471e+01    1.6979388859e+01   -5.6226707125e+01    1.9061194347e+00    6.9807632464e+00    6.4000000000e+02    1.7957130756e-02    5.9919921875e-01
        16   -1.7208433059e+01    2.9679251935e+02   -3.0734921414e+01    1.3526488356e+01    1.7012214084e+01   -5.6483305982e+01    1.7554072373e+00    6.9807632464e+00    6.4000000000e+02    1.7953509366e-02    6.0151367187e-01
        17   -1.7173513816e+01    2.9539524102e+02   -3.1083403741e+01    1.3909889925e+01    1.7318058563e+01   -5.7418883891e+01    2.0366583408e+00    6.9807632464e+00    6.4000000000e+02    1.7963226178e-02    6.0108398438e-01
        18   -1.7208785161e+01    2.9653605935e+02   -3.1115849129e+01    1.3907063968e+01    1.7198668468e+01   -5.7408295092e+01    2.1130142486e+00    6.9807632464e+00    6.4000000000e+02    1.7956599706e-02    5.9695312500e-01
        19   -1.7228222305e+01    2.9717895858e+02   -3.0406551748e+01    1.3178329442e+01    1.7014413674e+01   -5.6308921198e+01    1.9071925308e+00    6.9807632464e+00    6.4000000000e+02    1.7936977853e-02    5.9920898438e-01
        20   -1.7232531762e+01    2.9732630577e+02   -3.0596237235e+01    1.3363705473e+01    1.7236529305e+01   -5.6733516509e+01    1.9199867225e+00    6.9807632464e+00    6.4000000000e+02    1.7967580534e-02    6.0041992187e-01
        21   -1.7166956401e+01    2.9508722925e+02   -3.0674160078e+01    1.3507203676e+01    1.6807898868e+01   -5.6202082221e+01    1.7392600289e+00    6.9807632464e+00    6.4000000000e+02    1.7940534475e-02    6.0151367187e-01
        22   -1.7204369034e+01    2.9630836457e+02   -3.0927276733e+01    1.3722907698e+01    1.7134533283e+01   -5.6813936458e+01    1.7713631959e+00    6.9807632464e+00    6.4000000000e+02    1.7974021848e-02    5.9911132813e-01
        23   -1.7222816268e+01    2.9720547440e+02   -3.0446728063e+01    1.3223911795e+01    1.7017065649e+01   -5.6387335970e+01    1.9427790118e+00    6.9807632464e+00    6.4000000000e+02    1.7931542209e-02    5.9779296875e-01
        24   -1.7209765723e+01    2.9651946548e+02   -3.1013605351e+01    1.3803839629e+01    1.7062358235e+01   -5.7094110825e+01    2.0373839925e+00    6.9807632464e+00    6.4000000000e+02    1.7939563041e-02    5.9909179688e-01
        25   -1.7158335816e+01    2.9485675536e+02   -3.0904649228e+01    1.3746313412e+01    1.7159686307e+01   -5.7048351013e+01    2.0032522310e+00    6.9807632464e+00    6.4000000000e+02    1.7979542453e-02    5.9660156250e-01
        26   -1.7215017237e+01    2.9672895525e+02   -3.0885379539e+01    1.3670362303e+01    1.7151349121e+01   -5.6794655521e+01    1.7771636143e+00    6.9807632464e+00    6.4000000000e+02    1.7985529257e-02    5.9981445313e-01
        27   -1.7228930275e+01    2.9727213532e+02   -3.0307078113e+01    1.3078147839e+01    1.7080351335e+01   -5.6426728357e+01    2.0585356622e+00    6.9807632464e+00    6.4000000000e+02    1.7956027359e-02    5.9809570313e-01
        28   -1.7231014977e+01    2.9742016726e+02   -3.0966575402e+01    1.3735560425e+01    1.7182511231e+01   -5.6798663654e+01    1.6688137744e+00    6.9807632464e+00    6.4000000000e+02    1.7959369003e-02    5.9805664063e-01
        29   -1.7188658256e+01    2.9584859127e+02   -3.0519541984e+01    1.3330883728e+01    1.7005775381e+01   -5.6740835928e+01    2.2347553157e+00    6.9807632464e+00    6.4000000000e+02    1.7956740879e-02    5.9895507813e-01
