#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7275607325e+01    2.9865942836e+02   -3.1060652391e+01    1.3785045066e+01    1.7252561484e+01   -5.7216928795e+01    1.9229516740e+00    6.9807632464e+00    6.4000000000e+02    1.7528716962e-02    5.9260742188e-01
         1   -1.7265755081e+01    2.9830169587e+02   -3.0222757933e+01    1.2957002852e+01    1.7010439440e+01   -5.5967924552e+01    1.7539639323e+00    6.9807632464e+00    6.4000000000e+02    1.7511450119e-02    6.0099609375e-01
         2   -1.7281124201e+01    2.9883286386e+02   -3.0581529829e+01    1.3300405628e+01    1.7126294249e+01   -5.6352481532e+01    1.6638942072e+00    6.9807632464e+00    6.4000000000e+02    1.7509188372e-02    6.0029296875e-01
         3   -1.7261608810e+01    2.9813735607e+02   -3.0674804805e+01    1.3413195994e+01    1.7154022308e+01   -5.6580196867e+01    1.7706065086e+00    6.9807632464e+00    6.4000000000e+02    1.7545912578e-02    5.9616210938e-01
         4   -1.7230852843e+01    2.9707415946e+02   -3.0773522844e+01    1.3542670001e+01    1.6983288579e+01   -5.6303609322e+01    1.5660346516e+00    6.9807632464e+00    6.4000000000e+02    1.7522243246e-02    5.9905273438e-01
         5   -1.7259995085e+01    2.9805629477e+02   -3.0286730805e+01    1.3026735720e+01    1.6935341847e+01   -5.6043361714e+01    1.8405258148e+00    6.9807632464e+00    6.4000000000e+02    1.7498599468e-02    5.9839843750e-01
         6   -1.7276793477e+01    2.9864897850e+02   -3.1046901759e+01    1.3770108281e+01    1.7059124770e+01   -5.7189402290e+01    2.1026125149e+00    6.9807632464e+00    6.4000000000e+02    1.7497359100e-02    5.9971679688e-01
         7   -1.7259325276e+01    2.9808228594e+02   -3.0978050214e+01    1.3718724938e+01    1.7117457123e+01   -5.6913424961e+01    1.8371543772e+00    6.9807632464e+00    6.4000000000e+02    1.7489313072e-02    5.9228515625e-01
         8   -1.7278110062e+01    2.9871318159e+02   -3.1430032564e+01    1.4151922502e+01    1.7324080089e+01   -5.7692944203e+01    1.9580683037e+00    6.9807632464e+00    6.4000000000e+02    1.7751703419e-02    5.9720703125e-01
         9   -1.7240168422e+01    2.9737504098e+02   -3.0263750442e+01    1.3023582021e+01    1.6875876412e+01   -5.6036299038e+01    1.9159089372e+00    6.9807632464e+00    6.4000000000e+02    1.7534886453e-02    5.9922851562e-01
        10   -1.7246781770e+01    2.9763475659e+02   -3.0331340309e+01    1.3084558539e+01    1.6884710895e+01   -5.6028475641e+01    1.8316611909e+00    6.9807632464e+00    6.4000000000e+02    1.7470374225e-02    5.9559570313e-01
        11   -1.7242556195e+01    2.9752347831e+02   -3.1559809149e+01    1.4317252954e+01    1.7341578671e+01   -5.7818953331e+01    1.9368022652e+00    6.9807632464e+00    6.4000000000e+02    1.7529985043e-02    5.9776367188e-01
        12   -1.7254244934e+01    2.9789104741e+02   -3.0456854710e+01    1.3202609776e+01    1.7097816893e+01   -5.6722064596e+01    2.1866297472e+00    6.9807632464e+00    6.4000000000e+02    1.7488488344e-02    5.9378906250e-01
        13   -1.7273401181e+01    2.9853596633e+02   -3.0855967873e+01    1.3582566692e+01    1.7081773500e+01   -5.6393680057e+01    1.4751754380e+00    6.9807632464e+00    6.4000000000e+02    1.7466388828e-02    5.9977539062e-01
        14   -1.7235473648e+01    2.9722911962e+02   -3.1209193438e+01    1.3973719790e+01    1.7262714139e+01   -5.7257398830e+01    1.8047280072e+00    6.9807632464e+00    6.4000000000e+02    1.7505451997e-02    5.9751953125e-01
        15   -1.7265767789e+01    2.9834677844e+02   -3.0929593114e+01    1.3663825326e+01    1.7072599882e+01   -5.6814442065e+01    1.8314858226e+00    6.9807632464e+00    6.4000000000e+02    1.7469885619e-02    5.9811523438e-01
        16   -1.7269846286e+01    2.9844107806e+02   -3.0784288462e+01    1.3514442176e+01    1.7013868726e+01   -5.6899717363e+01    2.1207969283e+00    6.9807632464e+00    6.4000000000e+02    1.7458573021e-02    5.9744140625e-01
        17   -1.7243252494e+01    2.9745874039e+02   -3.1210849513e+01    1.3967597019e+01    1.7251830264e+01   -5.7363174326e+01    1.9197313025e+00    6.9807632464e+00    6.4000000000e+02    1.7492901703e-02    5.9817382812e-01
        18   -1.7234811704e+01    2.9722368704e+02   -3.0751876672e+01    1.3517064968e+01    1.7096708158e+01   -5.6774293205e+01    1.9449451282e+00    6.9807632464e+00    6.4000000000e+02    1.7487082784e-02    5.9177734375e-01
        19   -1.7207377955e+01    2.9639189252e+02   -3.0032640800e+01    1.2825262845e+01    1.6902124872e+01   -5.5737859329e+01    1.8223304113e+00    6.9807632464e+00    6.4000000000e+02    1.7443485535e-02    5.9878906250e-01
        20   -1.7213161240e+01    2.9646625830e+02   -3.0662233354e+01    1.3449072114e+01    1.7047459346e+01   -5.6682370865e+01    1.9919149187e+00    6.9807632464e+00    6.4000000000e+02    1.7461722009e-02    5.9673828125e-01
        21   -1.7271720041e+01    2.9858476189e+02   -3.1225290067e+01    1.3953570025e+01    1.6981496439e+01   -5.6937350804e+01    1.7498010514e+00    6.9807632464e+00    6.4000000000e+02    1.7487901234e-02    5.9461914063e-01
        22   -1.7240891983e+01    2.9740195585e+02   -3.0753511452e+01    1.3512619469e+01    1.6956262747e+01   -5.6755972901e+01    2.0654354555e+00    6.9807632464e+00    6.4000000000e+02    1.7472108254e-02    5.9744140625e-01
        23   -1.7289022209e+01    2.9916401752e+02   -3.0910476964e+01    1.3621454755e+01    1.7060736425e+01   -5.6956184214e+01    2.0042075779e+00    6.9807632464e+00    6.4000000000e+02    1.7466516681e-02    6.0012695313e-01
        24   -1.7260852596e+01    2.9812540978e+02   -3.0638260396e+01    1.3377407799e+01    1.7091128044e+01   -5.6636018871e+01    1.9258671845e+00    6.9807632464e+00    6.4000000000e+02    1.7469954309e-02    5.9720703125e-01
        25   -1.7260201353e+01    2.9813290525e+02   -3.0665441854e+01    1.3405240501e+01    1.7243323947e+01   -5.6931537219e+01    2.0420081715e+00    6.9807632464e+00    6.4000000000e+02    1.7515153990e-02    5.9607421875e-01
        26   -1.7228055948e+01    2.9697529267e+02   -3.1148690554e+01    1.3920634607e+01    1.7171356083e+01   -5.7136133117e+01    1.8353232340e+00    6.9807632464e+00    6.4000000000e+02    1.7507790825e-02    5.9792968750e-01
        27   -1.7236784241e+01    2.9726299485e+02   -3.0550865847e+01    1.3314081606e+01    1.7071083028e+01   -5.6556510256e+01    1.9537981339e+00    6.9807632464e+00    6.4000000000e+02    1.7470584916e-02    5.9724609375e-01
