#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7265434977e+01    2.9820496414e+02   -3.0501379658e+01    1.3235944681e+01    1.6927986538e+01   -5.6314208191e+01    1.9040787487e+00    6.9807632464e+00    6.4000000000e+02    3.6005001516e-02    5.9734375000e-01
         1   -1.7248217800e+01    2.9768187685e+02   -3.1111016161e+01    1.3862798361e+01    1.7042992048e+01   -5.6633094937e+01    1.4983234814e+00    6.9807632464e+00    6.4000000000e+02    3.6095295022e-02    5.9593750000e-01
         2   -1.7255729410e+01    2.9793782128e+02   -3.1007509960e+01    1.3751780549e+01    1.7047063013e+01   -5.7128020767e+01    2.0926845482e+00    6.9807632464e+00    6.4000000000e+02    3.6070103940e-02    5.9963867188e-01
         3   -1.7216653297e+01    2.9673897826e+02   -3.0759141058e+01    1.3542487761e+01    1.7310254692e+01   -5.7165248377e+01    2.1150893808e+00    6.9807632464e+00    6.4000000000e+02    3.6116065509e-02    5.9872070312e-01
         4   -1.7282117303e+01    2.9886243816e+02   -3.0708046281e+01    1.3425928978e+01    1.6898271176e+01   -5.6248077772e+01    1.6609970679e+00    6.9807632464e+00    6.4000000000e+02    3.6066405244e-02    5.9757812500e-01
         5   -1.7260749109e+01    2.9815119104e+02   -3.1556151484e+01    1.4295402375e+01    1.7184582267e+01   -5.7656489245e+01    1.9349922466e+00    6.9807632464e+00    6.4000000000e+02    3.6063791804e-02    5.9634765625e-01
         6   -1.7255766024e+01    2.9793984715e+02   -3.0743802222e+01    1.3488036199e+01    1.6968497798e+01   -5.6752403367e+01    2.0593400997e+00    6.9807632464e+00    6.4000000000e+02    3.5999282494e-02    6.0011718750e-01
         7   -1.7252290445e+01    2.9779124052e+02   -3.0774525307e+01    1.3522234862e+01    1.7151895189e+01   -5.6814139706e+01    1.9069559639e+00    6.9807632464e+00    6.4000000000e+02    3.6080299781e-02    5.9562500000e-01
         8   -1.7276310427e+01    2.9865402653e+02   -3.0921081527e+01    1.3644771100e+01    1.6994927058e+01   -5.7014013103e+01    2.1172412719e+00    6.9807632464e+00    6.4000000000e+02    3.6074643196e-02    5.9784179687e-01
         9   -1.7263285084e+01    2.9816825113e+02   -3.1080082982e+01    1.3816797898e+01    1.7171485422e+01   -5.7383595746e+01    2.1512640952e+00    6.9807632464e+00    6.4000000000e+02    3.6097789125e-02    5.9769531250e-01
        10   -1.7254514801e+01    2.9788333909e+02   -3.0567529590e+01    1.3313014789e+01    1.7017887057e+01   -5.6470334482e+01    1.9041545890e+00    6.9807632464e+00    6.4000000000e+02    3.6012249660e-02    5.9590820312e-01
        11   -1.7247861569e+01    2.9777184204e+02   -3.0334402158e+01    1.3086540589e+01    1.6893782245e+01   -5.6042128330e+01    1.8331806806e+00    6.9807632464e+00    6.4000000000e+02    3.6042144847e-02    5.9645507812e-01
        12   -1.7253075981e+01    2.9785702034e+02   -3.0775356974e+01    1.3522280993e+01    1.7187243698e+01   -5.7271540509e+01    2.3281765906e+00    6.9807632464e+00    6.4000000000e+02    3.6046504666e-02    5.9883789063e-01
        13   -1.7250563793e+01    2.9777699991e+02   -3.0842234983e+01    1.3591671189e+01    1.7120457250e+01   -5.6893027995e+01    1.9495725166e+00    6.9807632464e+00    6.4000000000e+02    3.6078332084e-02    5.9807617187e-01
        14   -1.7224076109e+01    2.9689353894e+02   -3.0473097937e+01    1.3249021829e+01    1.7076467730e+01   -5.6763864264e+01    2.2335353503e+00    6.9807632464e+00    6.4000000000e+02    3.6053658593e-02    5.9832031250e-01
        15   -1.7290955224e+01    2.9917461956e+02   -3.0032655401e+01    1.2741700176e+01    1.7058248448e+01   -5.6225277557e+01    2.1536104616e+00    6.9807632464e+00    6.4000000000e+02    3.6042622213e-02    5.9708984375e-01
