#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7260402520e+01    2.9810494847e+02   -3.0965826112e+01    1.3705423592e+01    1.6872630918e+01   -5.6676202311e+01    1.8569820346e+00    6.9807632464e+00    6.4000000000e+02    2.9129410039e-02    5.9517578125e-01
         1   -1.7292199198e+01    2.9917889600e+02   -3.0945239330e+01    1.3653040132e+01    1.7163141959e+01   -5.6741529760e+01    1.6523852243e+00    6.9807632464e+00    6.4000000000e+02    2.9204050819e-02    5.9500976562e-01
         2   -1.7273603351e+01    2.9851592558e+02   -3.1066652035e+01    1.3793048685e+01    1.7137735051e+01   -5.6844325718e+01    1.6591753851e+00    6.9807632464e+00    6.4000000000e+02    2.9195981259e-02    5.9690429688e-01
         3   -1.7244188918e+01    2.9757879758e+02   -3.1125957132e+01    1.3881768214e+01    1.6978744177e+01   -5.6965405737e+01    1.8799411809e+00    6.9807632464e+00    6.4000000000e+02    2.9200532126e-02    5.9794921875e-01
         4   -1.7260881045e+01    2.9811448171e+02   -3.0618944596e+01    1.3358063551e+01    1.7021714766e+01   -5.6706856647e+01    2.0854340384e+00    6.9807632464e+00    6.4000000000e+02    2.9125665615e-02    6.0115234375e-01
         5   -1.7252549384e+01    2.9783329367e+02   -3.1081660133e+01    1.3829110749e+01    1.7362948228e+01   -5.7373514369e+01    1.9481427620e+00    6.9807632464e+00    6.4000000000e+02    2.9193701444e-02    5.9242187500e-01
         6   -1.7262392141e+01    2.9824764275e+02   -3.0788106753e+01    1.3525714612e+01    1.6953738667e+01   -5.6579665827e+01    1.8570571604e+00    6.9807632464e+00    6.4000000000e+02    2.9108744956e-02    5.9876953125e-01
         7   -1.7244751465e+01    2.9759593164e+02   -3.0672271539e+01    1.3427520074e+01    1.6900206441e+01   -5.6598849568e+01    2.0456083418e+00    6.9807632464e+00    6.4000000000e+02    2.9103363581e-02    5.9950195312e-01
         8   -1.7236517559e+01    2.9728234339e+02   -3.0765122305e+01    1.3528604747e+01    1.6940343020e+01   -5.6870023763e+01    2.1837951916e+00    6.9807632464e+00    6.4000000000e+02    2.9110079391e-02    5.9864257812e-01
         9   -1.7278220962e+01    2.9869926172e+02   -3.1189468917e+01    1.3911247955e+01    1.7303589476e+01   -5.7695225971e+01    2.2214043324e+00    6.9807632464e+00    6.4000000000e+02    2.9161328703e-02    5.9690429687e-01
